external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,Sead Haksabanovic,Marco Lund Nielsen,49,51,33.0,50.0,0,2,pass accurate,,-0.0027516241001182586,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IFK Norrköping FK,Marco Lund Nielsen,Abdulrazaq Ishaq,33,50,39.0,14.0,1,3,pass accurate,,0.0003132403397486175,0.8353315664531307,1,False,False,False,nan,nan,nan,,nan
2,IFK Norrköping FK,Abdulrazaq Ishaq,Jonathan Levi,34,13,44.0,22.0,5,7,pass accurate,,0.001399699678921791,0.7911909150021158,1,False,False,False,nan,nan,nan,,nan
3,IFK Norrköping FK,Jonathan Levi,Abdulrazaq Ishaq,45,21,33.0,11.0,6,8,pass accurate,,-0.004027782911266979,0.8673647113530933,1,False,False,False,nan,nan,nan,,nan
4,IFK Norrköping FK,Abdulrazaq Ishaq,Henrik Castegren,33,10,29.0,14.0,8,10,pass accurate,,0.001348856074303859,0.7886999602478492,1,False,False,False,nan,nan,nan,,nan
5,IFK Norrköping FK,Henrik Castegren,Oscar Jansson,29,17,3.0,45.0,10,12,pass accurate,,-0.00031339649987124213,0.928769121595964,1,False,False,False,nan,nan,nan,,nan
6,IFK Norrköping FK,Oscar Jansson,Viktor Agardius,4,46,7.0,85.0,13,15,pass accurate,,-0.004479589610184255,0.9277802661560923,1,False,False,False,nan,nan,nan,,nan
7,IFK Norrköping FK,Viktor Agardius,Samuel Adeniyi Adegbenro,11,90,47.0,80.0,16,18,pass accurate,,0.006787842527294131,0.61307505461669,1,False,False,False,nan,nan,nan,,nan
8,Halmstad,Andreas Johansson,,53,23,,,18,21,foul,,,,1,False,False,False,nan,nan,nan,,nan
9,IFK Norrköping FK,Ísak Bergmann Jóhannesson,Viktor Agardius,59,77,51.0,81.0,29,31,pass accurate,,-0.0031887910024506055,0.8395804432301364,1,False,False,False,nan,nan,nan,,nan
10,IFK Norrköping FK,Viktor Agardius,Ari Freyr Skúlason,51,81,62.0,91.0,30,32,pass accurate,,0.0008163911606975036,0.7897873216455054,1,False,False,False,nan,nan,nan,,nan
11,IFK Norrköping FK,Ari Freyr Skúlason,Marco Lund Nielsen,63,92,42.0,72.0,34,36,pass accurate,,-0.002220083527312223,0.8690434052573942,1,False,False,False,nan,nan,nan,,nan
12,IFK Norrköping FK,Marco Lund Nielsen,Viktor Agardius,44,61,58.0,84.0,39,41,pass accurate,,0.0008101573935974556,0.6252263013860329,1,False,False,False,nan,nan,nan,,nan
13,IFK Norrköping FK,Viktor Agardius,Sead Haksabanovic,59,81,66.0,77.0,41,43,pass accurate,,,0.7634851655147251,1,False,False,False,nan,nan,nan,,nan
14,Halmstad,Edvin Kurtulus,,32,17,,,42,47,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
