external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,home,Kalle Holmberg,Jacob Une Larsson,50,48,30.0,45.0,0,3,pass accurate,,-0.004984388684059168,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,Djurgården,home,Jacob Une Larsson,Nicklas Bärkroth,32,45,73.0,90.0,2,5,pass accurate,,0.008138846488666559,0.5420972175445543,1,False,False,False,nan,nan,nan,,nan
2,Djurgården,home,Nicklas Bärkroth,,69,89,66.0,93.0,5,8,pass inaccurate,,,0.4627935304215198,1,False,False,False,nan,nan,nan,,nan
3,Mjällby AIF,away,Viktor Gustafson,,34,7,69.0,7.0,6,9,pass inaccurate,,,0.5246533459804978,1,False,False,False,nan,nan,nan,,nan
4,Djurgården,home,Hjalmar Ekdal,Jacob Widell Zetterström,31,93,7.0,57.0,9,12,pass accurate,,0.0013821788125977594,0.9337508976794663,1,False,False,False,nan,nan,nan,,nan
5,Djurgården,home,Jacob Widell Zetterström,Hjalmar Ekdal,9,56,10.0,88.0,13,16,pass accurate,,-0.003441041941107831,0.920612157717219,1,False,False,False,nan,nan,nan,,nan
6,Djurgården,home,Hjalmar Ekdal,Jacob Une Larsson,20,72,27.0,35.0,19,22,pass accurate,,0.0016802485146857182,0.880190762160206,1,False,False,False,nan,nan,nan,,nan
7,Djurgården,home,Hjalmar Ekdal,,10,88,20.0,72.0,13,22,carry,,0.0034489301813612778,,1,False,False,False,nan,nan,nan,,nan
8,Djurgården,home,Jacob Une Larsson,Elliot Käck,27,39,39.0,92.0,22,25,pass accurate,,-0.0018155631268219306,0.7792047348112465,1,False,False,False,nan,nan,nan,,nan
9,Djurgården,home,Elliot Käck,,42,89,73.0,15.0,26,29,pass inaccurate,,,0.568713817469655,1,False,False,False,nan,nan,nan,,nan
10,Mjällby AIF,away,Kadir Hodzic,,27,85,38.0,84.0,28,31,pass inaccurate,,,0.7165880803380542,1,False,False,False,nan,nan,nan,,nan
11,Djurgården,home,Haris Radetinac,,62,16,,,28,33,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
12,Djurgården,home,Haris Radetinac,,62,16,,,28,33,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,Djurgården,home,Nicklas Bärkroth,,78,91,,,36,61,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
14,Djurgården,home,Haris Radetinac,Magnus Eriksson,67,26,64.0,53.0,36,39,pass accurate,,-0.004545653901259442,0.7974260389260729,1,False,False,False,nan,nan,nan,,nan
15,Djurgården,home,Magnus Eriksson,Elliot Käck,65,55,66.0,73.0,39,42,pass accurate,,-0.0010134443404456288,0.7847846611530389,1,False,False,False,nan,nan,nan,,nan
16,Djurgården,home,Elliot Käck,Nicklas Bärkroth,67,74,79.0,94.0,41,44,pass accurate,,0.0016495700599863591,0.7473269037291148,1,False,False,False,nan,nan,nan,,nan
17,Djurgården,home,Nicklas Bärkroth,Magnus Eriksson,81,92,74.0,81.0,45,48,pass accurate,,-0.0023032010985055418,0.7526734909031556,1,False,False,False,nan,nan,nan,,nan
18,Djurgården,home,Magnus Eriksson,,76,82,96.0,42.0,46,49,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
19,Djurgården,home,Magnus Eriksson,,76,82,96.0,42.0,46,49,pass inaccurate,,,0.1946376690431525,1,False,False,False,nan,nan,nan,,nan
20,Djurgården,home,Magnus Eriksson,,76,82,96.0,42.0,46,49,cross inacurate,,,0.1946376690431525,1,False,False,False,nan,nan,nan,,nan
21,Mjällby AIF,away,Kadir Hodzic,,4,58,,,47,52,clearance accurate,,,,1,False,False,False,nan,nan,nan,,nan
22,Djurgården,home,Magnus Eriksson,Edward Chilufya,100,2,97.0,42.0,83,93,right corner accurate,,,,2,False,False,False,corner,chance created,nan,,nan
23,Djurgården,home,Magnus Eriksson,Edward Chilufya,100,1,98.0,42.0,85,88,pass into the box,,,,2,False,False,False,corner,nan,nan,,nan
24,Djurgården,home,Magnus Eriksson,Edward Chilufya,100,1,98.0,42.0,85,88,pass accurate,,0.20093745580832945,0.19676150832512698,2,False,False,False,corner,nan,nan,,nan
25,Djurgården,home,Magnus Eriksson,Edward Chilufya,100,1,98.0,42.0,85,88,key pass,,,0.19676150832512698,2,False,False,False,corner,nan,nan,,nan
26,Djurgården,home,Edward Chilufya,,98,41,,,87,90,wide shot,0.13602835872047694,,,2,True,False,False,corner,nan,nan,True,nan
27,Mjällby AIF,away,Carljohan Eriksson,,2,59,,,87,90,goalkeeper wide shot,,,,2,False,False,False,nan,nan,nan,,nan
28,Djurgården,home,Edward Chilufya,,98,41,,,87,90,shot,0.13602835872047694,,,2,True,False,False,corner,nan,header,True,nan
29,Mjällby AIF,away,Carljohan Eriksson,Viktor Gustafson,6,42,55.0,12.0,110,120,pass accurate,,,,2,False,False,False,nan,nan,nan,,nan
30,Mjällby AIF,away,Carljohan Eriksson,Viktor Gustafson,6,42,55.0,12.0,110,120,goal kick,,,,2,False,False,False,nan,nan,nan,,nan
31,Mjällby AIF,away,Amin Sarr,,76,48,,,114,139,final third entry,,,,2,False,False,False,nan,nan,nan,,nan
32,Mjällby AIF,away,Amin Sarr,,87,64,,,115,125,penalty box entry successful,,,,2,False,False,False,nan,nan,nan,,nan
33,Mjällby AIF,away,Viktor Gustafson,Mamudu Moro,55,14,64.0,23.0,118,121,pass accurate,,0.0033100214364374,0.7205597915296267,2,False,False,False,nan,nan,nan,,nan
34,Djurgården,home,Curtis Edwards,,47,88,,,118,121,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
35,Djurgården,home,Curtis Edwards,,47,88,,,118,121,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
36,Mjällby AIF,away,Viktor Gustafson,,54,13,,,118,121,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
37,Mjällby AIF,away,Viktor Gustafson,,54,13,,,118,121,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
38,Mjällby AIF,away,Mamudu Moro,,64,24,73.0,28.0,119,122,pass inaccurate,,,0.7048058785213529,2,False,False,False,nan,nan,nan,,nan
39,Djurgården,home,Hjalmar Ekdal,Jacob Une Larsson,27,72,25.0,56.0,121,124,pass accurate,,0.000632147095620355,0.9048908874596919,3,False,False,False,nan,nan,nan,,nan
40,Mjällby AIF,away,Amin Sarr,,81,52,,,122,127,tackle successful,,,,3,False,False,False,nan,nan,nan,,nan
41,Mjällby AIF,away,Amin Sarr,,81,52,,,122,127,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
42,Djurgården,home,Hjalmar Ekdal,,3,47,,,125,130,clearance accurate,,,,3,False,False,False,nan,nan,nan,,nan
43,Mjällby AIF,away,Amin Sarr,,88,68,,,126,129,shot on target,0.057235834591591886,,,3,False,False,False,nan,nan,nan,,-
44,Djurgården,home,Jacob Widell Zetterström,,12,32,,,126,129,shot on target saved,,,,3,False,False,False,nan,nan,nan,,-
45,Mjällby AIF,away,Amin Sarr,,88,68,,,126,129,shot,0.057235834591591886,,,3,False,False,False,nan,nan,left foot,,nan
46,Djurgården,home,Jacob Widell Zetterström,,12,32,,,126,129,save,0.057235834591591886,,,3,False,False,False,nan,nan,nan,,nan
47,Mjällby AIF,away,Max Watson,,91,99,94.0,69.0,153,156,pass into the box,,,,3,False,False,False,nan,nan,nan,,nan
