external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,AIK,Nicolas Stefanelli,Alexander Milošević,49,51,30.0,53.0,0,3,Pass accurate,,-0.0027516241001182586,0.903703020964266,1,False,False,False,,,,,
1,AIK,Alexander Milošević,Henok Goitom,31,52,70.0,73.0,2,5,Pass accurate,,0.012341887382152455,0.4720384548819866,1,False,False,False,,,,,
2,AIK,Henok Goitom,,70,71,85.0,93.0,5,8,Pass inaccurate,,,0.49862214987943815,1,False,False,False,,,,,
3,AIK,Nabil Bahoui,,85,93,,,7,12,Interception unsuccesful,,,,1,False,False,False,,,,,
4,AIK,Nabil Bahoui,,85,93,,,7,12,Challenge successful,,,,1,False,False,False,,,,,
5,Halmstad,Edvin Kurtulus,,9,8,10.0,1.0,8,11,Pass inaccurate,,,0.8619939710558141,1,False,False,False,,,,,
6,Halmstad,Edvin Kurtulus,Sadat Karim,10,1,33.0,5.0,15,18,Pass accurate,,0.00253709897169678,0.7424974659248836,1,False,False,True,Throw-in,,,,
7,Halmstad,Sadat Karim,,33,5,23.0,5.0,18,21,Pass inaccurate,,,0.5475556447744298,1,False,False,False,Throw-in,,,,
8,AIK,Bilal Hussein,,65,90,,,18,23,Interception succesful,,,,1,False,False,False,,,,,
9,AIK,Bilal Hussein,,65,90,,,18,23,Challenge unsuccessful,,,,1,False,False,False,,,,,
10,AIK,Bilal Hussein,Sotirios Papagiannopoulos,61,85,42.0,85.0,20,23,Pass accurate,,-0.005326292093645234,0.8774458369412449,1,False,False,False,,,,,
11,AIK,Sotirios Papagiannopoulos,Sebastian Larsson,43,85,48.0,80.0,22,25,Pass accurate,,,0.7732853914804172,1,False,False,False,,,,,
12,AIK,Sebastian Larsson,Alexander Milošević,38,77,25.0,69.0,24,27,Pass accurate,,-0.0006439532062550383,0.9196996549401204,1,False,False,False,,,,,
13,AIK,Alexander Milošević,Budimir Janosevic,20,66,9.0,30.0,28,31,Pass accurate,,-0.0003809369199723883,0.9331643626763602,1,False,False,False,,,,,
14,AIK,Budimir Janosevic,,11,24,52.0,1.0,31,34,Pass inaccurate,,,0.718677876264333,1,False,False,False,,,,,
15,Halmstad,Andreas Bengtsson,,48,99,74.0,97.0,56,59,Pass inaccurate,,,0.730161896038844,1,False,False,True,Throw-in,,,,
16,AIK,Mikael Lustig,,26,3,33.0,10.0,58,61,Pass inaccurate,,,0.7910108097597399,1,False,False,False,,,,,
17,Halmstad,Amir Al-Ammari,,67,90,,,60,63,Air challenge successful,,,,2,False,False,False,Throw-in,,,,
18,Halmstad,Amir Al-Ammari,,67,90,,,60,63,Challenge successful,,,,2,False,False,False,Throw-in,,,,
19,AIK,Nicolas Stefanelli,,36,12,,,60,63,Air challenge unsuccessful,,,,2,False,False,False,,,,,
20,AIK,Nicolas Stefanelli,,36,12,,,60,63,Challenge unsuccessful,,,,2,False,False,False,,,,,
21,AIK,Bilal Hussein,,30,28,62.0,39.0,61,64,Pass inaccurate,,,0.5570880000875595,2,False,False,False,,,,,
22,Halmstad,Andreas Johansson,,38,61,59.0,64.0,65,68,Pass inaccurate,,,0.6854510504671133,2,False,False,False,Throw-in,,,,
23,AIK,Bilal Hussein,Erick Ouma Otieno,41,36,42.0,80.0,67,70,Pass accurate,,0.00035833408926536775,0.8193093601673469,2,False,False,False,,,,,
24,AIK,Erick Ouma Otieno,Nabil Bahoui,41,83,58.0,81.0,70,73,Pass accurate,,0.003549975383081031,0.7143794013040355,2,False,False,False,,,,,
25,AIK,Nabil Bahoui,,65,94,,,86,89,Foul,,,,2,False,False,False,,,,,
26,AIK,Nabil Bahoui,,58,81,65.0,94.0,70,89,Carry,,0.0008163911606975036,,2,False,False,False,,,,,
27,Halmstad,Edvin Kurtulus,Sadat Karim,37,9,94.0,6.0,94,97,Pass accurate,,0.048981329741701225,0.25752456090538195,2,False,False,False,,,,,
28,Halmstad,Sadat Karim,,96,2,,,97,102,Lost ball,,,,2,False,False,False,,,,,
29,AIK,Sotirios Papagiannopoulos,Erick Ouma Otieno,4,93,7.0,87.0,102,105,Pass accurate,,0.0010505833790813,0.7331605716697327,2,False,False,False,,,,,
30,AIK,Erick Ouma Otieno,Sotirios Papagiannopoulos,7,87,9.0,91.0,103,106,Pass accurate,,0.00039541080357516356,0.4922218379136161,2,False,False,False,,,,,
31,AIK,Sotirios Papagiannopoulos,Sebastian Larsson,9,78,30.0,60.0,105,108,Pass accurate,,0.004021323335350123,0.7794224686245996,2,False,False,False,,,,,
32,AIK,Sebastian Larsson,Budimir Janosevic,26,70,5.0,70.0,108,111,Pass accurate,,-0.0042161764862570904,0.9378642011422127,2,False,False,False,,,,,
33,AIK,Budimir Janosevic,,6,68,,,110,115,Clearance inaccurate,,,,2,False,False,False,,,,,
34,AIK,Budimir Janosevic,,4,70,27.0,100.0,112,115,Pass inaccurate,,,0.21758570212573217,2,False,False,False,,,,,
35,Halmstad,Edvin Kurtulus,Samuel Kroon,73,0,89.0,10.0,123,126,Pass accurate,,0.011797694501235093,0.6621085350379464,3,False,False,True,Throw-in,,,,
36,Halmstad,Samuel Kroon,Sadat Karim,88,7,93.0,10.0,124,127,Pass accurate,,0.02599741386060056,0.5662570484469458,3,False,False,False,Throw-in,,,,
37,AIK,Erick Ouma Otieno,,6,89,,,128,131,Foul,,,,3,False,False,False,,,,,
38,Halmstad,Amir Al-Ammari,,93,7,89.0,44.0,166,169,Pass into the box,,,,3,False,False,False,Free-kick,,,,
39,Halmstad,Amir Al-Ammari,,93,7,89.0,44.0,166,169,Pass inaccurate,,,0.50956356799181,3,False,False,False,Free-kick,,,,
40,Halmstad,Amir Al-Ammari,,93,7,89.0,44.0,166,169,Cross inacurate,,,0.50956356799181,3,False,False,False,Free-kick,,,,
41,AIK,Sotirios Papagiannopoulos,,11,56,,,167,172,Clearance inaccurate,,,,3,False,False,False,,,,,
42,Halmstad,Samuel Kroon,Amir Al-Ammari,73,9,78.0,4.0,172,175,Pass accurate,,0.005796274482870466,0.8311845942823731,3,False,False,False,Free-kick,,,,
43,Halmstad,Amir Al-Ammari,,77,9,92.0,48.0,175,178,Pass into the box,,,,3,False,False,False,Free-kick,,,,
44,Halmstad,Amir Al-Ammari,,77,9,92.0,48.0,175,178,Pass inaccurate,,,0.44770430910694775,3,False,False,False,Free-kick,,,,
45,Halmstad,Amir Al-Ammari,,77,9,92.0,48.0,175,178,Cross inacurate,,,0.44770430910694775,3,False,False,False,Free-kick,,,,
46,AIK,Zachary Elbouzedi,Bilal Hussein,8,52,24.0,72.0,178,181,Pass accurate,,-0.0003303668795154001,0.891964573313493,3,False,False,False,,,,,
47,AIK,Bilal Hussein,,23,73,32.0,74.0,181,184,Pass inaccurate,,,0.8189078546619425,4,False,False,False,,,,,
48,Halmstad,Samuel Kroon,,68,26,82.0,0.0,182,185,Pass inaccurate,,,0.26310638087116167,4,False,False,False,,,,,
49,AIK,Erick Ouma Otieno,Bilal Hussein,18,100,18.0,86.0,189,192,Pass accurate,,0.0011837497986438555,0.9362014252153453,4,False,False,True,Throw-in,,,,
50,AIK,Bilal Hussein,Sotirios Papagiannopoulos,19,88,6.0,89.0,191,194,Pass accurate,,-0.0026480221924059678,0.9255458447753305,4,False,False,False,Throw-in,,,,
51,AIK,Sotirios Papagiannopoulos,Zachary Elbouzedi,9,57,44.0,26.0,196,199,Pass accurate,,0.004427758606176254,0.7087192524501432,4,False,False,False,Throw-in,,,,
52,AIK,Sotirios Papagiannopoulos,,6,89,9.0,57.0,191,199,Carry,,0.004887036123764295,,4,False,False,False,Throw-in,,,,
53,AIK,Zachary Elbouzedi,,35,21,,,198,203,Lost ball,,,,4,False,False,False,Throw-in,,,,
