external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IF Elfsborg,Simon Olsson,Christopher Mc Vey,51,49,33.0,67.0,0,3,pass accurate,,-0.005781188470905894,0.879702105107301,1,False,False,False,nan,nan,nan,,nan
1,IF Elfsborg,Christopher Mc Vey,Jacob Ondrejka,33,65,74.0,31.0,2,5,pass accurate,,0.013883496654419535,0.39946103648237796,1,False,False,False,nan,nan,nan,,nan
2,IF Elfsborg,Frederik Holst,,76,31,,,5,30,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
3,Örebro,Johan Mårtensson,,26,77,,,6,11,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
4,Örebro,Johan Mårtensson,,26,77,,,6,11,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Örebro,Jake Larsson,,21,74,,,6,11,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
6,IF Elfsborg,Jacob Ondrejka,,79,31,,,7,12,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
7,IF Elfsborg,Jacob Ondrejka,,79,31,,,7,12,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
8,IF Elfsborg,Jacob Ondrejka,Simon Strand,80,29,88.0,11.0,10,13,pass accurate,,0.001296445072615851,0.6622899863811977,1,False,False,False,nan,nan,nan,,nan
9,IF Elfsborg,Simon Strand,,89,12,90.0,42.0,11,14,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
10,IF Elfsborg,Simon Strand,,89,12,90.0,42.0,11,14,pass inaccurate,,,0.5341238776165871,1,False,False,False,nan,nan,nan,,nan
11,IF Elfsborg,Simon Strand,,89,12,90.0,42.0,11,14,cross inacurate,,,0.5341238776165871,1,False,False,False,nan,nan,nan,,nan
12,Örebro,Nasiru Moro,,10,58,,,11,16,block unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,Örebro,Kevin Walker,,17,53,,,14,19,block unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,IF Elfsborg,Frederik Holst,,77,29,,,15,18,blocked shot,0.011863064515404925,,,1,False,False,False,nan,nan,nan,True,nan
15,IF Elfsborg,Frederik Holst,,77,29,,,15,18,shot,0.011863064515404925,,,1,False,False,False,nan,nan,right foot,True,nan
16,Örebro,Bobby Allain,,10,47,,,16,21,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
17,Örebro,Bobby Allain,,10,47,,,16,21,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
18,Örebro,Bobby Allain,,13,58,45.0,75.0,114,124,pass inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
19,Örebro,Bobby Allain,,13,58,45.0,75.0,114,124,goalkeeper kick inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
20,Örebro,Kevin Walker,,45,75,,,123,128,tackle successful,,,,3,False,False,False,nan,nan,nan,,nan
21,Örebro,Kevin Walker,,45,75,,,123,128,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
22,Örebro,Jake Larsson,,88,91,,,124,149,final third entry,,,,3,False,False,False,nan,nan,nan,,nan
