external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Degerfors IF,away,Victor Edvardsen,Sebastian Ohlsson,51,50,32.0,60.0,0,3,pass accurate,,-0.005153687985360585,0.8786857382041054,1,False,False,False,nan,nan,nan,,nan
1,Degerfors IF,away,Sebastian Ohlsson,Karl Axel Lindahl,37,65,58.0,90.0,3,6,pass accurate,,0.0009348058175669659,0.6925789209870374,1,False,False,False,nan,nan,nan,,nan
2,Degerfors IF,away,Karl Axel Lindahl,Sebastian Ohlsson,71,91,58.0,91.0,11,14,pass accurate,,-0.006608750615073319,0.822538643338191,1,False,False,False,nan,nan,nan,,nan
3,Degerfors IF,away,Karl Axel Lindahl,,58,90,71.0,91.0,3,14,carry,,0.006608750615073319,,1,False,False,False,nan,nan,nan,,nan
4,Degerfors IF,away,Sebastian Ohlsson,Sean Sabetkar,41,90,31.0,65.0,15,18,pass accurate,,0.001018763339975205,0.878475355123214,1,False,False,False,nan,nan,nan,,nan
5,Degerfors IF,away,Sean Sabetkar,Sebastian Ohlsson,35,66,32.0,84.0,18,21,pass accurate,,-0.00233193591058576,0.8066085844693383,1,False,False,False,nan,nan,nan,,nan
6,Degerfors IF,away,Sebastian Ohlsson,Sean Sabetkar,34,82,32.0,65.0,21,24,pass accurate,,-0.0006439532062550383,0.8588574874931381,1,False,False,False,nan,nan,nan,,nan
7,Degerfors IF,away,Sean Sabetkar,Erik Lindell,27,45,40.0,11.0,24,27,pass accurate,,-0.0010331751330787849,0.8110659821101818,1,False,False,False,nan,nan,nan,,nan
8,Degerfors IF,away,Erik Lindell,Gustav Granath,39,8,29.0,21.0,26,29,pass accurate,,-9.746437644029757e-05,0.8836654822049803,1,False,False,False,nan,nan,nan,,nan
9,Degerfors IF,away,Gustav Granath,Sean Sabetkar,28,22,25.0,40.0,29,32,pass accurate,,0.0011306395095190824,0.9047669375821233,1,False,False,False,nan,nan,nan,,nan
10,Degerfors IF,away,Sean Sabetkar,Christos Gravius,26,39,30.0,49.0,31,34,pass accurate,,,0.8592577833562659,1,False,False,False,nan,nan,nan,,nan
11,Östersund,home,Blair Sebastian Turgott,,63,23,,,34,39,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
12,Östersund,home,Blair Sebastian Turgott,,63,23,,,34,39,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,Degerfors IF,away,Christos Gravius,,34,61,57.0,77.0,35,38,pass inaccurate,,,0.6605331446712059,1,False,False,False,nan,nan,nan,,nan
14,Östersund,home,Henrik Bellman,Blair Sebastian Turgott,43,23,61.0,28.0,38,41,pass accurate,,0.006387622576700214,0.7148319804028218,1,False,False,False,nan,nan,nan,,nan
15,Östersund,home,Blair Sebastian Turgott,,62,19,57.0,29.0,39,42,pass inaccurate,,,0.7990978759819257,1,False,False,False,nan,nan,nan,,nan
16,Östersund,home,Blair Sebastian Turgott,,61,28,62.0,19.0,38,42,carry,,-0.0005115672019537672,,1,False,False,False,nan,nan,nan,,nan
17,Degerfors IF,away,Villiam Dahlström,Karl Axel Lindahl,43,71,47.0,89.0,40,43,pass accurate,,-0.0023575276090183634,0.7971657518897812,1,False,False,False,nan,nan,nan,,nan
18,Degerfors IF,away,Karl Axel Lindahl,Adam Carlén,53,80,43.0,67.0,42,45,pass accurate,,-0.0014036923666147193,0.8606791863384019,1,False,False,False,nan,nan,nan,,nan
19,Degerfors IF,away,Adam Carlén,Johan Bertilsson,42,56,48.0,52.0,45,48,pass accurate,,,0.7656692651201242,1,False,False,False,nan,nan,nan,,nan
20,Degerfors IF,away,Johan Bertilsson,Sean Sabetkar,49,51,33.0,50.0,47,50,pass accurate,,-0.0027516241001182586,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
21,Degerfors IF,away,Sean Sabetkar,Sebastian Ohlsson,31,50,33.0,81.0,49,52,pass accurate,,-0.001571993163333115,0.8413447386147486,1,False,False,False,nan,nan,nan,,nan
22,Degerfors IF,away,Sebastian Ohlsson,,35,79,88.0,69.0,51,54,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
23,Degerfors IF,away,Sebastian Ohlsson,,35,79,88.0,69.0,51,54,pass inaccurate,,,0.3968938987988658,1,False,False,False,nan,nan,nan,,nan
24,Degerfors IF,away,Villiam Dahlström,,88,69,,,57,60,foul,,,,1,False,False,False,nan,nan,nan,,nan
25,Östersund,home,Sixten Mohlin,,11,38,70.0,44.0,86,89,pass inaccurate,,,0.48620918356276543,2,False,False,False,nan,nan,nan,,nan
26,Degerfors IF,away,Adam Carlén,,30,56,35.0,38.0,88,91,pass inaccurate,,,0.853182918846944,2,False,False,False,nan,nan,nan,,nan
27,Östersund,home,Nikolaos Dosis,,65,62,86.0,74.0,90,93,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
28,Östersund,home,Nikolaos Dosis,,65,62,86.0,74.0,90,93,pass inaccurate,,,0.6376030367509771,2,False,False,False,nan,nan,nan,,nan
29,Degerfors IF,away,Erik Lindell,,14,26,,,93,98,clearance accurate,,,,2,False,False,False,nan,nan,nan,,nan
30,Degerfors IF,away,Johan Bertilsson,,30,9,,,101,106,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
31,Degerfors IF,away,Johan Bertilsson,,30,9,,,101,111,dribble unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
32,Östersund,home,Nikolaos Dosis,,70,91,,,102,107,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
33,Östersund,home,Nikolaos Dosis,,70,91,,,102,107,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
34,Östersund,home,Frank Arhin,,76,95,72.0,94.0,107,110,pass inaccurate,,,0.71664417051079,2,False,False,False,nan,nan,nan,,nan
35,Degerfors IF,away,Christos Gravius,,28,6,,,108,113,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
36,Degerfors IF,away,Christos Gravius,,29,7,,,111,116,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
37,Östersund,home,Frank Arhin,Henrik Bellman,74,94,68.0,92.0,112,115,pass accurate,,,0.7766225147758324,2,False,False,False,nan,nan,nan,,nan
38,Östersund,home,Patrick Kpozo,Samuel Laryea Mensiro,65,98,39.0,82.0,125,128,pass accurate,,-0.004366366543778534,0.8663381635493314,3,False,False,True,throw-in,nan,nan,,nan
39,Östersund,home,Samuel Laryea Mensiro,Eirik Haugan,32,81,30.0,49.0,127,130,pass accurate,,0.0017366458545594859,0.8901843983840232,3,False,False,False,throw-in,nan,nan,,nan
40,Östersund,home,Eirik Haugan,Sixten Mohlin,29,52,9.0,52.0,130,133,pass accurate,,-0.0019225201836652137,0.9409091277864859,3,False,False,False,throw-in,nan,nan,,nan
41,Östersund,home,Sixten Mohlin,Samuel Laryea Mensiro,9,53,22.0,87.0,133,136,pass accurate,,-0.0010552641327144716,0.9005166468432104,3,False,False,False,throw-in,nan,nan,,nan
42,Östersund,home,Samuel Laryea Mensiro,Sixten Mohlin,21,80,6.0,69.0,137,140,pass accurate,,-0.0018705392654977601,0.93034367111261,3,False,False,False,throw-in,nan,nan,,nan
43,Östersund,home,Sixten Mohlin,Malcolm Stolt,9,56,48.0,73.0,142,145,pass accurate,,0.004080609310766209,0.6126058078476935,3,False,False,False,nan,nan,nan,,nan
44,Östersund,home,Malcolm Stolt,Blair Sebastian Turgott,48,70,44.0,52.0,145,148,pass accurate,,0.0005935349730172637,0.8553786229621089,3,False,False,False,nan,nan,nan,,nan
45,Östersund,home,Blair Sebastian Turgott,,44,54,87.0,55.0,146,149,pass into the box,,,,3,False,False,False,nan,nan,nan,,nan
46,Östersund,home,Blair Sebastian Turgott,,44,54,87.0,55.0,146,149,pass inaccurate,,,0.3880945283054905,3,False,False,False,nan,nan,nan,,nan
47,Degerfors IF,away,Jeffrey Gal,Gustav Granath,13,45,19.0,31.0,148,158,pass accurate,,,,3,False,False,False,nan,nan,nan,,nan
48,Degerfors IF,away,Jeffrey Gal,Gustav Granath,13,45,19.0,31.0,148,158,goalkeeper throw accurate,,,,3,False,False,False,nan,nan,nan,,nan
49,Degerfors IF,away,Gustav Granath,Jeffrey Gal,30,43,13.0,49.0,149,152,pass accurate,,-0.00165119098944045,0.9387687164520605,3,False,False,False,nan,nan,nan,,nan
50,Östersund,home,Malcolm Stolt,,81,49,,,158,183,final third entry,,,,3,False,False,False,nan,nan,nan,,nan
51,Degerfors IF,away,Gustav Granath,Sean Sabetkar,20,33,21.0,62.0,162,165,pass accurate,,-6.278125316849792e-05,0.9129895097984901,3,False,False,False,nan,nan,nan,,nan
52,Degerfors IF,away,Christos Gravius,,27,55,,,163,168,lost ball,,,,3,False,False,False,nan,nan,nan,,nan
53,Degerfors IF,away,Sean Sabetkar,Christos Gravius,20,56,28.0,57.0,163,166,pass accurate,,0.001566790612758287,0.8470395170428978,3,False,False,False,nan,nan,nan,,nan
54,Degerfors IF,away,Jeffrey Gal,Sebastian Ohlsson,8,51,23.0,83.0,166,176,pass accurate,,,,3,False,False,False,nan,nan,nan,,nan
55,Degerfors IF,away,Jeffrey Gal,Sebastian Ohlsson,8,51,23.0,83.0,166,176,goalkeeper throw accurate,,,,3,False,False,False,nan,nan,nan,,nan
56,Östersund,home,Malcolm Stolt,,82,50,,,167,170,shot on target,0.07045195687582756,,,3,False,False,False,nan,nan,nan,True,-
57,Degerfors IF,away,Jeffrey Gal,,18,50,,,167,170,shot on target saved,,,,3,False,False,False,nan,nan,nan,,-
58,Östersund,home,Malcolm Stolt,,82,50,,,167,170,shot,0.07045195687582756,,,3,False,False,False,nan,nan,left foot,True,nan
59,Degerfors IF,away,Jeffrey Gal,,8,50,,,167,170,save,0.07045195687582756,,,3,False,False,False,nan,nan,low saves,True,-
60,Degerfors IF,away,Sebastian Ohlsson,Karl Axel Lindahl,30,87,57.0,94.0,173,176,pass accurate,,0.0032667417281527257,0.6427757177551017,3,False,False,False,nan,nan,nan,,nan
61,Degerfors IF,away,Karl Axel Lindahl,,65,91,77.0,92.0,177,180,pass inaccurate,,,0.6763449504363775,3,False,False,False,nan,nan,nan,,nan
62,Degerfors IF,away,Karl Axel Lindahl,,57,94,65.0,91.0,173,180,carry,,0.002683424089593607,,3,False,False,False,nan,nan,nan,,nan
63,Östersund,home,Felix Hörberg,,23,8,,,179,184,interception succesful,,,,3,False,False,False,nan,nan,nan,,nan
64,Östersund,home,Felix Hörberg,,23,8,,,179,184,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
65,Östersund,home,Felix Hörberg,Henrik Bellman,18,10,28.0,16.0,180,183,pass accurate,,0.0026692121910549312,0.816582037880906,4,False,False,False,nan,nan,nan,,nan
66,Östersund,home,Henrik Bellman,Charlie Colkett,28,16,24.0,21.0,181,184,pass accurate,,-0.0014354491175794844,0.813616611037331,4,False,False,False,nan,nan,nan,,nan
67,Östersund,home,Charlie Colkett,Eirik Haugan,23,21,10.0,28.0,183,186,pass accurate,,0.00010586707248804068,0.9276772345645996,4,False,False,False,nan,nan,nan,,nan
68,Östersund,home,Eirik Haugan,Henrik Bellman,13,27,31.0,18.0,184,187,pass accurate,,0.0013295820450914438,0.7594280983596166,4,False,False,False,nan,nan,nan,,nan
