external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Hammarby,Astrit Selmani,Darijan Bojanic,49,51,39.0,51.0,0,3,pass accurate,,-0.0015085281462256447,0.8606791863384019,1,False,False,False,nan,nan,nan,,nan
1,Hammarby,Darijan Bojanic,Akinkunmi Ayobami Amoo,38,62,55.0,28.0,3,6,pass accurate,,0.0038538334259138156,0.7167570166161549,1,False,False,False,nan,nan,nan,,nan
2,Hammarby,Akinkunmi Ayobami Amoo,Simon Sandberg,63,21,64.0,5.0,8,11,pass accurate,,-0.0020636961028419123,0.8348569766093373,1,False,False,False,nan,nan,nan,,nan
3,Hammarby,Akinkunmi Ayobami Amoo,,55,28,63.0,21.0,3,11,carry,,0.0024920660136104264,,1,False,False,False,nan,nan,nan,,nan
4,Hammarby,Simon Sandberg,Mohammed Aziz Ouattara,64,4,44.0,15.0,8,11,pass accurate,,-0.003812359271904535,0.8208968798789169,1,False,False,False,nan,nan,nan,,nan
5,Hammarby,Mohammed Aziz Ouattara,Richard Magyar,38,23,30.0,40.0,11,14,pass accurate,,-0.0001485876485222467,0.8913252586599802,1,False,False,False,nan,nan,nan,,nan
6,Hammarby,Richard Magyar,Björn Paulsen,34,45,32.0,77.0,14,17,pass accurate,,-0.0029023611605775365,0.8572983691912606,1,False,False,False,nan,nan,nan,,nan
7,Hammarby,Björn Paulsen,Richard Magyar,32,75,28.0,56.0,16,19,pass accurate,,0.001571993163333115,0.8965814206506674,1,False,False,False,nan,nan,nan,,nan
8,Hammarby,Richard Magyar,Mads Fenger Nielsen,28,46,31.0,17.0,20,23,pass accurate,,-0.0011306395095190824,0.8754527085451245,1,False,False,False,nan,nan,nan,,nan
9,Hammarby,Mads Fenger Nielsen,Mohammed Aziz Ouattara,32,10,53.0,22.0,23,26,pass accurate,,0.0065938168495760265,0.6763585283438186,1,False,False,False,nan,nan,nan,,nan
10,Hammarby,Mohammed Aziz Ouattara,,52,23,,,23,28,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
11,Örebro,Jiloan Mohamed Hamad,,69,73,,,28,33,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
12,Hammarby,Mohammed Aziz Ouattara,,31,30,,,29,34,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
