external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Hammarby,Gustav Ludwigson,Darijan Bojanic,51,48,39.0,54.0,0,2,Pass accurate,,-0.003905945421392925,0.8606791863384019,1,False,False,False,,,,,
1,Hammarby,Darijan Bojanic,Simon Sandberg,40,55,33.0,26.0,1,3,Pass accurate,,-0.0014774793826186627,0.8890306600018156,1,False,False,False,,,,,
2,AIK,Nabil Bahoui,,63,87,,,4,9,Interception unsuccesful,,,,1,False,False,False,,,,,
3,AIK,Nabil Bahoui,,63,87,,,4,9,Challenge successful,,,,1,False,False,False,,,,,
4,Hammarby,Simon Sandberg,,35,14,44.0,1.0,5,7,Pass inaccurate,,,0.8886770434377876,1,False,False,False,,,,,
5,Hammarby,Simon Sandberg,,44,1,71.0,14.0,18,20,Pass inaccurate,,,0.4476446141411031,1,False,False,False,,,,,
6,AIK,Erick Ouma Otieno,,29,86,,,19,24,Clearance accurate,,,,1,False,False,False,,,,,
7,AIK,Erick Ouma Otieno,,28,86,,,19,22,Air challenge unsuccessful,,,,1,False,False,False,,,,,
8,AIK,Erick Ouma Otieno,,28,86,,,19,22,Challenge unsuccessful,,,,1,False,False,False,,,,,
9,Hammarby,Akinkunmi Ayobami Amoo,,72,14,,,19,22,Air challenge successful,,,,1,False,False,False,,,,,
10,Hammarby,Akinkunmi Ayobami Amoo,,72,14,,,19,22,Challenge successful,,,,1,False,False,False,,,,,
11,Hammarby,Gustav Ludwigson,,98,24,,,21,46,Final third entry,,,,1,False,False,False,,,,,
12,AIK,Nabil Bahoui,,33,84,,,21,26,Lost ball,,,,1,False,False,False,,,,,
13,Hammarby,Williot Swedberg,Vladimir Rodic,64,21,65.0,13.0,25,27,Pass accurate,,,0.6885490330020704,1,False,False,False,,,,,
14,Hammarby,Vladimir Rodic,Akinkunmi Ayobami Amoo,64,13,74.0,23.0,26,28,Pass accurate,,0.005712043080806792,0.661078211225858,1,False,False,False,,,,,
15,Hammarby,Akinkunmi Ayobami Amoo,Gustav Ludwigson,75,28,97.0,24.0,28,30,Pass into the box,,,,1,False,False,False,,,,,
16,Hammarby,Akinkunmi Ayobami Amoo,Gustav Ludwigson,75,28,97.0,24.0,28,30,Pass accurate,,0.0050805346369348706,0.48794468222222726,1,False,False,False,,,,,
17,Hammarby,Gustav Ludwigson,,98,23,92.0,63.0,31,33,Pass inaccurate,,,0.512479443782465,1,False,False,False,,,,,
18,Hammarby,Gustav Ludwigson,,98,23,92.0,63.0,31,33,Cross inacurate,,,0.512479443782465,1,False,False,False,,,,,
19,AIK,Mikael Lustig,,8,37,,,32,37,Interception succesful,,,,1,False,False,False,,,,,
20,AIK,Mikael Lustig,,8,37,,,32,37,Challenge unsuccessful,,,,1,False,False,False,,,,,
21,AIK,Zachary Elbouzedi,,32,5,,,34,44,Dribble unsuccessful,,,,1,False,False,False,,,,,
22,AIK,Mikael Lustig,Zachary Elbouzedi,12,4,28.0,9.0,36,38,Pass accurate,,0.00253709897169678,0.6598001361031757,1,False,False,False,,,,,
23,Hammarby,Mohanad Jeahze,,92,95,,,39,64,Final third entry,,,,1,False,False,False,,,,,
24,Hammarby,Darijan Bojanic,Akinkunmi Ayobami Amoo,63,97,58.0,78.0,40,42,Pass accurate,,-0.0008163911606975036,0.81263528137597,1,False,False,False,,,,,
25,Hammarby,Akinkunmi Ayobami Amoo,Darijan Bojanic,58,79,61.0,93.0,41,43,Pass accurate,,0.0008163911606975036,0.6362092127962755,1,False,False,False,,,,,
26,Hammarby,Darijan Bojanic,Mohanad Jeahze,68,94,74.0,94.0,45,47,Pass accurate,,,0.7638155762976397,1,False,False,False,,,,,
27,Hammarby,Darijan Bojanic,,61,93,68.0,94.0,41,47,Carry,,0.003925326525479712,,1,False,False,False,,,,,
28,AIK,Alexander Milošević,,7,25,,,48,53,Clearance inaccurate,,,,1,False,False,False,,,,,
29,Hammarby,Mohanad Jeahze,,91,96,74.0,52.0,48,50,Pass inaccurate,,,0.6546950506464929,1,False,False,False,,,,,
30,Hammarby,Mohanad Jeahze,,91,96,74.0,52.0,48,50,Cross inacurate,,,0.6546950506464929,1,False,False,False,,,,,
31,Hammarby,Akinkunmi Ayobami Amoo,Darijan Bojanic,74,52,74.0,66.0,54,56,Pass accurate,,-0.0007107194284360248,0.7371582956454986,1,False,False,False,,,,,
32,Hammarby,Darijan Bojanic,Björn Paulsen,72,72,69.0,89.0,58,60,Pass accurate,,-0.0040383882022595255,0.7996675690030451,1,False,False,False,,,,,
33,Hammarby,Björn Paulsen,Mohanad Jeahze,68,92,72.0,94.0,59,61,Pass accurate,,,0.6981148116838632,1,False,False,False,,,,,
34,Hammarby,Mohanad Jeahze,Björn Paulsen,71,95,57.0,93.0,62,64,Pass accurate,,-0.006608750615073319,0.6648802529890425,2,False,False,False,,,,,
35,Hammarby,Björn Paulsen,Richard Magyar,46,86,36.0,68.0,65,67,Pass accurate,,-0.0006643376552684412,0.8725231519660797,2,False,False,False,,,,,
36,Hammarby,Richard Magyar,,35,55,68.0,83.0,72,74,Pass inaccurate,,,0.5034290283313217,2,False,False,False,,,,,
37,AIK,Sebastian Larsson,,32,17,,,102,105,Foul,,,,2,False,False,False,,,,,
38,AIK,Mikael Lustig,,28,1,28.0,12.0,103,105,Pass inaccurate,,,0.848090414374018,2,False,False,False,,,,,
39,AIK,Kristoffer Nordfeldt,,3,51,,,137,142,Interception succesful,,,,3,False,False,False,,,,,
40,AIK,Kristoffer Nordfeldt,,3,51,,,137,142,Challenge unsuccessful,,,,3,False,False,False,,,,,
41,AIK,Kristoffer Nordfeldt,Sotirios Papagiannopoulos,8,53,11.0,70.0,145,155,Pass accurate,,,,3,False,False,False,,,,,
42,AIK,Kristoffer Nordfeldt,Sotirios Papagiannopoulos,8,53,11.0,70.0,145,155,Goalkeeper throw accurate,,,,3,False,False,False,,,,,
43,AIK,Sotirios Papagiannopoulos,Bilal Hussein,12,71,28.0,83.0,150,152,Pass accurate,,0.0014829837984468523,0.8040996767091643,3,False,False,False,,,,,
44,AIK,Bilal Hussein,Sotirios Papagiannopoulos,29,93,20.0,81.0,153,155,Pass accurate,,-1.1340439885558842e-05,0.9378934666315939,3,False,False,False,,,,,
45,AIK,Sotirios Papagiannopoulos,,22,96,60.0,89.0,159,161,Pass inaccurate,,,0.5451496290072044,3,False,False,False,,,,,
46,Hammarby,Simon Sandberg,,40,11,,,161,166,Clearance accurate,,,,3,False,False,False,,,,,
47,Hammarby,Gustav Ludwigson,,71,4,81.0,5.0,165,167,Pass inaccurate,,,0.6937601626150292,3,False,False,False,,,,,
