external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,Joel Asoro,Jacob Une Larsson,51,47,34.0,42.0,0,3,pass accurate,,-0.0038186733780411174,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Djurgården,Jacob Une Larsson,Haris Radetinac,35,36,64.0,99.0,3,6,pass accurate,,0.0033122263411574995,0.12777972058130438,1,False,False,False,nan,nan,nan,,nan
2,Örebro,Hussein Ali,,37,4,,,8,11,foul,,,,1,False,False,False,nan,nan,nan,,nan
3,Örebro,Jiloan Mohamed Hamad,Rickard Emeka Friday,54,3,72.0,10.0,20,23,pass accurate,,0.007682531712207553,0.6521849776929914,1,False,False,False,nan,nan,nan,,nan
4,Djurgården,Hjalmar Ekdal,,24,90,,,23,26,foul,,,,1,False,False,False,nan,nan,nan,,nan
5,Örebro,Kevin Walker,,74,11,90.0,49.0,48,51,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
6,Örebro,Kevin Walker,,74,11,90.0,49.0,48,51,pass inaccurate,,,0.4608135047598938,1,False,False,False,nan,nan,nan,,nan
7,Örebro,Kevin Walker,,74,11,90.0,49.0,48,51,cross inacurate,,,0.4608135047598938,1,False,False,False,nan,nan,nan,,nan
8,Djurgården,Jacob Une Larsson,,10,51,,,49,54,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
9,Örebro,Niclas Bergmark,Rickard Emeka Friday,90,60,83.0,67.0,52,55,pass accurate,,-0.09147654417374076,0.6490051427536875,1,False,False,False,nan,nan,nan,,nan
10,Örebro,Rickard Emeka Friday,Jake Larsson,79,77,69.0,77.0,54,57,pass accurate,,-0.004899422929717897,0.7919843640556513,1,False,False,False,nan,nan,nan,,nan
11,Örebro,Rickard Emeka Friday,,83,67,79.0,77.0,52,57,carry,,-0.003243340465912216,,1,False,False,False,nan,nan,nan,,nan
12,Örebro,Jake Larsson,,94,93,96.0,88.0,59,62,pass inaccurate,,,0.17808158711404276,1,False,False,False,nan,nan,nan,,nan
13,Örebro,Jake Larsson,,96,88,100.0,88.0,59,62,pass inaccurate,,,0.22396097361587916,1,False,False,False,nan,nan,nan,,nan
14,Djurgården,Aleksandr Vasiutin,,6,55,55.0,80.0,83,93,pass inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
15,Djurgården,Aleksandr Vasiutin,,6,55,55.0,80.0,83,93,goalkeeper kick inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
16,Örebro,Kevin Walker,Hussein Ali,45,20,55.0,20.0,91,94,pass accurate,,0.0025660339383090473,0.757686604391506,2,False,False,False,nan,nan,nan,,nan
17,Djurgården,Joel Asoro,,55,78,,,91,94,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
18,Djurgården,Joel Asoro,,55,78,,,91,94,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
19,Örebro,Kevin Walker,,45,22,,,91,94,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
20,Örebro,Kevin Walker,,45,22,,,91,94,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
