external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,BK Häcken,away,Erik Friberg,Johan Hammar,49,50,30.0,43.0,0,3,pass accurate,,-0.0025869714088918878,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,BK Häcken,away,Johan Hammar,,34,47,75.0,74.0,2,5,pass inaccurate,,,0.4372360327468439,1,False,False,False,nan,nan,nan,,nan
2,Malmö FF,home,Anel Ahmedhodzic,,25,26,,,4,9,clearance accurate,,,,1,False,False,False,nan,nan,nan,,nan
3,Malmö FF,home,Anel Ahmedhodzic,Bonke Innocent,25,28,31.0,16.0,5,8,pass accurate,,-0.0007316033895666627,0.8373142570047934,1,False,False,False,nan,nan,nan,,nan
4,Malmö FF,home,Bonke Innocent,Adi Nalic,25,22,31.0,9.0,7,10,pass accurate,,-0.001348856074303859,0.7603028345606533,1,False,False,False,nan,nan,nan,,nan
5,Malmö FF,home,Bonke Innocent,,28,24,,,7,10,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,Malmö FF,home,Bonke Innocent,,28,24,,,7,10,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,BK Häcken,away,Jasse Tuominen,,73,80,,,7,10,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
8,BK Häcken,away,Jasse Tuominen,,73,80,,,7,10,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
9,BK Häcken,away,Jasse Tuominen,,67,78,,,12,15,foul,,,,1,False,False,False,nan,nan,nan,,nan
10,Malmö FF,home,Anel Ahmedhodzic,Lasse Ladegaard Nielsen,32,28,29.0,67.0,24,27,pass accurate,,-0.00039776366689430603,0.885551734175997,1,False,False,False,nan,nan,nan,,nan
11,Malmö FF,home,Lasse Ladegaard Nielsen,,30,67,44.0,88.0,27,30,pass inaccurate,,,0.8023325457160502,1,False,False,False,nan,nan,nan,,nan
12,BK Häcken,away,Bénie Adama Traore,,56,12,,,28,33,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
13,BK Häcken,away,Bénie Adama Traore,,56,12,,,28,33,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
14,Malmö FF,home,Martin Olsson,Veljko Birmančević,60,88,72.0,96.0,34,37,pass accurate,,0.003925326525479712,0.44260659137331965,1,False,False,False,nan,nan,nan,,nan
15,BK Häcken,away,Patrik Wålemark,,31,10,,,39,42,foul,,,,1,False,False,False,nan,nan,nan,,nan
16,BK Häcken,away,Patrik Wålemark,,11,41,,,75,80,clearance accurate,,,,2,False,False,False,nan,nan,nan,,nan
17,BK Häcken,away,Patrik Wålemark,Bénie Adama Traore,11,33,25.0,18.0,76,79,pass accurate,,0.0013295820450914438,0.8631862588475926,2,False,False,False,nan,nan,nan,,nan
18,BK Häcken,away,Bénie Adama Traore,,29,33,,,79,89,dribble successful,,,,2,False,False,False,nan,nan,nan,,nan
19,BK Häcken,away,Bénie Adama Traore,,29,45,42.0,83.0,82,85,pass inaccurate,,,0.7773054086963808,2,False,False,False,nan,nan,nan,,nan
20,Malmö FF,home,Eric Larsson,,58,17,,,84,89,interception succesful,,,,2,False,False,False,free-kick,nan,nan,,nan
21,Malmö FF,home,Eric Larsson,,58,17,,,84,89,challenge unsuccessful,,,,2,False,False,False,free-kick,nan,nan,,nan
22,Malmö FF,home,Eric Larsson,Anel Ahmedhodzic,67,10,44.0,23.0,89,92,pass accurate,,-0.008604758919342752,0.8434769803256912,2,False,False,False,nan,nan,nan,,nan
23,Malmö FF,home,Anel Ahmedhodzic,Lasse Ladegaard Nielsen,41,21,41.0,59.0,92,95,pass accurate,,0.0009298556141439963,0.7748595393254221,2,False,False,False,nan,nan,nan,,nan
24,Malmö FF,home,Lasse Ladegaard Nielsen,Martin Olsson,37,62,62.0,93.0,95,98,pass accurate,,0.003135076700520604,0.4243175718839944,2,False,False,False,nan,nan,nan,,nan
25,Malmö FF,home,Martin Olsson,Veljko Birmančević,56,87,75.0,93.0,98,101,pass accurate,,0.0104296759484231,0.4229962722215067,2,False,False,False,nan,nan,nan,,nan
26,Malmö FF,home,Martin Olsson,,62,93,56.0,87.0,95,101,carry,,-0.0008163911606975036,,2,False,False,False,nan,nan,nan,,nan
27,Malmö FF,home,Veljko Birmančević,,77,90,,,101,111,dribble successful,,,,2,False,False,False,nan,nan,nan,,nan
28,Malmö FF,home,Veljko Birmančević,,99,93,,,105,110,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
29,BK Häcken,away,Patrik Wålemark,,3,6,,,107,112,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
30,BK Häcken,away,Patrik Wålemark,,3,6,,,107,112,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
31,BK Häcken,away,Patrik Wålemark,Godswill Ekpolo,7,6,11.0,13.0,109,112,pass accurate,,0.002864123441446287,0.8452447133661384,2,False,False,False,nan,nan,nan,,nan
32,BK Häcken,away,Godswill Ekpolo,,10,16,67.0,12.0,110,113,pass inaccurate,,,0.4720826343637774,2,False,False,False,nan,nan,nan,,nan
33,Malmö FF,home,Lasse Ladegaard Nielsen,Anel Ahmedhodzic,33,88,36.0,60.0,116,119,pass accurate,,0.00420953983038674,0.8590970586975777,2,False,False,False,nan,nan,nan,,nan
34,Malmö FF,home,Anel Ahmedhodzic,Lasse Ladegaard Nielsen,45,48,37.0,77.0,122,125,pass accurate,,-0.002767443845151764,0.8732395805050149,3,False,False,False,nan,nan,nan,,nan
35,Malmö FF,home,Lasse Ladegaard Nielsen,Oscar Lewicki,34,82,37.0,95.0,124,127,pass accurate,,-0.0016627165462302432,0.8699692487559704,3,False,False,False,nan,nan,nan,,nan
36,Malmö FF,home,Oscar Lewicki,Martin Olsson,42,90,65.0,93.0,126,129,pass accurate,,0.004577611136330586,0.4787394121239564,3,False,False,False,nan,nan,nan,,nan
37,Malmö FF,home,Martin Olsson,,68,94,97.0,44.0,129,132,pass into the box,,,,3,False,False,False,nan,nan,nan,,nan
38,Malmö FF,home,Martin Olsson,,68,94,97.0,44.0,129,132,pass inaccurate,,,0.1982919962338781,3,False,False,False,nan,nan,nan,,nan
39,BK Häcken,away,Peter Abrahamsson,Erik Friberg,3,56,7.0,56.0,140,150,pass accurate,,,,3,False,False,False,nan,nan,nan,,nan
40,BK Häcken,away,Peter Abrahamsson,Erik Friberg,3,56,7.0,56.0,140,150,goalkeeper kick accurate,,,,3,False,False,False,nan,nan,nan,,nan
41,BK Häcken,away,Erik Friberg,Tobias Carlsson,5,54,7.0,87.0,145,148,pass accurate,,-0.004174707864451841,0.9267795221236227,3,False,False,False,nan,nan,nan,,nan
42,BK Häcken,away,Tobias Carlsson,Erik Friberg,6,85,19.0,78.0,148,151,pass accurate,,0.002781188611968523,0.9112335515838063,3,False,False,False,nan,nan,nan,,nan
43,BK Häcken,away,Erik Friberg,Peter Abrahamsson,15,76,6.0,49.0,150,153,pass accurate,,0.002741940017186169,0.9185588422393131,3,False,False,False,nan,nan,nan,,nan
44,BK Häcken,away,Peter Abrahamsson,Johan Hammar,5,50,6.0,27.0,152,155,pass accurate,,-0.0018136577209520426,0.9293662190309089,3,False,False,False,nan,nan,nan,,nan
45,BK Häcken,away,Johan Hammar,Tobias Carlsson,20,28,16.0,64.0,156,159,pass accurate,,-0.0015509676021901782,0.9291031006509747,3,False,False,False,nan,nan,nan,,nan
46,BK Häcken,away,Tobias Carlsson,Jasse Tuominen,28,70,47.0,56.0,164,167,pass accurate,,0.0033837711957386135,0.6984804827834115,3,False,False,False,nan,nan,nan,,nan
47,BK Häcken,away,Patrik Wålemark,,72,58,,,165,190,final third entry,,,,3,False,False,False,nan,nan,nan,,nan
48,BK Häcken,away,Jasse Tuominen,Patrik Wålemark,43,57,56.0,33.0,168,171,pass accurate,,0.002345305279688171,0.7327809110447612,3,False,False,False,nan,nan,nan,,nan
49,BK Häcken,away,Patrik Wålemark,,57,31,,,170,180,dribble successful,,,,3,False,False,False,nan,nan,nan,,nan
50,BK Häcken,away,Patrik Wålemark,Alexander Jeremejeff,71,61,82.0,50.0,174,177,pass accurate,,0.01799172423107942,0.6247940643738465,3,False,False,False,nan,nan,nan,,nan
51,Malmö FF,home,Eric Larsson,,9,42,,,176,181,tackle unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
52,Malmö FF,home,Eric Larsson,,9,42,,,176,181,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
53,BK Häcken,away,Alexander Jeremejeff,,82,50,91.0,66.0,176,179,pass into the box,,,,3,False,False,False,nan,nan,nan,,nan
54,BK Häcken,away,Alexander Jeremejeff,,82,50,91.0,66.0,176,179,pass inaccurate,,,0.5718974410871308,3,False,False,False,nan,nan,nan,,nan
55,BK Häcken,away,Alexander Jeremejeff,,91,66,,,182,187,lost ball,,,,4,False,False,False,nan,nan,nan,,nan
56,Malmö FF,home,Lasse Ladegaard Nielsen,,8,34,,,183,188,tackle successful,,,,4,False,False,False,nan,nan,nan,,nan
57,Malmö FF,home,Lasse Ladegaard Nielsen,,8,34,,,183,188,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
58,Malmö FF,home,Anel Ahmedhodzic,,7,13,73.0,27.0,187,190,pass inaccurate,,,0.4172914261962764,4,False,False,False,nan,nan,nan,,nan
59,BK Häcken,away,Tobias Carlsson,Johan Hammar,27,73,30.0,35.0,197,200,pass accurate,,0.00039776366689430603,0.8778698551852528,4,False,False,False,nan,nan,nan,,nan
60,BK Häcken,away,Johan Hammar,Tobias Carlsson,28,36,28.0,71.0,199,202,pass accurate,,-0.00039776366689430603,0.8940806450574169,4,False,False,False,nan,nan,nan,,nan
61,BK Häcken,away,Tobias Carlsson,,30,78,49.0,50.0,202,205,pass inaccurate,,,0.6829999419408557,4,False,False,False,nan,nan,nan,,nan
62,Malmö FF,home,Oscar Lewicki,,51,50,,,203,208,interception succesful,,,,4,False,False,False,nan,nan,nan,,nan
63,Malmö FF,home,Oscar Lewicki,,51,50,,,203,208,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
64,Malmö FF,home,Oscar Lewicki,,55,48,,,203,208,interception unsuccesful,,,,4,False,False,False,nan,nan,nan,,nan
65,Malmö FF,home,Oscar Lewicki,,55,48,,,203,208,challenge successful,,,,4,False,False,False,nan,nan,nan,,nan
66,Malmö FF,home,Oscar Lewicki,,55,48,,,204,209,interception succesful,,,,4,False,False,False,nan,nan,nan,,nan
67,Malmö FF,home,Oscar Lewicki,,55,48,,,204,209,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
68,BK Häcken,away,Tobias Carlsson,,25,69,,,206,209,foul,,,,4,False,False,False,nan,nan,nan,,nan
69,BK Häcken,away,Tobias Carlsson,,29,64,,,207,210,foul,,,,4,False,False,False,nan,nan,nan,,nan
70,Malmö FF,home,Lasse Ladegaard Nielsen,,97,39,,,242,252,penalty box entry successful,,,,5,False,False,False,nan,nan,nan,,nan
71,Malmö FF,home,Martin Olsson,Veljko Birmančević,72,31,70.0,61.0,248,251,pass accurate,0.9631443296287233,-0.0001987427482107,0.7774756449968984,5,False,False,False,nan,nan,nan,,nan
72,Malmö FF,home,Antonio Mirko Colak,,98,48,,,248,253,goal,0.9631443296287233,,,5,False,False,False,nan,nan,nan,,bottom-center
73,BK Häcken,away,Peter Abrahamsson,,2,52,,,248,253,goal conceded,0.9631443296287233,,,5,False,False,False,nan,nan,nan,,bottom-center
