external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Malmö FF,Malik Abubakari,Niklas Moisander,50,48,32.0,50.0,0,3,Pass accurate,,-0.005149041375285539,0.8821105643271655,1,False,False,False,,,,,
1,Malmö FF,Niklas Moisander,,30,51,75.0,1.0,2,5,Pass inaccurate,,,0.6777851688199501,1,False,False,False,,,,,
2,Mjällby AIF,Kadir Hodzic,Daan Klinkenberg,25,99,17.0,90.0,12,15,Pass accurate,,-0.0011950902385294143,0.9319021340497294,1,False,False,False,,,,,
3,Malmö FF,Adi Nalic,,80,6,84.0,9.0,14,17,Pass inaccurate,,,0.43874211598402274,1,False,False,False,,,,,
4,Mjällby AIF,Daan Klinkenberg,,16,91,38.0,82.0,14,17,Pass inaccurate,,,0.7404447692663794,1,False,False,False,,,,,
5,Mjällby AIF,Jacob Bergström,,38,82,,,24,29,Lost ball,,,,1,False,False,False,,,,,
6,Mjällby AIF,Kadir Hodzic,Jacob Bergström,22,97,36.0,84.0,25,28,Pass accurate,,0.004173340225658224,0.7152052503809219,1,False,False,False,,,,,
7,Malmö FF,Lasse Ladegaard Nielsen,Oscar Lewicki,61,14,59.0,26.0,28,31,Pass accurate,,0.0005115672019537672,0.7945355163957484,1,False,False,False,,,,,
8,Malmö FF,Oscar Lewicki,Eric Larsson,57,38,46.0,54.0,31,34,Pass accurate,,-0.0023974172751672802,0.8256278734987563,1,False,False,False,,,,,
9,Malmö FF,Oscar Lewicki,,59,26,57.0,38.0,28,34,Carry,,-0.002951521220085084,,1,False,False,False,,,,,
10,Malmö FF,Eric Larsson,Franz Brorsson,42,61,37.0,24.0,33,36,Pass accurate,,-0.002438383760369641,0.8826706688611609,1,False,False,False,,,,,
11,Malmö FF,Franz Brorsson,Eric Larsson,32,30,41.0,81.0,36,39,Pass accurate,,0.00024618953936073225,0.7878318050949749,1,False,False,False,,,,,
12,Malmö FF,Eric Larsson,Franz Brorsson,44,86,31.0,52.0,43,46,Pass accurate,,-0.001424280402521086,0.8757755220167144,1,False,False,False,,,,,
13,Malmö FF,Franz Brorsson,Lasse Ladegaard Nielsen,29,51,33.0,24.0,46,49,Pass accurate,,-0.0009659868182927116,0.8668049043636734,1,False,False,False,,,,,
