external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Göteborg,Oscar Vilhelmsson,Mattias Bjärsmyr,49,51,27.0,59.0,0,3,pass accurate,,-0.0027516241001182586,0.9280471007624863,1,False,False,False,nan,nan,nan,,nan
1,IFK Göteborg,Mattias Bjärsmyr,,29,53,76.0,28.0,3,6,pass inaccurate,,,0.4789416294594415,1,False,False,False,nan,nan,nan,,nan
2,Djurgården,Hjalmar Ekdal,,24,72,,,5,10,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
3,Djurgården,Hjalmar Ekdal,,24,72,,,5,10,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Djurgården,Hjalmar Ekdal,,25,70,25.0,67.0,8,11,pass inaccurate,,,0.27844618704578633,1,False,False,False,nan,nan,nan,,nan
5,IFK Göteborg,Marcus Berg,,75,33,,,8,13,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
6,IFK Göteborg,Marcus Berg,,75,33,,,8,13,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,Djurgården,Edward Chilufya,,80,15,,,9,34,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
8,Djurgården,Kalle Holmberg,Edward Chilufya,72,35,77.0,19.0,15,18,pass accurate,,0.005091155857877418,0.7376513292563386,1,False,False,False,nan,nan,nan,,nan
9,Djurgården,Edward Chilufya,,86,14,81.0,99.0,18,21,pass inaccurate,,,0.18624763220788287,1,False,False,False,nan,nan,nan,,nan
10,Djurgården,Edward Chilufya,,86,14,81.0,99.0,18,21,cross inacurate,,,0.18624763220788287,1,False,False,False,nan,nan,nan,,nan
11,Djurgården,Edward Chilufya,,77,19,86.0,14.0,15,21,carry,,0.005770458483646039,,1,False,False,False,nan,nan,nan,,nan
12,IFK Göteborg,Alexander Jallow,,19,1,28.0,13.0,39,42,pass inaccurate,,,0.7927062309717824,1,False,False,False,nan,nan,nan,,nan
13,Djurgården,Magnus Eriksson,,72,87,,,39,44,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
14,Djurgården,Magnus Eriksson,,72,87,,,39,44,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
15,IFK Göteborg,Marcus Berg,,28,8,,,41,46,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
16,IFK Göteborg,Marcus Berg,,28,8,,,41,46,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
17,IFK Göteborg,Marcus Berg,,26,3,,,42,47,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
18,IFK Göteborg,Marcus Berg,,26,3,,,42,47,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
19,Djurgården,Edward Chilufya,Nicklas Bärkroth,74,98,79.0,95.0,55,58,pass accurate,,0.005687958262245885,0.6189293580694045,1,False,False,False,nan,nan,nan,,nan
20,Djurgården,Nicklas Bärkroth,,81,95,,,55,60,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
21,IFK Göteborg,Alexander Jallow,Mattias Bjärsmyr,21,1,4.0,11.0,66,69,pass accurate,,-0.0027313930424450843,0.9028013764617485,2,False,False,False,nan,nan,nan,,nan
22,IFK Göteborg,Mattias Bjärsmyr,,5,10,31.0,26.0,68,71,pass inaccurate,,,0.7099680209709773,2,False,False,False,nan,nan,nan,,nan
23,Djurgården,Elliot Käck,Edward Chilufya,69,74,74.0,70.0,75,78,pass accurate,,,0.6483703340195754,2,False,False,False,nan,nan,nan,,nan
24,Djurgården,Emmanuel Justine Rabby Banda,,78,49,,,75,100,final third entry,,,,2,False,False,False,nan,nan,nan,,nan
25,Djurgården,Edward Chilufya,Kalle Holmberg,75,64,76.0,74.0,76,79,pass accurate,,,0.7171425582036925,2,False,False,False,nan,nan,nan,,nan
26,Djurgården,Kalle Holmberg,Rasmus Schüller,74,70,72.0,69.0,78,81,pass accurate,,,0.2631214540688364,2,False,False,False,nan,nan,nan,,nan
27,Djurgården,Rasmus Schüller,Magnus Eriksson,74,69,74.0,88.0,79,82,pass accurate,,-0.0040383882022595255,0.7610116763012843,2,False,False,False,nan,nan,nan,,nan
28,Djurgården,Magnus Eriksson,Kalle Holmberg,72,89,79.0,63.0,81,84,pass accurate,,0.011527520559370456,0.6551869266319825,2,False,False,False,nan,nan,nan,,nan
29,IFK Göteborg,Simon Thern,,20,37,,,81,86,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
30,IFK Göteborg,Simon Thern,,20,37,,,81,86,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
31,Djurgården,Rasmus Schüller,Emmanuel Justine Rabby Banda,74,52,78.0,49.0,84,87,pass accurate,,0.01741804541690225,0.5472124295073191,2,False,False,False,nan,nan,nan,,nan
32,Djurgården,Rasmus Schüller,Emmanuel Justine Rabby Banda,74,52,78.0,49.0,84,87,key pass,,,0.5472124295073191,2,False,False,False,nan,nan,nan,,nan
33,Djurgården,Emmanuel Justine Rabby Banda,,79,50,,,85,88,shot on target,0.03573158812171573,,,2,False,False,False,nan,nan,nan,,-
34,IFK Göteborg,Ioannis Anestis,,21,50,,,85,88,shot on target saved,,,,2,False,False,False,nan,nan,nan,,-
35,Djurgården,Emmanuel Justine Rabby Banda,,79,50,,,85,88,shot,0.03573158812171573,,,2,False,False,False,nan,nan,left foot,,nan
36,IFK Göteborg,Ioannis Anestis,,4,51,,,85,88,save,0.03573158812171573,,,2,False,False,False,nan,nan,high saves,,-
37,Djurgården,Magnus Eriksson,Hjalmar Ekdal,100,0,93.0,48.0,124,134,right corner accurate,,,,3,False,False,False,corner,chance created,nan,,nan
38,Djurgården,Hjalmar Ekdal,,93,48,,,128,131,wide shot,0.2168118843546311,,,3,False,False,False,corner,nan,nan,True,nan
39,IFK Göteborg,Ioannis Anestis,,7,52,,,128,131,goalkeeper wide shot,,,,3,False,False,False,nan,nan,nan,,nan
40,Djurgården,Hjalmar Ekdal,,93,48,,,128,131,shot,0.2168118843546311,,,3,False,False,False,corner,nan,right foot,True,nan
41,Djurgården,Magnus Eriksson,,100,0,89.0,99.0,154,164,right corner inaccurate,,,,3,False,False,False,corner,cleared,nan,,nan
42,Djurgården,Elliot Käck,Nicklas Bärkroth,89,99,90.0,91.0,175,178,pass accurate,,,0.5026709859186599,3,False,False,False,nan,nan,nan,,nan
43,Djurgården,Nicklas Bärkroth,,94,91,94.0,91.0,179,182,pass inaccurate,,,0.24119251631573946,3,False,False,False,nan,nan,nan,,nan
