external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,home,Kalle Holmberg,Elliot Käck,51,49,34.0,65.0,0,2,pass accurate,,-0.004389098628032894,0.8786857382041054,1,False,False,False,nan,nan,nan,,nan
1,Djurgården,home,Elliot Käck,Edward Chilufya,35,68,70.0,7.0,2,4,pass accurate,,0.009557756190760516,0.6518411364448241,1,False,False,False,nan,nan,nan,,nan
2,Djurgården,home,Edward Chilufya,,69,7,66.0,13.0,5,7,pass inaccurate,,,0.7079102397637885,1,False,False,False,nan,nan,nan,,nan
3,IFK Göteborg,away,Gustaf Norlin,,34,87,,,5,10,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
4,IFK Göteborg,away,Gustaf Norlin,,34,87,,,5,10,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Djurgården,home,Rasmus Schüller,,53,16,,,6,11,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
6,IFK Göteborg,away,Gustaf Norlin,Jesper Tolinsson,42,100,30.0,88.0,12,14,pass accurate,,-0.002767005394576758,0.9062762079812726,1,False,False,False,nan,nan,nan,,nan
7,IFK Göteborg,away,Jesper Tolinsson,Mattias Bjärsmyr,29,86,17.0,65.0,15,17,pass accurate,,-0.000342638780078652,0.9388823009481163,1,False,False,False,nan,nan,nan,,nan
8,IFK Göteborg,away,Mattias Bjärsmyr,,19,60,46.0,81.0,19,21,pass inaccurate,,,0.6363953701715078,1,False,False,False,nan,nan,nan,,nan
9,Djurgården,home,Hampus Finndell,Edward Chilufya,54,19,68.0,8.0,22,24,pass accurate,,0.0060387249810337044,0.6908519406912653,1,False,False,False,nan,nan,nan,,nan
10,Djurgården,home,Edward Chilufya,,69,5,,,22,27,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
11,IFK Göteborg,away,Gustaf Norlin,,32,97,,,23,28,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
12,IFK Göteborg,away,Gustaf Norlin,,32,97,,,23,28,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,IFK Göteborg,away,Gustaf Norlin,Mattias Bjärsmyr,31,98,28.0,78.0,25,27,pass accurate,,0.0013944507131610114,0.889698706920139,1,False,False,False,nan,nan,nan,,nan
14,IFK Göteborg,away,Mattias Bjärsmyr,Gustaf Norlin,29,84,29.0,96.0,28,30,pass accurate,,-0.0013944507131610114,0.7104101463406531,1,False,False,False,nan,nan,nan,,nan
15,IFK Göteborg,away,Gustaf Norlin,Jesper Tolinsson,28,96,9.0,92.0,29,31,pass accurate,,-0.0023971182482789184,0.941230234720294,1,False,False,False,nan,nan,nan,,nan
16,Djurgården,home,Kalle Holmberg,,87,33,,,30,34,offside,,,,1,False,False,False,nan,nan,nan,,nan
17,IFK Göteborg,away,Jesper Tolinsson,Ioannis Anestis,4,90,2.0,62.0,32,34,pass accurate,,0.0052252912435331415,0.9112314975100864,1,False,False,False,nan,nan,nan,,nan
18,IFK Göteborg,away,Ioannis Anestis,,1,65,30.0,66.0,34,36,pass inaccurate,,,0.7442159482967665,1,False,False,False,nan,nan,nan,,nan
19,Djurgården,home,Rasmus Schüller,,70,34,,,35,40,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
20,Djurgården,home,Rasmus Schüller,,70,34,,,35,40,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
21,Djurgården,home,Rasmus Schüller,Kalle Holmberg,71,34,89.0,34.0,36,38,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
22,Djurgården,home,Rasmus Schüller,Kalle Holmberg,71,34,89.0,34.0,36,38,pass accurate,,0.03650119591582994,0.564058848270843,1,False,False,False,nan,nan,nan,,nan
23,IFK Göteborg,away,Ioannis Anestis,,14,65,67.0,71.0,66,68,pass inaccurate,,,0.5029989900814651,2,False,False,False,nan,nan,nan,,nan
24,Djurgården,home,Jesper Löfgren,,33,29,,,68,71,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
25,Djurgården,home,Jesper Löfgren,,33,29,,,68,71,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
26,IFK Göteborg,away,Kolbeinn Sigþórsson,,67,71,,,68,71,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
27,IFK Göteborg,away,Kolbeinn Sigþórsson,,67,71,,,68,71,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
28,Djurgården,home,Jesper Löfgren,Edward Chilufya,32,29,39.0,20.0,69,71,pass accurate,,0.0005476237684746664,0.82455535084128,2,False,False,False,nan,nan,nan,,nan
29,Djurgården,home,Edward Chilufya,Kalle Holmberg,40,18,45.0,21.0,70,72,pass accurate,,0.001399699678921791,0.7562489154980306,2,False,False,False,nan,nan,nan,,nan
30,Djurgården,home,Kalle Holmberg,Magnus Eriksson,44,22,45.0,42.0,72,74,pass accurate,,0.001066309937116039,0.8379035189863047,2,False,False,False,nan,nan,nan,,nan
31,Djurgården,home,Magnus Eriksson,Edward Chilufya,51,45,93.0,10.0,74,76,pass accurate,,0.042963765924563274,0.6047490090901148,2,False,False,False,nan,nan,nan,,nan
32,Djurgården,home,Aslak Fonn Witry,,83,22,,,75,100,final third entry,,,,2,False,False,False,nan,nan,nan,,nan
33,Djurgården,home,Elliot Käck,,92,62,,,77,87,penalty box entry successful,,,,2,False,False,False,nan,nan,nan,,nan
34,Djurgården,home,Elliot Käck,,91,62,,,82,85,wide shot,0.1270396115780196,,,2,False,False,False,nan,nan,nan,True,nan
35,IFK Göteborg,away,Ioannis Anestis,,9,38,,,82,85,goalkeeper wide shot,,,,2,False,False,False,nan,nan,nan,,nan
36,Djurgården,home,Elliot Käck,,91,62,,,82,85,shot,0.1270396115780196,,,2,False,False,False,nan,nan,right foot,True,nan
37,Djurgården,home,Edward Chilufya,Aslak Fonn Witry,96,9,79.0,25.0,82,84,pass accurate,,-0.02729385893321641,0.6705562545144367,2,False,False,False,nan,nan,nan,,nan
38,Djurgården,home,Aslak Fonn Witry,Elliot Käck,83,24,91.0,62.0,84,86,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
39,Djurgården,home,Aslak Fonn Witry,Elliot Käck,83,24,91.0,62.0,84,86,pass accurate,,0.09296505849632755,0.5256800420247602,2,False,False,False,nan,nan,nan,,nan
40,Djurgården,home,Aslak Fonn Witry,Elliot Käck,83,24,91.0,62.0,84,86,key pass,,,0.5256800420247602,2,False,False,False,nan,nan,nan,,nan
41,IFK Göteborg,away,Ioannis Anestis,,3,43,64.0,38.0,113,123,pass inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
42,IFK Göteborg,away,Ioannis Anestis,,3,43,64.0,38.0,113,123,goalkeeper kick inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
43,Djurgården,home,Jesper Löfgren,,36,62,,,119,124,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
44,IFK Göteborg,away,August Erlingmark,Alexander Jallow,33,18,46.0,5.0,122,124,pass accurate,,0.001423500293650775,0.8023482163203353,3,False,False,False,nan,nan,nan,,nan
45,IFK Göteborg,away,Kolbeinn Sigþórsson,,73,9,,,124,134,dribble unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
46,IFK Göteborg,away,Alexander Jallow,,46,4,73.0,9.0,125,127,pass inaccurate,,,0.40582194252197745,3,False,False,False,nan,nan,nan,,nan
47,IFK Göteborg,away,Kolbeinn Sigþórsson,,73,9,,,127,132,lost ball,,,,3,False,False,False,nan,nan,nan,,nan
48,Djurgården,home,Hjalmar Ekdal,,32,85,22.0,93.0,127,129,pass inaccurate,,,0.847777572125132,3,False,False,False,nan,nan,nan,,nan
49,Djurgården,home,Jacob Widell Zetterström,,22,93,,,128,133,clearance inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
50,IFK Göteborg,away,Kolbeinn Sigþórsson,,77,7,,,129,134,interception unsuccesful,,,,3,False,False,False,nan,nan,nan,,nan
51,IFK Göteborg,away,Kolbeinn Sigþórsson,,77,7,,,129,134,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
52,Djurgården,home,Jacob Widell Zetterström,,5,57,67.0,80.0,150,160,pass inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
53,Djurgården,home,Jacob Widell Zetterström,,5,57,67.0,80.0,150,160,goalkeeper kick inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
54,IFK Göteborg,away,Mattias Bjärsmyr,,33,20,,,157,160,air challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
55,IFK Göteborg,away,Mattias Bjärsmyr,,33,20,,,157,160,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
56,Djurgården,home,Kalle Holmberg,,67,80,,,157,160,air challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
57,Djurgården,home,Kalle Holmberg,,67,80,,,157,160,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
58,IFK Göteborg,away,Mattias Bjärsmyr,,33,19,,,157,162,interception succesful,,,,3,False,False,False,nan,nan,nan,,nan
59,IFK Göteborg,away,Mattias Bjärsmyr,,33,19,,,157,162,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
60,IFK Göteborg,away,Mattias Bjärsmyr,Pontus Wernbloom,32,18,33.0,18.0,158,160,pass accurate,,,0.2541338654625296,3,False,False,False,nan,nan,nan,,nan
