external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Hammarby,Darijan Bojanic,Jón Gudni Fjóluson,51,51,34.0,56.0,0,3,Pass accurate,,-0.0039105920314679715,0.8821105643271655,1,False,False,False,,,,,
1,Hammarby,Jón Gudni Fjóluson,Astrit Selmani,32,62,69.0,31.0,2,5,Pass accurate,,0.01325134955879918,0.4177276091774827,1,False,False,False,,,,,
2,Hammarby,Astrit Selmani,,71,31,,,3,8,Lost ball,,,,1,False,False,False,,,,,
3,Degerfors IF,Abdelrahman Saidi,,31,78,,,6,16,Dribble unsuccessful,,,,1,False,False,False,,,,,
4,Degerfors IF,Abdelrahman Saidi,,32,84,,,6,11,Lost ball,,,,1,False,False,False,,,,,
5,Hammarby,Gustav Ludwigson,,69,18,,,7,12,Tackle unsuccessful,,,,1,False,False,False,,,,,
6,Hammarby,Gustav Ludwigson,,69,18,,,7,12,Challenge successful,,,,1,False,False,False,,,,,
7,Degerfors IF,Anton Kralj,Abdelrahman Saidi,30,96,37.0,94.0,18,21,Pass accurate,,0.0013155334408985666,0.8740865995041093,1,False,False,False,,,,,
8,Hammarby,Jeppe Andrup Andersen,,39,30,,,21,26,Interception succesful,,,,1,False,False,False,,,,,
9,Hammarby,Jeppe Andrup Andersen,,39,30,,,21,26,Challenge unsuccessful,,,,1,False,False,False,,,,,
10,Hammarby,Jeppe Andrup Andersen,Mohammed Aziz Ouattara,38,34,30.0,14.0,22,25,Pass accurate,,-0.00203193313154843,0.9047807945322079,1,False,False,False,,,,,
11,Hammarby,Mohammed Aziz Ouattara,Darijan Bojanic,30,20,37.0,25.0,24,27,Pass accurate,,0.00203193313154843,0.8371877024507602,1,False,False,False,,,,,
12,Hammarby,Darijan Bojanic,Mohammed Aziz Ouattara,42,27,30.0,25.0,25,28,Pass accurate,,-0.002739621851237089,0.897346876041596,1,False,False,False,,,,,
13,Hammarby,Mohammed Aziz Ouattara,Gustav Ludwigson,32,22,35.0,13.0,27,30,Pass accurate,,0.0012792271580413291,0.8379921553346255,1,False,False,False,,,,,
14,Hammarby,Gustav Ludwigson,,40,16,67.0,26.0,28,31,Pass inaccurate,,,0.5073236483421283,1,False,False,False,,,,,
15,Degerfors IF,Christos Gravius,,33,74,,,28,33,Interception succesful,,,,1,False,False,False,,,,,
16,Degerfors IF,Christos Gravius,,33,74,,,28,33,Challenge unsuccessful,,,,1,False,False,False,,,,,
17,Degerfors IF,Christos Gravius,Anton Kralj,37,71,49.0,89.0,29,32,Pass accurate,,-0.0009593812291700133,0.7752496402550785,1,False,False,False,,,,,
18,Degerfors IF,Christos Gravius,Sebastian Olsson,42,88,29.0,70.0,31,34,Pass accurate,,-0.0004327086137029864,0.8974928409469997,1,False,False,False,,,,,
19,Degerfors IF,Sebastian Olsson,Christos Gravius,29,73,34.0,69.0,32,35,Pass accurate,,0.0013920898428729997,0.7797079517100434,1,False,False,False,,,,,
20,Degerfors IF,Christos Gravius,Oliver Ekroth,37,73,27.0,58.0,33,36,Pass accurate,,-0.0007599427472526447,0.9182308498948432,1,False,False,False,,,,,
21,Degerfors IF,Oliver Ekroth,Gustav Granath,24,62,30.0,24.0,36,39,Pass accurate,,0.0006008037944655754,0.8739092939691115,1,False,False,False,,,,,
22,Degerfors IF,Gustav Granath,Johan Bertilsson,65,25,66.0,11.0,44,47,Pass accurate,,-0.0025752633047956795,0.7725519588595836,1,False,False,False,,,,,
23,Degerfors IF,Gustav Granath,,30,24,65.0,25.0,36,47,Carry,,0.009066549413663335,,1,False,False,False,,,,,
24,Degerfors IF,Johan Bertilsson,Ferhad Ayaz,62,8,72.0,6.0,48,51,Pass accurate,,0.004792399647438217,0.55643035505144,1,False,False,False,,,,,
25,Degerfors IF,Ferhad Ayaz,Gustav Granath,68,6,76.0,6.0,50,53,Pass accurate,,0.005796274482870466,0.4957516019616398,1,False,False,False,,,,,
26,Degerfors IF,Gustav Granath,,80,3,,,50,55,Offside,,,,1,False,False,False,,,,,
