external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Hammarby,Darijan Bojanic,Mads Fenger Nielsen,49,51,26.0,43.0,0,2,Pass accurate,,-0.0025869714088918878,0.9280471007624863,1,False,False,False,,,,,
1,Hammarby,Mads Fenger Nielsen,,31,28,71.0,24.0,2,4,Pass inaccurate,,,0.47213618209650565,1,False,False,False,,,,,
2,IK Sirius FK,Jamie Roche,,29,76,31.0,98.0,8,10,Pass inaccurate,,,0.6990786503516487,1,False,False,False,,,,,
3,Hammarby,Simon Sandberg,Mads Fenger Nielsen,69,2,37.0,19.0,18,20,Pass accurate,,-0.010004458598264543,0.8419106428066674,1,False,False,False,,,,,
4,Hammarby,Mads Fenger Nielsen,Jón Gudni Fjóluson,35,26,28.0,56.0,24,26,Pass accurate,,-0.0010659463132557181,0.9055811398895512,1,False,False,False,,,,,
5,Hammarby,Jón Gudni Fjóluson,Simon Sandberg,30,54,36.0,12.0,28,30,Pass accurate,,-0.0008685224418524141,0.8456215351706754,1,False,False,False,,,,,
6,Hammarby,Simon Sandberg,,45,12,89.0,45.0,33,35,Pass into the box,,,,1,False,False,False,,,,,
7,Hammarby,Simon Sandberg,,45,12,89.0,45.0,33,35,Pass inaccurate,,,0.3355749738666107,1,False,False,False,,,,,
8,IK Sirius FK,David Mitov Nilsson,Joseph Colley,11,55,11.0,29.0,46,48,Pass accurate,,-0.0003730486797189417,0.9240728564160661,1,False,False,False,,,,,
9,IK Sirius FK,Joseph Colley,Tim Björkström,11,27,32.0,4.0,48,50,Pass accurate,,-1.9274029212415153e-05,0.8507038969302472,1,False,False,False,,,,,
10,IK Sirius FK,Tim Björkström,Joseph Colley,28,6,10.0,16.0,50,52,Pass accurate,,-0.0011876257177498694,0.9238162052364062,1,False,False,False,,,,,
11,IK Sirius FK,Joseph Colley,Nahom Girmai Netabay,11,15,34.0,19.0,51,53,Pass accurate,,0.0038157089500950574,0.7157477991109125,1,False,False,False,,,,,
12,IK Sirius FK,Nahom Girmai Netabay,,34,24,50.0,24.0,53,55,Pass inaccurate,,,0.7301975109131146,1,False,False,False,,,,,
13,Hammarby,Jón Gudni Fjóluson,,50,76,75.0,58.0,54,56,Pass inaccurate,,,0.48718238402036607,1,False,False,False,,,,,
14,IK Sirius FK,Joseph Colley,Jamie Roche,25,42,17.0,59.0,60,62,Pass accurate,,-0.0017314433039846578,0.9338338766763019,2,False,False,False,,,,,
15,Hammarby,Astrit Selmani,,81,34,,,60,63,Foul,,,,2,False,False,False,,,,,
16,IK Sirius FK,Joseph Colley,Tim Björkström,24,35,34.0,9.0,73,75,Pass accurate,,0.000635486917737375,0.757670988817379,2,False,False,False,,,,,
17,IK Sirius FK,Tim Björkström,Joseph Colley,33,10,25.0,24.0,76,78,Pass accurate,,0.001348856074303859,0.9006961569005157,2,False,False,False,,,,,
18,IK Sirius FK,Joseph Colley,Adam Hellborg,28,24,32.0,46.0,78,80,Pass accurate,,0.0011306395095190824,0.8371877024507602,2,False,False,False,,,,,
19,IK Sirius FK,Adam Hellborg,Axel Björnström,36,70,46.0,94.0,82,84,Pass accurate,,-0.0009593812291700133,0.8249107414059801,2,False,False,False,,,,,
20,IK Sirius FK,Adam Hellborg,,32,46,36.0,70.0,78,84,Carry,,0.000595290056026274,,2,False,False,False,,,,,
21,IK Sirius FK,Axel Björnström,Adam Hellborg,40,85,37.0,73.0,85,87,Pass accurate,,0.0007481366366179614,0.8770100816466764,2,False,False,False,,,,,
22,IK Sirius FK,Adam Hellborg,Axel Björnström,39,81,35.0,95.0,87,89,Pass accurate,,-0.0016627165462302432,0.8911102645873529,2,False,False,False,,,,,
23,IK Sirius FK,Axel Björnström,Jamie Roche,35,96,34.0,79.0,88,90,Pass accurate,,0.0016627165462302432,0.8722207706991403,2,False,False,False,,,,,
24,IK Sirius FK,Jamie Roche,Adam Hellborg,32,75,36.0,75.0,91,93,Pass accurate,,0.0015837992739677984,0.7330357460796805,2,False,False,False,,,,,
25,IK Sirius FK,Adam Hellborg,Jamie Roche,34,66,33.0,74.0,94,96,Pass accurate,,-0.0013920898428729997,0.79549185047039,2,False,False,False,,,,,
26,Hammarby,Akinkunmi Ayobami Amoo,,81,29,,,96,121,Final third entry,,,,2,False,False,False,,,,,
27,IK Sirius FK,Jamie Roche,Adam Hellborg,32,79,35.0,70.0,97,99,Pass accurate,,0.00233193591058576,0.8464089072161348,2,False,False,False,,,,,
28,IK Sirius FK,Adam Hellborg,,34,70,44.0,70.0,98,100,Pass inaccurate,,,0.7770259290252609,2,False,False,False,,,,,
29,Hammarby,Akinkunmi Ayobami Amoo,,92,44,,,100,110,Penalty box entry unsuccessful,,,,2,False,False,False,,,,,
30,Hammarby,Akinkunmi Ayobami Amoo,Gustav Ludwigson,66,24,67.0,38.0,100,102,Pass accurate,,0.0057020636566482395,0.7455010572827445,2,False,False,False,,,,,
31,Hammarby,Gustav Ludwigson,Akinkunmi Ayobami Amoo,68,38,69.0,23.0,102,104,Pass accurate,,9.97942415855227e-06,0.789043522876831,2,False,False,False,,,,,
32,Hammarby,Akinkunmi Ayobami Amoo,,92,45,,,107,112,Lost ball,,,,2,False,False,False,,,,,
33,Hammarby,Akinkunmi Ayobami Amoo,,69,23,92.0,45.0,102,112,Carry,,0.23574922463395462,,2,False,False,False,,,,,
34,IK Sirius FK,Joseph Colley,,8,54,,,108,113,Tackle successful,,,,2,False,False,False,,,,,
35,IK Sirius FK,Joseph Colley,,8,54,,,108,113,Challenge unsuccessful,,,,2,False,False,False,,,,,
36,IK Sirius FK,Jamie Roche,Jacob Ortmark,11,73,31.0,69.0,133,135,Pass accurate,,0.0024228298661596124,0.7662065399045299,3,False,False,False,,,,,
37,Hammarby,Gustav Ludwigson,,82,69,,,134,159,Final third entry,,,,3,False,False,False,,,,,
38,IK Sirius FK,Jacob Ortmark,Nahom Girmai Netabay,30,68,38.0,31.0,135,137,Pass accurate,,0.001698093408876073,0.7410175305556429,3,False,False,False,,,,,
39,IK Sirius FK,Nahom Girmai Netabay,,37,36,,,136,141,Lost ball,,,,3,False,False,False,,,,,
40,Hammarby,Gustav Ludwigson,,90,69,,,137,147,Penalty box entry unsuccessful,,,,3,False,False,False,,,,,
41,Hammarby,Darijan Bojanic,,62,63,,,137,142,Tackle successful,,,,3,False,False,False,,,,,
42,Hammarby,Darijan Bojanic,,62,63,,,137,142,Challenge unsuccessful,,,,3,False,False,False,,,,,
43,Hammarby,Gustav Ludwigson,,87,69,,,140,150,Dribble unsuccessful,,,,3,False,False,False,,,,,
44,Hammarby,Gustav Ludwigson,,89,68,,,142,147,Lost ball,,,,3,False,False,False,,,,,
45,Hammarby,Gustav Ludwigson,,91,66,,,143,146,Foul,,,,3,False,False,False,,,,,
46,IK Sirius FK,David Mitov Nilsson,,11,30,69.0,26.0,247,249,Pass inaccurate,,,0.5120885019935671,5,False,False,False,,,,,
47,Hammarby,Jeppe Andrup Andersen,,31,74,,,249,254,Interception succesful,,,,5,False,False,False,,,,,
48,Hammarby,Jeppe Andrup Andersen,,31,74,,,249,254,Challenge unsuccessful,,,,5,False,False,False,,,,,
49,Hammarby,Jeppe Andrup Andersen,Gustav Ludwigson,31,74,31.0,85.0,251,253,Pass accurate,,-0.0009398460677127601,0.8589853347106876,5,False,False,False,,,,,
50,Hammarby,Gustav Ludwigson,,33,90,36.0,84.0,253,255,Pass inaccurate,,,0.7958134063167493,5,False,False,False,,,,,
51,IK Sirius FK,Tim Björkström,,64,16,70.0,29.0,254,256,Pass inaccurate,,,0.7015315274918706,5,False,False,False,,,,,
52,Hammarby,Darijan Bojanic,,30,71,37.0,79.0,256,258,Pass inaccurate,,,0.8456385493327376,5,False,False,False,,,,,
53,IK Sirius FK,Tim Björkström,,63,21,,,256,259,Air challenge unsuccessful,,,,5,False,False,False,,,,,
54,IK Sirius FK,Tim Björkström,,63,21,,,256,259,Challenge unsuccessful,,,,5,False,False,False,,,,,
55,Hammarby,Gustav Ludwigson,,37,79,,,256,259,Air challenge successful,,,,5,False,False,False,,,,,
56,Hammarby,Gustav Ludwigson,,37,79,,,256,259,Challenge successful,,,,5,False,False,False,,,,,
57,IK Sirius FK,Tim Björkström,,62,19,,,256,261,Interception succesful,,,,5,False,False,False,,,,,
58,IK Sirius FK,Tim Björkström,,62,19,,,256,261,Challenge unsuccessful,,,,5,False,False,False,,,,,
59,Hammarby,Mohanad Jeahze,,32,91,,,258,261,Foul,,,,5,False,False,False,,,,,
60,IK Sirius FK,Nahom Girmai Netabay,,68,14,88.0,14.0,259,261,Pass inaccurate,,,0.41937842351901716,5,False,False,False,,,,,
61,IK Sirius FK,Tim Björkström,Joseph Colley,65,15,45.0,20.0,277,279,Pass accurate,,-0.005876055374746447,0.8641870880364771,5,False,False,False,,,,,
62,IK Sirius FK,Joseph Colley,Jamie Roche,43,20,33.0,63.0,278,280,Pass accurate,,-0.0023450871142907635,0.8467385094565493,5,False,False,False,,,,,
63,IK Sirius FK,Jamie Roche,Joseph Colley,33,64,34.0,27.0,283,285,Pass accurate,,0.001698093408876073,0.8701542822962843,5,False,False,False,,,,,
64,IK Sirius FK,Joseph Colley,Nahom Girmai Netabay,34,26,47.0,21.0,286,288,Pass accurate,,0.0006469937054146904,0.7328663161173488,5,False,False,False,,,,,
65,IK Sirius FK,Nahom Girmai Netabay,Adam Hellborg,47,20,37.0,28.0,287,289,Pass accurate,,-0.0006469937054146904,0.8715538678105224,5,False,False,False,,,,,
