external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IK Sirius FK,away,Christian Kouakou,Jacob Ortmark,49,51,35.0,49.0,0,3,pass accurate,,-0.0014212561028738371,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IK Sirius FK,away,Jacob Ortmark,Dennis Widgren,37,45,31.0,26.0,2,5,pass accurate,,-0.0015647514259704703,0.8973408407911795,1,False,False,False,nan,nan,nan,,nan
2,IK Sirius FK,away,Dennis Widgren,Marcus Klingenberg Mathisen,30,22,27.0,77.0,3,6,pass accurate,,-0.0006060063450404034,0.897428523937327,1,False,False,False,nan,nan,nan,,nan
3,AIK,home,Sebastian Larsson,,63,24,,,7,12,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
4,AIK,home,Sebastian Larsson,,63,24,,,7,12,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,IK Sirius FK,away,Marcus Klingenberg Mathisen,,27,79,34.0,76.0,7,10,pass inaccurate,,,0.8384432618591063,1,False,False,False,nan,nan,nan,,nan
6,AIK,home,Sebastian Larsson,,66,24,,,7,12,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
7,IK Sirius FK,away,Marcus Klingenberg Mathisen,Joseph Colley,18,100,21.0,87.0,18,21,pass accurate,,0.0011837497986438555,0.9242325484731851,1,False,False,True,throw-in,nan,nan,,nan
8,IK Sirius FK,away,Joseph Colley,Marcus Klingenberg Mathisen,20,86,25.0,89.0,20,23,pass accurate,,1.1340439885558842e-05,0.7525484246365298,1,False,False,False,throw-in,nan,nan,,nan
9,IK Sirius FK,away,Marcus Klingenberg Mathisen,Joseph Colley,27,92,13.0,91.0,24,27,pass accurate,,-0.0023971182482789184,0.9391007018195072,1,False,False,False,throw-in,nan,nan,,nan
10,IK Sirius FK,away,Joseph Colley,Jacob Ortmark,12,88,26.0,69.0,27,30,pass accurate,,0.00473141502915269,0.8532311395757998,1,False,False,False,throw-in,nan,nan,,nan
11,IK Sirius FK,away,Jacob Ortmark,Joseph Colley,13,70,11.0,89.0,29,32,pass accurate,,-0.0023085851629930775,0.9178007706082371,1,False,False,False,throw-in,nan,nan,,nan
12,AIK,home,Zachary Elbouzedi,,74,23,,,30,35,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
13,AIK,home,Zachary Elbouzedi,,74,23,,,30,35,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
14,IK Sirius FK,away,Joseph Colley,,10,87,10.0,69.0,30,33,pass inaccurate,,,0.9112335515838063,1,False,False,False,throw-in,nan,nan,,nan
15,IK Sirius FK,away,Jacob Ortmark,August Ahlin,10,69,4.0,63.0,33,36,pass accurate,,-0.001793346620097478,0.9147562152246487,1,False,False,False,nan,nan,nan,,nan
16,IK Sirius FK,away,August Ahlin,,3,63,32.0,77.0,35,38,pass inaccurate,,,0.7408033525040847,1,False,False,False,nan,nan,nan,,nan
17,AIK,home,Zachary Elbouzedi,,68,23,,,35,40,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
18,AIK,home,Zachary Elbouzedi,,68,23,,,35,40,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
19,IK Sirius FK,away,Christian Kouakou,,42,72,,,37,42,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
20,IK Sirius FK,away,Christian Kouakou,,42,72,,,37,42,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
21,IK Sirius FK,away,Christian Kouakou,Adam Ståhl,65,25,65.0,19.0,43,46,pass accurate,,-0.0005115672019537672,0.6252734421465547,1,False,False,False,nan,nan,nan,,nan
