external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Malmö FF,away,Antonio Mirko Colak,Niklas Moisander,51,50,35.0,49.0,0,3,pass accurate,,-0.003823319988116164,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Malmö FF,away,Niklas Moisander,,38,61,59.0,24.0,3,6,pass inaccurate,,,0.6486379079272997,1,False,False,False,nan,nan,nan,,nan
2,Malmö FF,away,Anel Ahmedhodzic,Antonio Mirko Colak,59,24,69.0,32.0,8,11,pass accurate,,0.005662354165382324,0.6955403589244394,1,False,False,False,nan,nan,nan,,nan
3,Malmö FF,away,Antonio Mirko Colak,,68,37,76.0,18.0,9,12,pass inaccurate,,,0.7445049089877944,1,False,False,False,nan,nan,nan,,nan
4,Varbergs BoIS FC,home,Jean Carlos De Brito,,24,82,,,9,14,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
5,Malmö FF,away,Niklas Moisander,Johan Dahlin,24,73,11.0,58.0,17,20,pass accurate,,-7.888240253446643e-06,0.9305497739963653,1,False,False,False,nan,nan,nan,,nan
6,Malmö FF,away,Johan Dahlin,Veljko Birmančević,12,57,46.0,70.0,20,23,pass accurate,,0.004080609310766209,0.6201723819158605,1,False,False,False,nan,nan,nan,,nan
7,Malmö FF,away,Veljko Birmančević,Antonio Mirko Colak,47,68,59.0,68.0,22,25,pass accurate,,0.005534162189993114,0.7571517796960572,1,False,False,False,nan,nan,nan,,nan
8,Malmö FF,away,Antonio Mirko Colak,Veljko Birmančević,54,69,48.0,86.0,23,26,pass accurate,,-0.0030406958118597525,0.8388822322049038,1,False,False,False,nan,nan,nan,,nan
9,Malmö FF,away,Antonio Mirko Colak,,59,68,54.0,69.0,22,26,carry,,-0.00322727510271327,,1,False,False,False,nan,nan,nan,,nan
10,Malmö FF,away,Veljko Birmančević,Martin Olsson,48,82,44.0,93.0,25,28,pass accurate,,-0.0016237188844384545,0.7365199280452623,1,False,False,False,nan,nan,nan,,nan
11,Malmö FF,away,Martin Olsson,Niklas Moisander,45,94,36.0,81.0,28,31,pass accurate,,0.00021124459255205189,0.8770100816466764,1,False,False,False,nan,nan,nan,,nan
12,Malmö FF,away,Niklas Moisander,Erdal Rakip,38,82,42.0,75.0,29,32,pass accurate,,0.0014124742918864026,0.8207568248124517,1,False,False,False,nan,nan,nan,,nan
13,Malmö FF,away,Erdal Rakip,Sergio Pena,42,71,45.0,46.0,32,35,pass accurate,,0.0006211608286854527,0.8395556306360467,1,False,False,False,nan,nan,nan,,nan
14,Malmö FF,away,Sergio Pena,,47,31,73.0,31.0,36,39,pass inaccurate,,,0.5226189130692168,1,False,False,False,nan,nan,nan,,nan
15,Varbergs BoIS FC,home,Hampus Zackrisson,Albert Ejupi,27,69,30.0,72.0,37,40,pass accurate,,,0.5918441972504973,1,False,False,False,nan,nan,nan,,nan
16,Varbergs BoIS FC,home,Albert Ejupi,,32,94,89.0,73.0,42,45,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
17,Varbergs BoIS FC,home,Albert Ejupi,,32,94,89.0,73.0,42,45,pass inaccurate,,,0.39900399865425584,1,False,False,False,nan,nan,nan,,nan
18,Varbergs BoIS FC,home,Albert Ejupi,,30,72,32.0,94.0,37,45,carry,,-0.0023342967808737715,,1,False,False,False,nan,nan,nan,,nan
19,Malmö FF,away,Franz Brorsson,Johan Dahlin,11,27,8.0,41.0,46,49,pass accurate,,0.0010161855452202016,0.9078348574629842,1,False,False,False,nan,nan,nan,,nan
20,Malmö FF,away,Johan Dahlin,,8,40,38.0,29.0,48,51,pass inaccurate,,,0.7364044140091355,1,False,False,False,nan,nan,nan,,nan
21,Malmö FF,away,Anders Bleg Christiansen,,38,29,,,50,53,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
22,Malmö FF,away,Anders Bleg Christiansen,,38,29,,,50,53,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
23,Varbergs BoIS FC,home,Luke Le Roux,,64,65,74.0,65.0,51,54,pass inaccurate,,,0.5492960788756913,1,False,False,False,nan,nan,nan,,nan
24,Varbergs BoIS FC,home,Luke Le Roux,,62,71,,,51,54,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
25,Varbergs BoIS FC,home,Luke Le Roux,,62,71,,,51,54,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
26,Malmö FF,away,Niklas Moisander,Veljko Birmančević,31,56,37.0,64.0,52,55,pass accurate,,0.0007599427472526447,0.8430462501865745,1,False,False,False,nan,nan,nan,,nan
27,Malmö FF,away,Niklas Moisander,,24,71,,,52,55,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
28,Malmö FF,away,Niklas Moisander,,24,71,,,52,55,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
29,Varbergs BoIS FC,home,Victor Karlsson,,76,29,,,52,55,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
30,Varbergs BoIS FC,home,Victor Karlsson,,76,29,,,52,55,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
31,Malmö FF,away,Veljko Birmančević,,39,63,52.0,54.0,55,58,pass inaccurate,,,0.7604027860373651,1,False,False,False,nan,nan,nan,,nan
32,Varbergs BoIS FC,home,Oliver Stanisic,Gideon Mensah,48,46,58.0,19.0,55,58,pass accurate,,0.0014997240011930084,0.798412023513464,1,False,False,False,nan,nan,nan,,nan
33,Varbergs BoIS FC,home,Gideon Mensah,Joakim Lindner,58,10,43.0,23.0,59,62,pass accurate,,-0.000922227207135199,0.8456105963951895,1,False,False,False,nan,nan,nan,,nan
34,Varbergs BoIS FC,home,Gideon Mensah,,58,19,58.0,10.0,55,62,carry,,-0.0016438067311738483,,1,False,False,False,nan,nan,nan,,nan
35,Varbergs BoIS FC,home,Joakim Lindner,,44,16,84.0,3.0,61,64,pass inaccurate,,,0.5284444800339043,2,False,False,False,nan,nan,nan,,nan
