external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Kalmar FF,Oliver Berg,Lars Saetra,49,51,28.0,53.0,0,3,Pass accurate,,-0.0027516241001182586,0.9161791357261458,1,False,False,False,,,,,
1,Kalmar FF,Lars Saetra,Rasmus Sjöstedt,32,54,33.0,86.0,2,5,Pass accurate,,-0.001571993163333115,0.8675021652274276,1,False,False,False,,,,,
2,Kalmar FF,Filip Sachpekidis,,93,87,,,3,28,Final third entry,,,,1,False,False,False,,,,,
3,Kalmar FF,Rasmus Sjöstedt,Sebastian Ring,36,89,45.0,91.0,6,9,Pass accurate,,0.0014514719536781913,0.8251265474718378,1,False,False,False,,,,,
4,Kalmar FF,Filip Sachpekidis,,90,69,,,6,16,Penalty box entry successful,,,,1,False,False,False,,,,,
5,Kalmar FF,Sebastian Ring,Filip Sachpekidis,46,94,90.0,88.0,8,11,Pass accurate,,0.02040533172690804,0.4331527766160099,1,False,False,False,,,,,
6,Kalmar FF,Sebastian Ring,Filip Sachpekidis,46,94,90.0,88.0,8,11,Key pass,,,0.4331527766160099,1,False,False,False,,,,,
7,Kalmar FF,Filip Sachpekidis,,88,71,,,15,18,Shot on target,0.029869548093101266,,,1,False,False,False,,,,,-
8,Malmö FF,Johan Dahlin,,12,29,,,15,18,Shot on target saved,,,,1,False,False,False,,,,,-
9,Kalmar FF,Filip Sachpekidis,,88,71,,,15,18,Shot,0.029869548093101266,,,1,False,False,False,,,Right Foot,,
10,Malmö FF,Johan Dahlin,,4,42,,,15,18,Save,0.029869548093101266,,,1,False,False,False,,,Low Saves,,-
11,Malmö FF,Johan Dahlin,Niklas Moisander,4,57,8.0,75.0,20,30,Pass accurate,,,,1,False,False,False,,,,,
12,Malmö FF,Johan Dahlin,Niklas Moisander,4,57,8.0,75.0,20,30,Goalkeeper throw accurate,,,,1,False,False,False,,,,,
13,Malmö FF,Niklas Moisander,Søren Rieks,11,75,25.0,95.0,27,30,Pass accurate,,0.0010548794588559965,0.8738841628727414,1,False,False,False,,,,,
14,Malmö FF,Søren Rieks,Lasse Ladegaard Nielsen,16,88,12.0,68.0,31,34,Pass accurate,,0.0023085851629930775,0.9130005060448755,1,False,False,False,,,,,
15,Malmö FF,Lasse Ladegaard Nielsen,,12,64,37.0,96.0,32,35,Pass inaccurate,,,0.4687019655864826,1,False,False,False,,,,,
16,Kalmar FF,Romario Pereira Sipiao,Piotr Johansson,63,4,62.0,14.0,37,40,Pass accurate,,0.0020636961028419123,0.7383154508002241,1,False,False,False,,,,,
17,Kalmar FF,Piotr Johansson,Oliver Berg,63,11,67.0,19.0,38,41,Pass accurate,,0.007775739183648704,0.7082734772044751,1,False,False,False,,,,,
18,Kalmar FF,Oliver Berg,Jonathan Ring,70,20,74.0,12.0,39,42,Pass accurate,,-0.0029833395362104873,0.7096834370123415,1,False,False,False,,,,,
19,Kalmar FF,Jonathan Ring,Piotr Johansson,72,10,60.0,9.0,41,44,Pass accurate,,-0.004792399647438217,0.7225808559680185,1,False,False,False,,,,,
20,Kalmar FF,Piotr Johansson,Lars Saetra,59,5,51.0,27.0,43,46,Pass accurate,,-0.00042836991076851405,0.7927763117302533,1,False,False,False,,,,,
21,Kalmar FF,Lars Saetra,Rasmus Sjöstedt,47,29,38.0,57.0,45,48,Pass accurate,,-0.0012621424686184261,0.8520411808557231,1,False,False,False,,,,,
22,Kalmar FF,Rasmus Sjöstedt,Piotr Johansson,36,53,44.0,6.0,48,51,Pass accurate,,-0.0007855824785345505,0.7791847525056917,1,False,False,False,,,,,
23,Kalmar FF,Piotr Johansson,Oliver Berg,43,7,55.0,19.0,51,54,Pass accurate,,0.0038214604816213926,0.7159733360830602,1,False,False,False,,,,,
24,Kalmar FF,Oliver Berg,,56,15,76.0,28.0,52,55,Pass inaccurate,,,0.5691823848272931,1,False,False,False,,,,,
25,Kalmar FF,Filip Sachpekidis,,76,28,,,54,59,Offside,,,,1,False,False,False,,,,,
26,Malmö FF,Niklas Moisander,Sergio Pena,27,80,34.0,73.0,68,71,Pass accurate,,0.00233193591058576,0.8400518790291641,2,False,False,False,,,,,
27,Malmö FF,Sergio Pena,Niklas Moisander,35,72,28.0,83.0,68,71,Pass accurate,,-0.00233193591058576,0.9065934322453404,2,False,False,False,,,,,
28,Malmö FF,Niklas Moisander,Lasse Ladegaard Nielsen,28,78,20.0,64.0,72,75,Pass accurate,,-0.000342638780078652,0.9366172528201364,2,False,False,False,,,,,
29,Malmö FF,Lasse Ladegaard Nielsen,Sergio Pena,27,57,40.0,72.0,76,79,Pass accurate,,0.0007599427472526447,0.7990207637202601,2,False,False,False,,,,,
30,Malmö FF,Sergio Pena,,41,70,41.0,70.0,78,81,Pass inaccurate,,,0.23331002099488315,2,False,False,False,,,,,
31,Kalmar FF,Lars Saetra,Lucas Hägg Johansson,27,15,9.0,29.0,92,95,Pass accurate,,-0.0013295820450914438,0.9367883450183602,2,False,False,False,,,,,
32,Kalmar FF,Lucas Hägg Johansson,,7,28,,,93,98,Clearance accurate,,,,2,False,False,False,,,,,
33,Malmö FF,Veljko Birmančević,Oscar Lewicki,58,76,54.0,70.0,97,100,Pass accurate,,0.0009031947206651243,0.7649772887061753,2,False,False,False,,,,,
34,Malmö FF,Oscar Lewicki,Lasse Ladegaard Nielsen,55,68,46.0,64.0,100,103,Pass accurate,,-0.0023068870872798436,0.8256278734987563,2,False,False,False,,,,,
35,Malmö FF,Lasse Ladegaard Nielsen,Niklas Moisander,45,55,47.0,79.0,104,107,Pass accurate,,-0.0013273436975971727,0.7881914067741298,2,False,False,False,,,,,
