external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IF Elfsborg,home,Simon Olsson,Leo Väisänen,49,53,27.0,49.0,0,3,pass accurate,,-0.0025869714088918878,0.9280471007624863,1,False,False,False,nan,nan,nan,,nan
1,IF Elfsborg,home,Leo Väisänen,,28,44,84.0,11.0,3,6,pass inaccurate,,,0.520369819458403,1,False,False,False,nan,nan,nan,,nan
2,Malmö FF,away,Martin Olsson,,16,89,,,5,10,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
3,Malmö FF,away,Martin Olsson,,16,89,,,5,10,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,Malmö FF,away,Martin Olsson,,20,90,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Malmö FF,away,Martin Olsson,,20,90,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,IF Elfsborg,home,Alexander Bernhardsson,,82,11,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,IF Elfsborg,home,Alexander Bernhardsson,,82,11,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
8,IF Elfsborg,home,Alexander Bernhardsson,,83,10,89.0,51.0,7,10,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
9,IF Elfsborg,home,Alexander Bernhardsson,,83,10,89.0,51.0,7,10,pass inaccurate,,,0.4704504709397444,1,False,False,False,nan,nan,nan,,nan
10,IF Elfsborg,home,Alexander Bernhardsson,,83,10,89.0,51.0,7,10,cross inacurate,,,0.4704504709397444,1,False,False,False,nan,nan,nan,,nan
11,Malmö FF,away,Felix Beijmo,,11,49,,,8,13,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
12,Malmö FF,away,Felix Beijmo,,11,49,,,8,13,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
13,Malmö FF,away,Anel Ahmedhodzic,,11,53,,,11,16,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
14,IF Elfsborg,home,Per Frick,,86,41,96.0,41.0,11,14,pass inaccurate,,,0.24922147644354017,1,False,False,False,nan,nan,nan,,nan
15,IF Elfsborg,home,Jeppe Møldrup Okkels,Simon Strand,82,67,94.0,79.0,16,19,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
16,IF Elfsborg,home,Jeppe Møldrup Okkels,Simon Strand,82,67,94.0,79.0,16,19,pass accurate,,0.004660151641644107,0.5679998798247697,1,False,False,False,nan,nan,nan,,nan
17,IF Elfsborg,home,Simon Strand,Jeppe Møldrup Okkels,89,91,65.0,82.0,20,23,pass accurate,,-0.01345532074882435,0.7902518789648821,1,False,False,False,nan,nan,nan,,nan
18,IF Elfsborg,home,Simon Strand,,94,79,89.0,91.0,16,23,carry,,-0.004285278135916823,,1,False,False,False,nan,nan,nan,,nan
19,IF Elfsborg,home,Jeppe Møldrup Okkels,Maudo Lamine Jarjué,66,85,46.0,82.0,24,27,pass accurate,,-0.005326292093645234,0.8510397342340194,1,False,False,False,nan,nan,nan,,nan
20,IF Elfsborg,home,Maudo Lamine Jarjué,Leo Väisänen,41,83,41.0,29.0,26,29,pass accurate,,0.0010541402026210348,0.831061499049017,1,False,False,False,nan,nan,nan,,nan
21,IF Elfsborg,home,Leo Väisänen,Frederik Holst,46,29,51.0,9.0,31,34,pass accurate,,0.00012992880329456766,0.7269357906217637,1,False,False,False,nan,nan,nan,,nan
22,IF Elfsborg,home,Frederik Holst,Alexander Bernhardsson,54,6,82.0,9.0,34,37,pass accurate,,0.01347880619507802,0.3679300542509184,1,False,False,False,nan,nan,nan,,nan
23,IF Elfsborg,home,Johan Larsson,,91,1,97.0,44.0,55,58,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
24,IF Elfsborg,home,Johan Larsson,,91,1,97.0,44.0,55,58,pass inaccurate,,,0.16101722045326738,1,False,False,False,nan,nan,nan,,nan
25,Malmö FF,away,Anel Ahmedhodzic,,3,56,,,57,62,clearance accurate,,,,1,False,False,False,nan,nan,nan,,nan
