external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Varbergs BoIS FC,Robin Tranberg,Joakim Lindner,49,51,28.0,52.0,0,3,Pass accurate,,-0.0027516241001182586,0.9161791357261458,1,False,False,False,,,,,
1,Varbergs BoIS FC,Joakim Lindner,,30,50,74.0,69.0,3,6,Pass inaccurate,,,0.4532456176652828,1,False,False,False,,,,,
2,IFK Göteborg,Carl Johansson,,26,31,26.0,15.0,6,9,Pass inaccurate,,,0.905393754189145,1,False,False,False,,,,,
3,Varbergs BoIS FC,Adama Fofana,Tashreeq Matthews,74,85,84.0,94.0,8,11,Pass accurate,,0.008517636901357397,0.7257862846451751,1,False,False,False,,,,,
4,Varbergs BoIS FC,Tashreeq Matthews,Albert Ejupi,87,90,75.0,90.0,14,17,Pass accurate,,-0.006214435802851855,0.7263465272570471,1,False,False,False,,,,,
5,Varbergs BoIS FC,Albert Ejupi,Luke Le Roux,72,90,72.0,74.0,16,19,Pass accurate,,0.0040383882022595255,0.7813758204151336,1,False,False,False,,,,,
6,Varbergs BoIS FC,Luke Le Roux,Albert Ejupi,73,75,71.0,94.0,17,20,Pass accurate,,-0.003384757163740343,0.8371984840094523,1,False,False,False,,,,,
7,Varbergs BoIS FC,Albert Ejupi,Tashreeq Matthews,71,95,83.0,88.0,19,22,Pass accurate,,0.005687958262245885,0.6610615938428311,1,False,False,False,,,,,
8,IFK Göteborg,Gustav Svensson,,17,8,,,21,26,Tackle successful,,,,1,False,False,False,,,,,
9,IFK Göteborg,Gustav Svensson,,17,8,,,21,26,Challenge unsuccessful,,,,1,False,False,False,,,,,
10,IFK Göteborg,Sebastian Eriksson,August Erlingmark,26,27,13.0,60.0,31,34,Pass accurate,,-0.0016881367549391648,0.9410945993289686,1,False,False,False,,,,,
11,IFK Göteborg,August Erlingmark,Marcus Berg,13,59,46.0,47.0,33,36,Pass accurate,,0.004701770139451661,0.6155152320963865,1,False,False,False,,,,,
