external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Blair Sebastian Turgott,Isak Ssali Ssewankambo,50,50,37.0,46.0,0,3,pass accurate,,-0.003823319988116164,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Östersund,Isak Ssali Ssewankambo,Felix Hörberg,37,42,35.0,9.0,2,5,pass accurate,,-0.0021988904390968355,0.8385806458098223,1,False,False,False,nan,nan,nan,,nan
2,Östersund,Felix Hörberg,Aly Keita,36,6,10.0,39.0,4,7,pass accurate,,-0.0006180158563616651,0.9120678086839672,1,False,False,False,nan,nan,nan,,nan
3,Östersund,Aly Keita,Patrick Kpozo,10,36,34.0,78.0,7,10,pass accurate,,0.0023073749740188387,0.7095819410110248,1,False,False,False,nan,nan,nan,,nan
4,Djurgården,Edward Chilufya,,69,23,,,9,14,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
5,Djurgården,Edward Chilufya,,69,23,,,9,14,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Östersund,Patrick Kpozo,,38,87,36.0,75.0,10,13,pass inaccurate,,,0.8722207706991403,1,False,False,False,nan,nan,nan,,nan
7,Djurgården,Edward Chilufya,,64,25,74.0,25.0,11,14,pass inaccurate,,,0.6104811007030922,1,False,False,False,nan,nan,nan,,nan
8,Östersund,Nebiyou Perry,Frank Arhin,40,79,33.0,67.0,13,16,pass accurate,,-0.0006439532062550383,0.87230301542333,1,False,False,False,nan,nan,nan,,nan
9,Östersund,Frank Arhin,Samuel Laryea Mensiro,33,69,23.0,69.0,16,19,pass accurate,,-0.0012824848477914121,0.9295458084424533,1,False,False,False,nan,nan,nan,,nan
10,Östersund,Samuel Laryea Mensiro,Eirik Haugan,23,65,24.0,84.0,20,23,pass accurate,,-0.0010631523729679182,0.8665214907124893,1,False,False,False,nan,nan,nan,,nan
11,Östersund,Eirik Haugan,Frank Arhin,21,69,30.0,66.0,22,25,pass accurate,,0.0012824848477914121,0.841521677755237,1,False,False,False,nan,nan,nan,,nan
12,Östersund,Frank Arhin,Eirik Haugan,28,62,29.0,77.0,23,26,pass accurate,,-0.001571993163333115,0.8787506339010136,1,False,False,False,nan,nan,nan,,nan
13,Östersund,Eirik Haugan,,59,79,,,25,35,dribble successful,,,,1,False,False,False,nan,nan,nan,,nan
14,Östersund,Eirik Haugan,,29,77,59.0,79.0,23,35,carry,,0.008322565659499435,,1,False,False,False,nan,nan,nan,,nan
15,Östersund,Eirik Haugan,,62,78,,,26,31,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
16,Djurgården,Jacob Une Larsson,,38,22,,,27,32,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
17,Djurgården,Jacob Une Larsson,,38,22,,,27,32,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
18,Östersund,Eirik Haugan,Blair Sebastian Turgott,66,73,77.0,75.0,29,32,pass accurate,,0.00889542795625706,0.6705127510460971,1,False,False,False,nan,nan,nan,,nan
19,Östersund,Blair Sebastian Turgott,,76,78,,,30,35,offside,,,,1,False,False,False,nan,nan,nan,,nan
20,Djurgården,Jacob Une Larsson,Hjalmar Ekdal,28,34,23.0,69.0,52,55,pass accurate,,-0.0016802485146857182,0.9330020751574907,1,False,False,False,nan,nan,nan,,nan
21,Djurgården,Hjalmar Ekdal,Elliot Käck,22,66,27.0,84.0,55,58,pass accurate,,0.000342638780078652,0.8224043721982414,1,False,False,False,nan,nan,nan,,nan
22,Djurgården,Elliot Käck,Jacob Une Larsson,26,79,22.0,33.0,58,61,pass accurate,,6.7983803743326e-05,0.9258356424615753,1,False,False,False,nan,nan,nan,,nan
23,Djurgården,Jacob Une Larsson,Aslak Fonn Witry,22,36,29.0,11.0,62,65,pass accurate,,-0.0008108335330067815,0.865474286157149,2,False,False,False,nan,nan,nan,,nan
24,Djurgården,Aslak Fonn Witry,,29,11,67.0,20.0,65,68,pass inaccurate,,,0.40686461620281494,2,False,False,False,nan,nan,nan,,nan
25,Östersund,Patrick Kpozo,,33,80,,,65,70,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
26,Djurgården,Curtis Edwards,Rasmus Schüller,66,1,69.0,20.0,72,75,pass accurate,,0.007775739183648704,0.669810693248548,2,False,False,False,nan,nan,nan,,nan
27,Djurgården,Rasmus Schüller,Curtis Edwards,69,24,70.0,6.0,74,77,pass accurate,,-0.0029833395362104873,0.6081533923438732,2,False,False,False,nan,nan,nan,,nan
28,Djurgården,Curtis Edwards,Aslak Fonn Witry,71,8,53.0,10.0,74,77,pass accurate,,-0.007682531712207553,0.8548884984626222,2,False,False,False,nan,nan,nan,,nan
29,Djurgården,Aslak Fonn Witry,Rasmus Schüller,57,28,62.0,30.0,80,83,pass accurate,,0.0030036332155641936,0.6909907954639947,2,False,False,False,nan,nan,nan,,nan
30,Djurgården,Aslak Fonn Witry,,53,10,57.0,28.0,74,83,carry,,0.002461762154000822,,2,False,False,False,nan,nan,nan,,nan
31,Djurgården,Rasmus Schüller,Aslak Fonn Witry,63,37,55.0,24.0,81,84,pass accurate,,-0.003821588638391167,0.8559598392961166,2,False,False,False,nan,nan,nan,,nan
32,Djurgården,Aslak Fonn Witry,Jacob Une Larsson,53,26,40.0,25.0,82,85,pass accurate,,-0.004030983066550711,0.8570389809973439,2,False,False,False,nan,nan,nan,,nan
33,Djurgården,Jacob Une Larsson,Hjalmar Ekdal,38,31,32.0,65.0,84,87,pass accurate,,-0.001698093408876073,0.8701614269237304,2,False,False,False,nan,nan,nan,,nan
34,Djurgården,Hjalmar Ekdal,Elliot Käck,42,71,56.0,88.0,88,91,pass accurate,,-0.00046334056228138423,0.7483012355196226,2,False,False,False,nan,nan,nan,,nan
35,Djurgården,Elliot Käck,Hjalmar Ekdal,60,91,44.0,92.0,93,96,pass accurate,,-0.004577611136330586,0.8693982884751771,2,False,False,False,nan,nan,nan,,nan
36,Djurgården,Hjalmar Ekdal,,45,92,80.0,88.0,94,97,pass inaccurate,,,0.47475947602249613,2,False,False,False,nan,nan,nan,,nan
37,Östersund,Felix Hörberg,Frank Arhin,20,12,27.0,39.0,97,100,pass accurate,,0.0037998517005740137,0.8605915192072283,2,False,False,False,nan,nan,nan,,nan
38,Djurgården,Nicklas Bärkroth,,78,87,,,97,100,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
39,Djurgården,Nicklas Bärkroth,,78,87,,,97,100,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
40,Östersund,Felix Hörberg,,22,13,,,97,100,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
41,Östersund,Felix Hörberg,,22,13,,,97,100,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
42,Östersund,Frank Arhin,Nebiyou Perry,29,44,31.0,53.0,101,104,pass accurate,,-0.0001646526912263708,0.8374367677898105,2,False,False,False,nan,nan,nan,,nan
43,Östersund,Nebiyou Perry,Eirik Haugan,32,54,27.0,59.0,105,108,pass accurate,,,0.9017795177572658,2,False,False,False,nan,nan,nan,,nan
44,Östersund,Eirik Haugan,Isak Ssali Ssewankambo,22,63,29.0,56.0,107,110,pass accurate,,0.001914631943411767,0.841521677755237,2,False,False,False,nan,nan,nan,,nan
45,Östersund,Isak Ssali Ssewankambo,Ronald Mukiibi,29,52,22.0,37.0,107,110,pass accurate,,-0.001504009359589789,0.9333126376601976,2,False,False,False,nan,nan,nan,,nan
46,Djurgården,Jacob Une Larsson,,66,61,,,112,117,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
47,Djurgården,Jacob Une Larsson,,66,61,,,112,117,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
48,Östersund,Ronald Mukiibi,,25,37,33.0,27.0,112,115,pass inaccurate,,,0.8498128794202718,2,False,False,False,nan,nan,nan,,nan
49,Östersund,Henrik Bellman,Nebiyou Perry,33,27,38.0,33.0,114,117,pass accurate,,0.001300329741981767,0.806124646215924,2,False,False,False,nan,nan,nan,,nan
50,Östersund,Nebiyou Perry,,43,38,43.0,38.0,116,119,pass inaccurate,,,0.26039398189913676,2,False,False,False,nan,nan,nan,,nan
51,Djurgården,Elliot Käck,Hjalmar Ekdal,32,99,19.0,90.0,129,132,pass accurate,,-0.0011950902385294143,0.9369713239332245,3,False,False,False,nan,nan,nan,,nan
52,Djurgården,Hjalmar Ekdal,Jacob Une Larsson,21,90,23.0,67.0,132,135,pass accurate,,0.0022469021716117737,0.9160176428894605,3,False,False,False,nan,nan,nan,,nan
53,Djurgården,Jacob Une Larsson,Aslak Fonn Witry,27,57,31.0,24.0,137,140,pass accurate,,-0.0009659868182927116,0.8760237460860439,3,False,False,False,nan,nan,nan,,nan
54,Djurgården,Aslak Fonn Witry,Jacob Une Larsson,35,18,28.0,37.0,142,145,pass accurate,,-0.0005476237684746664,0.901089363888912,3,False,False,False,nan,nan,nan,,nan
55,Djurgården,Jacob Une Larsson,Hjalmar Ekdal,27,36,29.0,71.0,144,147,pass accurate,,-0.00039776366689430603,0.8793086353278279,3,False,False,False,nan,nan,nan,,nan
56,Djurgården,Hjalmar Ekdal,Elliot Käck,32,69,46.0,91.0,148,151,pass accurate,,0.0004327086137029864,0.7651461156096739,3,False,False,False,nan,nan,nan,,nan
57,Djurgården,Elliot Käck,Magnus Eriksson,48,96,49.0,87.0,149,152,pass accurate,,0.0016237188844384545,0.8097393098479304,3,False,False,False,nan,nan,nan,,nan
58,Östersund,Felix Hörberg,,34,7,,,150,155,clearance inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
59,Djurgården,Magnus Eriksson,,54,89,58.0,80.0,150,153,pass inaccurate,,,0.7815746468605848,3,False,False,False,nan,nan,nan,,nan
