external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Degerfors IF,Victor Edvardsen,Sebastian Ohlsson,51,50,33.0,62.0,0,2,Pass accurate,,-0.005153687985360585,0.8786857382041054,1,False,False,False,,,,,
1,Degerfors IF,Sebastian Ohlsson,,32,62,72.0,13.0,2,4,Pass inaccurate,,,0.5585431470088835,1,False,False,False,,,,,
2,IK Sirius FK,Marcus Klingenberg Mathisen,,28,87,,,4,7,Air challenge unsuccessful,,,,1,False,False,False,,,,,
3,IK Sirius FK,Marcus Klingenberg Mathisen,,28,87,,,4,7,Challenge unsuccessful,,,,1,False,False,False,,,,,
4,Degerfors IF,Erik Lindell,,72,13,,,4,7,Air challenge successful,,,,1,False,False,False,,,,,
5,Degerfors IF,Erik Lindell,,72,13,,,4,7,Challenge successful,,,,1,False,False,False,,,,,
6,IK Sirius FK,Marcus Klingenberg Mathisen,Dennis Widgren,28,86,38.0,86.0,5,7,Pass accurate,,0.0015837992739677984,0.8034296222646509,1,False,False,False,,,,,
7,IK Sirius FK,Dennis Widgren,Hannes Sveijer,10,90,3.0,66.0,8,10,Pass accurate,,0.0005152385428955995,0.9158339722732378,1,False,False,False,,,,,
8,IK Sirius FK,Hannes Sveijer,,3,67,33.0,90.0,10,12,Pass inaccurate,,,0.7152656808186555,1,False,False,False,,,,,
9,Degerfors IF,Sean Sabetkar,Adam Carlén,67,10,70.0,23.0,13,15,Pass accurate,,0.0029833395362104873,0.7324090598503206,1,False,False,False,,,,,
10,Degerfors IF,Adam Carlén,,71,25,81.0,25.0,15,17,Pass inaccurate,,,0.5815387242911363,1,False,False,False,,,,,
11,IK Sirius FK,Jacob Ortmark,Nahom Girmai Netabay,31,33,35.0,69.0,23,25,Pass accurate,,0.0009943261759786937,0.8434890634857264,1,False,False,False,,,,,
12,Degerfors IF,Nikola Djurdjic,,67,40,,,24,29,Tackle unsuccessful,,,,1,False,False,False,,,,,
13,Degerfors IF,Nikola Djurdjic,,67,40,,,24,29,Challenge successful,,,,1,False,False,False,,,,,
