external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Göteborg,Oscar Vilhelmsson,Carl Johansson,49,51,29.0,49.0,0,3,pass accurate,,-0.0025869714088918878,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,IFK Göteborg,Carl Johansson,,29,45,72.0,18.0,3,6,pass inaccurate,,,0.5150556740617365,1,False,False,False,nan,nan,nan,,nan
2,Mjällby AIF,Kadir Hodzic,,28,82,,,6,11,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
3,Mjällby AIF,Kadir Hodzic,,28,85,,,7,10,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Mjällby AIF,Kadir Hodzic,,28,85,,,7,10,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,IFK Göteborg,Marcus Berg,,71,18,,,7,10,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,IFK Göteborg,Marcus Berg,,71,18,,,7,10,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,IFK Göteborg,Gustav Svensson,Hosam Aiesh,66,14,72.0,8.0,8,11,pass accurate,,0.0027287035445963045,0.7326471803316628,1,False,False,False,nan,nan,nan,,nan
8,IFK Göteborg,Hosam Aiesh,Marcus Berg,78,6,90.0,11.0,9,12,pass accurate,,0.006001420018364626,0.5778664531407307,1,False,False,False,nan,nan,nan,,nan
9,IFK Göteborg,Hosam Aiesh,,72,8,78.0,6.0,8,12,carry,,0.005796274482870466,,1,False,False,False,nan,nan,nan,,nan
10,IFK Göteborg,Marcus Berg,,94,12,97.0,42.0,12,15,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
11,IFK Göteborg,Marcus Berg,,94,12,97.0,42.0,12,15,pass inaccurate,,,0.22660062423751007,1,False,False,False,nan,nan,nan,,nan
12,IFK Göteborg,Marcus Berg,,94,12,97.0,42.0,12,15,cross inacurate,,,0.22660062423751007,1,False,False,False,nan,nan,nan,,nan
13,Mjällby AIF,Carljohan Eriksson,,3,58,,,12,17,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
14,Mjällby AIF,Carljohan Eriksson,,3,58,,,12,17,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
15,Mjällby AIF,Carljohan Eriksson,,24,25,72.0,49.0,33,43,pass inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
16,Mjällby AIF,Carljohan Eriksson,,24,25,72.0,49.0,33,43,goalkeeper kick inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
17,IFK Göteborg,Gustav Svensson,,28,51,,,39,44,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
18,IFK Göteborg,Gustav Svensson,Hosam Aiesh,28,48,44.0,47.0,40,43,pass accurate,,0.0026145972645600767,0.7904629585794593,1,False,False,False,nan,nan,nan,,nan
19,Mjällby AIF,David Löfquist,,54,48,,,41,46,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
20,Mjällby AIF,David Löfquist,,54,48,,,41,46,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
21,Mjällby AIF,Elias Andersson,Kadir Hodzic,56,65,65.0,79.0,44,47,pass accurate,,0.002285596281785481,0.7426911480027857,1,False,False,False,nan,nan,nan,,nan
22,IFK Göteborg,Gustav Svensson,,34,21,,,45,50,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
23,IFK Göteborg,Gustav Svensson,,34,21,,,45,50,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
24,Mjällby AIF,Elias Andersson,,63,87,,,45,50,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
25,Mjällby AIF,Elias Andersson,,63,87,,,45,50,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
26,Mjällby AIF,Elias Andersson,Amin Sarr,60,94,92.0,91.0,51,54,pass accurate,,0.029313013154079838,0.511143242261698,1,False,False,False,nan,nan,nan,,nan
27,Mjällby AIF,Amin Sarr,Mamudu Moro,94,90,88.0,93.0,56,59,pass accurate,,-0.013485292563502387,0.40259551076455,1,False,False,False,nan,nan,nan,,nan
28,Mjällby AIF,Mamudu Moro,Viktor Gustafson,87,89,90.0,61.0,59,62,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
29,Mjällby AIF,Mamudu Moro,Viktor Gustafson,87,89,90.0,61.0,59,62,pass accurate,,0.09110167066801347,0.5723815777934279,1,False,False,False,nan,nan,nan,,nan
30,Mjällby AIF,Mamudu Moro,Viktor Gustafson,87,89,90.0,61.0,59,62,cross accurate,,,0.5723815777934279,1,False,False,False,nan,nan,nan,,nan
31,Mjällby AIF,Viktor Gustafson,,90,58,,,60,63,wide shot,0.12232119522723033,,,2,True,False,False,nan,nan,nan,True,nan
32,IFK Göteborg,Ioannis Anestis,,10,42,,,60,63,goalkeeper wide shot,,,,2,False,False,False,nan,nan,nan,,nan
33,Mjällby AIF,Viktor Gustafson,,90,58,,,60,63,shot,0.12232119522723033,,,2,True,False,False,nan,nan,header,True,nan
34,IFK Göteborg,Ioannis Anestis,,5,41,64.0,22.0,88,98,pass inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
35,IFK Göteborg,Ioannis Anestis,,5,41,64.0,22.0,88,98,goal kick,,,,2,False,False,False,nan,nan,nan,,nan
36,Mjällby AIF,David Löfquist,,36,78,,,95,100,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
37,IFK Göteborg,Marcus Berg,,60,25,87.0,9.0,98,101,pass inaccurate,,,0.4325968746523603,2,False,False,False,nan,nan,nan,,nan
38,Mjällby AIF,Carlos Moros Gracia,,13,91,,,101,106,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
39,Mjällby AIF,Carlos Moros Gracia,,13,91,,,101,106,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
40,IFK Göteborg,Oscar Vilhelmsson,,89,11,,,101,106,tackle unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
41,IFK Göteborg,Oscar Vilhelmsson,,89,11,,,101,106,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
42,Mjällby AIF,Carlos Moros Gracia,Carljohan Eriksson,5,87,4.0,70.0,107,110,pass accurate,,0.000910649346470763,0.9173419562827211,2,False,False,False,nan,nan,nan,,nan
43,Mjällby AIF,Carljohan Eriksson,,2,70,33.0,91.0,108,111,pass inaccurate,,,0.6928090237541745,2,False,False,False,nan,nan,nan,,nan
44,IFK Göteborg,August Erlingmark,Alexander Jallow,67,9,70.0,6.0,112,115,pass accurate,,,0.27339833553654974,2,False,False,False,nan,nan,nan,,nan
45,IFK Göteborg,Alexander Jallow,Gustav Svensson,73,8,71.0,6.0,121,124,pass accurate,,,0.10635329166164952,3,False,False,False,nan,nan,nan,,nan
46,IFK Göteborg,Gustav Svensson,August Erlingmark,71,12,68.0,13.0,125,128,pass accurate,,0.0029833395362104873,0.4986978185980958,3,False,False,False,nan,nan,nan,,nan
47,IFK Göteborg,August Erlingmark,Carl Johansson,68,18,56.0,43.0,126,129,pass accurate,,-0.008151997098938109,0.8069741613222728,3,False,False,False,nan,nan,nan,,nan
48,IFK Göteborg,Carl Johansson,Oscar Wendt,54,48,61.0,86.0,128,131,pass accurate,,0.0016015311208807809,0.7727568281562704,3,False,False,False,nan,nan,nan,,nan
49,IFK Göteborg,Oscar Wendt,Carl Johansson,55,89,35.0,71.0,133,136,pass accurate,,-0.0009348058175669659,0.8819799051092543,3,False,False,False,nan,nan,nan,,nan
50,IFK Göteborg,Oscar Wendt,,61,86,55.0,89.0,128,136,carry,,-0.005055823931346709,,3,False,False,False,nan,nan,nan,,nan
51,IFK Göteborg,Carl Johansson,Mattias Bjärsmyr,42,65,39.0,24.0,136,139,pass accurate,,-0.0018448487873523774,0.8518825533708186,3,False,False,False,nan,nan,nan,,nan
52,IFK Göteborg,Mattias Bjärsmyr,Alexander Jallow,52,17,59.0,8.0,139,142,pass accurate,,0.0012463253335954876,0.7768850902975777,3,False,False,False,nan,nan,nan,,nan
53,IFK Göteborg,Mattias Bjärsmyr,,39,24,52.0,17.0,136,142,carry,,0.003965733617230838,,3,False,False,False,nan,nan,nan,,nan
54,IFK Göteborg,Alexander Jallow,Oscar Vilhelmsson,56,7,70.0,15.0,142,145,pass accurate,,0.01066587124841804,0.654883305479413,3,False,False,False,nan,nan,nan,,nan
55,IFK Göteborg,Oscar Vilhelmsson,,71,17,76.0,10.0,143,146,pass inaccurate,,,0.7399445588565448,3,False,False,False,nan,nan,nan,,nan
56,Mjällby AIF,Kadir Hodzic,,24,90,,,143,148,interception succesful,,,,3,False,False,False,nan,nan,nan,,nan
57,Mjällby AIF,Kadir Hodzic,,24,90,,,143,148,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
58,Mjällby AIF,Kadir Hodzic,,24,96,40.0,94.0,146,149,pass inaccurate,,,0.8114940878309206,3,False,False,False,nan,nan,nan,,nan
59,IFK Göteborg,Alexander Jallow,,60,6,,,146,151,clearance inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
60,Mjällby AIF,Ivan Kričak,Mamudu Moro,28,98,54.0,89.0,161,164,pass accurate,,0.004661192441313737,0.6762836204308936,3,False,False,False,nan,nan,nan,,nan
61,Mjällby AIF,Elias Andersson,,38,91,,,164,169,tackle unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
62,Mjällby AIF,Elias Andersson,,38,91,,,164,169,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
63,IFK Göteborg,Alexander Jallow,August Erlingmark,57,1,58.0,11.0,173,176,pass accurate,,,0.7009524534005287,3,False,False,False,nan,nan,nan,,nan
64,Mjällby AIF,Viktor Gustafson,,32,81,,,175,180,interception succesful,,,,3,False,False,False,nan,nan,nan,,nan
65,Mjällby AIF,Viktor Gustafson,,32,81,,,175,180,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
66,IFK Göteborg,August Erlingmark,,62,8,74.0,23.0,175,178,pass inaccurate,,,0.661078211225858,3,False,False,False,nan,nan,nan,,nan
67,Mjällby AIF,Kadir Hodzic,Elias Andersson,26,77,34.0,91.0,177,180,pass accurate,,-7.891727226244476e-05,0.8433793376795471,3,False,False,False,nan,nan,nan,,nan
68,Mjällby AIF,Elias Andersson,,34,90,78.0,35.0,179,182,pass inaccurate,,,0.45293597324049534,3,False,False,False,nan,nan,nan,,nan
69,IFK Göteborg,Ioannis Anestis,,22,65,,,183,188,interception succesful,,,,4,False,False,False,nan,nan,nan,,nan
70,IFK Göteborg,Ioannis Anestis,,22,65,,,183,188,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
71,IFK Göteborg,Ioannis Anestis,Carl Johansson,22,58,24.0,65.0,194,197,pass accurate,,-0.00034784133065348007,0.7899047099456639,4,False,False,False,nan,nan,nan,,nan
72,IFK Göteborg,Carl Johansson,Oscar Wendt,38,76,42.0,89.0,198,201,pass accurate,,-0.00021124459255205189,0.8489454231029975,4,False,False,False,nan,nan,nan,,nan
73,IFK Göteborg,Carl Johansson,,24,65,38.0,76.0,194,201,carry,,0.0019264380540464504,,4,False,False,False,nan,nan,nan,,nan
74,IFK Göteborg,Oscar Wendt,,46,93,73.0,80.0,199,202,pass inaccurate,,,0.5739594618482114,4,False,False,False,nan,nan,nan,,nan
75,Mjällby AIF,Carlos Moros Gracia,,27,20,,,200,205,clearance inaccurate,,,,4,False,False,False,nan,nan,nan,,nan
76,IFK Göteborg,Carl Johansson,August Erlingmark,29,69,29.0,58.0,205,208,pass accurate,,0.000632147095620355,0.8753379758453085,4,False,False,False,nan,nan,nan,,nan
77,IFK Göteborg,August Erlingmark,,38,33,86.0,49.0,207,210,pass into the box,,,,4,False,False,False,nan,nan,nan,,nan
78,IFK Göteborg,August Erlingmark,,38,33,86.0,49.0,207,210,pass inaccurate,,,0.42696780321146166,4,False,False,False,nan,nan,nan,,nan
79,IFK Göteborg,August Erlingmark,,29,58,38.0,33.0,205,210,carry,,0.0010659463132557181,,4,False,False,False,nan,nan,nan,,nan
80,Mjällby AIF,Carljohan Eriksson,Elias Andersson,14,51,32.0,76.0,210,220,pass accurate,,,,4,False,False,False,nan,nan,nan,,nan
81,Mjällby AIF,Carljohan Eriksson,Elias Andersson,14,51,32.0,76.0,210,220,goalkeeper throw accurate,,,,4,False,False,False,nan,nan,nan,,nan
82,Mjällby AIF,Carljohan Eriksson,,14,38,,,211,216,interception succesful,,,,4,False,False,False,nan,nan,nan,,nan
83,Mjällby AIF,Carljohan Eriksson,,14,38,,,211,216,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
84,IFK Göteborg,Gustav Svensson,,70,16,,,215,220,tackle unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
85,IFK Göteborg,Gustav Svensson,,70,16,,,215,220,challenge successful,,,,4,False,False,False,nan,nan,nan,,nan
86,Mjällby AIF,Elias Andersson,,29,70,12.0,87.0,216,219,pass inaccurate,,,0.946521611460939,4,False,False,False,nan,nan,nan,,nan
87,Mjällby AIF,Ivan Kričak,,12,87,,,218,223,clearance inaccurate,,,,4,False,False,False,nan,nan,nan,,nan
88,IFK Göteborg,August Erlingmark,,69,7,,,219,224,clearance inaccurate,,,,4,False,False,False,nan,nan,nan,,nan
89,Mjällby AIF,Amin Sarr,,47,82,,,226,231,interception succesful,,,,4,False,False,False,nan,nan,nan,,nan
90,Mjällby AIF,Amin Sarr,,47,82,,,226,231,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
91,IFK Göteborg,August Erlingmark,,65,23,48.0,18.0,226,229,pass inaccurate,,,0.839800671968698,4,False,False,False,nan,nan,nan,,nan
92,IFK Göteborg,Marcus Berg,,48,18,,,227,232,tackle successful,,,,4,False,False,False,nan,nan,nan,,nan
93,IFK Göteborg,Marcus Berg,,48,18,,,227,232,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
94,IFK Göteborg,Gustav Svensson,Alexander Jallow,49,22,33.0,16.0,229,232,pass accurate,,-0.00267892683696312,0.8774982744273333,4,False,False,False,nan,nan,nan,,nan
95,IFK Göteborg,Alexander Jallow,Ioannis Anestis,30,4,10.0,35.0,233,236,pass accurate,,1.9274029212415153e-05,0.9174823656109652,4,False,False,False,nan,nan,nan,,nan
96,IFK Göteborg,Ioannis Anestis,,12,39,58.0,27.0,242,245,pass inaccurate,,,0.5996166745185927,5,False,False,False,nan,nan,nan,,nan
97,Mjällby AIF,Ivan Kričak,,42,73,,,244,249,clearance inaccurate,,,,5,False,False,False,nan,nan,nan,,nan
98,IFK Göteborg,Marcus Berg,,56,31,,,246,249,air challenge successful,,,,5,False,False,False,nan,nan,nan,,nan
99,IFK Göteborg,Marcus Berg,,56,31,,,246,249,challenge successful,,,,5,False,False,False,nan,nan,nan,,nan
100,Mjällby AIF,Ivan Kričak,,41,70,,,246,249,air challenge unsuccessful,,,,5,False,False,False,nan,nan,nan,,nan
101,Mjällby AIF,Ivan Kričak,,41,70,,,246,249,challenge unsuccessful,,,,5,False,False,False,nan,nan,nan,,nan
102,IFK Göteborg,August Erlingmark,,44,46,72.0,8.0,247,250,pass inaccurate,,,0.6060199528713147,5,False,False,False,nan,nan,nan,,nan
103,IFK Göteborg,Hosam Aiesh,,72,8,,,252,257,block unsuccessful,,,,5,False,False,False,nan,nan,nan,,nan
