external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,AIK,away,Nicolas Stefanelli,Sotirios Papagiannopoulos,50,50,32.0,57.0,0,3,pass accurate,,-0.005153687985360585,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,AIK,away,Sotirios Papagiannopoulos,,34,56,71.0,14.0,2,5,pass inaccurate,,,0.5378860113823409,1,False,False,False,nan,nan,nan,,nan
2,IF Elfsborg,home,Oliver Zandén,Jeppe Møldrup Okkels,29,86,28.0,93.0,5,8,pass accurate,,-0.0013944507131610114,0.5349949245398774,1,False,False,False,nan,nan,nan,,nan
3,IF Elfsborg,home,Oliver Zandén,,28,88,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,IF Elfsborg,home,Oliver Zandén,,28,88,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,AIK,away,Nabil Bahoui,,71,13,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,AIK,away,Nabil Bahoui,,71,13,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,IF Elfsborg,home,Jeppe Møldrup Okkels,Oliver Zandén,28,94,24.0,88.0,8,11,pass accurate,,-0.0011950902385294143,0.8226111698959306,1,False,False,False,nan,nan,nan,,nan
8,IF Elfsborg,home,Oliver Zandén,,22,89,16.0,87.0,9,12,pass inaccurate,,,0.9135096015035041,1,False,False,False,nan,nan,nan,,nan
9,AIK,away,Nabil Bahoui,Zachary Elbouzedi,84,13,82.0,5.0,15,18,pass accurate,,-0.00799899047943901,0.6111007513317168,1,False,False,False,nan,nan,nan,,nan
10,IF Elfsborg,home,Oliver Zandén,,9,88,,,17,22,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
11,IF Elfsborg,home,Oliver Zandén,,9,88,,,17,22,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
12,AIK,away,Zachary Elbouzedi,,91,7,91.0,3.0,18,21,pass inaccurate,,,0.09478340345343197,1,False,False,False,nan,nan,nan,,nan
13,AIK,away,Mikael Lustig,Alexander Milošević,91,3,63.0,8.0,31,34,pass accurate,,-0.01659009414867331,0.7133206378887536,1,False,False,True,throw-in,nan,nan,,nan
14,AIK,away,Alexander Milošević,Bilal Hussein,61,7,64.0,18.0,35,38,pass accurate,,0.0020636961028419123,0.7401848824702122,1,False,False,False,throw-in,nan,nan,,nan
15,AIK,away,Bilal Hussein,Mikael Lustig,67,19,67.0,7.0,37,40,pass accurate,,-0.0029833395362104873,0.8219776923931469,1,False,False,False,throw-in,nan,nan,,nan
