external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,AIK,Nicolas Stefanelli,Alexander Milošević,49,50,29.0,35.0,0,2,pass accurate,,-0.0029860075288443075,0.9141354863853092,1,False,False,False,nan,nan,nan,,nan
1,AIK,Alexander Milošević,Sotirios Papagiannopoulos,30,29,29.0,62.0,2,4,pass accurate,,0.00023438342872604892,0.8833690352318923,1,False,False,False,nan,nan,nan,,nan
2,AIK,Sotirios Papagiannopoulos,,31,71,89.0,54.0,5,7,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
3,AIK,Sotirios Papagiannopoulos,,31,71,89.0,54.0,5,7,pass inaccurate,,,0.36504135116059927,1,False,False,False,nan,nan,nan,,nan
4,Hammarby,David Ousted,Jeppe Andrup Andersen,11,46,27.0,14.0,15,17,pass accurate,,0.0005205514799213676,0.8567157095182196,1,False,False,False,nan,nan,nan,,nan
5,Hammarby,Jeppe Andrup Andersen,,35,14,89.0,45.0,23,25,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
6,Hammarby,Jeppe Andrup Andersen,,35,14,89.0,45.0,23,25,pass inaccurate,,,0.3322225718908785,1,False,False,False,nan,nan,nan,,nan
7,AIK,Budimir Janosevic,Alexander Milošević,11,55,19.0,33.0,26,36,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
8,AIK,Budimir Janosevic,Alexander Milošević,11,55,19.0,33.0,26,36,goalkeeper throw accurate,,,,1,False,False,False,nan,nan,nan,,nan
9,AIK,Alexander Milošević,Sotirios Papagiannopoulos,31,28,29.0,66.0,38,40,pass accurate,,-0.00039776366689430603,0.8756916188516621,1,False,False,False,nan,nan,nan,,nan
10,AIK,Sotirios Papagiannopoulos,Nabil Bahoui,37,76,56.0,78.0,44,46,pass accurate,,0.003549975383081031,0.7053845791045404,1,False,False,False,nan,nan,nan,,nan
11,AIK,Nabil Bahoui,Bilal Hussein,55,82,45.0,71.0,45,47,pass accurate,,-0.0014036923666147193,0.8578015926945742,1,False,False,False,nan,nan,nan,,nan
12,AIK,Bilal Hussein,Sotirios Papagiannopoulos,44,74,32.0,71.0,47,49,pass accurate,,-0.00279023622272135,0.874484043114252,1,False,False,False,nan,nan,nan,,nan
13,AIK,Sotirios Papagiannopoulos,Alexander Milošević,30,63,32.0,31.0,49,51,pass accurate,,0.00039776366689430603,0.7951948016659212,1,False,False,False,nan,nan,nan,,nan
14,AIK,Alexander Milošević,,34,24,87.0,45.0,53,55,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
15,AIK,Alexander Milošević,,34,24,87.0,45.0,53,55,pass inaccurate,,,0.3570918416325022,1,False,False,False,nan,nan,nan,,nan
16,Hammarby,David Ousted,,13,55,38.0,14.0,64,74,pass inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
17,Hammarby,David Ousted,,13,55,38.0,14.0,64,74,goalkeeper kick inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
18,AIK,Nabil Bahoui,,62,86,,,69,74,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
19,AIK,Nabil Bahoui,,62,86,,,69,74,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
20,AIK,Nabil Bahoui,Alexander Milošević,57,65,43.0,47.0,74,76,pass accurate,,-0.001685726258594391,0.8606791863384019,2,False,False,False,nan,nan,nan,,nan
21,AIK,Alexander Milošević,Mikael Lustig,55,24,68.0,5.0,79,81,pass accurate,,0.0060387249810337044,0.7558647117969779,2,False,False,False,nan,nan,nan,,nan
22,AIK,Alexander Milošević,,43,47,55.0,24.0,74,81,carry,,0.0014997240011930084,,2,False,False,False,nan,nan,nan,,nan
23,AIK,Mikael Lustig,,70,5,88.0,14.0,82,84,pass inaccurate,,,0.5594685776223354,2,False,False,False,nan,nan,nan,,nan
24,Hammarby,Mohanad Jeahze,,12,86,,,82,87,clearance accurate,,,,2,False,False,False,nan,nan,nan,,nan
25,Hammarby,Mohanad Jeahze,Jeppe Andrup Andersen,11,85,31.0,85.0,85,87,pass accurate,,0.002449330172017008,0.7630525919862988,2,False,False,False,nan,nan,nan,,nan
26,Hammarby,Jeppe Andrup Andersen,Abdul Rahman Khalili,29,85,34.0,74.0,85,87,pass accurate,,0.00233193591058576,0.845896532063723,2,False,False,False,nan,nan,nan,,nan
27,Hammarby,Abdul Rahman Khalili,Darijan Bojanic,27,69,32.0,59.0,89,91,pass accurate,,0.000632147095620355,0.8373838007817325,2,False,False,False,nan,nan,nan,,nan
28,AIK,Henok Goitom,,70,37,,,90,95,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
29,AIK,Henok Goitom,,70,37,,,90,95,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
30,Hammarby,Darijan Bojanic,,31,64,,,90,95,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
31,AIK,Nabil Bahoui,,66,78,85.0,91.0,96,98,pass inaccurate,,,0.6835150307227715,2,False,False,False,nan,nan,nan,,nan
32,Hammarby,Akinkunmi Ayobami Amoo,,15,9,,,97,102,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
33,Hammarby,Akinkunmi Ayobami Amoo,,15,9,,,97,102,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
34,AIK,Sebastian Larsson,,98,99,82.0,51.0,146,156,left corner inaccurate,,,,3,False,False,False,corner,cleared,nan,,nan
35,AIK,Bilal Hussein,,82,51,,,149,152,wide shot,0.07224635314899314,,,3,False,False,False,corner,nan,nan,True,nan
36,Hammarby,David Ousted,,18,49,,,149,152,goalkeeper wide shot,,,,3,False,False,False,nan,nan,nan,,nan
37,AIK,Bilal Hussein,,82,51,,,149,152,shot,0.07224635314899314,,,3,False,False,False,corner,nan,right foot,True,nan
38,Hammarby,David Ousted,,4,51,,,150,155,clearance inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
39,AIK,Saku Ylätupa,Bilal Hussein,87,45,81.0,54.0,152,154,pass accurate,,-0.08869726271070932,0.6490051427536875,3,False,False,False,corner,nan,nan,,nan
40,AIK,Saku Ylätupa,Bilal Hussein,87,45,81.0,54.0,152,154,key pass,,,0.6490051427536875,3,False,False,False,corner,nan,nan,,nan
41,Hammarby,David Ousted,Mads Fenger Nielsen,4,49,5.0,27.0,165,175,pass accurate,,,,3,False,False,False,nan,nan,nan,,nan
42,Hammarby,David Ousted,Mads Fenger Nielsen,4,49,5.0,27.0,165,175,goalkeeper kick accurate,,,,3,False,False,False,nan,nan,nan,,nan
43,Hammarby,Mads Fenger Nielsen,Jeppe Andrup Andersen,7,27,9.0,8.0,171,173,pass accurate,,-0.001454019079444941,0.9091645016709137,3,False,False,False,nan,nan,nan,,nan
44,AIK,Nabil Bahoui,,89,96,,,175,180,interception unsuccesful,,,,3,False,False,False,nan,nan,nan,,nan
45,AIK,Nabil Bahoui,,89,96,,,175,180,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
46,Hammarby,Jeppe Andrup Andersen,,11,5,29.0,0.0,176,178,pass inaccurate,,,0.24539160479338687,3,False,False,False,nan,nan,nan,,nan
47,Hammarby,Simon Sandberg,Jeppe Andrup Andersen,29,0,36.0,12.0,190,192,pass accurate,,0.0014463204507441565,0.8318947889509268,4,False,False,False,nan,nan,nan,,nan
48,Hammarby,Jeppe Andrup Andersen,,35,8,43.0,15.0,191,193,pass inaccurate,,,0.8176111670166648,4,False,False,False,nan,nan,nan,,nan
49,AIK,Bilal Hussein,,57,85,63.0,78.0,192,194,pass inaccurate,,,0.7716921800916543,4,False,False,False,nan,nan,nan,,nan
50,Hammarby,Jeppe Andrup Andersen,,37,22,,,192,195,air challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
51,Hammarby,Jeppe Andrup Andersen,,37,22,,,192,195,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
52,AIK,Nicolas Stefanelli,,63,78,,,192,195,air challenge successful,,,,4,False,False,False,nan,nan,nan,,nan
53,AIK,Nicolas Stefanelli,,63,78,,,192,195,challenge successful,,,,4,False,False,False,nan,nan,nan,,nan
54,AIK,Sebastian Larsson,,62,72,,,194,199,clearance inaccurate,,,,4,False,False,False,nan,nan,nan,,nan
55,Hammarby,Jeppe Andrup Andersen,,36,20,36.0,20.0,194,196,pass inaccurate,,,0.27220153030410693,4,False,False,False,nan,nan,nan,,nan
56,Hammarby,David Ousted,Jón Gudni Fjóluson,3,47,12.0,63.0,199,209,pass accurate,,,,4,False,False,False,nan,nan,nan,,nan
57,Hammarby,David Ousted,Jón Gudni Fjóluson,3,47,12.0,63.0,199,209,goalkeeper kick accurate,,,,4,False,False,False,nan,nan,nan,,nan
58,AIK,Nicolas Stefanelli,,69,3,,,209,214,interception unsuccesful,,,,4,False,False,False,nan,nan,nan,,nan
59,AIK,Nicolas Stefanelli,,69,3,,,209,214,challenge successful,,,,4,False,False,False,nan,nan,nan,,nan
60,Hammarby,Jón Gudni Fjóluson,,30,95,36.0,97.0,210,212,pass inaccurate,,,0.8922251341212395,4,False,False,False,nan,nan,nan,,nan
61,Hammarby,Mohanad Jeahze,Jón Gudni Fjóluson,36,97,33.0,89.0,219,221,pass accurate,,-0.0013155334408985666,0.8543136596233122,4,False,False,False,nan,nan,nan,,nan
62,Hammarby,Jón Gudni Fjóluson,Mads Fenger Nielsen,30,89,29.0,66.0,221,223,pass accurate,,0.0023342967808737715,0.8768470111444823,4,False,False,False,nan,nan,nan,,nan
63,Hammarby,Simon Sandberg,,87,16,,,226,251,final third entry,,,,4,False,False,False,nan,nan,nan,,nan
64,Hammarby,Mads Fenger Nielsen,Jeppe Andrup Andersen,33,33,35.0,18.0,228,230,pass accurate,,0.0005476237684746664,0.8709487575289034,4,False,False,False,nan,nan,nan,,nan
