external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Varbergs BoIS FC,Tashreeq Matthews,Joakim Lindner,50,50,28.0,51.0,0,3,pass accurate,,-0.005153687985360585,0.9161791357261458,1,False,False,False,nan,nan,nan,,nan
1,Varbergs BoIS FC,Joakim Lindner,,27,51,73.0,25.0,3,6,pass inaccurate,,,0.5080089491577436,1,False,False,False,nan,nan,nan,,nan
2,Djurgården,Rasmus Schüller,Magnus Eriksson,27,75,35.0,81.0,8,11,pass accurate,,0.0015837992739677984,0.8400518790291641,1,False,False,False,nan,nan,nan,,nan
3,Djurgården,Magnus Eriksson,,38,84,56.0,90.0,11,14,pass inaccurate,,,0.7098240146215961,1,False,False,False,nan,nan,nan,,nan
4,Varbergs BoIS FC,Gideon Mensah,Oliver Stanisic,44,10,37.0,28.0,12,15,pass accurate,,0.0006084328378976548,0.8582846243776666,1,False,False,False,nan,nan,nan,,nan
5,Varbergs BoIS FC,Oliver Stanisic,,36,29,24.0,52.0,14,17,pass inaccurate,,,0.9310264069346237,1,False,False,False,nan,nan,nan,,nan
6,Varbergs BoIS FC,Hampus Zackrisson,,24,52,,,17,22,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
7,Djurgården,Haris Radetinac,Jacob Une Larsson,53,55,39.0,39.0,24,27,pass accurate,,-0.003823319988116164,0.8606791863384019,1,False,False,False,nan,nan,nan,,nan
8,Djurgården,Jacob Une Larsson,Hjalmar Ekdal,40,39,36.0,63.0,26,29,pass accurate,,-0.0005704252499917767,0.87230301542333,1,False,False,False,nan,nan,nan,,nan
9,Djurgården,Hjalmar Ekdal,Jacob Une Larsson,37,66,36.0,34.0,29,32,pass accurate,,0.0003060035660030734,0.8749250410129708,1,False,False,False,nan,nan,nan,,nan
10,Djurgården,Jacob Une Larsson,Edward Chilufya,37,32,55.0,6.0,32,35,pass accurate,,0.0015692209125498895,0.5879741716476682,1,False,False,False,nan,nan,nan,,nan
11,Djurgården,Edward Chilufya,,76,5,,,33,58,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
12,Djurgården,Edward Chilufya,,55,6,76.0,5.0,32,58,carry,,0.01347880619507802,,1,False,False,False,nan,nan,nan,,nan
13,Djurgården,Edward Chilufya,Haris Radetinac,71,8,65.0,11.0,39,42,pass accurate,,-0.004792399647438217,0.7724645740250938,1,False,False,False,nan,nan,nan,,nan
14,Djurgården,Haris Radetinac,Edward Chilufya,66,17,71.0,5.0,42,45,pass accurate,,0.0027287035445963045,0.7980634259746198,1,False,False,False,nan,nan,nan,,nan
15,Djurgården,Edward Chilufya,Hampus Finndell,70,5,75.0,22.0,43,46,pass accurate,,0.008024806478663438,0.6468410088764642,1,False,False,False,nan,nan,nan,,nan
16,Djurgården,Hampus Finndell,,81,24,92.0,48.0,45,48,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
17,Djurgården,Hampus Finndell,,81,24,92.0,48.0,45,48,pass inaccurate,,,0.5481240825699037,1,False,False,False,nan,nan,nan,,nan
18,Djurgården,Hampus Finndell,,81,24,92.0,48.0,45,48,cross inacurate,,,0.5481240825699037,1,False,False,False,nan,nan,nan,,nan
19,Djurgården,Hampus Finndell,,75,22,81.0,24.0,43,48,carry,,,,1,False,False,False,nan,nan,nan,,nan
