external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Jerell Anthony Sellars,Noah Sonko Sundberg,51,49,30.0,47.0,0,3,pass accurate,,-0.004984388684059168,0.9077521422162625,1,False,False,False,nan,nan,nan,,nan
1,Östersund,Noah Sonko Sundberg,Blair Sebastian Turgott,28,43,74.0,89.0,3,6,pass accurate,,0.008138846488666559,0.5181181462679111,1,False,False,False,nan,nan,nan,,nan
2,Östersund,Blair Sebastian Turgott,,72,90,,,6,11,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
3,Örebro,Benjamin Hjertstrand,Michael Almebäck,25,1,10.0,14.0,15,18,pass accurate,,-0.0011876257177498694,0.9148794817207418,1,False,False,False,nan,nan,nan,,nan
4,Örebro,Benjamin Hjertstrand,Dennis Collander,24,3,37.0,9.0,36,39,pass accurate,,0.002766676567495229,0.6669219329894114,1,False,False,False,nan,nan,nan,,nan
5,Örebro,Dennis Collander,,34,7,44.0,10.0,37,40,pass inaccurate,,,0.8122047223918273,1,False,False,False,nan,nan,nan,,nan
6,Östersund,Eirik Haugan,,56,90,,,37,42,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
7,Östersund,Eirik Haugan,,56,90,,,37,42,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
8,Östersund,Ludvig Fritzson,,72,93,75.0,86.0,40,43,pass inaccurate,,,0.6565228477871671,1,False,False,False,nan,nan,nan,,nan
9,Östersund,Jerell Anthony Sellars,,75,86,,,44,47,foul,,,,1,False,False,False,nan,nan,nan,,nan
10,Örebro,Michael Almebäck,Andreas Skovgaard Larsen,25,26,25.0,47.0,51,54,pass accurate,,0.0003990361199524197,0.893316516462432,1,False,False,False,nan,nan,nan,,nan
11,Örebro,Andreas Skovgaard Larsen,Michael Almebäck,27,42,25.0,30.0,57,60,pass accurate,,-0.0003990361199524197,0.9172072925074123,1,False,False,False,nan,nan,nan,,nan
12,Örebro,Michael Almebäck,Andreas Skovgaard Larsen,24,32,25.0,46.0,60,63,pass accurate,,0.0016686620508161599,0.8902668004138777,2,False,False,False,nan,nan,nan,,nan
13,Örebro,Andreas Skovgaard Larsen,Kevin Adrian Wright,24,66,43.0,89.0,63,66,pass accurate,,0.0017151934614943985,0.7722607207661456,2,False,False,False,nan,nan,nan,,nan
14,Örebro,Kevin Adrian Wright,Michael Almebäck,38,89,24.0,59.0,68,71,pass accurate,,8.411982283727283e-05,0.9283249472659795,2,False,False,False,nan,nan,nan,,nan
15,Örebro,Michael Almebäck,Benjamin Hjertstrand,24,52,27.0,21.0,72,75,pass accurate,,0.0006008037944655754,0.9115676985748576,2,False,False,False,nan,nan,nan,,nan
16,Örebro,Benjamin Hjertstrand,,35,17,73.0,57.0,78,81,pass inaccurate,,,0.4743676311028757,2,False,False,False,nan,nan,nan,,nan
17,Östersund,Noah Sonko Sundberg,,27,43,,,79,84,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
18,Örebro,Jiloan Mohamed Hamad,,73,50,,,81,84,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
19,Örebro,Jiloan Mohamed Hamad,,73,50,,,81,84,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
20,Östersund,Noah Sonko Sundberg,,28,45,,,81,84,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
21,Östersund,Noah Sonko Sundberg,,28,45,,,81,84,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
22,Örebro,Kevin Walker,Andreas Skovgaard Larsen,53,50,46.0,75.0,83,86,pass accurate,,-0.0037294075828394994,0.831446557390423,2,False,False,False,nan,nan,nan,,nan
23,Örebro,Andreas Skovgaard Larsen,,55,68,84.0,27.0,86,89,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
24,Örebro,Andreas Skovgaard Larsen,,55,68,84.0,27.0,86,89,pass inaccurate,,,0.5331363693700684,2,False,False,False,nan,nan,nan,,nan
25,Örebro,Andreas Skovgaard Larsen,,46,75,55.0,68.0,83,89,carry,,0.0030406958118597525,,2,False,False,False,nan,nan,nan,,nan
