external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,Joel Asoro,Jacob Une Larsson,51,50,33.0,50.0,0,2,Pass accurate,,-0.005153687985360585,0.8821105643271655,1,False,False,False,,,,,
1,Djurgården,Jacob Une Larsson,,33,52,71.0,84.0,2,4,Pass inaccurate,,,0.3749574092761921,1,False,False,False,,,,,
2,Hammarby,Vladimir Rodic,,29,16,,,3,8,Clearance inaccurate,,,,1,False,False,False,,,,,
3,Djurgården,Elliot Käck,Magnus Eriksson,69,97,69.0,81.0,12,14,Pass accurate,,0.003384757163740343,0.7631776740429487,1,False,False,False,,,,,
4,Djurgården,Joel Asoro,,97,66,,,13,23,Penalty box entry successful,,,,1,False,False,False,,,,,
5,Djurgården,Hampus Finndell,,75,66,,,13,38,Final third entry,,,,1,False,False,False,,,,,
6,Djurgården,Magnus Eriksson,Elliot Käck,68,84,71.0,96.0,13,15,Pass accurate,,-0.003384757163740343,0.5247073962703126,1,False,False,False,,,,,
7,Djurgården,Elliot Käck,Joel Asoro,69,97,72.0,76.0,14,16,Pass accurate,,0.003384757163740343,0.758359911698151,1,False,False,False,,,,,
8,Djurgården,Joel Asoro,,97,65,,,17,20,Wide shot,0.29375754850795127,,,1,False,False,False,,,,True,
9,Hammarby,David Ousted,,3,35,,,17,20,Goalkeeper wide shot,,,,1,False,False,False,,,,,
10,Djurgården,Joel Asoro,,97,65,,,17,20,Shot,0.29375754850795127,,,1,False,False,False,,,Right Foot,True,
11,Djurgården,Joel Asoro,,72,76,97.0,65.0,14,20,Carry,,0.02854631280339871,,1,False,False,False,,,,,
12,Djurgården,Joel Asoro,Hampus Finndell,74,77,74.0,66.0,17,19,Pass accurate,,0.0006536310385191826,0.7348414994681195,1,False,False,False,,,,,
13,Djurgården,Hampus Finndell,Joel Asoro,75,68,97.0,66.0,18,20,Pass into the box,,,,1,False,False,False,,,,,
14,Djurgården,Hampus Finndell,Joel Asoro,75,68,97.0,66.0,18,20,Pass accurate,,0.020403549407768597,0.3337091626723215,1,False,False,False,,,,,
15,Djurgården,Hampus Finndell,Joel Asoro,75,68,97.0,66.0,18,20,Key pass,,,0.3337091626723215,1,False,False,False,,,,,
16,Hammarby,Darijan Bojanic,,25,71,45.0,56.0,39,41,Pass inaccurate,,,0.7527704333638288,1,False,False,False,,,,,
17,Djurgården,Hjalmar Ekdal,,55,44,,,40,45,Interception succesful,,,,1,False,False,False,,,,,
