external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Göteborg,Simon Thern,Bernardo Vilar Estevão Jeronimo,49,51,30.0,57.0,0,3,pass accurate,,-0.0027516241001182586,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,IFK Göteborg,Bernardo Vilar Estevão Jeronimo,August Erlingmark,30,55,63.0,28.0,3,6,pass accurate,,0.008100562595370623,0.6084706732509422,1,False,False,False,nan,nan,nan,,nan
2,IFK Göteborg,August Erlingmark,,65,27,70.0,26.0,5,8,pass inaccurate,,,0.6661344149328291,1,False,False,False,nan,nan,nan,,nan
3,IFK Norrköping FK,Theodore Rask,,30,74,,,6,11,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
4,IFK Göteborg,August Erlingmark,,66,29,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,IFK Göteborg,August Erlingmark,,66,29,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,IFK Norrköping FK,Marco Lund Nielsen,,35,75,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,IFK Norrköping FK,Marco Lund Nielsen,,35,75,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
8,IFK Göteborg,August Erlingmark,,65,28,67.0,25.0,9,12,pass inaccurate,,,0.24199045641388245,1,False,False,False,nan,nan,nan,,nan
9,IFK Norrköping FK,Alexander Fransson,,33,75,,,9,14,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
10,IFK Norrköping FK,Alexander Fransson,,33,75,,,9,14,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
11,IFK Norrköping FK,Alexander Fransson,Carl Björk,67,94,61.0,94.0,14,17,pass accurate,,-0.003925326525479712,0.8505113274236247,1,False,False,False,nan,nan,nan,,nan
12,IFK Göteborg,Gustaf Norlin,,35,2,,,15,20,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,IFK Göteborg,Gustaf Norlin,,35,2,,,15,20,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
14,IFK Norrköping FK,Carl Björk,Marco Lund Nielsen,58,99,35.0,87.0,24,27,pass accurate,,-0.0016829424541849273,0.8707404719951044,1,False,False,True,throw-in,nan,nan,,nan
15,IFK Norrköping FK,Marco Lund Nielsen,Theodore Rask,31,88,39.0,95.0,26,29,pass accurate,,0.0013155334408985666,0.8061939125106733,1,False,False,False,throw-in,nan,nan,,nan
16,IFK Norrköping FK,Theodore Rask,Carl Björk,38,94,59.0,95.0,28,31,pass accurate,,0.0060290830900087775,0.6903512054630971,1,False,False,False,throw-in,nan,nan,,nan
17,IFK Norrköping FK,Carl Björk,,70,95,80.0,69.0,32,35,pass inaccurate,,,0.6410525698942979,1,False,False,False,throw-in,nan,nan,,nan
18,IFK Norrköping FK,Carl Björk,,59,95,70.0,95.0,28,35,carry,,0.003925326525479712,,1,False,False,False,throw-in,nan,nan,,nan
19,IFK Göteborg,Gustav Svensson,,20,31,,,34,39,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
20,IFK Göteborg,Gustav Svensson,,20,31,,,34,39,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
21,IFK Göteborg,Gustav Svensson,Alexander Jallow,21,28,21.0,9.0,36,39,pass accurate,,-0.0021311896497578538,0.8717098100282901,1,False,False,False,nan,nan,nan,,nan
22,IFK Göteborg,Alexander Jallow,Gustaf Norlin,21,9,27.0,5.0,39,42,pass accurate,,0.0013203561167510723,0.8675339895914443,1,False,False,False,nan,nan,nan,,nan
23,IFK Göteborg,Gustaf Norlin,Alexander Jallow,26,6,18.0,7.0,41,44,pass accurate,,-0.0013203561167510723,0.9291612496133658,1,False,False,False,nan,nan,nan,,nan
24,IFK Göteborg,Alexander Jallow,Gustaf Norlin,23,11,27.0,6.0,44,47,pass accurate,,0.0013203561167510723,0.5730003055819067,1,False,False,False,nan,nan,nan,,nan
25,IFK Norrköping FK,Alexander Fransson,,43,87,,,48,53,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
26,IFK Norrköping FK,Alexander Fransson,,43,87,,,48,53,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
27,IFK Göteborg,Gustaf Norlin,Alexander Jallow,28,8,59.0,15.0,48,51,pass accurate,,0.009903838286013426,0.5114462409226881,1,False,False,False,nan,nan,nan,,nan
28,IFK Norrköping FK,Marco Lund Nielsen,Theodore Rask,34,84,32.0,96.0,51,54,pass accurate,,-0.0029782499871288098,0.6774947361169008,1,False,False,False,nan,nan,nan,,nan
29,IFK Norrköping FK,Theodore Rask,Oscar Jansson,30,93,8.0,71.0,52,55,pass accurate,,-0.001881879705383319,0.9385759234112119,1,False,False,False,nan,nan,nan,,nan
30,IFK Norrköping FK,Oscar Jansson,Linus Wahlqvist,8,70,11.0,32.0,57,60,pass accurate,,0.00255275471849329,0.9242636626833989,1,False,False,False,nan,nan,nan,,nan
31,IFK Norrköping FK,Linus Wahlqvist,Abdulrazaq Ishaq,11,34,28.0,35.0,59,62,pass accurate,,0.0020611854346581065,0.7994276531837047,1,False,False,False,nan,nan,nan,,nan
32,IFK Norrköping FK,Abdulrazaq Ishaq,Marco Lund Nielsen,24,34,32.0,38.0,62,65,pass accurate,,0.0016686620508161599,0.8145075229644471,2,False,False,False,nan,nan,nan,,nan
33,IFK Norrköping FK,Marco Lund Nielsen,Christopher Rasmus Nilsson Telo,32,34,35.0,13.0,64,67,pass accurate,,0.0005476237684746664,0.8709487575289034,2,False,False,False,nan,nan,nan,,nan
34,IFK Norrköping FK,Christopher Rasmus Nilsson Telo,Abdulrazaq Ishaq,38,11,30.0,23.0,67,70,pass accurate,,-9.746437644029757e-05,0.8836654822049803,2,False,False,False,nan,nan,nan,,nan
35,IFK Norrköping FK,Abdulrazaq Ishaq,Linus Wahlqvist,27,24,26.0,61.0,69,72,pass accurate,,0.0009659868182927116,0.8991524187165724,2,False,False,False,nan,nan,nan,,nan
36,IFK Norrköping FK,Linus Wahlqvist,Theodore Rask,28,67,32.0,82.0,73,76,pass accurate,,-0.0009398460677127601,0.8456385493327376,2,False,False,False,nan,nan,nan,,nan
37,IFK Norrköping FK,Theodore Rask,Oscar Jansson,30,82,11.0,60.0,76,79,pass accurate,,-0.00035052702033209863,0.9414389322072737,2,False,False,False,nan,nan,nan,,nan
38,IFK Norrköping FK,Oscar Jansson,Marco Lund Nielsen,12,62,15.0,36.0,78,81,pass accurate,,-0.0003730486797189417,0.9157383764925243,2,False,False,False,nan,nan,nan,,nan
39,IFK Norrköping FK,Marco Lund Nielsen,Christopher Rasmus Nilsson Telo,12,38,23.0,15.0,80,83,pass accurate,,-0.0009148976376581169,0.91004723363713,2,False,False,False,nan,nan,nan,,nan
40,IFK Norrköping FK,Christopher Rasmus Nilsson Telo,,14,12,40.0,18.0,82,85,pass inaccurate,,,0.6682877573743009,2,False,False,False,nan,nan,nan,,nan
41,IFK Göteborg,Bernardo Vilar Estevão Jeronimo,,60,82,,,83,88,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
42,IFK Göteborg,Bernardo Vilar Estevão Jeronimo,,60,82,,,83,88,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
43,IFK Göteborg,Oscar Wendt,,68,93,74.0,84.0,86,89,pass inaccurate,,,0.6114848967138875,2,False,False,False,nan,nan,nan,,nan
44,IFK Norrköping FK,Linus Wahlqvist,Christopher Rasmus Nilsson Telo,26,16,23.0,9.0,87,90,pass accurate,,-0.0026692121910549312,0.721817212136581,2,False,False,False,nan,nan,nan,,nan
45,IFK Norrköping FK,Christopher Rasmus Nilsson Telo,Abdulrazaq Ishaq,20,7,31.0,24.0,88,91,pass accurate,,0.0026692121910549312,0.7660655764420976,2,False,False,False,nan,nan,nan,,nan
46,IFK Norrköping FK,Abdulrazaq Ishaq,Linus Wahlqvist,29,17,9.0,11.0,89,92,pass accurate,,-0.003885955046000639,0.9341984482520261,2,False,False,False,nan,nan,nan,,nan
47,IFK Norrköping FK,Linus Wahlqvist,Oscar Jansson,7,11,6.0,39.0,91,94,pass accurate,,0.005087208733628773,0.9059113838015763,2,False,False,False,nan,nan,nan,,nan
48,IFK Norrköping FK,Oscar Jansson,Carl Björk,6,43,28.0,92.0,94,97,pass accurate,,-0.0016870605583301727,0.8097946235359854,2,False,False,False,nan,nan,nan,,nan
49,IFK Norrköping FK,Carl Björk,Alexander Fransson,33,92,38.0,79.0,102,105,pass accurate,,0.0029782499871288098,0.8299370949387214,2,False,False,False,nan,nan,nan,,nan
50,IFK Norrköping FK,Alexander Fransson,Abdulrazaq Ishaq,36,79,46.0,53.0,105,108,pass accurate,,0.0027398179894835752,0.7561935158656147,2,False,False,False,nan,nan,nan,,nan
51,IFK Norrköping FK,Abdulrazaq Ishaq,Linus Wahlqvist,47,51,38.0,25.0,108,111,pass accurate,,-0.0016856777868625404,0.8767748493964764,2,False,False,False,nan,nan,nan,,nan
52,IFK Norrköping FK,Linus Wahlqvist,Christopher Rasmus Nilsson Telo,40,22,69.0,10.0,111,114,pass accurate,,0.010004458598264543,0.5660314438287033,2,False,False,False,nan,nan,nan,,nan
53,IFK Norrköping FK,Christopher Rasmus Nilsson Telo,Abdulrazaq Ishaq,76,7,75.0,23.0,114,117,pass accurate,,0.0022285319957929713,0.7016220972454978,2,False,False,False,nan,nan,nan,,nan
54,IFK Norrköping FK,Christopher Rasmus Nilsson Telo,,69,10,76.0,7.0,111,117,carry,,0.005796274482870466,,2,False,False,False,nan,nan,nan,,nan
55,IFK Norrköping FK,Abdulrazaq Ishaq,Christopher Rasmus Nilsson Telo,75,18,69.0,21.0,115,118,pass accurate,,-0.00504146694245295,0.7605943782239102,2,False,False,False,nan,nan,nan,,nan
56,IFK Norrköping FK,Christopher Rasmus Nilsson Telo,Alexander Fransson,76,31,69.0,36.0,118,121,pass accurate,,-0.007567598807833222,0.7768776930382337,2,False,False,False,nan,nan,nan,,nan
57,IFK Norrköping FK,Christopher Rasmus Nilsson Telo,,69,21,76.0,31.0,115,121,carry,,0.007517909892408754,,2,False,False,False,nan,nan,nan,,nan
58,IFK Norrköping FK,Alexander Fransson,Linus Wahlqvist,69,34,71.0,26.0,120,123,pass accurate,,,0.7099645187958774,3,False,False,False,nan,nan,nan,,nan
59,IFK Norrköping FK,Linus Wahlqvist,,72,28,91.0,42.0,122,125,pass into the box,,,,3,False,False,False,nan,nan,nan,,nan
60,IFK Norrköping FK,Linus Wahlqvist,,72,28,91.0,42.0,122,125,pass inaccurate,,,0.5510752851837184,3,False,False,False,nan,nan,nan,,nan
61,IFK Göteborg,Bernardo Vilar Estevão Jeronimo,,9,58,,,122,127,clearance accurate,,,,3,False,False,False,nan,nan,nan,,nan
62,IFK Göteborg,Oscar Wendt,Bernardo Vilar Estevão Jeronimo,6,86,4.0,76.0,127,130,pass accurate,,,0.9164333287836179,3,False,False,False,nan,nan,nan,,nan
63,IFK Göteborg,Bernardo Vilar Estevão Jeronimo,Oscar Wendt,4,77,7.0,90.0,128,131,pass accurate,,-0.0010505833790813,0.9192747374918716,3,False,False,False,nan,nan,nan,,nan
64,IFK Göteborg,Oscar Wendt,,10,96,36.0,81.0,131,134,pass inaccurate,,,0.7240828527531772,3,False,False,False,nan,nan,nan,,nan
65,IFK Norrköping FK,Marco Lund Nielsen,,64,19,,,133,138,clearance inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
66,IFK Göteborg,August Erlingmark,Tobias Sana,32,73,32.0,78.0,138,141,pass accurate,,-0.0009398460677127601,0.583271784657756,3,False,False,False,nan,nan,nan,,nan
67,IFK Göteborg,Tobias Sana,Marcus Berg,34,84,47.0,72.0,141,144,pass accurate,,0.0021462830164663115,0.7424935977248541,3,False,False,False,nan,nan,nan,,nan
68,IFK Göteborg,Marcus Berg,Simon Thern,44,75,33.0,69.0,142,145,pass accurate,,-0.002056427498141441,0.874484043114252,3,False,False,False,nan,nan,nan,,nan
69,IFK Göteborg,Simon Thern,Mattias Bjärsmyr,36,71,28.0,29.0,143,146,pass accurate,,-0.0009943261759786937,0.918960649271072,3,False,False,False,nan,nan,nan,,nan
70,IFK Göteborg,Mattias Bjärsmyr,Alexander Jallow,27,27,31.0,13.0,146,149,pass accurate,,-0.0007316033895666627,0.8501862913737825,3,False,False,False,nan,nan,nan,,nan
71,IFK Göteborg,Alexander Jallow,Gustaf Norlin,30,11,33.0,17.0,148,151,pass accurate,,0.001348856074303859,0.7424847415059467,3,False,False,False,nan,nan,nan,,nan
72,IFK Göteborg,Gustaf Norlin,Bernardo Vilar Estevão Jeronimo,35,30,22.0,61.0,153,156,pass accurate,,-0.002632736926014005,0.9310166376375055,3,False,False,False,nan,nan,nan,,nan
73,IFK Göteborg,Bernardo Vilar Estevão Jeronimo,Oscar Wendt,19,67,27.0,84.0,156,159,pass accurate,,0.000342638780078652,0.7976728914946365,3,False,False,False,nan,nan,nan,,nan
74,IFK Göteborg,Oscar Wendt,Marcus Berg,27,87,60.0,73.0,160,163,pass accurate,,0.009264244480427224,0.5618183122012406,3,False,False,False,nan,nan,nan,,nan
75,IFK Göteborg,Marcus Berg,,53,72,57.0,100.0,162,165,pass inaccurate,,,0.23064591520624783,3,False,False,False,nan,nan,nan,,nan
76,IFK Göteborg,Marcus Berg,,60,73,53.0,72.0,160,165,carry,,-0.00322727510271327,,3,False,False,False,nan,nan,nan,,nan
77,IFK Norrköping FK,Linus Wahlqvist,Jonathan Levi,43,0,59.0,23.0,186,189,pass accurate,,0.0071314819180587925,0.6750583790541026,4,False,False,True,throw-in,nan,nan,,nan
78,IFK Norrköping FK,Jonathan Levi,Christopher Rasmus Nilsson Telo,58,22,60.0,13.0,187,190,pass accurate,,0.0033100214364374,0.7581487712227799,4,False,False,False,throw-in,nan,nan,,nan
79,IFK Norrköping FK,Christopher Rasmus Nilsson Telo,,62,10,67.0,24.0,187,190,pass inaccurate,,,0.720045410368965,4,False,False,False,throw-in,nan,nan,,nan
80,IFK Göteborg,Bernardo Vilar Estevão Jeronimo,,33,76,,,187,192,interception unsuccesful,,,,4,False,False,False,nan,nan,nan,,nan
81,IFK Göteborg,Bernardo Vilar Estevão Jeronimo,,33,76,,,187,192,challenge successful,,,,4,False,False,False,nan,nan,nan,,nan
82,IFK Norrköping FK,Alexander Fransson,Samuel Adeniyi Adegbenro,55,27,69.0,41.0,190,193,pass accurate,,0.008194129670258666,0.6658691183096533,4,False,False,False,throw-in,nan,nan,,nan
83,IFK Norrköping FK,Samuel Adeniyi Adegbenro,,68,40,,,193,203,dribble unsuccessful,,,,4,False,False,False,throw-in,nan,nan,,nan
84,IFK Göteborg,Gustaf Norlin,,32,64,,,196,199,foul,,,,4,False,False,False,nan,nan,nan,,nan
85,IFK Norrköping FK,Carl Björk,Abdulrazaq Ishaq,73,76,72.0,63.0,211,214,pass accurate,,0.0006536310385191826,0.7739520307572871,4,False,False,False,nan,nan,nan,,nan
86,IFK Norrköping FK,Alexander Fransson,,86,33,,,212,222,penalty box entry unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
87,IFK Norrköping FK,Abdulrazaq Ishaq,Jonathan Levi,72,66,74.0,49.0,213,216,pass accurate,,0.0009491716679126405,0.7371582956454986,4,False,False,False,nan,nan,nan,,nan
88,IFK Norrköping FK,Jonathan Levi,Christopher Rasmus Nilsson Telo,72,47,78.0,15.0,215,218,pass accurate,,0.005051446366611503,0.7428447837373204,4,False,False,False,nan,nan,nan,,nan
89,IFK Norrköping FK,Christopher Rasmus Nilsson Telo,Abdulrazaq Ishaq,79,13,92.0,24.0,218,221,pass into the box,,,,4,False,False,False,nan,nan,nan,,nan
90,IFK Norrköping FK,Christopher Rasmus Nilsson Telo,Abdulrazaq Ishaq,79,13,92.0,24.0,218,221,pass accurate,,0.007556977586890674,0.6031975893010136,4,False,False,False,nan,nan,nan,,nan
91,IFK Norrköping FK,Abdulrazaq Ishaq,Alexander Fransson,94,24,86.0,34.0,219,222,pass accurate,,0.023853062471061844,0.6390051304363896,4,False,False,False,nan,nan,nan,,nan
92,IFK Norrköping FK,Abdulrazaq Ishaq,Alexander Fransson,94,24,86.0,34.0,219,222,key pass,,,0.6390051304363896,4,False,False,False,nan,nan,nan,,nan
93,IFK Göteborg,Gustav Svensson,,13,64,,,220,225,block successful,,,,4,False,False,False,nan,nan,nan,,nan
94,IFK Göteborg,Gustav Svensson,,13,64,,,220,225,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
95,IFK Norrköping FK,Alexander Fransson,,86,32,,,221,224,blocked shot,0.04604652690437795,,,4,False,False,False,nan,nan,nan,True,nan
96,IFK Norrköping FK,Alexander Fransson,,86,32,,,221,224,shot,0.04604652690437795,,,4,False,False,False,nan,nan,right foot,True,nan
97,IFK Göteborg,Tobias Sana,,13,72,,,221,226,interception succesful,,,,4,False,False,False,nan,nan,nan,,nan
98,IFK Göteborg,Tobias Sana,,13,72,,,221,226,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
99,IFK Göteborg,Tobias Sana,Marcus Berg,17,93,29.0,77.0,226,229,pass accurate,,0.0025895409516904257,0.7942645414530437,4,False,False,False,nan,nan,nan,,nan
100,IFK Göteborg,Marcus Berg,Oscar Wendt,28,71,24.0,74.0,229,232,pass accurate,,-0.0012824848477914121,0.7715239399883754,4,False,False,False,nan,nan,nan,,nan
101,IFK Göteborg,Oscar Wendt,Alexander Jallow,28,53,31.0,17.0,235,238,pass accurate,,-0.0009659868182927116,0.8805326721287642,4,False,False,False,nan,nan,nan,,nan
102,IFK Göteborg,Alexander Jallow,,46,13,,,238,243,lost ball,,,,4,False,False,False,nan,nan,nan,,nan
103,IFK Göteborg,Alexander Jallow,,31,17,46.0,13.0,235,243,carry,,0.00267892683696312,,4,False,False,False,nan,nan,nan,,nan
104,IFK Norrköping FK,Theodore Rask,,44,93,,,241,246,tackle successful,,,,5,False,False,False,nan,nan,nan,,nan
105,IFK Norrköping FK,Theodore Rask,,44,93,,,241,246,challenge unsuccessful,,,,5,False,False,False,nan,nan,nan,,nan
106,IFK Norrköping FK,Theodore Rask,,45,95,45.0,95.0,243,246,pass inaccurate,,,0.2505442656533617,5,False,False,False,nan,nan,nan,,nan
107,IFK Göteborg,Gustaf Norlin,,26,11,,,244,249,clearance accurate,,,,5,False,False,False,nan,nan,nan,,nan
108,IFK Göteborg,Marcus Berg,August Erlingmark,63,24,47.0,16.0,248,251,pass accurate,,-0.005876055374746447,0.8324949949960937,5,False,False,False,nan,nan,nan,,nan
109,IFK Göteborg,August Erlingmark,Alexander Jallow,39,18,34.0,6.0,250,253,pass accurate,,-0.0011817627816010316,0.7744815909346391,5,False,False,False,nan,nan,nan,,nan
110,IFK Göteborg,Alexander Jallow,Mattias Bjärsmyr,32,6,25.0,5.0,252,255,pass accurate,,,0.9150677432638403,5,False,False,False,nan,nan,nan,,nan
111,IFK Göteborg,Mattias Bjärsmyr,,25,6,65.0,14.0,254,257,pass inaccurate,,,0.41978749326669845,5,False,False,False,nan,nan,nan,,nan
112,IFK Norrköping FK,Marco Lund Nielsen,,35,86,,,255,260,interception succesful,,,,5,False,False,False,nan,nan,nan,,nan
113,IFK Norrköping FK,Marco Lund Nielsen,,35,86,,,255,260,challenge unsuccessful,,,,5,False,False,False,nan,nan,nan,,nan
114,IFK Norrköping FK,Marco Lund Nielsen,Linus Wahlqvist,35,84,32.0,71.0,259,262,pass accurate,,-0.0006439532062550383,0.8720001885852388,5,False,False,False,nan,nan,nan,,nan
115,IFK Norrköping FK,Linus Wahlqvist,Marco Lund Nielsen,32,68,34.0,78.0,263,266,pass accurate,,0.0006439532062550383,0.8598004687112883,5,False,False,False,nan,nan,nan,,nan
116,IFK Norrköping FK,Marco Lund Nielsen,Theodore Rask,31,75,33.0,91.0,267,270,pass accurate,,-0.0013944507131610114,0.8609801735444357,5,False,False,False,nan,nan,nan,,nan
