external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Malmö FF,Anders Bleg Christiansen,Franz Brorsson,51,49,32.0,53.0,0,2,Pass accurate,,-0.005149041375285539,0.8786857382041054,1,False,False,False,,,,,
1,Malmö FF,Franz Brorsson,Antonio Colak,33,52,71.0,30.0,2,4,Pass accurate,,0.01325134955879918,0.5279983464152173,1,False,False,False,,,,,
2,Malmö FF,Antonio Colak,,71,30,92.0,27.0,5,7,Pass into the box,,,,1,False,False,False,,,,,
3,Malmö FF,Antonio Colak,,71,30,92.0,27.0,5,7,Pass inaccurate,,,0.6048830267660464,1,False,False,False,,,,,
4,Östersund,Aly Keita,,8,73,,,6,11,Interception succesful,,,,1,False,False,False,,,,,
5,Östersund,Aly Keita,,8,73,,,6,11,Challenge unsuccessful,,,,1,False,False,False,,,,,
6,Östersund,Aly Keita,Ronald Mukiibi,7,50,4.0,27.0,11,21,Pass accurate,,,,1,False,False,False,,,,,
7,Östersund,Aly Keita,Ronald Mukiibi,7,50,4.0,27.0,11,21,Goalkeeper throw accurate,,,,1,False,False,False,,,,,
8,Östersund,Ronald Mukiibi,Aly Keita,4,28,3.0,46.0,17,19,Pass accurate,,0.002118539466684456,0.9207644270806854,1,False,False,False,,,,,
9,Östersund,Aly Keita,Eirik Haugan,3,48,4.0,73.0,20,22,Pass accurate,,-0.0035689402637134916,0.923586928690396,1,False,False,False,,,,,
10,Östersund,Eirik Haugan,Patrick Kpozo,3,86,10.0,95.0,24,26,Pass accurate,,0.00039541080357516356,0.9065003768852851,1,False,False,False,,,,,
11,Östersund,Patrick Kpozo,,10,92,27.0,90.0,26,28,Pass inaccurate,,,0.8306935067318364,1,False,False,False,,,,,
12,Malmö FF,Bonke Innocent,Ola Toivonen,73,10,76.0,15.0,28,30,Pass accurate,,0.008024806478663438,0.5963948092784495,1,False,False,False,,,,,
13,Malmö FF,Ola Toivonen,Eric Larsson,76,18,76.0,4.0,28,30,Pass accurate,,-0.0022285319957929713,0.8551145720675764,1,False,False,False,,,,,
14,Malmö FF,Eric Larsson,Anel Ahmedhodzic,75,5,65.0,10.0,30,32,Pass accurate,,-0.010588674130308683,0.7766833771936742,1,False,False,False,,,,,
15,Malmö FF,Anel Ahmedhodzic,Franz Brorsson,64,12,40.0,25.0,32,34,Pass accurate,,-0.004459352977319225,0.8451386121445007,1,False,False,False,,,,,
16,Malmö FF,Franz Brorsson,Jonas Bruun Knudsen,44,45,47.0,81.0,37,39,Pass accurate,,-0.0013549695532653616,0.7755026460020735,1,False,False,False,,,,,
