external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Varbergs BoIS FC,away,Luke Le Roux,Joakim Lindner,51,48,32.0,26.0,0,3,pass accurate,,-0.005383424804011588,0.8985795556568038,1,False,False,False,nan,nan,nan,,nan
1,Varbergs BoIS FC,away,Joakim Lindner,Oliver Stanisic,31,28,30.0,50.0,1,4,pass accurate,,0.00023438342872604892,0.8744970418905058,1,False,False,False,nan,nan,nan,,nan
2,Varbergs BoIS FC,away,Oliver Stanisic,,29,42,74.0,21.0,3,6,pass inaccurate,,,0.5048378549439327,1,False,False,False,nan,nan,nan,,nan
3,Hammarby,home,Vladimir Rodic,,26,79,,,5,10,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
4,Hammarby,home,Vladimir Rodic,,26,79,,,5,10,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Hammarby,home,Vladimir Rodic,Gustav Ludwigson,25,80,90.0,77.0,8,11,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
6,Hammarby,home,Vladimir Rodic,Gustav Ludwigson,25,80,90.0,77.0,8,11,pass accurate,,0.022969813012682246,0.375171241844001,1,False,False,False,nan,nan,nan,,nan
7,Hammarby,home,Gustav Ludwigson,,98,76,97.0,65.0,14,17,pass inaccurate,,,0.24699712392586054,1,False,False,False,nan,nan,nan,,nan
8,Hammarby,home,Gustav Ludwigson,,98,76,97.0,65.0,14,17,cross inacurate,,,0.24699712392586054,1,False,False,False,nan,nan,nan,,nan
9,Hammarby,home,Gustav Ludwigson,,90,77,98.0,76.0,8,17,carry,,0.003093351531558361,,1,False,False,False,nan,nan,nan,,nan
10,Varbergs BoIS FC,away,Stojan Lukic,,3,35,,,14,19,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
11,Varbergs BoIS FC,away,Stojan Lukic,,3,35,,,14,19,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
12,Varbergs BoIS FC,away,Stojan Lukic,,12,37,75.0,26.0,26,36,pass inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
13,Varbergs BoIS FC,away,Stojan Lukic,,12,37,75.0,26.0,26,36,goalkeeper kick inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
14,Hammarby,home,Jón Gudni Fjóluson,,25,74,,,32,37,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
15,Varbergs BoIS FC,away,Joakim Lindner,,45,0,69.0,12.0,51,54,pass inaccurate,,,0.5568605817216142,1,False,False,False,nan,nan,nan,,nan
16,Hammarby,home,Vladimir Rodic,,31,88,,,53,56,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
17,Hammarby,home,Vladimir Rodic,,31,88,,,53,56,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
18,Varbergs BoIS FC,away,Jon Birkfeldt,,68,11,,,53,56,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
19,Varbergs BoIS FC,away,Jon Birkfeldt,,68,11,,,53,56,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
20,Hammarby,home,Mads Fenger Nielsen,Richard Magyar,28,75,22.0,69.0,54,57,pass accurate,,-0.000342638780078652,0.9287609151002215,1,False,False,False,nan,nan,nan,,nan
21,Hammarby,home,Richard Magyar,,24,67,29.0,78.0,55,58,pass inaccurate,,,0.8567828326920618,1,False,False,False,nan,nan,nan,,nan
22,Varbergs BoIS FC,away,Jon Birkfeldt,,71,22,,,55,60,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
23,Varbergs BoIS FC,away,Jon Birkfeldt,,71,22,,,55,60,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
24,Hammarby,home,Mads Fenger Nielsen,,26,66,28.0,73.0,58,61,pass inaccurate,,,0.7808097676359834,1,False,False,False,nan,nan,nan,,nan
25,Varbergs BoIS FC,away,Jon Birkfeldt,Luke Le Roux,72,27,69.0,31.0,59,62,pass accurate,,,0.6641186880705708,1,False,False,False,nan,nan,nan,,nan
26,Varbergs BoIS FC,away,Luke Le Roux,Albert Ejupi,71,33,60.0,30.0,61,64,pass accurate,,-0.005150786963428557,0.8278451107924266,2,False,False,False,nan,nan,nan,,nan
27,Varbergs BoIS FC,away,Albert Ejupi,Luke Le Roux,61,32,67.0,37.0,64,67,pass accurate,,0.005150786963428557,0.7395157222014933,2,False,False,False,nan,nan,nan,,nan
28,Varbergs BoIS FC,away,Luke Le Roux,Oliver Stanisic,55,42,37.0,35.0,67,70,pass accurate,,-0.004083095062029821,0.8900533405322892,2,False,False,False,nan,nan,nan,,nan
29,Varbergs BoIS FC,away,Luke Le Roux,,67,37,55.0,42.0,64,70,carry,,-0.00810230818351364,,2,False,False,False,nan,nan,nan,,nan
30,Varbergs BoIS FC,away,Oliver Stanisic,Jon Birkfeldt,40,28,72.0,7.0,69,72,pass accurate,,0.009251752624757442,0.6071310961842388,2,False,False,False,nan,nan,nan,,nan
31,Hammarby,home,Darijan Bojanic,,32,75,,,72,77,block successful,,,,2,False,False,False,nan,nan,nan,,nan
32,Hammarby,home,Darijan Bojanic,,32,75,,,72,77,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
33,Varbergs BoIS FC,away,Jon Birkfeldt,Albert Ejupi,67,6,64.0,22.0,72,75,pass accurate,,-0.0027287035445963045,0.7554528866647192,2,False,False,False,nan,nan,nan,,nan
34,Varbergs BoIS FC,away,Albert Ejupi,,62,23,69.0,31.0,73,76,pass inaccurate,,,0.7073985179633396,2,False,False,False,nan,nan,nan,,nan
