external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Göteborg,Gustaf Norlin,Tobias Sana,49,51,45.0,53.0,0,3,pass accurate,,,0.7321316863150392,1,False,False,False,nan,nan,nan,,nan
1,IFK Göteborg,Tobias Sana,,47,49,80.0,23.0,2,5,pass inaccurate,,,0.5486574058199727,1,False,False,False,nan,nan,nan,,nan
2,IF Elfsborg,Simon Strand,,20,77,,,3,8,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
3,IFK Göteborg,Carl Johansson,,68,14,77.0,36.0,6,9,pass inaccurate,,,0.6326362272611354,1,False,False,False,nan,nan,nan,,nan
4,IF Elfsborg,Frederik Holst,,23,64,,,7,12,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
5,IF Elfsborg,Hákon Valdimarsson,,4,69,,,10,15,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
6,IF Elfsborg,Hákon Valdimarsson,,4,69,,,10,15,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,IF Elfsborg,Hákon Valdimarsson,Leo Väisänen,10,41,15.0,27.0,14,24,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
8,IF Elfsborg,Hákon Valdimarsson,Leo Väisänen,10,41,15.0,27.0,14,24,goalkeeper throw accurate,,,,1,False,False,False,nan,nan,nan,,nan
9,IF Elfsborg,Leo Väisänen,Simon Olsson,18,17,47.0,56.0,21,24,pass accurate,,0.005153060035990455,0.5896885914513228,1,False,False,False,nan,nan,nan,,nan
10,IFK Göteborg,Simon Thern,,54,50,,,25,30,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
11,IFK Göteborg,Simon Thern,,54,50,,,25,30,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
12,IFK Göteborg,Simon Thern,Oscar Vilhelmsson,54,45,67.0,34.0,27,30,pass accurate,,0.00810230818351364,0.6974813762133419,1,False,False,False,nan,nan,nan,,nan
13,IFK Göteborg,Oscar Vilhelmsson,,69,39,69.0,64.0,28,31,pass inaccurate,,,0.7553294305169407,1,False,False,False,nan,nan,nan,,nan
14,IF Elfsborg,Frederik Holst,,31,36,,,29,34,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
15,IF Elfsborg,Frederik Holst,,31,36,,,29,34,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
