external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Halmstad,Amir Al-Ammari,Joseph Baffoe,51,50,32.0,48.0,0,2,pass accurate,,-0.0049890352941342146,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Halmstad,Joseph Baffoe,,30,47,80.0,15.0,2,4,pass inaccurate,,,0.520369819458403,1,False,False,False,nan,nan,nan,,nan
2,BK Häcken,Rasmus Lindgren,,20,85,,,5,10,clearance accurate,,,,1,False,False,False,nan,nan,nan,,nan
3,BK Häcken,Rasmus Lindgren,Valgeir Fridriksson,20,84,26.0,86.0,6,8,pass accurate,,0.0014057911530465702,0.8572367838560301,1,False,False,False,nan,nan,nan,,nan
4,BK Häcken,Leo Bengtsson,,29,86,,,7,12,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
5,BK Häcken,Valgeir Fridriksson,,25,87,35.0,87.0,8,10,pass inaccurate,,,0.8191142294908933,1,False,False,False,nan,nan,nan,,nan
6,Halmstad,Thomas Boakye,,91,10,,,9,19,dribble unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,Halmstad,Sadat Karim,Thomas Boakye,73,10,78.0,4.0,10,12,pass accurate,,0.005796274482870466,0.8311845942823731,1,False,False,False,nan,nan,nan,,nan
8,Halmstad,Thomas Boakye,,91,11,,,11,16,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
9,Halmstad,Thomas Boakye,,78,4,91.0,11.0,10,16,carry,,0.006001420018364626,,1,False,False,False,nan,nan,nan,,nan
10,BK Häcken,Valgeir Fridriksson,Rasmus Lindgren,7,91,6.0,75.0,14,16,pass accurate,,0.0010505833790813,0.9173419562827211,1,False,False,False,nan,nan,nan,,nan
11,BK Häcken,Rasmus Lindgren,Leo Bengtsson,7,73,24.0,93.0,14,16,pass accurate,,0.0006867894668539046,0.8013371770651142,1,False,False,False,nan,nan,nan,,nan
12,BK Häcken,Leo Bengtsson,,23,90,30.0,82.0,16,18,pass inaccurate,,,0.8570253391354095,1,False,False,False,nan,nan,nan,,nan
13,Halmstad,Amir Al-Ammari,Joel Allansson,70,18,72.0,19.0,17,19,pass accurate,,,0.22977957086165948,1,False,False,False,nan,nan,nan,,nan
14,Halmstad,Joel Allansson,Phil Ofosu-Ayeh,74,22,74.0,5.0,18,20,pass accurate,,-0.0029833395362104873,0.8107550490051302,1,False,False,False,nan,nan,nan,,nan
15,BK Häcken,Leo Bengtsson,,25,91,,,19,24,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
16,BK Häcken,Leo Bengtsson,,25,91,,,19,24,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
17,Halmstad,Phil Ofosu-Ayeh,,73,10,95.0,11.0,20,22,pass inaccurate,,,0.5027326683998897,1,False,False,False,nan,nan,nan,,nan
18,BK Häcken,Valgeir Fridriksson,,5,89,,,22,27,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
19,Halmstad,Thomas Boakye,,81,29,,,40,65,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
20,Halmstad,Phil Ofosu-Ayeh,,92,0,97.0,42.0,43,45,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
21,Halmstad,Phil Ofosu-Ayeh,,92,0,97.0,42.0,43,45,pass inaccurate,,,0.21321958755512116,1,False,False,False,nan,nan,nan,,nan
22,BK Häcken,Valgeir Fridriksson,,3,58,,,44,49,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
23,Halmstad,Thomas Boakye,,81,29,,,45,48,wide shot,0.017086620204800434,,,1,False,False,False,nan,nan,nan,,nan
24,BK Häcken,Pontus Dahlberg,,19,71,,,45,48,goalkeeper wide shot,,,,1,False,False,False,nan,nan,nan,,nan
25,Halmstad,Thomas Boakye,,81,29,,,45,48,shot,0.017086620204800434,,,1,False,False,False,nan,nan,right foot,,nan
26,BK Häcken,Gustav Berggren,,7,51,,,47,52,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
27,BK Häcken,Gustav Berggren,,9,55,,,49,54,block unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
28,Halmstad,Phil Ofosu-Ayeh,,82,23,97.0,45.0,51,53,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
29,Halmstad,Phil Ofosu-Ayeh,,82,23,97.0,45.0,51,53,pass inaccurate,,,0.2352470963729816,1,False,False,False,nan,nan,nan,,nan
30,Halmstad,Phil Ofosu-Ayeh,,82,23,97.0,45.0,51,53,cross inacurate,,,0.2352470963729816,1,False,False,False,nan,nan,nan,,nan
