external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Kalmar FF,Oliver Berg,Romario Pereira Sipiao,50,51,39.0,41.0,0,3,Pass accurate,,-0.003823319988116164,0.8606791863384019,1,False,False,False,,,,,
1,Kalmar FF,Romario Pereira Sipiao,Rasmus Sjöstedt,40,42,27.0,51.0,1,4,Pass accurate,,-0.0013303679972444214,0.9182308498948432,1,False,False,False,,,,,
2,Kalmar FF,Rasmus Sjöstedt,Piotr Johansson,25,44,42.0,4.0,4,7,Pass accurate,,0.00029286078413169256,0.8727963736227402,1,False,False,False,,,,,
3,Kalmar FF,Piotr Johansson,,40,11,67.0,31.0,7,10,Pass inaccurate,,,0.4764190826467791,1,False,False,False,,,,,
4,Malmö FF,Anel Ahmedhodzic,Jonas Bruun Knudsen,33,69,39.0,84.0,11,14,Pass accurate,,0.0006439532062550383,0.7420192120722563,1,False,False,False,,,,,
5,Malmö FF,Jonas Bruun Knudsen,,40,85,40.0,85.0,12,15,Pass inaccurate,,,0.23748830991838776,1,False,False,False,,,,,
6,Malmö FF,Jonas Bruun Knudsen,,40,85,,,12,15,Air challenge unsuccessful,,,,1,False,False,False,,,,,
7,Malmö FF,Jonas Bruun Knudsen,,40,85,,,12,15,Challenge unsuccessful,,,,1,False,False,False,,,,,
8,Kalmar FF,Piotr Johansson,,60,14,,,13,16,Air challenge successful,,,,1,False,False,False,,,,,
9,Kalmar FF,Piotr Johansson,,60,14,,,13,16,Challenge successful,,,,1,False,False,False,,,,,
10,Kalmar FF,Lars Saetra,Rasmus Sjöstedt,41,22,32.0,36.0,15,18,Pass accurate,,-0.0005476237684746664,0.8673647113530933,1,False,False,False,,,,,
11,Kalmar FF,Rasmus Sjöstedt,Lucas Hägg Johansson,31,38,7.0,50.0,18,21,Pass accurate,,-0.0017489177551227378,0.9373127959400711,1,False,False,False,,,,,
12,Kalmar FF,Lucas Hägg Johansson,,7,48,47.0,54.0,22,25,Pass inaccurate,,,0.6079145370939728,1,False,False,False,,,,,
13,Malmö FF,Anel Ahmedhodzic,Anders Bleg Christiansen,53,46,62.0,30.0,25,28,Pass accurate,,0.002951521220085084,0.7923384583508378,1,False,False,False,,,,,
14,Kalmar FF,Nils Fröling,,46,55,,,26,29,Air challenge successful,,,,1,False,False,False,,,,,
15,Kalmar FF,Nils Fröling,,46,55,,,26,29,Challenge successful,,,,1,False,False,False,,,,,
16,Malmö FF,Anel Ahmedhodzic,,54,44,,,26,29,Air challenge unsuccessful,,,,1,False,False,False,,,,,
17,Malmö FF,Anel Ahmedhodzic,,54,44,,,26,29,Challenge unsuccessful,,,,1,False,False,False,,,,,
18,Malmö FF,Anders Bleg Christiansen,Felix Beijmo,59,29,37.0,18.0,27,30,Pass accurate,,-0.0077873222556220055,0.8909930855204584,1,False,False,False,,,,,
19,Kalmar FF,Carl Gustafsson,,39,70,,,28,31,Air challenge successful,,,,1,False,False,False,,,,,
20,Kalmar FF,Carl Gustafsson,,39,70,,,28,31,Challenge successful,,,,1,False,False,False,,,,,
21,Malmö FF,Anders Bleg Christiansen,,61,30,,,28,31,Air challenge unsuccessful,,,,1,False,False,False,,,,,
22,Malmö FF,Anders Bleg Christiansen,,61,30,,,28,31,Challenge unsuccessful,,,,1,False,False,False,,,,,
23,Malmö FF,Felix Beijmo,Marko Johansson,31,16,10.0,43.0,32,35,Pass accurate,,-0.0005205514799213676,0.9314529714960313,1,False,False,False,,,,,
24,Malmö FF,Marko Johansson,Lasse Ladegaard Nielsen,15,43,18.0,72.0,53,56,Pass accurate,,-0.00042809364519768786,0.9110734499787234,1,False,False,False,,,,,
25,Malmö FF,Lasse Ladegaard Nielsen,Jonas Bruun Knudsen,18,72,31.0,96.0,55,58,Pass accurate,,-0.0010518119330823594,0.5853455365620561,1,False,False,False,,,,,
26,Malmö FF,Veljko Birmančević,,62,75,,,56,61,Offside,,,,1,False,False,False,,,,,
27,Malmö FF,Jonas Bruun Knudsen,Veljko Birmančević,31,96,90.0,79.0,57,60,Pass into the box,,,,1,False,False,False,,,,,
28,Malmö FF,Jonas Bruun Knudsen,Veljko Birmančević,31,96,90.0,79.0,57,60,Pass accurate,,0.024364263725843258,0.38911507003068563,1,False,False,False,,,,,
29,Kalmar FF,Rasmus Sjöstedt,Lars Saetra,31,26,29.0,12.0,82,85,Pass accurate,,-0.0020804594638705216,0.8733485915565731,2,False,False,False,,,,,
30,Kalmar FF,Lars Saetra,Lucas Hägg Johansson,29,17,9.0,43.0,84,87,Pass accurate,,-0.0005205514799213676,0.9327037691089304,2,False,False,False,,,,,
31,Kalmar FF,Lucas Hägg Johansson,,10,44,29.0,20.0,87,90,Pass inaccurate,,,0.8106489370176633,2,False,False,False,,,,,
32,Malmö FF,Veljko Birmančević,,71,80,80.0,74.0,89,92,Pass inaccurate,,,0.6633249863295347,2,False,False,False,,,,,
33,Kalmar FF,Rasmus Sjöstedt,Lars Saetra,20,26,21.0,9.0,93,96,Pass accurate,,-0.0021311896497578538,0.858507681846418,2,False,False,False,,,,,
34,Kalmar FF,Lars Saetra,Jonathan Ring,20,5,38.0,8.0,95,98,Pass accurate,,0.002766676567495229,0.6942608684891318,2,False,False,False,,,,,
35,Kalmar FF,Jonathan Ring,Piotr Johansson,38,10,37.0,4.0,98,101,Pass accurate,,,0.8552809579706817,2,False,False,False,,,,,
36,Kalmar FF,Piotr Johansson,Oliver Berg,44,3,65.0,13.0,100,103,Pass accurate,,0.0071314819180587925,0.5958051679417435,2,False,False,False,,,,,
37,Malmö FF,Anel Ahmedhodzic,,39,87,,,101,106,Tackle successful,,,,2,False,False,False,,,,,
38,Malmö FF,Anel Ahmedhodzic,,39,87,,,101,106,Challenge unsuccessful,,,,2,False,False,False,,,,,
