external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,Sead Haksabanovic,Marco Lund Nielsen,49,51,31.0,52.0,0,2,pass accurate,,-0.0027516241001182586,0.887672738937848,1,False,False,False,nan,nan,nan,,nan
1,IFK Norrköping FK,Marco Lund Nielsen,,32,51,87.0,25.0,2,4,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
2,IFK Norrköping FK,Marco Lund Nielsen,,32,51,87.0,25.0,2,4,pass inaccurate,,,0.4803910407574579,1,False,False,False,nan,nan,nan,,nan
3,AIK,Sotirios Papagiannopoulos,,13,75,,,4,9,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
4,IFK Norrköping FK,Abdulrazaq Ishaq,,71,5,,,8,13,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
5,IFK Norrköping FK,Abdulrazaq Ishaq,,71,5,,,8,13,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,AIK,Erick Ouma Otieno,,32,99,54.0,95.0,28,30,pass inaccurate,,,0.7286252996633769,1,False,False,False,nan,nan,nan,,nan
7,IFK Norrköping FK,Linus Wahlqvist,Samuel Adeniyi Adegbenro,46,5,64.0,16.0,30,32,pass accurate,,0.0071314819180587925,0.6555455852826129,1,False,False,False,nan,nan,nan,,nan
8,IFK Norrköping FK,Carl Björk,,65,20,,,31,36,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
9,AIK,Ebenezer Ofori,,36,81,,,32,37,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
10,AIK,Ebenezer Ofori,,36,81,,,32,37,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
11,IFK Norrköping FK,Samuel Adeniyi Adegbenro,Carl Björk,61,16,65.0,20.0,32,34,pass accurate,,,0.6824737390454919,1,False,False,False,nan,nan,nan,,nan
12,IFK Norrköping FK,Abdulrazaq Ishaq,,66,5,,,34,39,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
13,IFK Norrköping FK,Abdulrazaq Ishaq,,66,5,,,34,39,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
14,AIK,Erick Ouma Otieno,,32,96,36.0,98.0,35,37,pass inaccurate,,,0.29768462521111677,1,False,False,False,nan,nan,nan,,nan
15,AIK,Erick Ouma Otieno,,36,98,36.0,98.0,49,51,pass inaccurate,,,0.06773785676428148,1,False,False,False,nan,nan,nan,,nan
16,IFK Norrköping FK,Linus Wahlqvist,,34,16,,,49,52,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
17,IFK Norrköping FK,Linus Wahlqvist,,34,16,,,49,52,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
18,AIK,Henok Goitom,,66,84,,,49,52,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
19,AIK,Henok Goitom,,66,84,,,49,52,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
20,IFK Norrköping FK,Linus Wahlqvist,,37,17,56.0,20.0,50,52,pass inaccurate,,,0.6850763918843439,1,False,False,False,nan,nan,nan,,nan
21,AIK,Ebenezer Ofori,,44,80,62.0,80.0,51,53,pass inaccurate,,,0.7339766968506465,1,False,False,False,nan,nan,nan,,nan
22,IFK Norrköping FK,Ísak Bergmann Jóhannesson,,38,20,,,52,57,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
23,IFK Norrköping FK,Ísak Bergmann Jóhannesson,,38,20,,,52,57,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
24,AIK,Ebenezer Ofori,Saku Ylätupa,59,78,65.0,65.0,55,57,pass accurate,,0.0009416788209277889,0.758201547917174,1,False,False,False,nan,nan,nan,,nan
25,AIK,Saku Ylätupa,Henok Goitom,64,65,65.0,73.0,55,57,pass accurate,,,0.7063923825482374,1,False,False,False,nan,nan,nan,,nan
26,AIK,Henok Goitom,Ebenezer Ofori,65,71,66.0,75.0,57,59,pass accurate,,-0.0009416788209277889,0.24206609349999575,1,False,False,False,nan,nan,nan,,nan
27,AIK,Ebenezer Ofori,Nicolas Stefanelli,65,76,69.0,76.0,58,60,pass accurate,,0.0049376838474669525,0.614145757861458,1,False,False,False,nan,nan,nan,,nan
28,AIK,Nicolas Stefanelli,Nabil Bahoui,87,81,75.0,92.0,62,64,pass accurate,,-0.007406362407210317,0.7594007426167226,2,False,False,False,nan,nan,nan,,nan
29,AIK,Nicolas Stefanelli,,69,76,87.0,81.0,58,64,carry,,0.009709563505715859,,1,False,False,False,nan,nan,nan,,nan
30,AIK,Nabil Bahoui,,74,76,,,63,88,final third entry,,,,2,False,False,False,nan,nan,nan,,nan
31,AIK,Nabil Bahoui,,75,92,74.0,76.0,62,88,carry,,-0.0023032010985055418,,2,False,False,False,nan,nan,nan,,nan
32,AIK,Nabil Bahoui,Erick Ouma Otieno,71,79,71.0,93.0,67,69,pass accurate,,-0.003384757163740343,0.6121411555589449,2,False,False,False,nan,nan,nan,,nan
33,AIK,Erick Ouma Otieno,Nabil Bahoui,73,95,71.0,86.0,68,70,pass accurate,,0.003384757163740343,0.765483398191598,2,False,False,False,nan,nan,nan,,nan
34,AIK,Erick Ouma Otieno,Nabil Bahoui,73,95,71.0,86.0,68,70,key pass,,,0.765483398191598,2,False,False,False,nan,nan,nan,,nan
