external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Örebro,home,Kevin Walker,Nordin Gerzic,51,48,46.0,49.0,0,2,pass accurate,,-0.0023697914194990913,0.7623465733597907,1,False,False,False,nan,nan,nan,,nan
1,Örebro,home,Nordin Gerzic,Michael Almebäck,46,47,30.0,32.0,1,3,pass accurate,,-0.0030136333845124964,0.9143287221374948,1,False,False,False,nan,nan,nan,,nan
2,Örebro,home,Michael Almebäck,Hussein Ali,28,31,42.0,6.0,4,6,pass accurate,,0.0006918969040841123,0.6982883285871598,1,False,False,False,nan,nan,nan,,nan
3,Örebro,home,Hussein Ali,,42,5,,,5,10,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
4,Malmö FF,away,Jonas Bruun Knudsen,,58,99,89.0,90.0,11,13,pass inaccurate,,,0.49383418832304765,1,False,False,False,nan,nan,nan,,nan
5,Örebro,home,Michael Almebäck,,11,10,,,13,18,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Örebro,home,Michael Almebäck,,11,10,,,13,18,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,Örebro,home,Michael Almebäck,Romain Gall,7,8,21.0,9.0,17,19,pass accurate,,0.0027313930424450843,0.8191376501124584,1,False,False,False,nan,nan,nan,,nan
8,Örebro,home,Romain Gall,Johan Mårtensson,15,5,13.0,13.0,18,20,pass accurate,,0.0013494732539469107,0.7028813856535396,1,False,False,False,nan,nan,nan,,nan
9,Malmö FF,away,Jonas Bruun Knudsen,,78,82,,,18,21,foul,,,,1,False,False,False,nan,nan,nan,,nan
10,Örebro,home,Johan Mårtensson,Andreas Skovgaard Larsen,23,11,14.0,51.0,22,24,pass accurate,,0.0017126788256824291,0.9187825847237131,1,False,False,False,nan,nan,nan,,nan
11,Örebro,home,Andreas Skovgaard Larsen,Daniel Björnkvist,13,46,26.0,75.0,24,26,pass accurate,,-8.545486511903587e-05,0.8588319524227724,1,False,False,False,nan,nan,nan,,nan
12,Örebro,home,Daniel Björnkvist,David Seger,25,77,37.0,94.0,27,29,pass accurate,,-7.891727226244476e-05,0.8728876337948592,1,False,False,False,nan,nan,nan,,nan
13,Örebro,home,David Seger,Nordin Gerzic,35,95,34.0,69.0,30,32,pass accurate,,0.0024108531828482046,0.8722207706991403,1,False,False,False,nan,nan,nan,,nan
14,Örebro,home,Nordin Gerzic,Johan Mårtensson,31,80,31.0,44.0,34,36,pass accurate,,0.0017366458545594859,0.8588238896227371,1,False,False,False,nan,nan,nan,,nan
15,Malmö FF,away,Erdal Rakip,,60,33,,,37,42,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
16,Malmö FF,away,Erdal Rakip,,60,33,,,37,42,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
17,Örebro,home,Johan Mårtensson,,31,66,38.0,59.0,37,39,pass inaccurate,,,0.8082559087373824,1,False,False,False,nan,nan,nan,,nan
18,Malmö FF,away,Erdal Rakip,Veljko Birmančević,62,41,71.0,55.0,39,41,pass accurate,,0.004228723143499105,0.710935319650511,1,False,False,False,nan,nan,nan,,nan
19,Malmö FF,away,Veljko Birmančević,,70,53,,,40,45,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
20,Örebro,home,Nordin Gerzic,Johan Mårtensson,35,27,34.0,34.0,48,50,pass accurate,,,0.7434448490247845,1,False,False,False,nan,nan,nan,,nan
21,Örebro,home,Johan Mårtensson,,39,30,67.0,34.0,50,52,pass inaccurate,,,0.5308812131425501,1,False,False,False,nan,nan,nan,,nan
22,Malmö FF,away,Pavle Vagic,Jonas Bruun Knudsen,33,66,38.0,89.0,65,67,pass accurate,,-0.001018763339975205,0.8414725245234117,2,False,False,False,nan,nan,nan,,nan
23,Malmö FF,away,Jonas Bruun Knudsen,Lasse Ladegaard Nielsen,33,87,20.0,69.0,68,70,pass accurate,,-0.000342638780078652,0.9378934666315939,2,False,False,False,nan,nan,nan,,nan
24,Malmö FF,away,Lasse Ladegaard Nielsen,Marko Johansson,22,71,8.0,60.0,69,71,pass accurate,,0.0003303668795154001,0.929054541285468,2,False,False,False,nan,nan,nan,,nan
25,Malmö FF,away,Marko Johansson,,8,49,8.0,49.0,71,73,pass inaccurate,,,0.25358214948144214,2,False,False,False,nan,nan,nan,,nan
26,Örebro,home,Hussein Ali,Kevin Walker,92,1,95.0,11.0,92,94,pass accurate,,,0.47862387747603397,2,False,False,False,nan,nan,nan,,nan
27,Örebro,home,Kevin Walker,Hussein Ali,96,12,86.0,9.0,94,96,pass accurate,,-0.02599741386060056,0.5893788240027739,2,False,False,False,nan,nan,nan,,nan
28,Örebro,home,Romain Gall,,87,18,,,95,100,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
29,Örebro,home,Hussein Ali,Romain Gall,86,5,89.0,19.0,95,97,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
30,Örebro,home,Hussein Ali,Romain Gall,86,5,89.0,19.0,95,97,pass accurate,,0.001997570461074384,0.5807295185572715,2,False,False,False,nan,nan,nan,,nan
31,Malmö FF,away,Antonio Colak,,27,63,,,96,106,dribble successful,,,,2,False,False,False,nan,nan,nan,,nan
32,Malmö FF,away,Antonio Colak,Felix Beijmo,30,63,28.0,27.0,100,102,pass accurate,,0.00039776366689430603,0.9093168366369484,2,False,False,False,nan,nan,nan,,nan
33,Malmö FF,away,Felix Beijmo,Jo Inge Berget,34,22,34.0,3.0,104,106,pass accurate,,-0.0011817627816010316,0.8606676313471056,2,False,False,False,nan,nan,nan,,nan
34,Malmö FF,away,Jo Inge Berget,Lasse Ladegaard Nielsen,49,11,32.0,49.0,110,112,pass accurate,,-0.00029286078413169256,0.8439107023950655,2,False,False,False,nan,nan,nan,,nan
35,Malmö FF,away,Jo Inge Berget,,34,3,49.0,11.0,104,112,carry,,0.0013260359172104774,,2,False,False,False,nan,nan,nan,,nan
36,Malmö FF,away,Lasse Ladegaard Nielsen,,74,61,,,113,138,final third entry,,,,2,False,False,False,nan,nan,nan,,nan
37,Malmö FF,away,Lasse Ladegaard Nielsen,,32,49,74.0,61.0,110,138,carry,,0.012887954119362109,,2,False,False,False,nan,nan,nan,,nan
38,Malmö FF,away,Lasse Ladegaard Nielsen,Jonas Bruun Knudsen,39,49,39.0,83.0,113,115,pass accurate,,-0.001318561886609738,0.8403791158091902,2,False,False,False,nan,nan,nan,,nan
39,Malmö FF,away,Jonas Bruun Knudsen,Veljko Birmančević,38,83,67.0,90.0,116,118,pass accurate,,0.008291693069258246,0.5379507173901458,2,False,False,False,nan,nan,nan,,nan
40,Malmö FF,away,Veljko Birmančević,Adi Nalic,61,92,68.0,79.0,117,119,pass accurate,,0.0073100836892200545,0.7249883952226703,2,False,False,False,nan,nan,nan,,nan
41,Malmö FF,away,Veljko Birmančević,Adi Nalic,61,92,68.0,79.0,117,119,assist,,,0.7249883952226703,2,False,False,False,nan,nan,nan,,nan
42,Malmö FF,away,Veljko Birmančević,,67,90,61.0,92.0,116,119,carry,,-0.003925326525479712,,2,False,False,False,nan,nan,nan,,nan
