external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,Alexander Fransson,Viktor Agardius,51,49,32.0,57.0,0,3,Pass accurate,,-0.005149041375285539,0.8786857382041054,1,False,False,False,,,,,
1,IFK Norrköping FK,Viktor Agardius,,33,57,74.0,19.0,3,6,Pass inaccurate,,,0.5277081315993667,1,False,False,False,,,,,
2,Hammarby,Jeppe Andrup Andersen,,26,81,33.0,83.0,5,8,Pass inaccurate,,,0.8247702183341464,1,False,False,False,,,,,
3,IFK Norrköping FK,Alexander Fransson,Abdulrazaq Ishaq,67,17,73.0,9.0,6,9,Pass accurate,,-0.0029833395362104873,0.6450827996555082,1,False,False,False,,,,,
4,IFK Norrköping FK,Abdulrazaq Ishaq,Linus Wahlqvist,69,9,65.0,9.0,9,12,Pass accurate,,-0.004792399647438217,0.5371481598456224,1,False,False,False,,,,,
5,IFK Norrköping FK,Linus Wahlqvist,Samuel Adeniyi Adegbenro,65,8,72.0,9.0,10,13,Pass accurate,,0.004792399647438217,0.6205440164416738,1,False,False,False,,,,,
6,Hammarby,Jón Gudni Fjóluson,,24,93,,,12,17,Tackle successful,,,,1,False,False,False,,,,,
7,Hammarby,Jón Gudni Fjóluson,,24,93,,,12,17,Challenge unsuccessful,,,,1,False,False,False,,,,,
8,IFK Norrköping FK,Linus Wahlqvist,,78,5,,,22,47,Final third entry,,,,1,False,False,False,,,,,
9,IFK Norrköping FK,Linus Wahlqvist,Kristoffer Khazeni,81,1,82.0,28.0,24,27,Pass accurate,,0.004704974945748775,0.600887044702914,1,False,False,False,,,,,
10,IFK Norrköping FK,Kristoffer Khazeni,Linus Wahlqvist,77,13,77.0,7.0,27,30,Pass accurate,,-0.0022285319957929713,0.6197713021911669,1,False,False,False,,,,,
11,IFK Norrköping FK,Kristoffer Khazeni,,82,28,77.0,13.0,24,30,Carry,,-0.002476442949955804,,1,False,False,False,,,,,
12,IFK Norrköping FK,Linus Wahlqvist,Abdulrazaq Ishaq,78,7,92.0,9.0,28,31,Pass accurate,,0.03199883387896518,0.5087307801582591,1,False,False,False,,,,,
13,Hammarby,Mohanad Jeahze,,2,90,,,30,35,Block successful,,,,1,False,False,False,,,,,
14,Hammarby,Mohanad Jeahze,,2,90,,,30,35,Challenge unsuccessful,,,,1,False,False,False,,,,,
15,IFK Norrköping FK,Abdulrazaq Ishaq,,97,10,100.0,0.0,31,34,Pass inaccurate,,,0.18177179545919822,1,False,False,False,,,,,
16,IFK Norrköping FK,Abdulrazaq Ishaq,,97,10,100.0,0.0,31,34,Cross inacurate,,,0.18177179545919822,1,False,False,False,,,,,
17,IFK Norrköping FK,Ari Freyr Skúlason,,100,0,98.0,48.0,62,72,Right corner inaccurate,,,,2,False,False,False,Corner,Cleared,,,
18,Hammarby,Mohammed Aziz Ouattara,,2,52,,,66,71,Clearance accurate,,,,2,False,False,False,,,,,
19,IFK Norrköping FK,Samuel Adeniyi Adegbenro,,87,53,,,67,77,Penalty box entry successful,,,,2,False,False,False,Corner,,,,
20,IFK Norrköping FK,Samuel Adeniyi Adegbenro,,77,52,,,67,92,Final third entry,,,,2,False,False,False,Corner,,,,
21,IFK Norrköping FK,Viktor Agardius,Ari Freyr Skúlason,66,39,72.0,16.0,73,76,Pass accurate,0.3400253613442268,0.004477154807134273,0.7586314519314932,2,False,False,False,Corner,,,,
22,IFK Norrköping FK,Samuel Adeniyi Adegbenro,,94,51,,,73,78,Goal,0.3400253613442268,,,2,False,False,False,Corner,,,,Bottom-Right
23,Hammarby,Oliver Dovin,,6,49,,,73,78,Goal conceded,0.3400253613442268,,,2,False,False,False,,,,,Bottom-Right
