external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,Maic Sema,Ari Freyr Skúlason,51,50,32.0,51.0,0,3,Pass accurate,,-0.005153687985360585,0.8821105643271655,1,False,False,False,,,,,
1,IFK Norrköping FK,Ari Freyr Skúlason,Abdulrazaq Ishaq,36,64,73.0,16.0,2,5,Pass accurate,,0.012541095726971003,0.5498089524085115,1,False,False,False,,,,,
2,BK Häcken,Martin Olsson,,27,85,,,6,9,Air challenge successful,,,,1,False,False,False,,,,,
3,BK Häcken,Martin Olsson,,27,85,,,6,9,Challenge successful,,,,1,False,False,False,,,,,
4,IFK Norrköping FK,Abdulrazaq Ishaq,,73,15,,,6,9,Air challenge unsuccessful,,,,1,False,False,False,,,,,
5,IFK Norrköping FK,Abdulrazaq Ishaq,,73,15,,,6,9,Challenge unsuccessful,,,,1,False,False,False,,,,,
6,IFK Norrköping FK,Carl Björk,,91,1,,,9,14,Lost ball,,,,1,False,False,False,,,,,
7,BK Häcken,Martin Olsson,Erik Friberg,8,97,9.0,89.0,15,18,Pass accurate,,0.0014459941826564637,0.7292890691348805,1,False,False,False,,,,,
8,BK Häcken,Erik Friberg,Martin Olsson,7,86,7.0,97.0,16,19,Pass accurate,,-0.0010505833790813,0.9455289802367098,1,False,False,False,,,,,
9,BK Häcken,Martin Olsson,Erik Friberg,7,98,8.0,85.0,18,21,Pass accurate,,0.0010505833790813,0.9096433372446615,1,False,False,False,,,,,
10,BK Häcken,Erik Friberg,Martin Olsson,8,85,7.0,94.0,18,21,Pass accurate,,-0.0010505833790813,0.910242755299789,1,False,False,False,,,,,
11,BK Häcken,Martin Olsson,,9,99,35.0,70.0,19,22,Pass inaccurate,,,0.7099893306513158,1,False,False,False,,,,,
12,IFK Norrköping FK,Marco Lund Nielsen,,65,30,66.0,3.0,23,26,Pass inaccurate,,,0.8261107222932181,1,False,False,False,,,,,
13,BK Häcken,Tobias Heintz,,34,97,,,28,33,Lost ball,,,,1,False,False,False,,,,,
14,IFK Norrköping FK,Linus Wahlqvist,Marco Lund Nielsen,38,1,27.0,18.0,33,36,Pass accurate,,-9.746437644029757e-05,0.8953078102748893,1,False,False,False,,,,,
15,IFK Norrköping FK,Marco Lund Nielsen,Viktor Agardius,29,15,29.0,43.0,36,39,Pass accurate,,0.0011306395095190824,0.8686558449069821,1,False,False,False,,,,,
16,IFK Norrköping FK,Viktor Agardius,Christopher Rasmus Nilsson Telo,28,61,35.0,89.0,39,42,Pass accurate,,-0.0016509104355955598,0.8524930110002298,1,False,False,False,,,,,
17,IFK Norrköping FK,Christopher Rasmus Nilsson Telo,Viktor Agardius,37,93,31.0,82.0,44,47,Pass accurate,,7.891727226244476e-05,0.8805653952457727,1,False,False,False,,,,,
18,IFK Norrköping FK,Viktor Agardius,Ari Freyr Skúlason,29,64,33.0,56.0,47,50,Pass accurate,,0.000632147095620355,0.8266719733903487,1,False,False,False,,,,,
19,IFK Norrköping FK,Ari Freyr Skúlason,Viktor Agardius,33,57,29.0,68.0,48,51,Pass accurate,,-0.000632147095620355,0.8864283953222908,1,False,False,False,,,,,
