external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Örebro,away,Deniz Hümmet,Andreas Skovgaard Larsen,49,51,28.0,51.0,0,3,pass accurate,,-0.0027516241001182586,0.9161791357261458,1,False,False,False,nan,nan,nan,,nan
1,Degerfors IF,home,Victor Edvardsen,,78,28,,,0,25,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
2,Örebro,away,Andreas Skovgaard Larsen,,30,53,50.0,53.0,3,6,pass inaccurate,,,0.7139166410053571,1,False,False,False,nan,nan,nan,,nan
3,Degerfors IF,home,Victor Edvardsen,,82,27,,,10,13,wide shot,0.016782156279389154,,,1,False,False,False,nan,nan,nan,,nan
4,Örebro,away,Bobby Allain,,18,73,,,10,13,goalkeeper wide shot,,,,1,False,False,False,nan,nan,nan,,nan
5,Degerfors IF,home,Victor Edvardsen,,82,27,,,10,13,shot,0.016782156279389154,,,1,False,False,False,nan,nan,right foot,,nan
6,Örebro,away,Bobby Allain,,5,41,57.0,11.0,22,32,pass inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
7,Örebro,away,Bobby Allain,,5,41,57.0,11.0,22,32,goal kick,,,,1,False,False,False,nan,nan,nan,,nan
8,Degerfors IF,home,Sebastian Olsson,,43,89,53.0,89.0,30,33,pass inaccurate,,,0.20264189741207417,1,False,False,False,nan,nan,nan,,nan
9,Degerfors IF,home,Sebastian Olsson,,42,88,,,30,33,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
10,Degerfors IF,home,Sebastian Olsson,,42,88,,,30,33,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
11,Örebro,away,Dennis Collander,,59,11,,,30,33,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
12,Örebro,away,Dennis Collander,,59,11,,,30,33,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
13,Örebro,away,Daniel Björnkvist,Michael Almebäck,41,1,32.0,10.0,38,41,pass accurate,,-0.0014463204507441565,0.8552339246091976,1,False,False,False,nan,nan,nan,,nan
14,Örebro,away,Michael Almebäck,Andreas Skovgaard Larsen,30,12,26.0,44.0,38,41,pass accurate,,0.0024794955838229413,0.8993281225411323,1,False,False,False,nan,nan,nan,,nan
15,Örebro,away,Andreas Skovgaard Larsen,Bobby Allain,23,47,7.0,46.0,43,46,pass accurate,,-5.410921529860717e-05,0.9305497739963653,1,False,False,False,nan,nan,nan,,nan
16,Örebro,away,Bobby Allain,Dennis Collander,8,40,56.0,7.0,46,49,pass accurate,,0.003914550543969561,0.6995172543214151,1,False,False,False,nan,nan,nan,,nan
17,Örebro,away,Dennis Collander,Daniel Björnkvist,55,8,42.0,7.0,50,53,pass accurate,,-0.0021776537504475443,0.8816468779787497,1,False,False,False,nan,nan,nan,,nan
18,Örebro,away,Daniel Björnkvist,,42,7,68.0,15.0,51,54,pass inaccurate,,,0.5235117054720116,1,False,False,False,nan,nan,nan,,nan
19,Degerfors IF,home,Sebastian Olsson,,32,85,,,53,58,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
20,Degerfors IF,home,Sebastian Olsson,,32,85,,,53,58,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
21,Degerfors IF,home,Sebastian Olsson,Ismael Diawara,27,74,9.0,54.0,54,57,pass accurate,,-0.0012903730880448588,0.9414389322072737,1,False,False,False,nan,nan,nan,,nan
22,Degerfors IF,home,Ismael Diawara,,11,51,59.0,33.0,58,61,pass inaccurate,,,0.5721566475988201,1,False,False,False,nan,nan,nan,,nan
23,Örebro,away,Andreas Skovgaard Larsen,Johan Mårtensson,41,67,52.0,50.0,61,64,pass accurate,,0.004393745238107941,0.7604027860373651,2,False,False,False,nan,nan,nan,,nan
24,Örebro,away,Johan Mårtensson,,54,52,84.0,30.0,64,67,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
