external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Göteborg,home,Marcus Berg,Gustav Svensson,49,51,36.0,59.0,0,3,pass accurate,,-0.0015085281462256447,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IFK Göteborg,home,Gustav Svensson,Mattias Bjärsmyr,34,54,29.0,30.0,2,5,pass accurate,,-0.0014774793826186627,0.9008737439034711,1,False,False,False,nan,nan,nan,,nan
2,IFK Göteborg,home,Mattias Bjärsmyr,,27,25,32.0,10.0,4,7,pass inaccurate,,,0.8548707018078642,1,False,False,False,nan,nan,nan,,nan
3,IFK Göteborg,home,Alexander Jallow,,32,10,69.0,25.0,6,9,pass inaccurate,,,0.433437192805915,1,False,False,False,nan,nan,nan,,nan
4,Halmstad,away,Joseph Baffoe,,31,75,,,7,12,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
5,IFK Göteborg,home,Kevin Yakob,,67,28,,,9,14,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
6,IFK Göteborg,home,Kevin Yakob,,67,28,,,9,14,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,IFK Göteborg,home,Marcus Berg,,69,21,,,9,12,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
8,IFK Göteborg,home,Marcus Berg,,69,21,,,9,12,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
9,Halmstad,away,Joseph Baffoe,,31,79,,,9,12,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
10,Halmstad,away,Joseph Baffoe,,31,79,,,9,12,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
11,Halmstad,away,Amir Al-Ammari,,33,65,,,10,15,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
12,IFK Göteborg,home,Oscar Wendt,Carl Johansson,60,89,35.0,76.0,18,21,pass accurate,,-0.004366366543778534,0.8860757307536438,1,False,False,False,nan,nan,nan,,nan
13,IFK Göteborg,home,Carl Johansson,Mattias Bjärsmyr,35,73,30.0,48.0,21,24,pass accurate,,-0.000595290056026274,0.8954789609775199,1,False,False,False,nan,nan,nan,,nan
14,IFK Göteborg,home,Mattias Bjärsmyr,Alexander Jallow,28,40,18.0,40.0,24,27,pass accurate,,-0.0013899267940917174,0.9387687164520605,1,False,False,False,nan,nan,nan,,nan
15,IFK Göteborg,home,Alexander Jallow,Kevin Yakob,27,13,63.0,18.0,27,30,pass accurate,,0.008554982211709567,0.4785320378312343,1,False,False,False,nan,nan,nan,,nan
16,IFK Göteborg,home,Kevin Yakob,Gustaf Norlin,63,16,37.0,18.0,28,31,pass accurate,,-0.007275755053668238,0.8740395905240054,1,False,False,False,nan,nan,nan,,nan
17,IFK Göteborg,home,Gustaf Norlin,Gustav Svensson,41,19,36.0,21.0,31,34,pass accurate,,,0.8038687318060928,1,False,False,False,nan,nan,nan,,nan
18,IFK Göteborg,home,Gustav Svensson,Alexander Jallow,38,22,33.0,11.0,32,35,pass accurate,,-0.002628083232345188,0.864761759110194,1,False,False,False,nan,nan,nan,,nan
19,IFK Göteborg,home,Alexander Jallow,Mattias Bjärsmyr,36,7,28.0,26.0,36,39,pass accurate,,0.0006341390131263652,0.8909479639934179,1,False,False,False,nan,nan,nan,,nan
20,IFK Göteborg,home,Mattias Bjärsmyr,Carl Johansson,29,31,30.0,70.0,40,43,pass accurate,,-0.00039776366689430603,0.8767691834315172,1,False,False,False,nan,nan,nan,,nan
21,IFK Göteborg,home,Carl Johansson,Marcus Berg,28,79,69.0,67.0,43,46,pass accurate,,0.01391388054548557,0.4671256348332171,1,False,False,False,nan,nan,nan,,nan
22,Halmstad,away,Joseph Baffoe,,30,61,,,46,51,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
23,Halmstad,away,Andreas Johansson,,31,33,,,46,49,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
24,Halmstad,away,Andreas Johansson,,31,33,,,46,49,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
25,IFK Göteborg,home,Marcus Berg,,69,67,,,46,49,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
26,IFK Göteborg,home,Marcus Berg,,69,67,,,46,49,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
27,IFK Göteborg,home,Alexander Jallow,Gustaf Norlin,37,10,66.0,9.0,53,56,pass accurate,,0.0063938217324273575,0.45424604772958277,1,False,False,False,nan,nan,nan,,nan
28,IFK Göteborg,home,Gustaf Norlin,Sebastian Eriksson,35,11,42.0,31.0,59,62,pass accurate,,0.003373760864363454,0.8176111670166648,1,False,False,False,nan,nan,nan,,nan
29,IFK Göteborg,home,Sebastian Eriksson,Alexander Jallow,33,12,40.0,7.0,63,66,pass accurate,,0.0014463204507441565,0.8474294460385613,2,False,False,False,nan,nan,nan,,nan
30,IFK Göteborg,home,Sebastian Eriksson,,42,31,33.0,12.0,59,66,carry,,-0.0048200813151076105,,1,False,False,False,nan,nan,nan,,nan
31,IFK Göteborg,home,Alexander Jallow,Sebastian Eriksson,36,6,29.0,10.0,64,67,pass accurate,,-0.0014463204507441565,0.8798304839952993,2,False,False,False,nan,nan,nan,,nan
32,IFK Göteborg,home,Sebastian Eriksson,Oscar Wendt,34,34,37.0,82.0,70,73,pass accurate,,-0.0010541402026210348,0.8402121006237171,2,False,False,False,nan,nan,nan,,nan
33,IFK Göteborg,home,Sebastian Eriksson,,29,10,34.0,34.0,64,73,carry,,0.0033807892058522887,,2,False,False,False,nan,nan,nan,,nan
34,IFK Göteborg,home,Oscar Wendt,Carl Johansson,39,82,30.0,78.0,73,76,pass accurate,,-0.0015837992739677984,0.8973107490925579,2,False,False,False,nan,nan,nan,,nan
35,IFK Göteborg,home,Carl Johansson,Sebastian Eriksson,30,82,35.0,76.0,75,78,pass accurate,,0.0015837992739677984,0.8294800138889149,2,False,False,False,nan,nan,nan,,nan
36,IFK Göteborg,home,Sebastian Eriksson,,35,70,72.0,14.0,79,82,pass inaccurate,,,0.5568584893855283,2,False,False,False,nan,nan,nan,,nan
37,Halmstad,away,Andreas Bengtsson,,28,86,,,81,86,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
38,IFK Göteborg,home,Gustaf Norlin,,72,10,,,82,85,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
39,IFK Göteborg,home,Gustaf Norlin,,72,10,,,82,85,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
40,Halmstad,away,Andreas Bengtsson,,28,89,,,82,85,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
41,Halmstad,away,Andreas Bengtsson,,28,89,,,82,85,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
42,IFK Göteborg,home,Gustaf Norlin,Alexander Jallow,77,2,67.0,11.0,87,90,pass accurate,,-0.005796274482870466,0.72806532612284,2,False,False,False,nan,nan,nan,,nan
43,IFK Göteborg,home,Alexander Jallow,Sebastian Eriksson,66,8,59.0,21.0,90,93,pass accurate,,0.0020636961028419123,0.795313378694335,2,False,False,False,nan,nan,nan,,nan
44,IFK Göteborg,home,Sebastian Eriksson,Oscar Wendt,56,17,66.0,84.0,92,95,pass accurate,,0.0024715985391868638,0.5193716056848398,2,False,False,False,nan,nan,nan,,nan
45,IFK Göteborg,home,Oscar Wendt,Tobias Sana,66,89,63.0,75.0,97,100,pass accurate,,0.002372399841753102,0.8120798693014984,2,False,False,False,nan,nan,nan,,nan
46,IFK Göteborg,home,Tobias Sana,Sebastian Eriksson,70,78,57.0,70.0,102,105,pass accurate,,-0.007223280129252434,0.8214701286908883,2,False,False,False,nan,nan,nan,,nan
47,IFK Göteborg,home,Tobias Sana,,63,75,70.0,78.0,97,105,carry,,0.0049376838474669525,,2,False,False,False,nan,nan,nan,,nan
48,IFK Göteborg,home,Sebastian Eriksson,Alexander Jallow,56,69,45.0,23.0,104,107,pass accurate,,-0.00275203619571043,0.8423865824796152,2,False,False,False,nan,nan,nan,,nan
49,IFK Göteborg,home,Alexander Jallow,Gustaf Norlin,64,14,69.0,12.0,109,112,pass accurate,,0.0027287035445963045,0.6330916835187146,2,False,False,False,nan,nan,nan,,nan
50,IFK Göteborg,home,Alexander Jallow,,45,23,64.0,14.0,104,112,carry,,0.005876055374746447,,2,False,False,False,nan,nan,nan,,nan
51,IFK Göteborg,home,Gustaf Norlin,Gustav Svensson,69,11,56.0,17.0,113,116,pass accurate,,-0.0060387249810337044,0.7999934807684645,2,False,False,False,nan,nan,nan,,nan
52,IFK Göteborg,home,Gustav Svensson,Mattias Bjärsmyr,54,15,38.0,31.0,115,118,pass accurate,,-0.0032130276437237378,0.8522916547243092,2,False,False,False,nan,nan,nan,,nan
53,IFK Göteborg,home,Mattias Bjärsmyr,Carl Johansson,42,34,43.0,69.0,118,121,pass accurate,,-0.0003471492954100451,0.8498212074371078,2,False,False,False,nan,nan,nan,,nan
54,IFK Göteborg,home,Carl Johansson,Oscar Wendt,43,71,68.0,87.0,120,123,pass accurate,,0.009530167216532277,0.5758185509597481,3,False,False,False,nan,nan,nan,,nan
55,Halmstad,away,Andreas Johansson,,27,38,,,123,128,interception succesful,,,,3,False,False,False,nan,nan,nan,,nan
56,Halmstad,away,Andreas Johansson,,27,38,,,123,128,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
57,IFK Göteborg,home,Oscar Wendt,,72,90,82.0,90.0,123,126,pass inaccurate,,,0.6667593717784617,3,False,False,False,nan,nan,nan,,nan
58,IFK Göteborg,home,Tobias Sana,,67,70,,,126,131,block successful,,,,3,False,False,False,nan,nan,nan,,nan
59,IFK Göteborg,home,Tobias Sana,,67,70,,,126,131,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
60,Halmstad,away,Andreas Johansson,,32,29,42.0,29.0,127,130,pass inaccurate,,,0.82455535084128,3,False,False,False,nan,nan,nan,,nan
61,IFK Göteborg,home,Marcus Berg,,78,71,,,128,133,interception succesful,,,,3,False,False,False,nan,nan,nan,,nan
62,IFK Göteborg,home,Marcus Berg,,78,71,,,128,133,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
63,IFK Göteborg,home,Marcus Berg,,77,70,,,129,134,offside,,,,3,False,False,False,nan,nan,nan,,nan
64,Halmstad,away,Malkolm Nilsson Säfqvist,,24,29,70.0,25.0,155,165,pass inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
65,Halmstad,away,Malkolm Nilsson Säfqvist,,24,29,70.0,25.0,155,165,goalkeeper kick inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
66,IFK Göteborg,home,Carl Johansson,,30,75,,,161,166,clearance accurate,,,,3,False,False,False,nan,nan,nan,,nan
67,Halmstad,away,Mikael Boman,,71,33,,,163,166,air challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
68,Halmstad,away,Mikael Boman,,71,33,,,163,166,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
69,IFK Göteborg,home,Carl Johansson,,30,69,,,163,166,air challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
70,IFK Göteborg,home,Carl Johansson,,30,69,,,163,166,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
71,IFK Göteborg,home,Marcus Berg,,43,73,65.0,67.0,163,166,pass inaccurate,,,0.6762086832001932,3,False,False,False,nan,nan,nan,,nan
72,Halmstad,away,Joseph Baffoe,Malkolm Nilsson Säfqvist,35,33,14.0,40.0,166,169,pass accurate,,-0.0025524846114697974,0.9409034277696664,3,False,False,False,nan,nan,nan,,nan
73,Halmstad,away,Malkolm Nilsson Säfqvist,,11,34,70.0,41.0,169,172,pass inaccurate,,,0.4837934149931391,3,False,False,False,nan,nan,nan,,nan
74,IFK Göteborg,home,Mattias Bjärsmyr,,30,59,,,172,177,clearance inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
75,Halmstad,away,Samuel Kroon,,60,25,62.0,36.0,174,177,pass inaccurate,,,0.7805241767265451,3,False,False,False,nan,nan,nan,,nan
76,IFK Göteborg,home,Sebastian Eriksson,Alexander Jallow,38,64,34.0,32.0,177,180,pass accurate,,0.0003060035660030734,0.8904923988966832,3,False,False,False,nan,nan,nan,,nan
77,Halmstad,away,Amir Al-Ammari,,64,40,,,178,181,foul,,,,3,False,False,False,nan,nan,nan,,nan
78,IFK Göteborg,home,Sebastian Eriksson,Carl Johansson,36,57,31.0,69.0,183,186,pass accurate,,-0.0018752430495129688,0.8803572422962729,4,False,False,False,nan,nan,nan,,nan
79,IFK Göteborg,home,Carl Johansson,Gustav Svensson,33,67,35.0,59.0,186,189,pass accurate,,0.0018752430495129688,0.7922642812885597,4,False,False,False,nan,nan,nan,,nan
80,IFK Göteborg,home,Gustav Svensson,Gustaf Norlin,34,42,44.0,10.0,190,193,pass accurate,,-0.0008728545218863581,0.8499826520297805,4,False,False,False,nan,nan,nan,,nan
81,IFK Göteborg,home,Gustaf Norlin,Alexander Jallow,62,8,34.0,20.0,194,197,pass accurate,,-0.005212058950826326,0.8595673656439969,4,False,False,False,nan,nan,nan,,nan
82,IFK Göteborg,home,Gustaf Norlin,,44,10,62.0,8.0,190,197,carry,,0.00506778581521688,,4,False,False,False,nan,nan,nan,,nan
83,IFK Göteborg,home,Alexander Jallow,Mattias Bjärsmyr,35,17,33.0,36.0,197,200,pass accurate,,-0.0005476237684746664,0.864761759110194,4,False,False,False,nan,nan,nan,,nan
84,IFK Göteborg,home,Mattias Bjärsmyr,Carl Johansson,43,41,39.0,75.0,200,203,pass accurate,,-0.002767443845151764,0.851681763342192,4,False,False,False,nan,nan,nan,,nan
85,IFK Göteborg,home,Carl Johansson,Oscar Wendt,49,76,60.0,87.0,203,206,pass accurate,,0.005326292093645234,0.793143876415798,4,False,False,False,nan,nan,nan,,nan
86,IFK Göteborg,home,Carl Johansson,Carl Johansson,59,86,37.0,77.0,205,208,pass accurate,,-0.006738766385531636,0.8931900382864791,4,False,False,False,nan,nan,nan,,nan
87,IFK Göteborg,home,Carl Johansson,Oscar Wendt,35,78,66.0,85.0,209,212,pass accurate,,0.006738766385531636,0.6175316036015159,4,False,False,False,nan,nan,nan,,nan
88,IFK Göteborg,home,Oscar Wendt,,76,88,81.0,58.0,212,215,pass inaccurate,,,0.6330647780726885,4,False,False,False,nan,nan,nan,,nan
