external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,Joel Asoro,Jacob Une Larsson,49,50,29.0,49.0,0,2,pass accurate,,-0.0025869714088918878,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,Djurgården,Jacob Une Larsson,Haris Radetinac,31,47,68.0,87.0,2,4,pass accurate,,0.011523603652406901,0.5036281391169508,1,False,False,False,nan,nan,nan,,nan
2,Malmö FF,Felix Beijmo,,32,12,,,4,7,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
3,Malmö FF,Felix Beijmo,,32,12,,,4,7,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,Djurgården,Haris Radetinac,,68,88,,,4,7,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Djurgården,Haris Radetinac,,68,88,,,4,7,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,Djurgården,Haris Radetinac,,67,88,70.0,72.0,5,7,pass inaccurate,,,0.7631776740429487,1,False,False,False,nan,nan,nan,,nan
7,Malmö FF,Anders Bleg Christiansen,Jo Inge Berget,30,28,37.0,6.0,7,9,pass accurate,,-0.0006341390131263652,0.7421403515999547,1,False,False,False,nan,nan,nan,,nan
8,Malmö FF,Jo Inge Berget,,38,3,37.0,12.0,11,13,pass inaccurate,,,0.8093586326297205,1,False,False,False,nan,nan,nan,,nan
9,Djurgården,Elliot Käck,,63,88,70.0,93.0,13,15,pass inaccurate,,,0.5362763854544762,1,False,False,False,nan,nan,nan,,nan
10,Malmö FF,Anel Ahmedhodzic,,30,7,97.0,13.0,16,18,pass inaccurate,,,0.26095483014028215,1,False,False,False,nan,nan,nan,,nan
11,Malmö FF,Veljko Birmančević,,97,13,,,17,42,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
12,Djurgården,Jacob Une Larsson,,17,69,,,20,25,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
13,Malmö FF,Veljko Birmančević,,96,13,95.0,48.0,26,28,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
14,Malmö FF,Veljko Birmančević,,96,13,95.0,48.0,26,28,pass inaccurate,,,0.37015654005211707,1,False,False,False,nan,nan,nan,,nan
