external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Göteborg,Marcus Berg,Simon Thern,49,51,36.0,61.0,0,2,pass accurate,,-0.0015085281462256447,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IFK Göteborg,Simon Thern,August Erlingmark,39,61,26.0,28.0,1,3,pass accurate,,-0.0014774793826186627,0.9299177074086257,1,False,False,False,nan,nan,nan,,nan
2,IFK Göteborg,August Erlingmark,,28,30,63.0,21.0,4,6,pass inaccurate,,,0.5872238468945454,1,False,False,False,nan,nan,nan,,nan
3,BK Häcken,Kristoffer Lund Hansen,,37,79,,,5,8,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,BK Häcken,Kristoffer Lund Hansen,,37,79,,,5,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,IFK Göteborg,Kolbeinn Sigþórsson,,66,21,,,5,8,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,IFK Göteborg,Kolbeinn Sigþórsson,,66,21,,,5,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,BK Häcken,Kristoffer Lund Hansen,,32,79,,,5,10,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
8,IFK Göteborg,August Erlingmark,,61,1,73.0,18.0,22,24,pass inaccurate,,,0.6550933257801854,1,False,False,False,nan,nan,nan,,nan
9,BK Häcken,Godswill Ekpolo,,27,82,,,23,28,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
10,BK Häcken,Godswill Ekpolo,,27,82,,,23,28,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
11,BK Häcken,Godswill Ekpolo,Patrik Wålemark,20,86,32.0,69.0,24,26,pass accurate,,0.0023456372207593303,0.8039928661222101,1,False,False,False,nan,nan,nan,,nan
12,BK Häcken,Patrik Wålemark,Daleho Irandust,30,71,38.0,81.0,26,28,pass accurate,,0.0006439532062550383,0.8112941972227303,1,False,False,False,nan,nan,nan,,nan
13,BK Häcken,Daleho Irandust,,55,95,,,27,37,dribble unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,BK Häcken,Daleho Irandust,,38,81,55.0,95.0,26,37,carry,,0.0016829424541849273,,1,False,False,False,nan,nan,nan,,nan
15,BK Häcken,Daleho Irandust,Leo Bengtsson,37,78,34.0,94.0,27,29,pass accurate,,-0.0016627165462302432,0.9075907032906786,1,False,False,False,nan,nan,nan,,nan
16,BK Häcken,Leo Bengtsson,Daleho Irandust,33,95,48.0,90.0,29,31,pass accurate,,0.002767005394576758,0.7327063596370608,1,False,False,False,nan,nan,nan,,nan
17,IFK Göteborg,August Erlingmark,,45,10,,,30,35,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
18,IFK Göteborg,August Erlingmark,,45,7,,,31,36,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
19,IFK Göteborg,August Erlingmark,,45,7,,,31,36,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
20,IFK Göteborg,August Erlingmark,Ioannis Anestis,41,15,9.0,29.0,33,35,pass accurate,,-0.002608809203132773,0.9268820670765819,1,False,False,False,nan,nan,nan,,nan
21,IFK Göteborg,Marcus Berg,,73,21,,,36,61,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
22,IFK Göteborg,Ioannis Anestis,Kolbeinn Sigþórsson,10,30,64.0,25.0,36,38,pass accurate,,0.010396131458754778,0.5886135263022102,1,False,False,False,nan,nan,nan,,nan
23,BK Häcken,Tobias Carlsson,,35,81,,,39,42,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
24,BK Häcken,Tobias Carlsson,,35,81,,,39,42,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
25,IFK Göteborg,Kolbeinn Sigþórsson,,66,21,,,39,42,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
26,IFK Göteborg,Kolbeinn Sigþórsson,,66,21,,,39,42,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
27,IFK Göteborg,Kolbeinn Sigþórsson,Marcus Berg,63,21,70.0,32.0,40,42,pass accurate,,0.005662354165382324,0.7073985179633396,1,False,False,False,nan,nan,nan,,nan
28,IFK Göteborg,Marcus Berg,Hosam Aiesh,72,24,76.0,6.0,44,46,pass accurate,,0.002812934946659979,0.5936479308731458,1,False,False,False,nan,nan,nan,,nan
29,IFK Göteborg,Marcus Berg,,70,32,72.0,24.0,40,46,carry,,4.968891542446799e-05,,1,False,False,False,nan,nan,nan,,nan
30,IFK Göteborg,Hosam Aiesh,,97,14,95.0,62.0,51,53,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
31,IFK Göteborg,Hosam Aiesh,,97,14,95.0,62.0,51,53,pass inaccurate,,,0.3371368585448763,1,False,False,False,nan,nan,nan,,nan
32,IFK Göteborg,Hosam Aiesh,,97,14,95.0,62.0,51,53,cross inacurate,,,0.3371368585448763,1,False,False,False,nan,nan,nan,,nan
33,IFK Göteborg,Hosam Aiesh,,76,6,97.0,14.0,44,53,carry,,0.009785509582683646,,1,False,False,False,nan,nan,nan,,nan
34,BK Häcken,Godswill Ekpolo,,5,38,,,52,57,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
35,IFK Göteborg,Alexander Jallow,,75,95,,,68,93,final third entry,,,,2,False,False,False,nan,nan,nan,,nan
36,IFK Göteborg,Alexander Jallow,Bernardo Vilar Estevão Jeronimo,68,98,64.0,92.0,71,73,pass accurate,,-0.003925326525479712,0.7403320578687539,2,False,False,False,nan,nan,nan,,nan
37,IFK Göteborg,Bernardo Vilar Estevão Jeronimo,Simon Thern,64,92,69.0,80.0,74,76,pass accurate,,0.0073100836892200545,0.7249883952226703,2,False,False,False,nan,nan,nan,,nan
38,IFK Göteborg,Hosam Aiesh,,91,32,,,74,84,penalty box entry successful,,,,2,False,False,False,nan,nan,nan,,nan
39,IFK Göteborg,Simon Thern,Alexander Jallow,69,80,71.0,91.0,74,76,pass accurate,,-0.003384757163740343,0.7769291215085988,2,False,False,False,nan,nan,nan,,nan
40,IFK Göteborg,Alexander Jallow,Kolbeinn Sigþórsson,67,93,81.0,81.0,76,78,pass accurate,,0.00828418009345824,0.6637665168888761,2,False,False,False,nan,nan,nan,,nan
41,IFK Göteborg,Kolbeinn Sigþórsson,Simon Thern,76,77,74.0,76.0,77,79,pass accurate,,-0.004899422929717897,0.23004057707237435,2,False,False,False,nan,nan,nan,,nan
42,IFK Göteborg,Kolbeinn Sigþórsson,,81,81,76.0,77.0,76,79,carry,,,,2,False,False,False,nan,nan,nan,,nan
43,IFK Göteborg,Simon Thern,Tobias Sana,75,75,71.0,65.0,79,81,pass accurate,0.6591593763837612,-0.004245791891198714,0.7718591785458438,2,False,False,False,nan,nan,nan,,nan
44,IFK Göteborg,Tobias Sana,Hosam Aiesh,75,65,88.0,29.0,81,83,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
45,IFK Göteborg,Tobias Sana,Hosam Aiesh,75,65,88.0,29.0,81,83,pass accurate,,0.02992152573536573,0.57994997593539,2,False,False,False,nan,nan,nan,,nan
46,BK Häcken,Kristoffer Lund Hansen,,8,67,,,83,86,foul,,,,2,False,False,False,nan,nan,nan,,nan
47,IFK Göteborg,Tobias Sana,,88,52,,,153,158,goal,0.6591593763837612,,,3,False,True,False,penalty,nan,nan,,bottom-right
48,BK Häcken,Peter Abrahamsson,,12,48,,,153,158,goal conceded,0.6591593763837612,,,3,False,True,False,nan,nan,nan,,bottom-right
49,BK Häcken,Tobias Carlsson,Gustav Berggren,30,68,33.0,26.0,214,216,pass accurate,,0.00039776366689430603,0.8456215351706754,4,False,False,False,nan,nan,nan,,nan
50,BK Häcken,Gustav Berggren,Joona Toivio,40,22,32.0,39.0,218,220,pass accurate,,-0.0001485876485222467,0.8673647113530933,4,False,False,False,nan,nan,nan,,nan
51,BK Häcken,Joona Toivio,Tobias Carlsson,32,42,36.0,77.0,221,223,pass accurate,,-0.00015284658059168746,0.8584650567904555,4,False,False,False,nan,nan,nan,,nan
52,BK Häcken,Tobias Carlsson,,40,79,94.0,13.0,225,227,pass inaccurate,,,0.49849970638085345,4,False,False,False,nan,nan,nan,,nan
53,IFK Göteborg,Alexander Jallow,,6,87,,,231,236,clearance accurate,,,,4,False,False,False,nan,nan,nan,,nan
54,IFK Göteborg,Alexander Jallow,Kolbeinn Sigþórsson,7,93,34.0,83.0,232,234,pass accurate,,0.006821362418064192,0.7240828527531772,4,False,False,False,nan,nan,nan,,nan
55,IFK Göteborg,Kolbeinn Sigþórsson,,32,88,33.0,76.0,236,238,pass inaccurate,,,0.8614678196531999,4,False,False,False,nan,nan,nan,,nan
56,BK Häcken,Samuel Gustafson,Joona Toivio,67,24,58.0,12.0,238,240,pass accurate,,-0.01066587124841804,0.8119903046367195,4,False,False,False,nan,nan,nan,,nan
57,BK Häcken,Joona Toivio,Godswill Ekpolo,56,19,71.0,7.0,240,242,pass accurate,,0.0060387249810337044,0.7543130457602736,5,False,False,False,nan,nan,nan,,nan
58,BK Häcken,Godswill Ekpolo,,71,6,80.0,26.0,242,244,pass inaccurate,,,0.6040716807610081,5,False,False,False,nan,nan,nan,,nan
59,IFK Göteborg,Bernardo Vilar Estevão Jeronimo,Tobias Sana,20,74,28.0,60.0,245,247,pass accurate,,0.001914631943411767,0.8470395170428978,5,False,False,False,nan,nan,nan,,nan
60,IFK Göteborg,Tobias Sana,Simon Thern,33,57,30.0,71.0,246,248,pass accurate,,-0.000632147095620355,0.8883990316606439,5,False,False,False,nan,nan,nan,,nan
61,IFK Göteborg,Kolbeinn Sigþórsson,,32,67,,,247,257,dribble successful,,,,5,False,False,False,nan,nan,nan,,nan
62,IFK Göteborg,Simon Thern,,30,75,35.0,62.0,247,249,pass inaccurate,,,0.8430462501865745,5,False,False,False,nan,nan,nan,,nan
63,BK Häcken,Samuel Gustafson,,65,38,,,247,252,interception unsuccesful,,,,5,False,False,False,nan,nan,nan,,nan
64,BK Häcken,Samuel Gustafson,,65,38,,,247,252,challenge successful,,,,5,False,False,False,nan,nan,nan,,nan
