external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Mjällby AIF,David Löfquist,Eric Björkander,49,49,29.0,58.0,0,2,pass accurate,,-0.0027792499557864475,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,Mjällby AIF,Eric Björkander,Jacob Bergström,29,53,66.0,19.0,2,4,pass accurate,,0.007588995393416856,0.5914865711184688,1,False,False,False,nan,nan,nan,,nan
2,Mjällby AIF,Jacob Bergström,Joel Nilsson,68,17,64.0,10.0,5,7,pass accurate,,-0.007775739183648704,0.8120655876721042,1,False,False,False,nan,nan,nan,,nan
3,IK Sirius FK,Marcus Klingenberg Mathisen,,35,94,,,10,13,foul,,,,1,False,False,False,nan,nan,nan,,nan
4,IK Sirius FK,Patrick Nwadike,,11,54,,,38,43,clearance accurate,,,,1,False,False,False,nan,nan,nan,,nan
5,IK Sirius FK,Yukiya Sugita,,18,51,36.0,2.0,41,43,pass inaccurate,,,0.8533063685655501,1,False,False,False,nan,nan,nan,,nan
6,Mjällby AIF,Kadir Hodzic,Jacob Bergström,64,98,71.0,89.0,52,54,pass accurate,,0.003925326525479712,0.717232357593523,1,False,False,False,nan,nan,nan,,nan
7,Mjällby AIF,Jacob Bergström,,71,87,,,53,58,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
8,IK Sirius FK,Laorent Shabani,Adam Hellborg,31,12,32.0,28.0,55,57,pass accurate,,0.0020804594638705216,0.8169402209609142,1,False,False,False,nan,nan,nan,,nan
9,IK Sirius FK,Adam Hellborg,,31,23,34.0,19.0,56,58,pass inaccurate,,,0.7010593349009698,1,False,False,False,nan,nan,nan,,nan
10,Mjällby AIF,Enock Kofi Adu,Kadir Hodzic,66,81,71.0,91.0,58,60,pass accurate,,0.0015529266837266097,0.7608487526047986,1,False,False,False,nan,nan,nan,,nan
11,Mjällby AIF,Kadir Hodzic,David Löfquist,74,92,90.0,92.0,60,62,pass accurate,,0.01190239406509774,0.6114235841614726,2,False,False,False,nan,nan,nan,,nan
12,Mjällby AIF,David Löfquist,,89,95,,,63,68,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
13,IK Sirius FK,Patrick Nwadike,,12,4,,,63,68,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
14,IK Sirius FK,Patrick Nwadike,,12,4,,,63,68,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
15,Mjällby AIF,Enock Kofi Adu,,67,94,,,66,69,foul,,,,2,False,False,False,nan,nan,nan,,nan
16,IK Sirius FK,Axel Björnström,Jamie Roche,49,96,36.0,79.0,87,89,pass accurate,,0.00021124459255205189,0.8865031501195285,2,False,False,False,nan,nan,nan,,nan
17,IK Sirius FK,Jamie Roche,Patrick Nwadike,38,82,33.0,65.0,89,91,pass accurate,,-0.0006439532062550383,0.8697824271701776,2,False,False,False,nan,nan,nan,,nan
18,IK Sirius FK,Patrick Nwadike,Tim Björkström,30,66,31.0,30.0,91,93,pass accurate,,0.00039776366689430603,0.8762902955464993,2,False,False,False,nan,nan,nan,,nan
19,IK Sirius FK,Tim Björkström,Nahom Girmai Netabay,32,31,41.0,14.0,94,96,pass accurate,,0.0005476237684746664,0.836299024345716,2,False,False,False,nan,nan,nan,,nan
20,IK Sirius FK,Nahom Girmai Netabay,,39,21,69.0,71.0,96,98,pass inaccurate,,,0.49413429129541153,2,False,False,False,nan,nan,nan,,nan
21,Mjällby AIF,Joel Nilsson,Max Watson,31,29,28.0,37.0,100,102,pass accurate,,,0.8729734081879378,2,False,False,False,nan,nan,nan,,nan
22,Mjällby AIF,Max Watson,Joel Nilsson,27,33,30.0,21.0,101,103,pass accurate,,-0.0007316033895666627,0.8831172992497179,2,False,False,False,nan,nan,nan,,nan
23,Mjällby AIF,Joel Nilsson,Andreas Blomqvist,31,20,30.0,35.0,104,106,pass accurate,,0.0007316033895666627,0.8718378380472132,2,False,False,False,nan,nan,nan,,nan
24,Mjällby AIF,Andreas Blomqvist,Eric Björkander,30,33,25.0,60.0,106,108,pass accurate,,0.00023438342872604892,0.9208490044684097,2,False,False,False,nan,nan,nan,,nan
