external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,BK Häcken,home,Tobias Heintz,Erik Friberg,51,49,35.0,48.0,0,2,pass accurate,,-0.0038186733780411174,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,BK Häcken,home,Erik Friberg,Oskar Sverrisson,34,49,34.0,94.0,1,3,pass accurate,,-0.0029812784328399813,0.8827804825244994,1,False,False,False,nan,nan,nan,,nan
2,BK Häcken,home,Oskar Sverrisson,Johan Hammar,33,93,27.0,78.0,3,5,pass accurate,,0.0013944507131610114,0.9126992561236816,1,False,False,False,nan,nan,nan,,nan
3,BK Häcken,home,Johan Hammar,Gustav Berggren,20,77,33.0,76.0,6,8,pass accurate,,0.0014057911530465702,0.8036810137600431,1,False,False,False,nan,nan,nan,,nan
4,BK Häcken,home,Gustav Berggren,Johan Hammar,34,75,28.0,73.0,6,8,pass accurate,,-0.0006439532062550383,0.8870223671157016,1,False,False,False,nan,nan,nan,,nan
5,BK Häcken,home,Johan Hammar,Joona Toivio,26,72,24.0,38.0,8,10,pass accurate,,-0.0005931270072449916,0.9255023812030011,1,False,False,False,nan,nan,nan,,nan
6,BK Häcken,home,Joona Toivio,,19,42,89.0,42.0,12,14,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
7,BK Häcken,home,Joona Toivio,,19,42,89.0,42.0,12,14,pass inaccurate,,,0.35191479725993946,1,False,False,False,nan,nan,nan,,nan
8,Varbergs BoIS FC,away,Philip Mårtensson,,11,58,41.0,76.0,23,33,pass inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
9,Varbergs BoIS FC,away,Philip Mårtensson,,11,58,41.0,76.0,23,33,goalkeeper kick inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
10,BK Häcken,home,Patrik Wålemark,,59,24,,,30,35,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
11,BK Häcken,home,Patrik Wålemark,,59,24,,,30,35,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
12,BK Häcken,home,Patrik Wålemark,Erik Friberg,57,21,46.0,21.0,31,33,pass accurate,,-0.0025660339383090473,0.8192585474430213,1,False,False,False,nan,nan,nan,,nan
13,BK Häcken,home,Erik Friberg,Gustav Berggren,45,24,48.0,51.0,33,35,pass accurate,,0.00103868408144785,0.7737268400248954,1,False,False,False,nan,nan,nan,,nan
14,Varbergs BoIS FC,away,Albin Mörfelt,,45,47,,,34,37,foul,,,,1,False,False,False,nan,nan,nan,,nan
15,BK Häcken,home,Oskar Sverrisson,,86,93,,,59,84,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
16,BK Häcken,home,Tobias Heintz,,90,72,,,60,70,penalty box entry successful,,,,2,False,False,False,nan,nan,nan,,nan
17,BK Häcken,home,Erik Friberg,Oskar Sverrisson,65,51,83.0,93.0,62,64,pass accurate,,0.005285761784599077,0.3996020847595484,2,False,False,False,nan,nan,nan,,nan
18,BK Häcken,home,Oskar Sverrisson,Tobias Heintz,86,95,89.0,68.0,66,68,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
19,BK Häcken,home,Oskar Sverrisson,Tobias Heintz,86,95,89.0,68.0,66,68,pass accurate,,0.02608860741862594,0.5841284218389954,2,False,False,False,nan,nan,nan,,nan
20,Varbergs BoIS FC,away,Jon Birkfeldt,,5,29,,,68,73,tackle unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
21,Varbergs BoIS FC,away,Jon Birkfeldt,,5,29,,,68,73,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
22,BK Häcken,home,Erik Friberg,,100,98,95.0,46.0,91,101,left corner inaccurate,,,,2,False,False,False,corner,cleared,nan,,nan
