external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,AIK,Nicolas Stefanelli,Sotirios Papagiannopoulos,51,49,32.0,48.0,0,3,Pass accurate,,-0.004984388684059168,0.8821105643271655,1,False,False,False,,,,,
1,AIK,Sotirios Papagiannopoulos,Bojan Radulovic Samoukovic,31,51,81.0,59.0,2,5,Pass accurate,,0.0310443310416679,0.42288889986933215,1,False,False,False,,,,,
2,Degerfors IF,Sean Sabetkar,,19,36,,,5,10,Clearance accurate,,,,1,False,False,False,,,,,
3,AIK,Bojan Radulovic Samoukovic,,80,61,79.0,60.0,5,8,Pass inaccurate,,,0.20514071192544409,1,False,False,False,,,,,
4,Degerfors IF,Oliver Ekroth,,21,40,,,6,9,Air challenge successful,,,,1,False,False,False,,,,,
5,Degerfors IF,Oliver Ekroth,,21,40,,,6,9,Challenge successful,,,,1,False,False,False,,,,,
6,AIK,Bojan Radulovic Samoukovic,,78,58,,,6,9,Air challenge unsuccessful,,,,1,False,False,False,,,,,
7,AIK,Bojan Radulovic Samoukovic,,78,58,,,6,9,Challenge unsuccessful,,,,1,False,False,False,,,,,
8,Degerfors IF,Nikola Djurdjic,Victor Edvardsen,40,25,46.0,35.0,9,12,Pass accurate,,0.0014392921092553218,0.7607614999297109,1,False,False,False,,,,,
9,AIK,Erick Ouma Otieno,,62,79,,,11,16,Interception succesful,,,,1,False,False,False,,,,,
10,AIK,Erick Ouma Otieno,,62,79,,,11,16,Challenge unsuccessful,,,,1,False,False,False,,,,,
11,Degerfors IF,Victor Edvardsen,,43,37,37.0,28.0,11,14,Pass inaccurate,,,0.8921992679691876,1,False,False,False,,,,,
12,Degerfors IF,Justin Salmon,,37,28,,,12,17,Tackle successful,,,,1,False,False,False,,,,,
13,Degerfors IF,Justin Salmon,,37,28,,,12,17,Challenge unsuccessful,,,,1,False,False,False,,,,,
14,AIK,Erick Ouma Otieno,Nicolas Stefanelli,65,77,64.0,70.0,12,15,Pass accurate,,0.0009416788209277889,0.6368569113689845,1,False,False,False,,,,,
15,Degerfors IF,Christos Gravius,Abdelrahman Saidi,43,38,44.0,55.0,15,18,Pass accurate,,-2.7625855668188953e-05,0.8395556306360467,1,False,False,False,,,,,
16,Degerfors IF,Abdelrahman Saidi,Sebastian Ohlsson,40,63,29.0,73.0,17,20,Pass accurate,,-0.0013920898428729997,0.8973107490925579,1,False,False,False,,,,,
17,Degerfors IF,Sebastian Ohlsson,Oliver Ekroth,29,73,27.0,50.0,21,24,Pass accurate,,0.000632147095620355,0.9084596437917314,1,False,False,False,,,,,
18,Degerfors IF,Oliver Ekroth,Erik Lindell,29,30,88.0,10.0,26,29,Pass accurate,,0.022349776867974302,0.5143163235629056,1,False,False,False,,,,,
19,AIK,Erick Ouma Otieno,,10,89,,,30,35,Block unsuccessful,,,,1,False,False,False,,,,,
20,Degerfors IF,Erik Lindell,,90,11,87.0,2.0,31,34,Pass inaccurate,,,0.7523820731990827,1,False,False,False,,,,,
21,Degerfors IF,Erik Lindell,,90,11,87.0,2.0,31,34,Cross inacurate,,,0.7523820731990827,1,False,False,False,,,,,
22,Degerfors IF,Erik Lindell,Nikola Djurdjic,87,2,91.0,10.0,39,42,Pass accurate,,,0.5852459448028817,1,False,False,False,,,,,
23,Degerfors IF,Nikola Djurdjic,Erik Lindell,93,10,85.0,6.0,40,43,Pass accurate,,-0.02599741386060056,0.5343546467378046,1,False,False,False,,,,,
24,Degerfors IF,Erik Lindell,Nikola Djurdjic,87,5,83.0,9.0,41,44,Pass accurate,,-0.006001420018364626,0.4738138419130604,1,False,False,False,,,,,
25,Degerfors IF,Nikola Djurdjic,Sean Sabetkar,82,6,71.0,9.0,43,46,Pass accurate,,-0.005796274482870466,0.6391533095577886,1,False,False,False,,,,,
26,Degerfors IF,Sean Sabetkar,Justin Salmon,73,8,74.0,16.0,44,47,Pass accurate,,0.0029833395362104873,0.6672280076687852,1,False,False,False,,,,,
27,Degerfors IF,Justin Salmon,Christos Gravius,79,14,71.0,25.0,45,48,Pass accurate,,-0.005091155857877418,0.7681141839926738,1,False,False,False,,,,,
28,Degerfors IF,Justin Salmon,,74,16,79.0,14.0,44,48,Carry,,0.00504146694245295,,1,False,False,False,,,,,
