external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IK Sirius FK,Christian Kouakou,Nahom Girmai Netabay,51,50,48.0,52.0,0,3,pass accurate,,-0.0024020638852423268,0.5278344534819922,1,False,False,False,nan,nan,nan,,nan
1,IK Sirius FK,Nahom Girmai Netabay,Dennis Widgren,48,52,28.0,30.0,1,4,pass accurate,,-0.0029860075288443075,0.9221019029806483,1,False,False,False,nan,nan,nan,,nan
2,IK Sirius FK,Dennis Widgren,Marcus Klingenberg Mathisen,28,33,27.0,77.0,4,7,pass accurate,,-0.0013376097346070662,0.9092615055597123,1,False,False,False,nan,nan,nan,,nan
3,IK Sirius FK,Marcus Klingenberg Mathisen,Jacob Ortmark,31,72,35.0,63.0,7,10,pass accurate,,0.0013920898428729997,0.8414620643868302,1,False,False,False,nan,nan,nan,,nan
4,IK Sirius FK,Jacob Ortmark,Moustafa Zeidan,35,72,37.0,31.0,9,12,pass accurate,,0.0003060035660030734,0.8192957207149276,1,False,False,False,nan,nan,nan,,nan
5,IK Sirius FK,Moustafa Zeidan,Adam Hellborg,40,42,61.0,77.0,14,17,pass accurate,,0.005420204498921898,0.635064036142484,1,False,False,False,nan,nan,nan,,nan
6,IK Sirius FK,Adam Hellborg,Marcus Klingenberg Mathisen,64,75,33.0,75.0,16,19,pass accurate,,-0.008322565659499435,0.8813503843572174,1,False,False,False,nan,nan,nan,,nan
7,IK Sirius FK,Marcus Klingenberg Mathisen,,35,63,76.0,2.0,19,22,pass inaccurate,,,0.6852918155351113,1,False,False,False,nan,nan,nan,,nan
8,Mjällby AIF,Kadir Hodzic,,24,98,24.0,98.0,32,35,pass inaccurate,,,0.07178392657724908,1,False,False,False,nan,nan,nan,,nan
9,IK Sirius FK,Jacob Ortmark,,38,16,,,35,40,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
10,IK Sirius FK,Jacob Ortmark,,38,16,,,35,40,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
