external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Blair Sebastian Turgott,Eirik Haugan,49,50,29.0,62.0,0,3,pass accurate,,-0.0027516241001182586,0.9077521422162625,1,False,False,False,nan,nan,nan,,nan
1,Östersund,Eirik Haugan,,28,60,67.0,30.0,3,6,pass inaccurate,,,0.5169848172878714,1,False,False,False,nan,nan,nan,,nan
2,AIK,Sotirios Papagiannopoulos,,33,70,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
3,AIK,Sotirios Papagiannopoulos,,33,70,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Östersund,Malcolm Stolt,,67,30,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Östersund,Malcolm Stolt,,67,30,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Östersund,Nikolaos Dosis,,62,28,69.0,34.0,8,11,pass inaccurate,,,0.7123438982151399,1,False,False,False,nan,nan,nan,,nan
7,AIK,Alexander Milošević,,31,66,45.0,56.0,10,13,pass inaccurate,,,0.7904629585794593,1,False,False,False,nan,nan,nan,,nan
8,AIK,Nicolas Stefanelli,,45,56,,,15,18,foul,,,,1,False,False,False,nan,nan,nan,,nan
9,Östersund,Eirik Haugan,,53,42,94.0,59.0,20,23,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
10,Östersund,Eirik Haugan,,53,42,94.0,59.0,20,23,pass inaccurate,,,0.3851501611838406,1,False,False,False,nan,nan,nan,,nan
11,AIK,Kristoffer Nordfeldt,Sotirios Papagiannopoulos,6,41,9.0,67.0,43,53,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
12,AIK,Kristoffer Nordfeldt,Sotirios Papagiannopoulos,6,41,9.0,67.0,43,53,goalkeeper kick accurate,,,,1,False,False,False,nan,nan,nan,,nan
13,AIK,Sotirios Papagiannopoulos,Erick Ouma Otieno,12,71,23.0,89.0,51,54,pass accurate,,-0.0011065571532435734,0.9027384855512782,1,False,False,False,nan,nan,nan,,nan
14,AIK,Erick Ouma Otieno,,27,90,63.0,75.0,52,55,pass inaccurate,,,0.5568730880719579,1,False,False,False,nan,nan,nan,,nan
15,Östersund,Noah Sonko Sundberg,,37,25,59.0,31.0,55,58,pass inaccurate,,,0.6718689606939917,1,False,False,False,nan,nan,nan,,nan
16,AIK,Bilal Hussein,,41,69,48.0,74.0,57,60,pass inaccurate,,,0.7677858259284307,1,False,False,False,nan,nan,nan,,nan
17,Östersund,Ludvig Fritzson,Charlie Colkett,52,26,52.0,45.0,59,62,pass accurate,,5.2111995479109385e-05,0.8165161887030936,1,False,False,False,nan,nan,nan,,nan
18,Östersund,Charlie Colkett,Samuel Laryea Mensiro,47,35,42.0,17.0,63,66,pass accurate,,-0.0007922984038406314,0.8664931510884333,2,False,False,False,nan,nan,nan,,nan
19,Östersund,Samuel Laryea Mensiro,,45,16,67.0,6.0,66,69,pass inaccurate,,,0.46218352016030656,2,False,False,False,nan,nan,nan,,nan
20,AIK,Erik Ring,,33,94,,,69,79,dribble successful,,,,2,False,False,False,nan,nan,nan,,nan
21,AIK,Erick Ouma Otieno,Erik Ring,31,80,39.0,93.0,69,72,pass accurate,,-7.891727226244476e-05,0.6674118894349206,2,False,False,False,nan,nan,nan,,nan
22,AIK,Erik Ring,Erick Ouma Otieno,38,81,43.0,84.0,73,76,pass accurate,,0.0014124742918864026,0.7637098588098822,2,False,False,False,nan,nan,nan,,nan
23,AIK,Erick Ouma Otieno,Nicolas Stefanelli,45,88,61.0,88.0,74,77,pass accurate,,0.004577611136330586,0.727977352798222,2,False,False,False,nan,nan,nan,,nan
24,AIK,Nicolas Stefanelli,Erick Ouma Otieno,73,82,89.0,87.0,79,82,pass accurate,,0.009709563505715859,0.6197981593249426,2,False,False,False,nan,nan,nan,,nan
25,AIK,Nicolas Stefanelli,,61,88,73.0,82.0,74,82,carry,,0.0073100836892200545,,2,False,False,False,nan,nan,nan,,nan
26,Östersund,Aly Keita,,13,52,13.0,47.0,81,91,pass inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
27,Östersund,Aly Keita,,13,52,13.0,47.0,81,91,goalkeeper kick inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
28,Östersund,Aly Keita,,13,47,54.0,20.0,97,100,pass inaccurate,,,0.6525989318049993,2,False,False,False,nan,nan,nan,,nan
29,AIK,Erick Ouma Otieno,,46,80,61.0,80.0,102,105,pass inaccurate,,,0.757895687631901,2,False,False,False,nan,nan,nan,,nan
30,Östersund,Samuel Laryea Mensiro,,39,20,63.0,30.0,103,106,pass inaccurate,,,0.6531598768178358,2,False,False,False,nan,nan,nan,,nan
31,AIK,Sotirios Papagiannopoulos,,37,70,55.0,75.0,105,108,pass inaccurate,,,0.7432128918898434,2,False,False,False,nan,nan,nan,,nan
32,Östersund,Charlie Colkett,Noah Sonko Sundberg,45,25,38.0,29.0,107,110,pass accurate,,-0.0014392921092553218,0.8486394324912413,2,False,False,False,nan,nan,nan,,nan
33,Östersund,Noah Sonko Sundberg,,39,29,55.0,32.0,108,111,pass inaccurate,,,0.7399758783150108,2,False,False,False,nan,nan,nan,,nan
34,AIK,Bilal Hussein,Alexander Milošević,45,68,35.0,59.0,109,112,pass accurate,,-0.000914993173208381,0.87230301542333,2,False,False,False,nan,nan,nan,,nan
35,AIK,Alexander Milošević,Sebastian Larsson,35,60,39.0,59.0,110,113,pass accurate,,,0.6910707604021568,2,False,False,False,nan,nan,nan,,nan
36,AIK,Sebastian Larsson,Mikael Lustig,40,59,32.0,29.0,111,114,pass accurate,,-0.0014774793826186627,0.889971210210429,2,False,False,False,nan,nan,nan,,nan
37,AIK,Mikael Lustig,,28,27,65.0,25.0,114,117,pass inaccurate,,,0.5494137829035881,2,False,False,False,nan,nan,nan,,nan
38,AIK,Nabil Bahoui,,65,25,,,117,122,offside,,,,2,False,False,False,nan,nan,nan,,nan
39,Östersund,Eirik Haugan,,40,80,81.0,81.0,140,143,pass inaccurate,,,0.4564544898805875,3,False,False,False,nan,nan,nan,,nan
40,AIK,Alexander Milošević,,19,19,18.0,1.0,143,146,pass inaccurate,,,0.9494816954044746,3,False,False,False,nan,nan,nan,,nan
41,Östersund,Malcolm Stolt,Patrick Kpozo,82,99,66.0,90.0,150,153,pass accurate,,-0.009613284787725596,0.8054613414018854,3,False,False,False,nan,nan,nan,,nan
42,Östersund,Patrick Kpozo,Charlie Colkett,65,91,67.0,80.0,152,155,pass accurate,,0.0073100836892200545,0.7594005720105983,3,False,False,False,nan,nan,nan,,nan
