external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IK Sirius FK,Christian Kouakou,Jacob Ortmark,49,53,40.0,48.0,0,3,Pass accurate,,-0.0014212561028738371,0.8606791863384019,1,False,False,False,,,,,
1,IK Sirius FK,Jacob Ortmark,Laorent Shabani,44,50,40.0,19.0,2,5,Pass accurate,,-0.002438383760369641,0.8686700054461436,1,False,False,False,,,,,
2,IK Sirius FK,Laorent Shabani,Jacob Ortmark,39,20,44.0,35.0,5,8,Pass accurate,,0.0021919980827624225,0.8212007596123098,1,False,False,False,,,,,
3,IK Sirius FK,Jacob Ortmark,Marcus Klingenberg Mathisen,46,52,40.0,91.0,8,11,Pass accurate,,-0.004402534535713818,0.8579093108686383,1,False,False,False,,,,,
4,IK Sirius FK,Marcus Klingenberg Mathisen,Laorent Shabani,38,86,69.0,95.0,10,13,Pass accurate,,0.008291693069258246,0.514313686548487,1,False,False,False,,,,,
5,IK Sirius FK,Laorent Shabani,Jacob Ortmark,67,92,62.0,77.0,14,17,Pass accurate,,-0.0015529266837266097,0.8248493916993195,1,False,False,False,,,,,
6,IK Sirius FK,Jacob Ortmark,Marcus Klingenberg Mathisen,61,73,45.0,87.0,15,18,Pass accurate,,-0.006267970914573023,0.8837561733189386,1,False,False,False,,,,,
7,IK Sirius FK,Marcus Klingenberg Mathisen,Joseph Colley,43,89,43.0,70.0,17,20,Pass accurate,,0.0023575276090183634,0.8521483474164526,1,False,False,False,,,,,
8,Halmstad,Marcus Antonsson,,83,89,,,19,44,Final third entry,,,,1,False,False,False,,,,,
9,IK Sirius FK,Moustafa Zeidan,Yukiya Sugita,53,44,61.0,58.0,20,23,Pass accurate,,0.0035566542822541986,0.7762335501219363,1,False,False,False,,,,,
10,Halmstad,Joel Allansson,,41,42,,,21,26,Tackle successful,,,,1,False,False,False,,,,,
11,Halmstad,Joel Allansson,,41,42,,,21,26,Challenge unsuccessful,,,,1,False,False,False,,,,,
12,Halmstad,Joel Allansson,Sadat Karim,38,46,47.0,57.0,24,27,Pass accurate,,0.0014212561028738371,0.7562905213721698,1,False,False,False,,,,,
13,Halmstad,Sadat Karim,Marcus Antonsson,48,57,84.0,91.0,26,29,Pass accurate,,0.01745426914487241,0.540941772948918,1,False,False,False,,,,,
14,Halmstad,Joel Allansson,,88,45,,,27,37,Penalty box entry successful,,,,1,False,False,False,,,,,
15,Halmstad,Marcus Antonsson,Sadat Karim,87,82,94.0,71.0,31,34,Pass accurate,,0.01883674929768285,0.5513269332616104,1,False,False,False,,,,,
16,Halmstad,Sadat Karim,Joel Allansson,94,70,87.0,46.0,35,38,Pass accurate,,0.07950702460534526,0.5836479105152834,1,False,False,False,,,,,
17,Halmstad,Sadat Karim,Joel Allansson,94,70,87.0,46.0,35,38,Key pass,,,0.5836479105152834,1,False,False,False,,,,,
18,IK Sirius FK,Joseph Colley,,2,47,,,36,41,Block successful,,,,1,False,False,False,,,,,
19,IK Sirius FK,Joseph Colley,,2,47,,,36,41,Challenge unsuccessful,,,,1,False,False,False,,,,,
20,Halmstad,Joel Allansson,,88,44,,,37,40,Shot on target,0.09922884983965512,,,1,False,False,False,,,,True,-
21,IK Sirius FK,August Ahlin,,12,56,,,37,40,Shot on target saved,,,,1,False,False,False,,,,,-
22,Halmstad,Joel Allansson,,88,44,,,37,40,Shot,0.09922884983965512,,,1,False,False,False,,,Right Foot,True,
23,IK Sirius FK,August Ahlin,,12,56,,,37,40,Save,0.09922884983965512,,,1,False,False,False,,,,True,
24,IK Sirius FK,Adam Ståhl,,9,11,32.0,24.0,42,45,Pass inaccurate,,,0.6904932220829015,1,False,False,False,,,,,
25,Halmstad,Amir Al-Ammari,,68,76,,,42,47,Interception unsuccesful,,,,1,False,False,False,,,,,
26,Halmstad,Amir Al-Ammari,,68,76,,,42,47,Challenge successful,,,,1,False,False,False,,,,,
27,IK Sirius FK,Yukiya Sugita,Moustafa Zeidan,30,27,31.0,39.0,44,47,Pass accurate,,0.0003990361199524197,0.8504989112690178,1,False,False,False,,,,,
28,IK Sirius FK,Moustafa Zeidan,Jacob Ortmark,34,38,28.0,39.0,45,48,Pass accurate,,-0.0011657153060180506,0.8850305676734695,1,False,False,False,,,,,
29,IK Sirius FK,Jacob Ortmark,Marcus Klingenberg Mathisen,30,42,23.0,61.0,46,49,Pass accurate,,-0.0017314433039846578,0.928243051467031,1,False,False,False,,,,,
30,IK Sirius FK,Marcus Klingenberg Mathisen,Laorent Shabani,23,62,34.0,79.0,48,51,Pass accurate,,0.0015785967233929703,0.8189078546619425,1,False,False,False,,,,,
31,IK Sirius FK,Laorent Shabani,Johan Karlsson,34,80,32.0,59.0,50,53,Pass accurate,,-1.1806110634683328e-05,0.8588574874931381,1,False,False,False,,,,,
32,IK Sirius FK,Johan Karlsson,Laorent Shabani,35,67,32.0,79.0,51,54,Pass accurate,,-0.00233193591058576,0.8720001885852388,1,False,False,False,,,,,
33,IK Sirius FK,Laorent Shabani,Joseph Colley,29,76,24.0,56.0,54,57,Pass accurate,,5.202550574828074e-06,0.9235161767506195,1,False,False,False,,,,,
34,IK Sirius FK,Joseph Colley,Tim Björkström,25,58,26.0,21.0,56,59,Pass accurate,,-0.0009659868182927116,0.9106813616809323,1,False,False,False,,,,,
35,IK Sirius FK,Tim Björkström,Marcus Klingenberg Mathisen,25,30,24.0,71.0,59,62,Pass accurate,,-0.0016802485146857182,0.916420911143828,1,False,False,False,,,,,
36,IK Sirius FK,Marcus Klingenberg Mathisen,Adam Ståhl,26,69,51.0,9.0,62,65,Pass accurate,,0.0032673143214259626,0.5523527021285021,2,False,False,False,,,,,
37,Halmstad,Joseph Baffoe,,23,77,,,70,75,Interception unsuccesful,,,,2,False,False,False,,,,,
38,Halmstad,Joseph Baffoe,,23,77,,,70,75,Challenge successful,,,,2,False,False,False,,,,,
39,IK Sirius FK,Adam Ståhl,,74,5,75.0,19.0,71,74,Pass inaccurate,,,0.67593997588653,2,False,False,False,,,,,
40,IK Sirius FK,Moustafa Zeidan,Yukiya Sugita,75,19,77.0,31.0,73,76,Pass accurate,,0.002476442949955804,0.6685684439487083,2,False,False,False,,,,,
41,Halmstad,Andreas Johansson,,17,66,,,73,78,Interception succesful,,,,2,False,False,False,,,,,
42,Halmstad,Andreas Johansson,,17,66,,,73,78,Challenge unsuccessful,,,,2,False,False,False,,,,,
43,IK Sirius FK,Yukiya Sugita,,78,30,83.0,30.0,74,77,Pass inaccurate,,,0.5819187372910679,2,False,False,False,,,,,
44,Halmstad,Andreas Johansson,Malkolm Nilsson Säfqvist,17,70,6.0,53.0,76,79,Pass accurate,,0.0003303668795154001,0.9188507831875833,2,False,False,False,,,,,
45,Halmstad,Malkolm Nilsson Säfqvist,,6,53,58.0,35.0,78,81,Pass inaccurate,,,0.6044997176130753,2,False,False,False,,,,,
46,IK Sirius FK,Marcus Klingenberg Mathisen,,42,65,,,80,85,Interception succesful,,,,2,False,False,False,,,,,
47,IK Sirius FK,Marcus Klingenberg Mathisen,,42,65,,,80,85,Challenge unsuccessful,,,,2,False,False,False,,,,,
48,IK Sirius FK,Marcus Klingenberg Mathisen,August Ahlin,29,68,8.0,45.0,84,87,Pass accurate,,-0.0006472362225435988,0.9373127959400711,2,False,False,False,,,,,
49,IK Sirius FK,August Ahlin,Joseph Colley,8,43,22.0,32.0,88,91,Pass accurate,,-0.00022462604142583532,0.9122950915140784,2,False,False,False,,,,,
50,IK Sirius FK,Joseph Colley,Tim Björkström,22,38,25.0,14.0,90,93,Pass accurate,,0.00025928728457263496,0.8998505768037622,2,False,False,False,,,,,
51,IK Sirius FK,Tim Björkström,Joseph Colley,30,8,23.0,17.0,94,97,Pass accurate,,-8.659304327562553e-05,0.9198010762763972,2,False,False,False,,,,,
52,IK Sirius FK,Joseph Colley,Marcus Klingenberg Mathisen,26,31,24.0,69.0,98,101,Pass accurate,,-0.0016802485146857182,0.916420911143828,2,False,False,False,,,,,
53,IK Sirius FK,Marcus Klingenberg Mathisen,Johan Karlsson,33,71,41.0,70.0,102,105,Pass accurate,,0.0013920898428729997,0.8244986164624487,2,False,False,False,,,,,
54,IK Sirius FK,Johan Karlsson,Tim Björkström,44,58,38.0,28.0,106,109,Pass accurate,,-0.0016856777868625404,0.8727311057693525,2,False,False,False,,,,,
55,IK Sirius FK,Tim Björkström,Adam Ståhl,34,16,47.0,3.0,110,113,Pass accurate,,0.00014427313560944587,0.7415918112626223,2,False,False,False,,,,,
56,IK Sirius FK,Laorent Shabani,,80,90,,,111,136,Final third entry,,,,2,False,False,False,,,,,
57,IK Sirius FK,Adam Ståhl,Laorent Shabani,44,23,73.0,93.0,115,118,Pass accurate,,0.006590559161222521,0.34871860078045597,2,False,False,False,,,,,
58,IK Sirius FK,Laorent Shabani,Johan Karlsson,87,85,88.0,65.0,122,125,Pass into the box,,,,3,False,False,False,,,,,
59,IK Sirius FK,Laorent Shabani,Johan Karlsson,87,85,88.0,65.0,122,125,Pass accurate,,0.024896680814267477,0.5841284218389954,3,False,False,False,,,,,
60,IK Sirius FK,Laorent Shabani,,73,93,87.0,85.0,115,125,Carry,,0.013094320669456202,,2,False,False,False,,,,,
61,Halmstad,Andreas Johansson,,11,39,,,123,128,Block unsuccessful,,,,3,False,False,False,,,,,
62,IK Sirius FK,Johan Karlsson,,87,67,,,125,128,Wide shot,0.054106265913134534,,,3,False,False,False,,,,,
63,Halmstad,Malkolm Nilsson Säfqvist,,13,33,,,125,128,Goalkeeper wide shot,,,,3,False,False,False,,,,,
64,IK Sirius FK,Johan Karlsson,,87,67,,,125,128,Shot,0.054106265913134534,,,3,False,False,False,,,Right Foot,,
65,IK Sirius FK,Moustafa Zeidan,Marcus Klingenberg Mathisen,99,99,84.0,42.0,154,164,Left corner accurate,,,,3,False,False,False,Corner,Cleared,,,
66,IK Sirius FK,Marcus Klingenberg Mathisen,,84,44,90.0,37.0,158,161,Pass inaccurate,,,0.6000434871349499,3,False,False,False,Corner,,,,
67,Halmstad,Amir Al-Ammari,,10,63,,,162,167,Clearance inaccurate,,,,3,False,False,False,,,,,
68,IK Sirius FK,Johan Karlsson,August Ahlin,53,50,27.0,47.0,166,169,Pass accurate,,-0.0049890352941342146,0.9230545133006863,3,False,False,False,Corner,,,,
69,IK Sirius FK,August Ahlin,Jacob Ortmark,26,46,34.0,48.0,171,174,Pass accurate,,0.0011657153060180506,0.8236399522408552,3,False,False,False,,,,,
70,IK Sirius FK,Jacob Ortmark,Tim Björkström,30,35,29.0,7.0,175,178,Pass accurate,,-0.0020804594638705216,0.9146675646976558,3,False,False,False,,,,,
71,IK Sirius FK,Tim Björkström,August Ahlin,28,5,9.0,29.0,179,182,Pass accurate,,1.9274029212415153e-05,0.9168424020097906,3,False,False,False,,,,,
72,IK Sirius FK,August Ahlin,,11,28,75.0,52.0,183,186,Pass inaccurate,,,0.4042910958388214,4,False,False,False,,,,,
73,Halmstad,Malkolm Nilsson Säfqvist,Sadat Karim,25,48,73.0,48.0,195,198,Pass accurate,,0.013126406358838725,0.4478141656161532,4,False,False,False,,,,,
74,Halmstad,Sadat Karim,,74,50,67.0,58.0,198,201,Pass inaccurate,,,0.7785496995393837,4,False,False,False,,,,,
75,IK Sirius FK,Moustafa Zeidan,,33,42,,,199,204,Interception succesful,,,,4,False,False,False,,,,,
76,IK Sirius FK,Moustafa Zeidan,,33,42,,,199,204,Challenge unsuccessful,,,,4,False,False,False,,,,,
77,IK Sirius FK,Jacob Ortmark,Adam Ståhl,28,41,26.0,22.0,201,204,Pass accurate,,-0.0011306395095190824,0.923218264307882,4,False,False,False,,,,,
78,IK Sirius FK,Tim Björkström,Moustafa Zeidan,23,24,33.0,17.0,205,208,Pass accurate,,0.0014354491175794844,0.8093235560550355,4,False,False,False,,,,,
79,IK Sirius FK,Moustafa Zeidan,Adam Ståhl,34,21,34.0,5.0,206,209,Pass accurate,,-0.0011817627816010316,0.8943175917027211,4,False,False,False,,,,,
80,IK Sirius FK,Adam Ståhl,Tim Björkström,38,11,32.0,18.0,209,212,Pass accurate,,-9.746437644029757e-05,0.8540531862206961,4,False,False,False,,,,,
81,Halmstad,Andreas Johansson,,42,71,,,213,218,Interception unsuccesful,,,,4,False,False,False,,,,,
82,Halmstad,Andreas Johansson,,42,71,,,213,218,Challenge successful,,,,4,False,False,False,,,,,
83,IK Sirius FK,Tim Björkström,,42,24,42.0,24.0,213,216,Pass inaccurate,,,0.24000194780236858,4,False,False,False,,,,,
84,IK Sirius FK,August Ahlin,Joseph Colley,8,26,19.0,32.0,220,223,Pass accurate,,0.0018939134252586205,0.9069590170229938,4,False,False,False,,,,,
85,IK Sirius FK,Joseph Colley,Marcus Klingenberg Mathisen,21,36,23.0,67.0,222,225,Pass accurate,,-0.000410622583821978,0.9187370941542676,4,False,False,False,,,,,
86,IK Sirius FK,Marcus Klingenberg Mathisen,Laorent Shabani,29,71,48.0,96.0,226,229,Pass accurate,,0.0004327086137029864,0.44240841670597364,4,False,False,False,,,,,
87,IK Sirius FK,Laorent Shabani,Johan Karlsson,54,95,48.0,83.0,230,233,Pass accurate,,-0.0002704681622985247,0.8271970240735625,4,False,False,False,,,,,
88,IK Sirius FK,Johan Karlsson,Joseph Colley,47,73,39.0,52.0,234,237,Pass accurate,,-0.000914993173208381,0.8540543738330477,4,False,False,False,,,,,
89,IK Sirius FK,Joseph Colley,Tim Björkström,43,50,41.0,13.0,236,239,Pass accurate,,-0.002438383760369641,0.8613251061609702,4,False,False,False,,,,,
90,IK Sirius FK,Tim Björkström,Jacob Ortmark,39,16,45.0,38.0,238,241,Pass accurate,,0.00246600961603783,0.8170254094734484,4,False,False,False,,,,,
91,IK Sirius FK,Jacob Ortmark,Laorent Shabani,55,50,73.0,90.0,246,249,Pass accurate,,0.003149811194532344,0.5980098890951066,5,False,False,False,,,,,
92,IK Sirius FK,Jacob Ortmark,,45,38,55.0,50.0,238,249,Carry,,0.002374438029574138,,4,False,False,False,,,,,
93,IK Sirius FK,Laorent Shabani,Adam Ståhl,72,71,88.0,29.0,252,255,Pass into the box,,,,5,False,False,False,,,,,
94,IK Sirius FK,Laorent Shabani,Adam Ståhl,72,71,88.0,29.0,252,255,Pass accurate,,0.037410658092476665,0.5742546796795229,5,False,False,False,,,,,
95,IK Sirius FK,Laorent Shabani,,73,90,72.0,71.0,246,255,Carry,,0.0040383882022595255,,5,False,False,False,,,,,
96,Halmstad,Andreas Bengtsson,,12,67,,,253,258,Block unsuccessful,,,,5,False,False,False,,,,,
97,IK Sirius FK,Adam Ståhl,Tim Björkström,83,8,75.0,7.0,264,267,Pass accurate,,,0.7845970020235356,5,False,False,False,,,,,
98,IK Sirius FK,Tim Björkström,,77,7,,,264,269,Lost ball,,,,5,False,False,False,,,,,
99,Halmstad,Andreas Bengtsson,,8,93,,,267,272,Tackle unsuccessful,,,,5,False,False,False,,,,,
100,Halmstad,Andreas Bengtsson,,8,93,,,267,272,Challenge successful,,,,5,False,False,False,,,,,
101,IK Sirius FK,Adam Ståhl,Moustafa Zeidan,92,3,89.0,10.0,288,291,Pass accurate,,-0.02599741386060056,0.5185386098490985,5,False,False,False,,,,,
102,IK Sirius FK,Moustafa Zeidan,,89,10,,,289,314,Final third entry,,,,5,False,False,False,,,,,
103,IK Sirius FK,Moustafa Zeidan,,86,10,,,293,303,Dribble successful,,,,5,False,False,False,,,,,
104,IK Sirius FK,Moustafa Zeidan,Johan Karlsson,85,21,95.0,27.0,298,301,Pass accurate,,0.020524790182080692,0.5047731219278337,5,False,False,False,,,,,
105,Halmstad,Andreas Johansson,,6,67,,,300,305,Interception unsuccesful,,,,6,False,False,False,,,,,
106,Halmstad,Andreas Johansson,,6,67,,,300,305,Challenge successful,,,,6,False,False,False,,,,,
107,IK Sirius FK,Johan Karlsson,,95,28,80.0,1.0,300,303,Pass inaccurate,,,0.8138384722345456,6,False,False,False,,,,,
108,IK Sirius FK,Johan Karlsson,,95,28,80.0,1.0,300,303,Cross inacurate,,,0.8138384722345456,6,False,False,False,,,,,
109,IK Sirius FK,Adam Ståhl,Tim Björkström,80,1,73.0,6.0,305,308,Pass accurate,,-0.005796274482870466,0.576537489406132,6,False,False,False,,,,,
110,IK Sirius FK,Tim Björkström,Johan Karlsson,74,5,87.0,12.0,306,309,Pass accurate,,0.011797694501235093,0.5778664531407307,6,False,False,False,,,,,
111,IK Sirius FK,Johan Karlsson,,92,16,,,309,319,Dribble unsuccessful,,,,6,False,False,False,,,,,
112,IK Sirius FK,Johan Karlsson,,87,12,92.0,16.0,306,319,Carry,,0.0037840895643190195,,6,False,False,False,,,,,
113,Halmstad,Andreas Bengtsson,,8,81,,,310,315,Tackle unsuccessful,,,,6,False,False,False,,,,,
114,Halmstad,Andreas Bengtsson,,8,81,,,310,315,Challenge successful,,,,6,False,False,False,,,,,
