external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Göteborg,Tobias Sana,Mattias Bjärsmyr,49,51,29.0,50.0,0,2,pass accurate,,-0.0027516241001182586,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,IFK Göteborg,Mattias Bjärsmyr,,31,51,75.0,15.0,3,5,pass inaccurate,,,0.520369819458403,1,False,False,False,nan,nan,nan,,nan
2,AIK,Sotirios Papagiannopoulos,,25,85,,,4,9,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
3,AIK,Sotirios Papagiannopoulos,,25,85,,,4,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,IFK Göteborg,August Erlingmark,Kolbeinn Sigþórsson,58,15,67.0,24.0,8,10,pass accurate,,0.009022064517244192,0.6927083303470923,1,False,False,False,nan,nan,nan,,nan
5,IFK Göteborg,Kolbeinn Sigþórsson,,64,33,,,9,14,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
6,IFK Göteborg,Kolbeinn Sigþórsson,,67,24,64.0,33.0,8,14,carry,,-0.005200475878853025,,1,False,False,False,nan,nan,nan,,nan
7,AIK,Erick Ouma Otieno,,33,87,73.0,89.0,11,13,pass inaccurate,,,0.4871972564585423,1,False,False,False,nan,nan,nan,,nan
8,IFK Göteborg,Jesper Tolinsson,August Erlingmark,27,11,37.0,21.0,14,16,pass accurate,,0.002628083232345188,0.8105475914288938,1,False,False,False,nan,nan,nan,,nan
9,IFK Göteborg,August Erlingmark,Kolbeinn Sigþórsson,36,21,59.0,20.0,15,17,pass accurate,,0.007275755053668238,0.6688661055863866,1,False,False,False,nan,nan,nan,,nan
10,IFK Göteborg,Kolbeinn Sigþórsson,,57,23,73.0,11.0,17,19,pass inaccurate,,,0.6763412116962668,1,False,False,False,nan,nan,nan,,nan
11,AIK,Sotirios Papagiannopoulos,Budimir Janosevic,27,89,10.0,65.0,22,24,pass accurate,,-8.85330852858409e-05,0.9415478718465958,1,False,False,False,nan,nan,nan,,nan
12,AIK,Budimir Janosevic,,12,56,67.0,30.0,25,27,pass inaccurate,,,0.5360562034889428,1,False,False,False,nan,nan,nan,,nan
13,IFK Göteborg,Sebastian Eriksson,Alhassan Yusuf Abdullahi,33,70,48.0,84.0,29,31,pass accurate,,0.002056427498141441,0.6383780066272848,1,False,False,False,nan,nan,nan,,nan
14,IFK Göteborg,Alhassan Yusuf Abdullahi,Alexander Jallow,38,80,30.0,88.0,32,34,pass accurate,,-0.0029782499871288098,0.904970624989214,1,False,False,False,nan,nan,nan,,nan
15,AIK,Mikael Lustig,,97,16,,,35,60,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
16,AIK,Nicolas Stefanelli,,88,33,,,35,45,penalty box entry successful,,,,1,False,False,False,nan,nan,nan,,nan
17,AIK,Mikael Lustig,,66,3,,,36,41,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
18,AIK,Mikael Lustig,,66,3,,,36,41,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
19,IFK Göteborg,Alexander Jallow,,34,97,34.0,97.0,37,39,pass inaccurate,,,0.3436407092989576,1,False,False,False,nan,nan,nan,,nan
20,AIK,Nicolas Stefanelli,,87,37,,,40,43,wide shot,0.11132599533160083,,,1,False,False,False,nan,nan,nan,True,nan
21,IFK Göteborg,Ioannis Anestis,,13,63,,,40,43,goalkeeper wide shot,,,,1,False,False,False,nan,nan,nan,,nan
22,AIK,Nicolas Stefanelli,,87,37,,,40,43,shot,0.11132599533160083,,,1,False,False,False,nan,nan,right foot,True,nan
23,IFK Göteborg,August Erlingmark,,11,61,,,43,48,block successful,,,,1,False,False,False,nan,nan,nan,,nan
24,IFK Göteborg,August Erlingmark,,11,61,,,43,48,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
25,AIK,Mikael Lustig,Nicolas Stefanelli,97,16,87.0,36.0,44,46,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
26,AIK,Mikael Lustig,Nicolas Stefanelli,97,16,87.0,36.0,44,46,pass accurate,,0.023853062471061844,0.5661021030944761,1,False,False,False,nan,nan,nan,,nan
27,AIK,Mikael Lustig,Nicolas Stefanelli,97,16,87.0,36.0,44,46,key pass,,,0.5661021030944761,1,False,False,False,nan,nan,nan,,nan
28,IFK Göteborg,Alexander Jallow,Alhassan Yusuf Abdullahi,4,72,31.0,97.0,47,49,pass accurate,,0.001881879705383319,0.8393761978515215,1,False,False,False,nan,nan,nan,,nan
29,IFK Göteborg,Alhassan Yusuf Abdullahi,,28,97,,,49,54,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
30,AIK,Sebastian Larsson,Alexander Milošević,73,1,42.0,10.0,58,60,pass accurate,,-0.009860185462655097,0.8319371018657535,1,False,False,False,nan,nan,nan,,nan
31,AIK,Alexander Milošević,Budimir Janosevic,37,9,14.0,53.0,60,62,pass accurate,,-0.0010539977418127996,0.9235220720072669,2,False,False,False,nan,nan,nan,,nan
32,AIK,Budimir Janosevic,Alexander Milošević,14,41,27.0,24.0,65,67,pass accurate,,0.0005205514799213676,0.8597634480865893,2,False,False,False,nan,nan,nan,,nan
33,AIK,Alexander Milošević,Mikael Lustig,30,18,37.0,5.0,68,70,pass accurate,,9.746437644029757e-05,0.8819326284167559,2,False,False,False,nan,nan,nan,,nan
34,AIK,Mikael Lustig,Bilal Hussein,35,4,35.0,25.0,70,72,pass accurate,,0.0019344687551081322,0.8357075521887005,2,False,False,False,nan,nan,nan,,nan
35,AIK,Bilal Hussein,Mikael Lustig,34,19,37.0,8.0,72,74,pass accurate,,-0.0011817627816010316,0.8593120547928623,2,False,False,False,nan,nan,nan,,nan
36,AIK,Mikael Lustig,Alexander Milošević,36,8,28.0,34.0,73,75,pass accurate,,0.0006341390131263652,0.8940359790383677,2,False,False,False,nan,nan,nan,,nan
37,AIK,Alexander Milošević,Sotirios Papagiannopoulos,31,43,41.0,43.0,76,78,pass accurate,,0.0011657153060180506,0.7973986632129694,2,False,False,False,nan,nan,nan,,nan
38,AIK,Sotirios Papagiannopoulos,,49,92,84.0,99.0,82,84,pass inaccurate,,,0.12158462763616405,2,False,False,False,nan,nan,nan,,nan
39,AIK,Sotirios Papagiannopoulos,,29,75,49.0,92.0,76,84,carry,,0.0013725546814157465,,2,False,False,False,nan,nan,nan,,nan
40,IFK Göteborg,Jesper Tolinsson,August Erlingmark,16,1,16.0,10.0,104,106,pass accurate,,,0.8498845444333518,2,False,False,False,nan,nan,nan,,nan
41,IFK Göteborg,August Erlingmark,Kolbeinn Sigþórsson,16,9,39.0,12.0,105,107,pass accurate,,0.003983419422440937,0.684154515843828,2,False,False,False,nan,nan,nan,,nan
42,IFK Göteborg,Kolbeinn Sigþórsson,,37,9,56.0,12.0,107,109,pass inaccurate,,,0.6514295239668598,2,False,False,False,nan,nan,nan,,nan
43,AIK,Alexander Milošević,Erick Ouma Otieno,44,88,20.0,52.0,110,112,pass accurate,,-0.0013673521308409185,0.9314360015405458,2,False,False,False,nan,nan,nan,,nan
44,AIK,Budimir Janosevic,Mikael Lustig,23,44,33.0,34.0,115,117,pass accurate,,0.0009908906741392977,0.8274921658468766,2,False,False,False,nan,nan,nan,,nan
45,AIK,Mikael Lustig,Bilal Hussein,31,33,35.0,34.0,117,119,pass accurate,,0.001300329741981767,0.7081251964095222,2,False,False,False,nan,nan,nan,,nan
46,AIK,Bilal Hussein,Nicolas Stefanelli,40,31,58.0,26.0,120,122,pass accurate,,0.004030983066550711,0.7269750274076834,3,False,False,False,nan,nan,nan,,nan
47,AIK,Nicolas Stefanelli,Sebastian Larsson,58,28,55.0,9.0,122,124,pass accurate,,-0.002461762154000822,0.7375606536481644,3,False,False,False,nan,nan,nan,,nan
48,AIK,Sebastian Larsson,Nicolas Stefanelli,54,9,58.0,25.0,124,126,pass accurate,,0.002461762154000822,0.7546353136308985,3,False,False,False,nan,nan,nan,,nan
49,AIK,Nicolas Stefanelli,Nabil Bahoui,59,29,97.0,10.0,127,129,pass accurate,,0.040012244704478186,0.4576093835160882,3,False,False,False,nan,nan,nan,,nan
50,IFK Göteborg,Jesper Tolinsson,,2,93,,,135,140,tackle successful,,,,3,False,False,False,nan,nan,nan,,nan
51,IFK Göteborg,Jesper Tolinsson,,2,93,,,135,140,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
52,AIK,Nabil Bahoui,,98,10,,,136,141,lost ball,,,,3,False,False,False,nan,nan,nan,,nan
53,IFK Göteborg,Jesper Tolinsson,Alexander Jallow,2,92,2.0,87.0,138,140,pass accurate,,0.0010505833790813,0.47346366445147525,3,False,False,False,nan,nan,nan,,nan
54,IFK Göteborg,Alexander Jallow,Alhassan Yusuf Abdullahi,2,88,10.0,90.0,139,141,pass accurate,,0.0014459941826564637,0.9050778448752624,3,False,False,False,nan,nan,nan,,nan
55,IFK Göteborg,Alhassan Yusuf Abdullahi,Alexander Jallow,11,90,5.0,90.0,140,142,pass accurate,,-0.0014459941826564637,0.8846089770550998,3,False,False,False,nan,nan,nan,,nan
56,IFK Göteborg,Alexander Jallow,,5,91,24.0,68.0,141,143,pass inaccurate,,,0.8839428943827684,3,False,False,False,nan,nan,nan,,nan
57,AIK,Bilal Hussein,,76,32,,,142,147,interception unsuccesful,,,,3,False,False,False,nan,nan,nan,,nan
58,AIK,Bilal Hussein,,76,32,,,142,147,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
59,IFK Göteborg,Simon Thern,Tobias Sana,21,65,28.0,72.0,144,146,pass accurate,,0.0012824848477914121,0.857460510511222,3,False,False,False,nan,nan,nan,,nan
60,IFK Göteborg,Tobias Sana,Simon Thern,24,70,30.0,62.0,146,148,pass accurate,,0.001914631943411767,0.8543454514999334,3,False,False,False,nan,nan,nan,,nan
61,IFK Göteborg,Tobias Sana,Kolbeinn Sigþórsson,34,63,45.0,62.0,148,150,pass accurate,,0.001991681352865614,0.8103798942126422,3,False,False,False,nan,nan,nan,,nan
62,IFK Göteborg,Kolbeinn Sigþórsson,Tobias Sana,41,64,41.0,78.0,149,151,pass accurate,,-0.0007481366366179614,0.8434347364971116,3,False,False,False,nan,nan,nan,,nan
63,IFK Göteborg,Hosam Aiesh,,83,41,,,151,176,final third entry,,,,3,False,False,False,nan,nan,nan,,nan
64,IFK Göteborg,Kolbeinn Sigþórsson,,92,40,,,152,162,penalty box entry successful,,,,3,False,False,False,nan,nan,nan,,nan
65,IFK Göteborg,Tobias Sana,Hosam Aiesh,68,70,70.0,12.0,154,156,pass accurate,0.7795014298397609,-0.0020241884441392945,0.7082605184633063,3,False,False,False,nan,nan,nan,,nan
66,IFK Göteborg,Kolbeinn Sigþórsson,,92,40,,,157,162,goal,0.7795014298397609,,,3,False,False,False,nan,nan,nan,,bottom-left
67,AIK,Budimir Janosevic,,8,60,,,157,162,goal conceded,0.7795014298397609,,,3,False,False,False,nan,nan,nan,,bottom-left
68,IFK Göteborg,Hosam Aiesh,Kolbeinn Sigþórsson,80,36,90.0,42.0,161,163,pass into the box,,,,3,False,False,False,nan,nan,nan,,nan
69,IFK Göteborg,Hosam Aiesh,Kolbeinn Sigþórsson,80,36,90.0,42.0,161,163,pass accurate,,0.09892264538574483,0.5827252490383436,3,False,False,False,nan,nan,nan,,nan
70,IFK Göteborg,Hosam Aiesh,Kolbeinn Sigþórsson,80,36,90.0,42.0,161,163,assist,,,0.5827252490383436,3,False,False,False,nan,nan,nan,,nan
71,AIK,Bojan Radulovic Samoukovic,Sebastian Larsson,50,50,44.0,49.0,205,207,pass accurate,,-0.002374438029574138,0.8400468209397224,4,False,False,False,nan,nan,nan,,nan
72,AIK,Sebastian Larsson,Erick Ouma Otieno,45,48,42.0,88.0,207,209,pass accurate,,-0.002978688437703816,0.8533842503032396,4,False,False,False,nan,nan,nan,,nan
73,AIK,Erick Ouma Otieno,Sotirios Papagiannopoulos,42,89,29.0,81.0,210,212,pass accurate,,-0.0013725546814157465,0.8974928409469997,4,False,False,False,nan,nan,nan,,nan
74,AIK,Sotirios Papagiannopoulos,Alexander Milošević,31,82,26.0,52.0,212,214,pass accurate,,0.001571993163333115,0.9115597311118212,4,False,False,False,nan,nan,nan,,nan
75,AIK,Alexander Milošević,Mikael Lustig,28,52,30.0,14.0,215,217,pass accurate,,-0.0009659868182927116,0.8935764077125798,4,False,False,False,nan,nan,nan,,nan
76,AIK,Mikael Lustig,,34,10,73.0,51.0,219,221,pass inaccurate,,,0.42835250400605684,4,False,False,False,nan,nan,nan,,nan
77,IFK Göteborg,Jesper Tolinsson,,27,49,,,220,225,interception succesful,,,,4,False,False,False,nan,nan,nan,,nan
78,IFK Göteborg,Jesper Tolinsson,,27,49,,,220,225,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
79,IFK Göteborg,Jesper Tolinsson,Simon Thern,27,50,44.0,50.0,221,223,pass accurate,,0.0027516241001182586,0.7883680348666554,4,False,False,False,nan,nan,nan,,nan
80,IFK Göteborg,Simon Thern,Sebastian Eriksson,38,49,31.0,69.0,224,226,pass accurate,,-0.0019625150928647764,0.8796713063232647,4,False,False,False,nan,nan,nan,,nan
81,AIK,Sebastian Larsson,,70,29,90.0,29.0,226,228,pass into the box,,,,4,False,False,False,nan,nan,nan,,nan
82,AIK,Sebastian Larsson,,70,29,90.0,29.0,226,228,pass inaccurate,,,0.5058928008659506,4,False,False,False,nan,nan,nan,,nan
83,AIK,Budimir Janosevic,Sotirios Papagiannopoulos,18,75,25.0,75.0,232,234,pass accurate,,0.0014057911530465702,0.8712719700872734,4,False,False,False,nan,nan,nan,,nan
84,AIK,Sotirios Papagiannopoulos,Bilal Hussein,24,76,30.0,69.0,235,237,pass accurate,,0.0023456372207593303,0.8553134995154896,4,False,False,False,nan,nan,nan,,nan
85,AIK,Bilal Hussein,Mikael Lustig,27,71,31.0,30.0,238,240,pass accurate,,0.00039776366689430603,0.8643057501593099,4,False,False,False,nan,nan,nan,,nan
86,AIK,Mikael Lustig,Alexander Milošević,35,31,28.0,48.0,241,243,pass accurate,,-0.0009012936220293474,0.9040741769500675,5,False,False,False,nan,nan,nan,,nan
87,AIK,Alexander Milošević,Mikael Lustig,33,50,37.0,24.0,244,246,pass accurate,,0.0003132403397486175,0.8805618221203809,5,False,False,False,nan,nan,nan,,nan
88,AIK,Mikael Lustig,Alexander Milošević,36,30,31.0,47.0,247,249,pass accurate,,-0.0009012936220293474,0.8772262016103789,5,False,False,False,nan,nan,nan,,nan
89,AIK,Alexander Milošević,Sotirios Papagiannopoulos,32,49,36.0,87.0,249,251,pass accurate,,-0.00015284658059168746,0.8601024707465165,5,False,False,False,nan,nan,nan,,nan
90,AIK,Sotirios Papagiannopoulos,Alexander Milošević,34,85,29.0,49.0,252,254,pass accurate,,0.00015284658059168746,0.8840847230961029,5,False,False,False,nan,nan,nan,,nan
91,AIK,Alexander Milošević,,35,32,82.0,66.0,257,259,pass inaccurate,,,0.4378161558718273,5,False,False,False,nan,nan,nan,,nan
92,IFK Göteborg,Ioannis Anestis,Kolbeinn Sigþórsson,18,34,66.0,51.0,272,282,pass accurate,,,,5,False,False,False,nan,nan,nan,,nan
93,IFK Göteborg,Ioannis Anestis,Kolbeinn Sigþórsson,18,34,66.0,51.0,272,282,goalkeeper kick accurate,,,,5,False,False,False,nan,nan,nan,,nan
94,IFK Göteborg,Alhassan Yusuf Abdullahi,,79,73,,,279,304,final third entry,,,,5,False,False,False,nan,nan,nan,,nan
95,IFK Göteborg,Kolbeinn Sigþórsson,Alhassan Yusuf Abdullahi,61,60,66.0,70.0,279,281,pass accurate,,-0.0010134443404456288,0.7796409642158025,5,False,False,False,nan,nan,nan,,nan
96,IFK Göteborg,Kolbeinn Sigþórsson,,66,51,61.0,60.0,272,281,carry,,,,5,False,False,False,nan,nan,nan,,nan
97,IFK Göteborg,Alhassan Yusuf Abdullahi,Alexander Jallow,75,67,86.0,87.0,283,285,pass accurate,,0.0015668001100857462,0.70568794900411,5,False,False,False,nan,nan,nan,,nan
