external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Halmstad,Amir Al-Ammari,Joseph Baffoe,51,50,32.0,50.0,0,2,Pass accurate,,-0.005153687985360585,0.8821105643271655,1,False,False,False,,,,,
1,Halmstad,Joseph Baffoe,,31,50,79.0,28.0,2,4,Pass inaccurate,,,0.4789416294594415,1,False,False,False,,,,,
2,Mjällby AIF,Ivan Kričak,,21,72,,,4,9,Clearance inaccurate,,,,1,False,False,False,,,,,
3,Halmstad,Andreas Johansson,Andreas Bengtsson,48,42,43.0,69.0,9,11,Pass accurate,,-0.0006211608286854527,0.8630275714641588,1,False,False,False,,,,,
4,Halmstad,Andreas Bengtsson,,40,78,83.0,81.0,12,14,Pass inaccurate,,,0.4564544898805875,1,False,False,False,,,,,
5,Mjällby AIF,Max Watson,,17,19,,,14,19,Clearance accurate,,,,1,False,False,False,,,,,
6,Mjällby AIF,Max Watson,Andreas Blomqvist,18,17,28.0,17.0,15,17,Pass accurate,,0.0014354491175794844,0.8277980259229373,1,False,False,False,,,,,
7,Mjällby AIF,Andreas Blomqvist,Jesper Gustavsson,30,16,33.0,20.0,17,19,Pass accurate,,,0.6951200185215684,1,False,False,False,,,,,
8,Mjällby AIF,Jesper Gustavsson,,37,22,,,18,23,Lost ball,,,,1,False,False,False,,,,,
9,Halmstad,Andreas Bengtsson,,64,76,,,18,23,Tackle successful,,,,1,False,False,False,,,,,
10,Halmstad,Andreas Bengtsson,,64,76,,,18,23,Challenge unsuccessful,,,,1,False,False,False,,,,,
11,Halmstad,Joel Allansson,Joseph Baffoe,63,73,37.0,76.0,21,23,Pass accurate,,-0.007680445206459425,0.8891587790019531,1,False,False,False,,,,,
12,Halmstad,Joseph Baffoe,Andreas Johansson,36,78,38.0,32.0,26,28,Pass accurate,,0.0010541402026210348,0.846063054625695,1,False,False,False,,,,,
13,Halmstad,Andreas Johansson,,42,27,86.0,43.0,30,32,Pass into the box,,,,1,False,False,False,,,,,
14,Halmstad,Andreas Johansson,,42,27,86.0,43.0,30,32,Pass inaccurate,,,0.442890219194932,1,False,False,False,,,,,
15,Mjällby AIF,Samuel Brolin,Jacob Bergström,14,57,66.0,71.0,48,58,Pass accurate,,,,1,False,False,False,,,,,
16,Mjällby AIF,Samuel Brolin,Jacob Bergström,14,57,66.0,71.0,48,58,Goalkeeper kick accurate,,,,1,False,False,False,,,,,
17,Mjällby AIF,Jacob Bergström,,66,71,,,55,58,Air challenge unsuccessful,,,,1,False,False,False,,,,,
18,Mjällby AIF,Jacob Bergström,,66,71,,,55,58,Challenge unsuccessful,,,,1,False,False,False,,,,,
19,Halmstad,Amir Al-Ammari,,35,30,,,55,58,Air challenge successful,,,,1,False,False,False,,,,,
20,Halmstad,Amir Al-Ammari,,35,30,,,55,58,Challenge successful,,,,1,False,False,False,,,,,
