external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Mjällby AIF,home,Carlos Moros Gracia,Kadir Hodzic,49,52,29.0,52.0,0,3,pass accurate,,-0.0027516241001182586,0.9015008119267531,1,False,False,False,nan,nan,nan,,nan
1,Djurgården,away,Nicklas Bärkroth,,77,90,,,2,27,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
2,Mjällby AIF,home,Kadir Hodzic,,68,28,88.0,28.0,2,5,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
3,Mjällby AIF,home,Kadir Hodzic,,68,28,88.0,28.0,2,5,pass inaccurate,,,0.5058928008659506,1,False,False,False,nan,nan,nan,,nan
4,Mjällby AIF,home,Max Watson,,25,24,,,4,9,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
5,Djurgården,away,Rasmus Schüller,Magnus Eriksson,67,72,62.0,87.0,7,10,pass accurate,,-0.005591314885986135,0.8366620035852576,1,False,False,False,nan,nan,nan,,nan
6,Djurgården,away,Magnus Eriksson,Nicklas Bärkroth,60,87,74.0,89.0,9,12,pass accurate,,0.0015529266837266097,0.6828699165415196,1,False,False,False,nan,nan,nan,,nan
7,Djurgården,away,Nicklas Bärkroth,Kalle Holmberg,89,89,89.0,58.0,14,17,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
8,Djurgården,away,Nicklas Bärkroth,Kalle Holmberg,89,89,89.0,58.0,14,17,pass accurate,,0.09110167066801347,0.5762058359831519,1,False,False,False,nan,nan,nan,,nan
9,Djurgården,away,Nicklas Bärkroth,Kalle Holmberg,89,89,89.0,58.0,14,17,key pass,,,0.5762058359831519,1,False,False,False,nan,nan,nan,,nan
10,Djurgården,away,Nicklas Bärkroth,,74,89,89.0,89.0,9,17,carry,,0.01190239406509774,,1,False,False,False,nan,nan,nan,,nan
11,Mjällby AIF,home,Kadir Hodzic,,8,46,,,15,20,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
12,Mjällby AIF,home,Kadir Hodzic,,8,46,,,15,20,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,Djurgården,away,Kalle Holmberg,,89,57,,,16,19,wide shot,0.11941599962424929,,,1,False,False,False,nan,nan,nan,True,nan
14,Mjällby AIF,home,Carljohan Eriksson,,11,43,,,16,19,goalkeeper wide shot,,,,1,False,False,False,nan,nan,nan,,nan
15,Djurgården,away,Kalle Holmberg,,89,57,,,16,19,shot,0.11941599962424929,,,1,False,False,False,nan,nan,left foot,True,nan
16,Mjällby AIF,home,Kadir Hodzic,,7,34,,,19,24,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
17,Djurgården,away,Magnus Eriksson,Nicklas Bärkroth,79,99,86.0,88.0,24,27,pass accurate,,0.006214435802851855,0.6753090134275376,1,False,False,False,nan,nan,nan,,nan
18,Djurgården,away,Nicklas Bärkroth,Elliot Käck,88,87,75.0,90.0,26,29,pass accurate,,-0.007406362407210317,0.7263465272570471,1,False,False,False,nan,nan,nan,,nan
19,Djurgården,away,Elliot Käck,Magnus Eriksson,77,89,83.0,90.0,28,31,pass accurate,,,0.6582248805360803,1,False,False,False,nan,nan,nan,,nan
20,Mjällby AIF,home,Joel Nilsson,,9,13,,,28,33,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
21,Mjällby AIF,home,Joel Nilsson,,9,13,,,28,33,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
22,Djurgården,away,Magnus Eriksson,,90,92,88.0,59.0,30,33,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
23,Djurgården,away,Magnus Eriksson,,90,92,88.0,59.0,30,33,pass inaccurate,,,0.5659470199126461,1,False,False,False,nan,nan,nan,,nan
24,Djurgården,away,Magnus Eriksson,,90,92,88.0,59.0,30,33,cross inacurate,,,0.5659470199126461,1,False,False,False,nan,nan,nan,,nan
25,Mjällby AIF,home,Carljohan Eriksson,,12,41,63.0,21.0,45,55,pass inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
26,Mjällby AIF,home,Carljohan Eriksson,,12,41,63.0,21.0,45,55,goalkeeper kick inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
27,Djurgården,away,Magnus Eriksson,,37,79,,,51,56,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
28,Djurgården,away,Magnus Eriksson,,37,79,,,51,56,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
29,Mjällby AIF,home,Andreas Blomqvist,,57,27,53.0,31.0,54,57,pass inaccurate,,,0.7578323096621123,1,False,False,False,nan,nan,nan,,nan
30,Djurgården,away,Kalle Holmberg,,47,69,,,56,59,foul,,,,1,False,False,False,nan,nan,nan,,nan
31,Djurgården,away,Jacob Widell Zetterström,Joel Asoro,6,52,56.0,46.0,95,105,pass accurate,,,,2,False,False,False,nan,nan,nan,,nan
32,Djurgården,away,Jacob Widell Zetterström,Joel Asoro,6,52,56.0,46.0,95,105,goalkeeper kick accurate,,,,2,False,False,False,nan,nan,nan,,nan
33,Djurgården,away,Joel Asoro,,54,44,55.0,45.0,103,106,pass inaccurate,,,0.2280529290721612,2,False,False,False,nan,nan,nan,,nan
34,Djurgården,away,Joel Asoro,,55,45,,,103,106,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
35,Djurgården,away,Joel Asoro,,55,45,,,103,106,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
36,Mjällby AIF,home,Kadir Hodzic,,45,53,,,103,106,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
37,Mjällby AIF,home,Kadir Hodzic,,45,53,,,103,106,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
38,Mjällby AIF,home,Ivan Kričak,Carlos Moros Gracia,31,84,23.0,52.0,109,112,pass accurate,,5.202550574828074e-06,0.9313387057315765,2,False,False,False,nan,nan,nan,,nan
39,Mjällby AIF,home,Carlos Moros Gracia,Carljohan Eriksson,19,66,8.0,41.0,111,114,pass accurate,,0.0006352486252478133,0.9249044849332505,2,False,False,False,nan,nan,nan,,nan
40,Mjällby AIF,home,Carljohan Eriksson,,9,39,66.0,40.0,115,118,pass inaccurate,,,0.5633320131252244,2,False,False,False,nan,nan,nan,,nan
41,Djurgården,away,Hjalmar Ekdal,,34,60,,,116,121,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
42,Mjällby AIF,home,Viktor Gustafson,Joel Nilsson,58,20,62.0,10.0,122,125,pass accurate,,0.0012463253335954876,0.792029707778957,3,False,False,False,nan,nan,nan,,nan
43,Mjällby AIF,home,Kadir Hodzic,,86,92,,,122,147,final third entry,,,,3,False,False,False,nan,nan,nan,,nan
44,Mjällby AIF,home,Joel Nilsson,Viktor Gustafson,61,5,61.0,16.0,126,129,pass accurate,,0.0020636961028419123,0.7576716655478436,3,False,False,False,nan,nan,nan,,nan
45,Mjällby AIF,home,Viktor Gustafson,Carlos Moros Gracia,64,14,55.0,18.0,127,130,pass accurate,,-0.0033100214364374,0.8203029775964881,3,False,False,False,nan,nan,nan,,nan
46,Mjällby AIF,home,Carlos Moros Gracia,Kadir Hodzic,57,14,88.0,91.0,129,132,pass accurate,,0.015926919288011213,0.4861323449591029,3,False,False,False,nan,nan,nan,,nan
47,Djurgården,away,Haris Radetinac,,9,14,,,131,136,interception succesful,,,,3,False,False,False,nan,nan,nan,,nan
48,Djurgården,away,Haris Radetinac,,9,14,,,131,136,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
49,Mjällby AIF,home,Kadir Hodzic,,91,88,86.0,67.0,132,135,pass into the box,,,,3,False,False,False,nan,nan,nan,,nan
50,Mjällby AIF,home,Kadir Hodzic,,91,88,86.0,67.0,132,135,pass inaccurate,,,0.6494555285765242,3,False,False,False,nan,nan,nan,,nan
51,Mjällby AIF,home,Kadir Hodzic,,91,88,86.0,67.0,132,135,cross inacurate,,,0.6494555285765242,3,False,False,False,nan,nan,nan,,nan
52,Djurgården,away,Jacob Widell Zetterström,Rasmus Schüller,14,33,25.0,58.0,136,146,pass accurate,,,,3,False,False,False,nan,nan,nan,,nan
53,Djurgården,away,Jacob Widell Zetterström,Rasmus Schüller,14,33,25.0,58.0,136,146,goalkeeper throw accurate,,,,3,False,False,False,nan,nan,nan,,nan
54,Djurgården,away,Rasmus Schüller,Elliot Käck,25,58,16.0,87.0,141,144,pass accurate,,-0.004021323335350123,0.9421731153272364,3,False,False,False,nan,nan,nan,,nan
