external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Göteborg,Kolbeinn Sigþórsson,Gustav Svensson,49,50,36.0,57.0,0,2,pass accurate,,-0.0015085281462256447,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IFK Göteborg,Gustav Svensson,Carl Johansson,34,54,29.0,32.0,2,4,pass accurate,,-0.0014774793826186627,0.9067403861850993,1,False,False,False,nan,nan,nan,,nan
2,IFK Göteborg,Carl Johansson,Marcus Berg,30,28,65.0,27.0,5,7,pass accurate,,0.008334946024096672,0.5494137829035881,1,False,False,False,nan,nan,nan,,nan
3,IFK Göteborg,Marcus Berg,,67,25,,,7,10,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,IFK Göteborg,Marcus Berg,,67,25,,,7,10,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Malmö FF,Lasse Ladegaard Nielsen,,33,75,,,7,10,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Malmö FF,Lasse Ladegaard Nielsen,,33,75,,,7,10,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,IFK Göteborg,Marcus Berg,,68,24,67.0,33.0,8,10,pass inaccurate,,,0.7621662982333508,1,False,False,False,nan,nan,nan,,nan
8,IFK Göteborg,Sebastian Eriksson,,67,33,,,9,12,foul,,,,1,False,False,False,nan,nan,nan,,nan
9,Malmö FF,Lasse Ladegaard Nielsen,Anel Ahmedhodzic,33,69,32.0,35.0,69,71,pass accurate,,0.00039776366689430603,0.8654822557670957,2,False,False,False,nan,nan,nan,,nan
10,Malmö FF,Anel Ahmedhodzic,Lasse Ladegaard Nielsen,31,31,31.0,66.0,72,74,pass accurate,,-0.00039776366689430603,0.8619836515398285,2,False,False,False,nan,nan,nan,,nan
11,Malmö FF,Lasse Ladegaard Nielsen,Bonke Innocent,32,72,34.0,91.0,75,77,pass accurate,,-0.001018763339975205,0.8752521119987513,2,False,False,False,nan,nan,nan,,nan
12,Malmö FF,Bonke Innocent,Lasse Ladegaard Nielsen,40,85,36.0,73.0,81,83,pass accurate,,0.0007481366366179614,0.8770100816466764,2,False,False,False,nan,nan,nan,,nan
13,Malmö FF,Lasse Ladegaard Nielsen,Bonke Innocent,36,74,46.0,82.0,85,87,pass accurate,,0.0006643376552684412,0.7656975098466301,2,False,False,False,nan,nan,nan,,nan
14,Malmö FF,Bonke Innocent,Eric Larsson,54,87,66.0,93.0,87,89,pass accurate,,0.0008163911606975036,0.5492263469184706,2,False,False,False,nan,nan,nan,,nan
15,Malmö FF,Eric Larsson,Bonke Innocent,66,96,55.0,86.0,88,90,pass accurate,,-0.0008163911606975036,0.8367064663274524,2,False,False,False,nan,nan,nan,,nan
16,Malmö FF,Bonke Innocent,Lasse Ladegaard Nielsen,49,86,36.0,75.0,90,92,pass accurate,,-0.0014124742918864026,0.8865031501195285,2,False,False,False,nan,nan,nan,,nan
17,Malmö FF,Lasse Ladegaard Nielsen,Anel Ahmedhodzic,36,69,37.0,27.0,93,95,pass accurate,,0.0003060035660030734,0.8719856402150862,2,False,False,False,nan,nan,nan,,nan
18,Malmö FF,Anel Ahmedhodzic,,65,10,73.0,26.0,99,101,pass inaccurate,,,0.6885926437055127,2,False,False,False,nan,nan,nan,,nan
19,Malmö FF,Anel Ahmedhodzic,,37,27,65.0,10.0,93,101,carry,,0.004459352977319225,,2,False,False,False,nan,nan,nan,,nan
20,IFK Göteborg,Gustav Svensson,,27,74,,,100,105,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
21,IFK Göteborg,Gustav Svensson,,27,74,,,100,105,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
22,Malmö FF,Anders Bleg Christiansen,,89,14,,,100,125,final third entry,,,,2,False,False,False,nan,nan,nan,,nan
23,Malmö FF,Jo Inge Berget,,93,9,,,103,108,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
24,Malmö FF,Jo Inge Berget,,93,9,,,103,108,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
25,IFK Göteborg,Gustav Svensson,,6,90,,,104,109,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
26,Malmö FF,Anders Bleg Christiansen,Antonio Mirko Colak,90,12,88.0,54.0,109,111,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
