external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,Joel Asoro,Jacob Une Larsson,49,53,31.0,50.0,0,3,pass accurate,,-0.0027516241001182586,0.887672738937848,1,False,False,False,nan,nan,nan,,nan
1,Djurgården,Jacob Une Larsson,,31,51,74.0,88.0,2,5,pass inaccurate,,,0.4847323260573653,1,False,False,False,nan,nan,nan,,nan
2,BK Häcken,Godswill Ekpolo,,26,12,,,5,8,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
3,BK Häcken,Godswill Ekpolo,,26,12,,,5,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,Djurgården,Haris Radetinac,,74,88,,,5,8,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Djurgården,Haris Radetinac,,74,88,,,5,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,Djurgården,Joel Asoro,Magnus Eriksson,68,77,65.0,80.0,8,11,pass accurate,,-0.0049376838474669525,0.5681549195873516,1,False,False,False,nan,nan,nan,,nan
7,Djurgården,Magnus Eriksson,Edward Chilufya,66,83,69.0,53.0,8,11,pass accurate,,0.00630203431442216,0.7205532237234445,1,False,False,False,nan,nan,nan,,nan
8,Djurgården,Haris Radetinac,,79,84,,,10,35,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
9,Djurgården,Edward Chilufya,Haris Radetinac,70,63,74.0,93.0,13,16,pass accurate,,-0.0040383882022595255,0.5558366795217587,1,False,False,False,nan,nan,nan,,nan
10,Djurgården,Haris Radetinac,Elliot Käck,76,85,78.0,93.0,18,21,pass accurate,,-0.002596221831212355,0.4203612560388276,1,False,False,False,nan,nan,nan,,nan
11,Djurgården,Haris Radetinac,,74,93,76.0,85.0,13,21,carry,,0.00828418009345824,,1,False,False,False,nan,nan,nan,,nan
12,Djurgården,Elliot Käck,,82,96,99.0,2.0,20,23,pass inaccurate,,,0.647230327090053,1,False,False,False,nan,nan,nan,,nan
13,Djurgården,Elliot Käck,,82,96,99.0,2.0,20,23,cross inacurate,,,0.647230327090053,1,False,False,False,nan,nan,nan,,nan
14,Djurgården,Magnus Eriksson,,99,2,99.0,2.0,67,77,right corner inaccurate,,,,2,False,False,False,corner,cleared,nan,,nan
15,Djurgården,Magnus Eriksson,Edward Chilufya,99,2,100.0,2.0,70,73,pass accurate,,,0.43418895402456076,2,False,False,False,corner,nan,nan,,nan
16,BK Häcken,Tobias Carlsson,,7,44,,,71,76,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
17,Djurgården,Elliot Käck,Hampus Finndell,98,98,90.0,90.0,89,92,pass accurate,,-0.013485292563502387,0.6004221271630701,2,False,False,False,nan,nan,nan,,nan
18,Djurgården,Hampus Finndell,Elliot Käck,91,87,97.0,93.0,90,93,pass accurate,,0.012293365959143925,0.18522687532680676,2,False,False,False,nan,nan,nan,,nan
19,Djurgården,Elliot Käck,,96,95,90.0,62.0,91,94,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
20,Djurgården,Elliot Käck,,96,95,90.0,62.0,91,94,pass inaccurate,,,0.5540786660664586,2,False,False,False,nan,nan,nan,,nan
21,Djurgården,Elliot Käck,,96,95,90.0,62.0,91,94,cross inacurate,,,0.5540786660664586,2,False,False,False,nan,nan,nan,,nan
22,BK Häcken,Johan Hammar,,10,38,,,91,96,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
23,Djurgården,Elliot Käck,,81,100,92.0,94.0,106,109,pass inaccurate,,,0.7136842275857856,2,False,False,True,throw-in,nan,nan,,nan
