external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Göteborg,away,Tobias Sana,Mattias Bjärsmyr,51,49,31.0,49.0,0,2,pass accurate,,-0.004984388684059168,0.8913926315812905,1,False,False,False,nan,nan,nan,,nan
1,IFK Göteborg,away,Mattias Bjärsmyr,Kevin Yakob,31,50,70.0,81.0,3,5,pass accurate,,0.011688256343633272,0.4720384548819866,1,False,False,False,nan,nan,nan,,nan
2,IFK Göteborg,away,Kevin Yakob,,69,81,,,5,8,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
3,IFK Göteborg,away,Kevin Yakob,,69,81,,,5,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Örebro,home,Hussein Ali,,31,18,,,5,8,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Örebro,home,Hussein Ali,,31,18,,,5,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,IFK Göteborg,away,Alexander Jallow,,97,87,,,6,31,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
7,IFK Göteborg,away,Kevin Yakob,Alexander Jallow,68,82,73.0,93.0,6,8,pass accurate,,-0.003384757163740343,0.5787612302731661,1,False,False,False,nan,nan,nan,,nan
8,IFK Göteborg,away,Kevin Yakob,,92,66,,,6,16,penalty box entry unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
9,IFK Göteborg,away,Tobias Sana,,92,60,,,13,18,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
10,IFK Göteborg,away,Alexander Jallow,Kevin Yakob,99,87,92.0,69.0,14,16,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
11,IFK Göteborg,away,Alexander Jallow,Kevin Yakob,99,87,92.0,69.0,14,16,pass accurate,,0.01574339776612449,0.6357272512628522,1,False,False,False,nan,nan,nan,,nan
12,Örebro,home,Michael Almebäck,,6,44,,,15,20,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
13,Örebro,home,Michael Almebäck,,6,44,,,15,20,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,Örebro,home,Bobby Allain,,1,41,,,15,20,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
15,Örebro,home,Bobby Allain,,1,41,,,15,20,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
16,Örebro,home,Bobby Allain,Daniel Björnkvist,11,57,26.0,85.0,20,30,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
17,Örebro,home,Bobby Allain,Daniel Björnkvist,11,57,26.0,85.0,20,30,goalkeeper throw accurate,,,,1,False,False,False,nan,nan,nan,,nan
18,Örebro,home,Daniel Björnkvist,Andreas Skovgaard Larsen,26,84,8.0,76.0,26,28,pass accurate,,-0.004186979765015093,0.9350422345217246,1,False,False,False,nan,nan,nan,,nan
19,Örebro,home,Andreas Skovgaard Larsen,Michael Almebäck,11,74,10.0,32.0,29,31,pass accurate,,0.0007594080983958119,0.9248511950170336,1,False,False,False,nan,nan,nan,,nan
