external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,AIK,Nicolas Stefanelli,Alexander Milošević,49,50,28.0,50.0,0,2,pass accurate,,-0.0027516241001182586,0.9161791357261458,1,False,False,False,nan,nan,nan,,nan
1,AIK,Alexander Milošević,,28,48,61.0,74.0,2,4,pass inaccurate,,,0.5716896224785016,1,False,False,False,nan,nan,nan,,nan
2,Örebro,Kevin Walker,Nahir Besara,39,26,49.0,54.0,4,6,pass accurate,,0.0016856777868625404,0.7488203384688021,1,False,False,False,nan,nan,nan,,nan
3,Örebro,Dennis Collander,,89,25,,,5,15,penalty box entry unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Örebro,Dennis Collander,,91,25,,,5,30,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
5,Örebro,Nahir Besara,Jiloan Mohamed Hamad,55,58,66.0,82.0,7,9,pass accurate,,0.0015968845108057343,0.7426911480027857,1,False,False,False,nan,nan,nan,,nan
6,Örebro,Jiloan Mohamed Hamad,Dennis Collander,66,79,91.0,27.0,10,12,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
7,Örebro,Jiloan Mohamed Hamad,Dennis Collander,66,79,91.0,27.0,10,12,pass accurate,,0.043001972978462796,0.5599368078779814,1,False,False,False,nan,nan,nan,,nan
8,Örebro,Dennis Collander,,91,26,87.0,36.0,13,15,pass inaccurate,,,0.5734183777106304,1,False,False,False,nan,nan,nan,,nan
9,AIK,Bilal Hussein,Erik Ring,13,64,25.0,83.0,14,16,pass accurate,,0.0014829837984468523,0.852983301571877,1,False,False,False,nan,nan,nan,,nan
10,Örebro,Nasiru Moro,,31,31,,,18,23,yellow card,,,,1,False,False,False,nan,nan,nan,,nan
11,Örebro,Nasiru Moro,,31,31,,,18,23,foul,,,,1,False,False,False,nan,nan,nan,,nan
12,AIK,Erik Ring,,62,79,,,19,29,dribble successful,,,,1,False,False,False,nan,nan,nan,,nan
13,Örebro,Nasiru Moro,,31,32,,,22,25,foul,,,,1,False,False,False,nan,nan,nan,,nan
14,AIK,Sebastian Larsson,,72,65,,,89,114,final third entry,,,,2,False,False,False,free-kick,nan,nan,,nan
15,AIK,Mikael Lustig,,91,27,89.0,44.0,90,92,pass inaccurate,,,0.5788754718331703,2,False,False,False,free-kick,nan,nan,,nan
16,Örebro,Nordin Gerzic,,11,56,,,90,95,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
17,AIK,Sebastian Larsson,,71,66,,,93,96,wide shot,0.014626670144270996,,,2,False,False,False,free-kick,nan,nan,True,nan
18,Örebro,Bobby Allain,,29,34,,,93,96,goalkeeper wide shot,,,,2,False,False,False,nan,nan,nan,,nan
19,AIK,Sebastian Larsson,,71,66,,,93,96,shot,0.014626670144270996,,,2,False,False,False,free-kick,nan,right foot,True,nan
20,AIK,Bilal Hussein,Erik Ring,71,40,76.0,68.0,94,96,pass accurate,,0.00653996068919829,0.6761723113614206,2,False,False,False,free-kick,nan,nan,,nan
21,AIK,Erik Ring,,77,62,,,95,98,air challenge unsuccessful,,,,2,False,False,False,free-kick,nan,nan,,nan
22,AIK,Erik Ring,,77,62,,,95,98,challenge unsuccessful,,,,2,False,False,False,free-kick,nan,nan,,nan
23,Örebro,Jiloan Mohamed Hamad,,23,38,,,95,98,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
24,Örebro,Jiloan Mohamed Hamad,,23,38,,,95,98,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
25,AIK,Erik Ring,Sebastian Larsson,76,65,69.0,64.0,96,98,pass accurate,,-0.00748913235711093,0.7764871214045772,2,False,False,False,free-kick,nan,nan,,nan
26,AIK,Erik Ring,Sebastian Larsson,76,65,69.0,64.0,96,98,key pass,,,0.7764871214045772,2,False,False,False,free-kick,nan,nan,,nan
27,Örebro,Bobby Allain,Nasiru Moro,3,46,8.0,27.0,110,120,pass accurate,,,,2,False,False,False,nan,nan,nan,,nan
28,Örebro,Bobby Allain,Nasiru Moro,3,46,8.0,27.0,110,120,goalkeeper kick accurate,,,,2,False,False,False,nan,nan,nan,,nan
29,Örebro,Nasiru Moro,Dennis Collander,11,11,72.0,13.0,116,118,pass accurate,,0.018152980338517,0.4138963838975996,2,False,False,False,nan,nan,nan,,nan
30,Örebro,Dennis Collander,,71,11,,,118,123,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
31,AIK,Sotirios Papagiannopoulos,,28,88,,,119,124,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
32,AIK,Sotirios Papagiannopoulos,,28,88,,,119,124,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
33,AIK,Sotirios Papagiannopoulos,,26,97,56.0,82.0,121,123,pass inaccurate,,,0.5581462270102329,3,False,False,False,nan,nan,nan,,nan
34,Örebro,Nordin Gerzic,,44,18,,,123,128,lost ball,,,,3,False,False,False,nan,nan,nan,,nan
35,AIK,Nicolas Stefanelli,,55,82,,,123,128,tackle successful,,,,3,False,False,False,nan,nan,nan,,nan
36,AIK,Nicolas Stefanelli,,55,82,,,123,128,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
37,AIK,Henok Goitom,Nicolas Stefanelli,59,79,60.0,87.0,126,128,pass accurate,,,0.7478283424673723,3,False,False,False,nan,nan,nan,,nan
38,AIK,Nicolas Stefanelli,,55,80,,,127,132,lost ball,,,,3,False,False,False,nan,nan,nan,,nan
39,AIK,Nicolas Stefanelli,,60,87,55.0,80.0,126,132,carry,,-0.0031887910024506055,,3,False,False,False,nan,nan,nan,,nan
40,Örebro,Hussein Ali,,45,20,,,127,132,tackle successful,,,,3,False,False,False,counter,nan,nan,,nan
41,Örebro,Hussein Ali,,45,20,,,127,132,challenge unsuccessful,,,,3,False,False,False,counter,nan,nan,,nan
42,Örebro,Martin Broberg,Nahir Besara,62,22,57.0,44.0,130,132,pass accurate,,-0.002439954018131317,0.7990978759819257,3,False,False,False,counter,nan,nan,,nan
43,Örebro,Jiloan Mohamed Hamad,,94,73,,,130,155,final third entry,,,,3,False,False,False,counter,nan,nan,,nan
44,Örebro,Jiloan Mohamed Hamad,,93,73,,,131,141,penalty box entry unsuccessful,,,,3,False,False,False,counter,nan,nan,,nan
45,Örebro,Nahir Besara,Jiloan Mohamed Hamad,72,68,73.0,79.0,135,137,pass accurate,,-0.0006536310385191826,0.7659772149938641,3,False,False,False,counter,nan,nan,,nan
46,Örebro,Jiloan Mohamed Hamad,,93,72,,,136,146,dribble unsuccessful,,,,3,False,False,False,counter,nan,nan,,nan
47,Örebro,Jiloan Mohamed Hamad,,73,79,93.0,72.0,135,146,carry,,0.02854631280339871,,3,False,False,False,counter,nan,nan,,nan
48,Örebro,Jiloan Mohamed Hamad,,93,70,,,138,143,lost ball,,,,3,False,False,False,counter,nan,nan,,nan
49,AIK,Alexander Milošević,,8,37,29.0,35.0,141,143,pass inaccurate,,,0.8043173195481008,3,False,False,False,nan,nan,nan,,nan
50,Örebro,Benjamin Hjertstrand,Jiloan Mohamed Hamad,71,65,79.0,70.0,145,147,pass accurate,,0.00748913235711093,0.648051448197632,3,False,False,False,nan,nan,nan,,nan
51,Örebro,Jiloan Mohamed Hamad,Nahir Besara,79,72,70.0,75.0,146,148,pass accurate,,-0.008142763395630113,0.7919843640556513,3,False,False,False,nan,nan,nan,,nan
52,Örebro,Nahir Besara,Kevin Adrian Wright,70,76,75.0,94.0,149,151,pass accurate,,0.0023032010985055418,0.7797604406426865,3,False,False,False,nan,nan,nan,,nan
53,Örebro,Kevin Adrian Wright,Nahir Besara,74,96,69.0,93.0,151,153,pass accurate,,,0.5273488430470257,3,False,False,False,nan,nan,nan,,nan
54,Örebro,Nahir Besara,Kevin Adrian Wright,71,84,80.0,95.0,155,157,pass accurate,,0.0023032010985055418,0.6886318119858893,3,False,False,False,nan,nan,nan,,nan
55,Örebro,Nahir Besara,,69,93,71.0,84.0,151,157,carry,,0.003384757163740343,,3,False,False,False,nan,nan,nan,,nan
56,Örebro,Kevin Adrian Wright,Nahir Besara,80,95,73.0,92.0,158,160,pass accurate,,-0.005687958262245885,0.7738245942455908,3,False,False,False,nan,nan,nan,,nan
57,Örebro,Nahir Besara,Nordin Gerzic,70,84,68.0,74.0,161,163,pass accurate,,0.0006536310385191826,0.7606559961712794,3,False,False,False,nan,nan,nan,,nan
58,Örebro,Nahir Besara,,73,92,70.0,84.0,158,163,carry,,0.003384757163740343,,3,False,False,False,nan,nan,nan,,nan
59,Örebro,Nordin Gerzic,Benjamin Hjertstrand,68,72,65.0,84.0,162,164,pass accurate,,-0.005591314885986135,0.721243532199,3,False,False,False,nan,nan,nan,,nan
60,Örebro,Benjamin Hjertstrand,Nasiru Moro,65,85,37.0,70.0,164,166,pass accurate,,-0.005990629748913675,0.884867344140798,3,False,False,False,nan,nan,nan,,nan
61,Örebro,Nasiru Moro,Bobby Allain,35,71,12.0,40.0,168,170,pass accurate,,-0.002246481045466724,0.9378059101039934,3,False,False,False,nan,nan,nan,,nan
62,Örebro,Bobby Allain,Nordin Gerzic,12,40,31.0,40.0,172,174,pass accurate,,0.00165119098944045,0.7557337039384627,3,False,False,False,nan,nan,nan,,nan
63,Örebro,Nordin Gerzic,Kevin Adrian Wright,32,46,67.0,91.0,175,177,pass accurate,,0.008138846488666559,0.537365190252931,3,False,False,False,nan,nan,nan,,nan
64,Örebro,Kevin Adrian Wright,Jiloan Mohamed Hamad,68,95,64.0,78.0,180,182,pass accurate,,-0.0015529266837266097,0.8089581328509553,4,False,False,False,nan,nan,nan,,nan
65,Örebro,Jiloan Mohamed Hamad,Nasiru Moro,60,58,46.0,49.0,186,188,pass accurate,,-0.00592644570175329,0.8383699042749215,4,False,False,False,nan,nan,nan,,nan
66,Örebro,Jiloan Mohamed Hamad,,64,78,60.0,58.0,180,188,carry,,0.0019551231613734177,,4,False,False,False,nan,nan,nan,,nan
67,Örebro,Nasiru Moro,Benjamin Hjertstrand,45,50,44.0,75.0,191,193,pass accurate,,-0.0013273436975971727,0.8490658696773706,4,False,False,False,nan,nan,nan,,nan
68,Örebro,Benjamin Hjertstrand,Nasiru Moro,44,76,35.0,52.0,195,197,pass accurate,,-0.00018118444862847208,0.87230301542333,4,False,False,False,nan,nan,nan,,nan
69,Örebro,Nasiru Moro,Hussein Ali,40,43,57.0,7.0,198,200,pass accurate,,0.0013047992285611862,0.7335107886016781,4,False,False,False,nan,nan,nan,,nan
70,Örebro,Kevin Walker,,73,13,,,200,210,dribble unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
71,Örebro,Hussein Ali,Dennis Collander,59,7,70.0,9.0,201,203,pass accurate,,0.004792399647438217,0.5958262186024844,4,False,False,False,nan,nan,nan,,nan
72,Örebro,Dennis Collander,Kevin Walker,70,8,70.0,20.0,203,205,pass accurate,,0.0029833395362104873,0.7324090598503206,4,False,False,False,nan,nan,nan,,nan
73,Örebro,Kevin Walker,,74,14,,,203,208,lost ball,,,,4,False,False,False,nan,nan,nan,,nan
74,Örebro,Kevin Walker,,70,20,74.0,14.0,203,208,carry,,,,4,False,False,False,nan,nan,nan,,nan
75,AIK,Erick Ouma Otieno,,23,98,30.0,69.0,207,209,pass inaccurate,,,0.8616019283677412,4,False,False,False,nan,nan,nan,,nan
76,Örebro,Nordin Gerzic,Kevin Adrian Wright,70,31,68.0,74.0,211,213,pass accurate,,-0.0009094621766467248,0.6925442634828779,4,False,False,False,nan,nan,nan,,nan
77,Örebro,Kevin Adrian Wright,Nahir Besara,68,79,69.0,66.0,215,217,pass accurate,,0.0006536310385191826,0.7553294305169407,4,False,False,False,nan,nan,nan,,nan
78,Örebro,Nahir Besara,Benjamin Hjertstrand,66,72,61.0,83.0,219,221,pass accurate,,-0.0009416788209277889,0.8203291874085116,4,False,False,False,nan,nan,nan,,nan
79,Örebro,Nahir Besara,,69,66,66.0,72.0,215,221,carry,,-0.004649636065058346,,4,False,False,False,nan,nan,nan,,nan
80,Örebro,Benjamin Hjertstrand,Nahir Besara,57,85,54.0,73.0,222,224,pass accurate,,0.0009031947206651243,0.8271970240735625,4,False,False,False,nan,nan,nan,,nan
81,Örebro,Nahir Besara,Benjamin Hjertstrand,49,79,49.0,91.0,224,226,pass accurate,,-0.0016237188844384545,0.8402004393474454,4,False,False,False,nan,nan,nan,,nan
82,AIK,Sebastian Larsson,,48,4,,,225,230,interception unsuccesful,,,,4,False,False,False,nan,nan,nan,,nan
83,AIK,Sebastian Larsson,,48,4,,,225,230,challenge successful,,,,4,False,False,False,nan,nan,nan,,nan
84,Örebro,Benjamin Hjertstrand,,50,96,53.0,99.0,226,228,pass inaccurate,,,0.12411841998467735,4,False,False,False,nan,nan,nan,,nan
85,Örebro,Kevin Adrian Wright,Benjamin Hjertstrand,53,99,36.0,89.0,237,239,pass accurate,,-0.0033456590004151705,0.8811074466178515,4,False,False,False,nan,nan,nan,,nan
86,Örebro,Benjamin Hjertstrand,Nasiru Moro,35,90,32.0,69.0,243,245,pass accurate,,0.001018763339975205,0.8722207706991403,5,False,False,False,nan,nan,nan,,nan
87,Örebro,Nasiru Moro,Bobby Allain,28,53,9.0,51.0,248,250,pass accurate,,-0.0019225201836652137,0.9387687164520605,5,False,False,False,nan,nan,nan,,nan
88,AIK,Nicolas Stefanelli,,79,34,,,250,275,final third entry,,,,5,False,False,False,nan,nan,nan,,nan
89,Örebro,Bobby Allain,,11,58,22.0,66.0,253,255,pass inaccurate,,,0.8930502206141159,5,False,False,False,nan,nan,nan,,nan
90,AIK,Nicolas Stefanelli,,78,34,,,255,258,wide shot,0.02046768552032165,,,5,False,False,False,nan,nan,nan,,nan
91,Örebro,Bobby Allain,,22,66,,,255,258,goalkeeper wide shot,,,,5,False,False,False,nan,nan,nan,,nan
92,AIK,Nicolas Stefanelli,,78,34,,,255,258,shot,0.02046768552032165,,,5,False,False,False,nan,nan,right foot,,nan
93,AIK,Zachary Elbouzedi,Nicolas Stefanelli,66,24,68.0,36.0,255,257,pass accurate,,0.005662354165382324,0.7183141121116424,5,False,False,False,nan,nan,nan,,nan
94,AIK,Zachary Elbouzedi,Nicolas Stefanelli,66,24,68.0,36.0,255,257,key pass,,,0.7183141121116424,5,False,False,False,nan,nan,nan,,nan
95,AIK,Henok Goitom,,65,79,,,303,306,foul,,,,6,False,False,False,nan,nan,nan,,nan
96,AIK,Henok Goitom,,66,79,,,304,307,air challenge successful,,,,6,False,False,False,nan,nan,nan,,nan
97,AIK,Henok Goitom,,66,79,,,304,307,challenge successful,,,,6,False,False,False,nan,nan,nan,,nan
