external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Kalmar FF,Oliver Berg,Romario Pereira Sipiao,49,50,36.0,48.0,0,2,Pass accurate,,-0.0014212561028738371,0.8821105643271655,1,False,False,False,,,,,
1,Kalmar FF,Romario Pereira Sipiao,Henrik Löfkvist,35,51,28.0,71.0,1,3,Pass accurate,,-0.0018752430495129688,0.9065934322453404,1,False,False,False,,,,,
2,Kalmar FF,Henrik Löfkvist,Rasmus Sjöstedt,27,73,25.0,45.0,3,5,Pass accurate,,0.0007967997868467257,0.9048908874596919,1,False,False,False,,,,,
3,Kalmar FF,Rasmus Sjöstedt,Lars Saetra,26,36,26.0,17.0,6,8,Pass accurate,,-0.0007316033895666627,0.9126981923637564,1,False,False,False,,,,,
4,Kalmar FF,Lars Saetra,,26,16,68.0,14.0,8,10,Pass inaccurate,,,0.4273115045053046,1,False,False,False,,,,,
5,IF Elfsborg,Maudo Lamine Jarjué,Tim Rönning,32,86,12.0,53.0,13,15,Pass accurate,,-0.00035052702033209863,0.9379211625077785,1,False,False,False,,,,,
6,IF Elfsborg,Tim Rönning,Per Frick,11,52,68.0,57.0,16,18,Pass accurate,,0.014975126994253693,0.48620918356276543,1,False,False,False,,,,,
7,IF Elfsborg,Per Frick,Robert Gojani,67,56,65.0,71.0,19,21,Pass accurate,,-0.005360355493494371,0.8053446259567161,1,False,False,False,,,,,
8,IF Elfsborg,Robert Gojani,,67,66,,,20,25,Lost ball,,,,1,False,False,False,,,,,
9,Kalmar FF,Carl Gustafsson,,33,33,,,20,25,Tackle successful,,,,1,False,False,False,,,,,
10,Kalmar FF,Carl Gustafsson,,33,33,,,20,25,Challenge unsuccessful,,,,1,False,False,False,,,,,
11,Kalmar FF,Lars Saetra,,26,30,33.0,23.0,23,25,Pass inaccurate,,,0.8381797663074757,1,False,False,False,,,,,
12,IF Elfsborg,André Rømer,Frederik Holst,67,77,64.0,55.0,26,28,Pass accurate,,-0.002982560686093535,0.8022338962927189,1,False,False,False,,,,,
13,IF Elfsborg,Frederik Holst,Leo Väisänen,57,54,44.0,38.0,28,30,Pass accurate,,-0.002374438029574138,0.8648465070187019,1,False,False,False,,,,,
14,IF Elfsborg,Frederik Holst,,64,55,57.0,54.0,26,30,Carry,,-0.003552007672179152,,1,False,False,False,,,,,
