external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Ludvig Fritzson,Eirik Haugan,49,49,59.0,49.0,0,3,pass accurate,,0.006044633711302927,0.7657506675644652,1,False,False,False,nan,nan,nan,,nan
1,Östersund,Eirik Haugan,Malcolm Stolt,30,41,65.0,87.0,3,6,pass accurate,,0.006585919804939949,0.5705099249334168,1,False,False,False,nan,nan,nan,,nan
2,Östersund,Malcolm Stolt,,64,87,67.0,74.0,6,9,pass inaccurate,,,0.7517537932535034,1,False,False,False,nan,nan,nan,,nan
3,IFK Göteborg,Gustav Svensson,,33,26,44.0,24.0,7,10,pass inaccurate,,,0.8057221141989264,1,False,False,False,nan,nan,nan,,nan
4,Östersund,Isak Ssali Ssewankambo,Charlie Colkett,56,76,57.0,83.0,9,12,pass accurate,,,0.639691928445136,1,False,False,False,nan,nan,nan,,nan
5,IFK Göteborg,Gustav Svensson,August Erlingmark,38,21,36.0,31.0,11,14,pass accurate,,0.0007527059735071007,0.8633612306634886,1,False,False,False,nan,nan,nan,,nan
6,IFK Göteborg,August Erlingmark,Tobias Sana,38,27,46.0,44.0,12,15,pass accurate,,0.0017133036425307294,0.7585675159943284,1,False,False,False,nan,nan,nan,,nan
7,IFK Göteborg,Tobias Sana,,47,44,57.0,44.0,12,15,pass inaccurate,,,0.7571517796960572,1,False,False,False,nan,nan,nan,,nan
8,Östersund,Eirik Haugan,,61,68,,,15,20,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
9,Östersund,Eirik Haugan,,61,68,,,15,25,dribble unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
10,IFK Göteborg,Gustav Svensson,,39,32,,,16,21,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
11,IFK Göteborg,Gustav Svensson,,39,32,,,16,21,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
12,IFK Göteborg,Gustav Svensson,Tobias Sana,41,28,59.0,78.0,19,22,pass accurate,,0.0056846261829106015,0.6180262139960603,1,False,False,False,nan,nan,nan,,nan
13,IFK Göteborg,Tobias Sana,Oscar Vilhelmsson,65,91,80.0,70.0,27,30,pass accurate,,0.015452847084850167,0.6349057195073193,1,False,False,False,nan,nan,nan,,nan
14,IFK Göteborg,Tobias Sana,,59,78,65.0,91.0,19,30,carry,,-0.002372399841753102,,1,False,False,False,nan,nan,nan,,nan
15,IFK Göteborg,Oscar Vilhelmsson,,81,71,87.0,46.0,27,30,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
