external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,Samuel Adeniyi Adegbenro,Sead Haksabanovic,51,49,34.0,51.0,0,2,pass accurate,,-0.003905945421392925,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IFK Norrköping FK,Marco Lund Nielsen,,39,51,84.0,30.0,3,5,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
2,IFK Norrköping FK,Marco Lund Nielsen,,39,51,84.0,30.0,3,5,pass inaccurate,,,0.4640133926551742,1,False,False,False,nan,nan,nan,,nan
3,IFK Norrköping FK,Samuel Adeniyi Adegbenro,,84,30,,,5,30,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
4,IFK Norrköping FK,Jonathan Levi,,78,17,,,5,8,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,IFK Norrköping FK,Jonathan Levi,,78,17,,,5,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Degerfors IF,Adam Carlén,,22,83,,,5,8,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,Degerfors IF,Adam Carlén,,22,83,,,5,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
8,Degerfors IF,Adam Carlén,,23,80,29.0,80.0,6,8,pass inaccurate,,,0.8415723238848274,1,False,False,False,nan,nan,nan,,nan
9,IFK Norrköping FK,Alexander Fransson,,71,20,,,6,11,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
10,IFK Norrköping FK,Alexander Fransson,,71,20,,,6,11,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
11,Degerfors IF,Sebastian Olsson,,21,75,,,8,13,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
12,Degerfors IF,Sebastian Olsson,,21,75,,,8,13,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
13,IFK Norrköping FK,Samuel Adeniyi Adegbenro,,84,30,,,10,13,wide shot,0.027936641269921535,,,1,False,False,False,nan,nan,nan,,nan
14,Degerfors IF,Jeffrey Gal,,16,70,,,10,13,goalkeeper wide shot,,,,1,False,False,False,nan,nan,nan,,nan
15,IFK Norrköping FK,Samuel Adeniyi Adegbenro,,84,30,,,10,13,shot,0.027936641269921535,,,1,False,False,False,nan,nan,left foot,,nan
