external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Göteborg,Marcus Berg,Sebastian Eriksson,51,51,37.0,56.0,0,3,pass accurate,,-0.0039105920314679715,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IFK Göteborg,Sebastian Eriksson,Carl Johansson,38,45,30.0,72.0,2,5,pass accurate,,-0.0019625150928647764,0.9007471520216246,1,False,False,False,nan,nan,nan,,nan
2,IFK Göteborg,Carl Johansson,Mattias Bjärsmyr,27,73,23.0,35.0,3,6,pass accurate,,-0.0008718622639694341,0.9317364193541112,1,False,False,False,nan,nan,nan,,nan
3,IFK Göteborg,Mattias Bjärsmyr,Kolbeinn Sigþórsson,23,25,86.0,13.0,6,9,pass accurate,,0.025616973259912426,0.45128096873168555,1,False,False,False,nan,nan,nan,,nan
4,IFK Göteborg,Kolbeinn Sigþórsson,,83,14,,,10,15,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
5,Varbergs BoIS FC,Jean Carlos De Brito,,3,92,,,15,20,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
6,IFK Göteborg,Alexander Jallow,Gustaf Norlin,75,2,91.0,9.0,29,32,pass accurate,,0.006001420018364626,0.46417093148606275,1,False,False,False,nan,nan,nan,,nan
7,IFK Göteborg,Gustaf Norlin,,98,11,96.0,50.0,32,35,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
8,IFK Göteborg,Gustaf Norlin,,98,11,96.0,50.0,32,35,pass inaccurate,,,0.20193804223209713,1,False,False,False,nan,nan,nan,,nan
9,IFK Göteborg,Gustaf Norlin,,91,9,98.0,11.0,29,35,carry,,0.02599741386060056,,1,False,False,False,nan,nan,nan,,nan
10,Varbergs BoIS FC,Stojan Lukic,,4,50,75.0,81.0,46,56,pass inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
11,Varbergs BoIS FC,Stojan Lukic,,4,50,75.0,81.0,46,56,goalkeeper kick inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
12,IFK Göteborg,Alexander Jallow,,25,19,30.0,7.0,55,58,pass inaccurate,,,0.8894347427801165,1,False,False,False,nan,nan,nan,,nan
13,Varbergs BoIS FC,Ryan Moon,,70,93,,,56,61,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
14,IFK Göteborg,Alexander Jallow,,23,7,,,58,63,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
15,IFK Göteborg,Alexander Jallow,,28,5,,,58,68,dribble unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
16,Varbergs BoIS FC,Ryan Moon,,76,93,,,60,65,tackle unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
17,Varbergs BoIS FC,Ryan Moon,,76,93,,,60,65,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
18,IFK Göteborg,Alexander Jallow,Gustaf Norlin,27,4,64.0,18.0,75,78,pass accurate,,0.009903838286013426,0.4234216059601355,2,False,False,False,nan,nan,nan,,nan
19,Varbergs BoIS FC,Oliver Stanisic,,37,79,,,79,82,foul,,,,2,False,False,False,nan,nan,nan,,nan
20,IFK Göteborg,Alexander Jallow,Mattias Bjärsmyr,62,12,29.0,38.0,93,96,pass accurate,,-0.005360646599348573,0.8932549089708215,2,False,False,False,nan,nan,nan,,nan
21,IFK Göteborg,Mattias Bjärsmyr,Alexander Jallow,30,30,39.0,18.0,95,98,pass accurate,,0.0005476237684746664,0.8184947700621741,2,False,False,False,nan,nan,nan,,nan
22,IFK Göteborg,Alexander Jallow,Carl Johansson,38,15,33.0,60.0,97,100,pass accurate,,-0.0003132403397486175,0.8570847183932593,2,False,False,False,nan,nan,nan,,nan
23,IFK Göteborg,Carl Johansson,,32,58,87.0,32.0,99,102,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
24,IFK Göteborg,Carl Johansson,,32,58,87.0,32.0,99,102,pass inaccurate,,,0.43950451380544225,2,False,False,False,nan,nan,nan,,nan
25,Varbergs BoIS FC,Jean Carlos De Brito,Joakim Lindner,13,68,13.0,62.0,103,106,pass accurate,,0.0011324567781147536,0.6579317446974955,2,False,False,False,nan,nan,nan,,nan
26,Varbergs BoIS FC,Joakim Lindner,,13,62,,,104,109,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
27,Varbergs BoIS FC,Tashreeq Matthews,,32,69,,,106,116,dribble unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
28,Varbergs BoIS FC,Tashreeq Matthews,,32,68,,,106,111,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
29,IFK Göteborg,Alexander Jallow,,67,33,,,107,112,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
30,IFK Göteborg,Alexander Jallow,,67,33,,,107,112,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
31,IFK Göteborg,Alexander Jallow,,65,29,75.0,10.0,111,114,pass inaccurate,,,0.7436480235573216,2,False,False,False,nan,nan,nan,,nan
32,Varbergs BoIS FC,Jean Carlos De Brito,,25,90,,,117,127,dribble successful,,,,2,False,False,False,nan,nan,nan,,nan
33,Varbergs BoIS FC,Jean Carlos De Brito,Oliver Stanisic,24,89,12.0,84.0,120,123,pass accurate,,0.00014021077967341783,0.8934264713083881,3,False,False,False,nan,nan,nan,,nan
34,Varbergs BoIS FC,Oliver Stanisic,,8,75,33.0,91.0,122,125,pass inaccurate,,,0.747531000238909,3,False,False,False,nan,nan,nan,,nan
35,IFK Göteborg,Gustav Svensson,,67,9,,,125,128,air challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
36,IFK Göteborg,Gustav Svensson,,67,9,,,125,128,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
37,Varbergs BoIS FC,Tashreeq Matthews,,33,81,,,125,128,air challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
38,Varbergs BoIS FC,Tashreeq Matthews,,33,81,,,125,128,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
39,Varbergs BoIS FC,Robin Tranberg,,33,71,70.0,70.0,126,129,pass inaccurate,,,0.494907968803709,3,False,False,False,nan,nan,nan,,nan
40,IFK Göteborg,Carl Johansson,,30,30,50.0,30.0,131,134,pass inaccurate,,,0.6461866750900116,3,False,False,False,nan,nan,nan,,nan
41,IFK Göteborg,Oscar Wendt,,25,78,42.0,70.0,154,157,pass inaccurate,,,0.782875285094637,3,False,False,False,nan,nan,nan,,nan
42,Varbergs BoIS FC,Robin Tranberg,Oliver Alfonsi,58,30,66.0,6.0,157,160,pass accurate,,0.00042836991076851405,0.6386939398688946,3,False,False,False,nan,nan,nan,,nan
43,Varbergs BoIS FC,Oliver Alfonsi,,69,11,,,157,162,lost ball,,,,3,False,False,False,nan,nan,nan,,nan
44,Varbergs BoIS FC,Oliver Alfonsi,,68,6,,,157,167,dribble unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
45,IFK Göteborg,Oscar Wendt,,30,92,,,158,163,tackle successful,,,,3,False,False,False,nan,nan,nan,,nan
46,IFK Göteborg,Oscar Wendt,,30,92,,,158,163,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
47,IFK Göteborg,Oscar Wendt,Tobias Sana,28,89,31.0,93.0,160,163,pass accurate,,,0.5282587213936846,3,False,False,False,nan,nan,nan,,nan
48,IFK Göteborg,Tobias Sana,,31,93,51.0,93.0,163,166,pass inaccurate,,,0.5179297015546329,3,False,False,False,nan,nan,nan,,nan
49,IFK Göteborg,Gustav Svensson,Mattias Bjärsmyr,29,78,26.0,74.0,181,184,pass accurate,,0.0009398460677127601,0.7605759219825851,4,False,False,False,nan,nan,nan,,nan
50,IFK Göteborg,Mattias Bjärsmyr,Gustaf Norlin,12,60,38.0,23.0,186,189,pass accurate,,0.002235760523413831,0.7226992336535151,4,False,False,False,nan,nan,nan,,nan
51,IFK Göteborg,Mattias Bjärsmyr,,26,74,12.0,60.0,181,189,carry,,-0.0012903730880448588,,4,False,False,False,nan,nan,nan,,nan
52,IFK Göteborg,Gustaf Norlin,Alexander Jallow,34,26,29.0,23.0,188,191,pass accurate,,-0.00203193313154843,0.8033614241331716,4,False,False,False,nan,nan,nan,,nan
53,IFK Göteborg,Alexander Jallow,,40,17,66.0,27.0,192,195,pass inaccurate,,,0.5793004039221799,4,False,False,False,nan,nan,nan,,nan
54,Varbergs BoIS FC,Joakim Lindner,,34,73,,,196,199,foul,,,,4,False,False,False,nan,nan,nan,,nan
55,IFK Göteborg,Gustaf Norlin,Sebastian Eriksson,65,25,58.0,53.0,198,201,pass accurate,,-0.0029468746100100376,0.804562695328455,4,False,False,False,nan,nan,nan,,nan
56,IFK Göteborg,Sebastian Eriksson,Oscar Wendt,56,51,65.0,90.0,200,203,pass accurate,,-0.0007755153309473677,0.6863863602353982,4,False,False,False,nan,nan,nan,,nan
57,IFK Göteborg,Oscar Wendt,,65,89,90.0,72.0,205,208,pass into the box,,,,4,False,False,False,nan,nan,nan,,nan
58,IFK Göteborg,Oscar Wendt,,65,89,90.0,72.0,205,208,pass inaccurate,,,0.5152393670851962,4,False,False,False,nan,nan,nan,,nan
59,Varbergs BoIS FC,Joakim Lindner,,10,28,,,205,210,clearance accurate,,,,4,False,False,False,nan,nan,nan,,nan
60,Varbergs BoIS FC,Gideon Mensah,,9,9,26.0,2.0,210,213,pass inaccurate,,,0.9021657519728777,4,False,False,False,nan,nan,nan,,nan
61,Varbergs BoIS FC,Gideon Mensah,,26,2,32.0,7.0,229,232,pass inaccurate,,,0.8022224176272796,4,False,False,False,nan,nan,nan,,nan
62,IFK Göteborg,Oscar Wendt,Kolbeinn Sigþórsson,68,93,77.0,88.0,248,251,pass accurate,,0.005687958262245885,0.6842615395478906,5,False,False,False,nan,nan,nan,,nan
63,IFK Göteborg,Kolbeinn Sigþórsson,,79,85,,,249,254,lost ball,,,,5,False,False,False,nan,nan,nan,,nan
64,Varbergs BoIS FC,Gideon Mensah,,11,8,,,252,257,clearance inaccurate,,,,5,False,False,False,nan,nan,nan,,nan
65,IFK Göteborg,Oscar Wendt,Tobias Sana,89,98,90.0,76.0,258,261,pass into the box,,,,5,False,False,False,nan,nan,nan,,nan
66,IFK Göteborg,Oscar Wendt,Tobias Sana,89,98,90.0,76.0,258,261,pass accurate,,0.001191926604358462,0.6129606732810837,5,False,False,False,nan,nan,nan,,nan
67,Varbergs BoIS FC,Jean Carlos De Brito,,11,52,,,259,264,clearance accurate,,,,5,False,False,False,nan,nan,nan,,nan
68,IFK Göteborg,Tobias Sana,,91,77,71.0,68.0,259,262,pass inaccurate,,,0.7750357175750322,5,False,False,False,nan,nan,nan,,nan
69,Varbergs BoIS FC,Albert Ejupi,Tashreeq Matthews,29,32,34.0,72.0,264,267,pass accurate,0.664335941134069,0.0009943261759786937,0.8336807464408335,5,False,False,False,nan,nan,nan,,nan
70,IFK Göteborg,Marcus Berg,,61,17,,,268,271,foul,,,,5,False,False,False,nan,nan,nan,,nan
71,IFK Göteborg,Alexander Jallow,Sebastian Eriksson,31,18,31.0,34.0,278,281,pass accurate,,0.0007316033895666627,0.8474199445791181,5,False,False,False,nan,nan,nan,,nan
