external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Hammarby,Gustav Ludwigson,Mohammed Aziz Ouattara,49,50,35.0,50.0,0,3,Pass accurate,,-0.0015085281462256447,0.8821105643271655,1,False,False,False,,,,,
1,Hammarby,Mohammed Aziz Ouattara,Björn Paulsen,33,51,24.0,72.0,1,4,Pass accurate,,-0.001914631943411767,0.9248978074909767,1,False,False,False,,,,,
2,Hammarby,Björn Paulsen,Mohanad Jeahze,24,71,29.0,90.0,3,6,Pass accurate,,-0.0010518119330823594,0.8670177737341372,1,False,False,False,,,,,
3,Hammarby,Mohanad Jeahze,,29,93,65.0,82.0,6,9,Pass inaccurate,,,0.5498062767781429,1,False,False,False,,,,,
4,IK Sirius FK,Jamie Roche,Moustafa Zeidan,35,18,43.0,21.0,8,11,Pass accurate,,0.001399699678921791,0.8287774194538854,1,False,False,False,,,,,
5,IK Sirius FK,Moustafa Zeidan,Jacob Ortmark,43,18,39.0,26.0,9,12,Pass accurate,,-0.0006469937054146904,0.827409804626699,1,False,False,False,,,,,
6,IK Sirius FK,Jacob Ortmark,Moustafa Zeidan,38,28,40.0,17.0,10,13,Pass accurate,,-0.0007527059735071007,0.8360052613358913,1,False,False,False,,,,,
7,IK Sirius FK,Moustafa Zeidan,,42,11,39.0,28.0,13,16,Pass inaccurate,,,0.8333402153402731,1,False,False,False,,,,,
8,Hammarby,Akinkunmi Ayobami Amoo,Darijan Bojanic,61,72,67.0,73.0,17,20,Pass accurate,,0.004649636065058346,0.7404553812196407,1,False,False,False,,,,,
9,Hammarby,Darijan Bojanic,,66,74,73.0,73.0,19,22,Pass inaccurate,,,0.7126386506250267,1,False,False,False,,,,,
10,IK Sirius FK,Jamie Roche,Jacob Ortmark,27,27,29.0,29.0,20,23,Pass accurate,,,0.27993860410759847,1,False,False,False,,,,,
