external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,away,Ísak Bergmann Jóhannesson,Marco Lund Nielsen,49,52,30.0,59.0,0,3,pass accurate,,-0.0027516241001182586,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,IFK Norrköping FK,away,Marco Lund Nielsen,,30,58,69.0,44.0,2,5,pass inaccurate,,,0.4671256348332171,1,False,False,False,nan,nan,nan,,nan
2,Halmstad,home,Joel Allansson,,31,56,,,3,8,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
3,IFK Norrköping FK,away,Marco Lund Nielsen,,53,24,72.0,27.0,6,9,pass inaccurate,,,0.6471530912792585,1,False,False,False,nan,nan,nan,,nan
4,Halmstad,home,Amir Al-Ammari,,28,73,,,7,12,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
5,IFK Norrköping FK,away,Abdulrazaq Ishaq,,70,19,,,9,14,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
6,IFK Norrköping FK,away,Abdulrazaq Ishaq,,70,19,,,9,14,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,IFK Norrköping FK,away,Abdulrazaq Ishaq,,70,18,,,10,13,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
8,IFK Norrköping FK,away,Abdulrazaq Ishaq,,70,18,,,10,13,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
9,Halmstad,home,Samuel Kroon,,30,83,,,10,13,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
10,Halmstad,home,Samuel Kroon,,30,83,,,10,13,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
11,IFK Norrköping FK,away,Samuel Adeniyi Adegbenro,,73,31,94.0,31.0,13,16,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
12,IFK Norrköping FK,away,Samuel Adeniyi Adegbenro,,73,31,94.0,31.0,13,16,pass inaccurate,,,0.43397547921741847,1,False,False,False,nan,nan,nan,,nan
13,Halmstad,home,Andreas Bengtsson,,6,69,,,14,19,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
14,Halmstad,home,Andreas Bengtsson,,6,69,,,14,19,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
15,Halmstad,home,Malkolm Nilsson Säfqvist,,6,42,63.0,25.0,38,48,pass inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
16,Halmstad,home,Malkolm Nilsson Säfqvist,,6,42,63.0,25.0,38,48,goalkeeper kick inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
17,IFK Norrköping FK,away,Ísak Bergmann Jóhannesson,,37,75,,,46,51,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
18,Halmstad,home,Joseph Baffoe,,30,59,21.0,44.0,51,54,pass inaccurate,,,0.928243051467031,1,False,False,False,nan,nan,nan,,nan
19,Halmstad,home,Malkolm Nilsson Säfqvist,,21,44,72.0,35.0,61,64,pass inaccurate,,,0.5058843768503216,2,False,False,False,nan,nan,nan,,nan
20,IFK Norrköping FK,away,Marco Lund Nielsen,,28,65,,,63,68,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
21,IFK Norrköping FK,away,Marco Lund Nielsen,,28,65,,,63,68,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
22,Halmstad,home,Edvin Kurtulus,Joseph Baffoe,58,37,46.0,51.0,68,71,pass accurate,,-0.002345305279688171,0.8256278734987563,2,False,False,False,nan,nan,nan,,nan
23,Halmstad,home,Joseph Baffoe,,46,47,88.0,17.0,70,73,pass inaccurate,,,0.5280131517544536,2,False,False,False,nan,nan,nan,,nan
24,IFK Norrköping FK,away,Ari Freyr Skúlason,,12,83,,,72,77,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
25,IFK Norrköping FK,away,Ari Freyr Skúlason,,12,83,,,72,77,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
26,IFK Norrköping FK,away,Ísak Bergmann Jóhannesson,Ari Freyr Skúlason,20,73,11.0,71.0,75,78,pass accurate,,-0.0011403450183682003,0.9261442840766395,2,False,False,False,nan,nan,nan,,nan
27,IFK Norrköping FK,away,Ari Freyr Skúlason,Kristoffer Khazeni,10,72,24.0,77.0,77,80,pass accurate,,7.719264540028206e-05,0.8882618145619265,2,False,False,False,nan,nan,nan,,nan
28,IFK Norrköping FK,away,Kristoffer Khazeni,Samuel Adeniyi Adegbenro,23,76,30.0,61.0,78,81,pass accurate,,0.0029777843163796853,0.8543454514999334,2,False,False,False,nan,nan,nan,,nan
29,IFK Norrköping FK,away,Samuel Adeniyi Adegbenro,Abdulrazaq Ishaq,28,56,29.0,30.0,81,84,pass accurate,,-0.00023438342872604892,0.8921729409016758,2,False,False,False,nan,nan,nan,,nan
