external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Kalmar FF,away,Oliver Berg,Lars Saetra,49,52,30.0,50.0,0,3,pass accurate,,-0.0027516241001182586,0.903703020964266,1,False,False,False,nan,nan,nan,,nan
1,Kalmar FF,away,Lars Saetra,,32,47,69.0,99.0,3,6,pass inaccurate,,,0.10762820759403159,1,False,False,False,nan,nan,nan,,nan
2,Östersund,home,Samuel Laryea Mensiro,,31,1,57.0,11.0,17,20,pass inaccurate,,,0.4734621653470589,1,False,False,False,nan,nan,nan,,nan
3,Kalmar FF,away,Sebastian Ring,Oliver Berg,43,89,61.0,77.0,19,22,pass accurate,,0.006950010978083688,0.725717340217549,1,False,False,False,nan,nan,nan,,nan
4,Kalmar FF,away,Nils Fröling,,79,89,,,19,44,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
5,Kalmar FF,away,Oliver Berg,Noah Shamoun,60,77,65.0,71.0,21,24,pass accurate,,0.0009416788209277889,0.7511763007902201,1,False,False,False,nan,nan,nan,,nan
6,Kalmar FF,away,Noah Shamoun,Oliver Berg,65,71,70.0,72.0,22,25,pass accurate,,0.004649636065058346,0.6707541864941992,1,False,False,False,nan,nan,nan,,nan
7,Kalmar FF,away,Oliver Berg,Nils Fröling,71,75,74.0,92.0,24,27,pass accurate,,-0.003384757163740343,0.7512580165360255,1,False,False,False,nan,nan,nan,,nan
8,Östersund,home,Samuel Laryea Mensiro,,7,24,,,27,32,block successful,,,,1,False,False,False,nan,nan,nan,,nan
9,Östersund,home,Samuel Laryea Mensiro,,7,24,,,27,32,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
10,Kalmar FF,away,Nils Fröling,,93,86,90.0,100.0,28,31,pass inaccurate,,,0.16427213185195214,1,False,False,False,nan,nan,nan,,nan
11,Kalmar FF,away,Nils Fröling,,93,86,90.0,100.0,28,31,cross inacurate,,,0.16427213185195214,1,False,False,False,nan,nan,nan,,nan
12,Kalmar FF,away,Sebastian Ring,Oliver Berg,90,100,96.0,90.0,47,50,pass accurate,,0.013485292563502387,0.43832686689692457,1,False,False,False,nan,nan,nan,,nan
13,Kalmar FF,away,Oliver Berg,Sebastian Ring,97,89,91.0,95.0,48,51,pass accurate,,-0.013485292563502387,0.6150229113000716,1,False,False,False,nan,nan,nan,,nan
14,Kalmar FF,away,Sebastian Ring,,90,96,92.0,88.0,49,52,pass inaccurate,,,0.48945195468722646,1,False,False,False,nan,nan,nan,,nan
15,Östersund,home,Isak Ssali Ssewankambo,,8,12,,,49,54,clearance accurate,,,,1,False,False,False,nan,nan,nan,,nan
16,Kalmar FF,away,Rasmus Sjöstedt,Lars Saetra,33,86,32.0,48.0,57,60,pass accurate,,0.0017366458545594859,0.847143812833292,1,False,False,False,nan,nan,nan,,nan
17,Kalmar FF,away,Lars Saetra,Piotr Johansson,32,45,39.0,19.0,60,63,pass accurate,,0.0001485876485222467,0.8480428304650279,2,False,False,False,nan,nan,nan,,nan
18,Kalmar FF,away,Piotr Johansson,Noah Shamoun,45,12,58.0,5.0,63,66,pass accurate,,0.0021776537504475443,0.7634907248057733,2,False,False,False,nan,nan,nan,,nan
19,Kalmar FF,away,Noah Shamoun,Piotr Johansson,59,3,41.0,6.0,64,67,pass accurate,,-0.0063938217324273575,0.7227988122824123,2,False,False,False,nan,nan,nan,,nan
20,Kalmar FF,away,Piotr Johansson,Lars Saetra,39,5,31.0,24.0,67,70,pass accurate,,-9.746437644029757e-05,0.846015707393998,2,False,False,False,nan,nan,nan,,nan
21,Kalmar FF,away,Lars Saetra,Piotr Johansson,28,28,30.0,17.0,72,75,pass accurate,,-0.0007316033895666627,0.8775166012657496,2,False,False,False,nan,nan,nan,,nan
22,Kalmar FF,away,Piotr Johansson,Nils Fröling,42,19,70.0,94.0,77,80,pass accurate,,0.006590559161222521,0.612141103075654,2,False,False,False,nan,nan,nan,,nan
23,Kalmar FF,away,Nils Fröling,Romario Pereira Sipiao,70,87,65.0,73.0,82,85,pass accurate,,-0.003996005026539164,0.8089581328509553,2,False,False,False,nan,nan,nan,,nan
24,Kalmar FF,away,Romario Pereira Sipiao,Carl Gustafsson,69,70,64.0,31.0,85,88,pass accurate,,-0.004241324786781832,0.7234039192427058,2,False,False,False,nan,nan,nan,,nan
25,Kalmar FF,away,Carl Gustafsson,Noah Shamoun,65,31,72.0,34.0,87,90,pass accurate,,0.005150786963428557,0.7174134256948177,2,False,False,False,nan,nan,nan,,nan
26,Kalmar FF,away,Noah Shamoun,,73,35,75.0,32.0,88,91,pass inaccurate,,,0.24213780769211957,2,False,False,False,nan,nan,nan,,nan
