external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Varbergs BoIS FC,Robin Tranberg,Albert Ejupi,49,51,30.0,60.0,0,2,pass accurate,,-0.0027516241001182586,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,Varbergs BoIS FC,Albert Ejupi,Anton Liljenbäck,31,59,69.0,8.0,2,4,pass accurate,,0.01031769893801316,0.5823413410674851,1,False,False,False,nan,nan,nan,,nan
2,Djurgården,Elliot Käck,,18,95,,,6,11,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
3,Djurgården,Elliot Käck,,18,95,,,6,11,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,Varbergs BoIS FC,Anton Liljenbäck,,88,3,90.0,29.0,29,31,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
5,Varbergs BoIS FC,Anton Liljenbäck,,88,3,90.0,29.0,29,31,pass inaccurate,,,0.5210101997123958,1,False,False,False,nan,nan,nan,,nan
6,Djurgården,Nicklas Bärkroth,,10,71,,,29,34,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
7,Varbergs BoIS FC,Oliver Stanisic,,68,5,,,33,38,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
8,Varbergs BoIS FC,Oliver Stanisic,,40,7,,,45,48,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
9,Varbergs BoIS FC,Oliver Stanisic,,40,7,,,45,48,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
10,Djurgården,Kalle Holmberg,,60,93,,,45,48,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
11,Djurgården,Kalle Holmberg,,60,93,,,45,48,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
12,Varbergs BoIS FC,Oliver Stanisic,,39,8,,,46,51,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
13,Varbergs BoIS FC,Oliver Stanisic,,39,8,,,46,51,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,Djurgården,Elliot Käck,,34,99,64.0,90.0,46,48,pass inaccurate,,,0.5764958788121661,1,False,False,False,nan,nan,nan,,nan
15,Varbergs BoIS FC,Oliver Stanisic,Robin Tranberg,36,10,58.0,12.0,46,48,pass accurate,,0.0035036896676580217,0.6344115460535156,1,False,False,False,nan,nan,nan,,nan
