external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,BK Häcken,Erik Friberg,Joona Toivio,51,49,31.0,50.0,0,3,pass accurate,,-0.005149041375285539,0.8913926315812905,1,False,False,False,nan,nan,nan,,nan
1,BK Häcken,Joona Toivio,,32,42,72.0,76.0,3,6,pass inaccurate,,,0.494907968803709,1,False,False,False,nan,nan,nan,,nan
2,Örebro,Nasiru Moro,,28,24,,,5,10,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
3,BK Häcken,Johan Hammar,,71,73,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,BK Häcken,Johan Hammar,,71,73,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Örebro,Nasiru Moro,,28,24,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,Örebro,Nasiru Moro,,28,24,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,BK Häcken,Kristoffer Lund Hansen,,82,94,,,8,33,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
8,Örebro,Benjamin Hjertstrand,,27,22,37.0,31.0,9,12,pass inaccurate,,,0.8313561737880049,1,False,False,False,nan,nan,nan,,nan
9,BK Häcken,Erik Friberg,,63,69,,,9,14,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
10,BK Häcken,Erik Friberg,,63,69,,,9,14,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
11,BK Häcken,Erik Friberg,Alexander Faltsetas,63,74,61.0,80.0,10,13,pass accurate,,-0.0009416788209277889,0.6801503065437446,1,False,False,False,nan,nan,nan,,nan
12,BK Häcken,Alexander Faltsetas,Tobias Carlsson,62,81,65.0,92.0,11,14,pass accurate,,-0.002372399841753102,0.7962627978470558,1,False,False,False,nan,nan,nan,,nan
13,BK Häcken,Tobias Carlsson,Kristoffer Lund Hansen,60,92,72.0,93.0,12,15,pass accurate,,0.003925326525479712,0.5155591881632852,1,False,False,False,nan,nan,nan,,nan
14,BK Häcken,Tobias Carlsson,,65,92,60.0,92.0,11,15,carry,,,,1,False,False,False,nan,nan,nan,,nan
15,BK Häcken,Kristoffer Lund Hansen,,96,90,,,17,22,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
16,BK Häcken,Kristoffer Lund Hansen,,72,93,96.0,90.0,12,22,carry,,0.025387686628600126,,1,False,False,False,nan,nan,nan,,nan
17,Örebro,Mergim Krasniqi,,5,43,65.0,39.0,44,54,pass inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
18,Örebro,Mergim Krasniqi,,5,43,65.0,39.0,44,54,goalkeeper kick inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
19,BK Häcken,Alexander Faltsetas,,35,61,,,50,55,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
20,Örebro,Kevin Walker,,37,22,25.0,10.0,53,56,pass inaccurate,,,0.9268578286077974,1,False,False,False,nan,nan,nan,,nan
21,Örebro,Benjamin Hjertstrand,Agon Mehmeti,25,10,61.0,23.0,59,62,pass accurate,,0.009903838286013426,0.4798200075902928,1,False,False,False,nan,nan,nan,,nan
22,Örebro,Agon Mehmeti,,60,20,68.0,9.0,61,64,pass inaccurate,,,0.621761329634473,2,False,False,False,nan,nan,nan,,nan
23,BK Häcken,Tobias Carlsson,,32,91,,,62,67,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
24,BK Häcken,Tobias Carlsson,,32,91,,,62,67,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
25,BK Häcken,Tobias Carlsson,Peter Abrahamsson,24,93,10.0,57.0,64,67,pass accurate,,0.002239013931358327,0.9295969865607498,2,False,False,False,nan,nan,nan,,nan
26,BK Häcken,Peter Abrahamsson,,7,31,68.0,14.0,71,74,pass inaccurate,,,0.5120885019935671,2,False,False,False,nan,nan,nan,,nan
27,BK Häcken,Peter Abrahamsson,,10,57,7.0,31.0,64,74,carry,,-0.001475402601183196,,2,False,False,False,nan,nan,nan,,nan
28,Örebro,Andreas Skovgaard Larsen,,32,86,,,76,81,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
29,Örebro,Andreas Skovgaard Larsen,,32,86,,,76,81,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
30,Örebro,Andreas Skovgaard Larsen,David Seger,32,86,32.0,71.0,78,81,pass accurate,,0.0009398460677127601,0.8614678196531999,2,False,False,False,nan,nan,nan,,nan
31,Örebro,David Seger,Kevin Adrian Wright,35,70,54.0,93.0,84,87,pass accurate,,0.0009348058175669659,0.5694038508887485,2,False,False,False,nan,nan,nan,,nan
32,BK Häcken,Godswill Ekpolo,,46,8,,,84,89,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
33,BK Häcken,Godswill Ekpolo,,46,8,,,84,89,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
34,BK Häcken,Godswill Ekpolo,Patrik Wålemark,62,14,69.0,19.0,88,91,pass accurate,0.00900329698761805,0.005712043080806792,0.7015315274918706,2,False,False,False,nan,nan,nan,,nan
35,Örebro,Andreas Skovgaard Larsen,,25,82,,,92,95,foul,,,,2,False,False,False,nan,nan,nan,,nan
36,BK Häcken,Patrik Wålemark,,73,16,,,116,131,direct free kick shot inaccurate,,,,2,False,False,False,free-kick,nan,nan,,nan
37,BK Häcken,Patrik Wålemark,,73,16,,,116,119,wide shot,0.00900329698761805,,,2,False,False,False,free-kick,nan,nan,True,nan
38,Örebro,Mergim Krasniqi,,27,84,,,116,119,goalkeeper wide shot,,,,2,False,False,False,nan,nan,nan,,nan
39,BK Häcken,Patrik Wålemark,,73,16,,,116,119,shot,0.00900329698761805,,,2,False,False,False,free-kick,nan,left foot,True,nan
40,Örebro,Benjamin Hjertstrand,Nasiru Moro,27,10,25.0,36.0,141,144,pass accurate,,0.0020804594638705216,0.8940152863581843,3,False,False,False,nan,nan,nan,,nan
41,Örebro,Nasiru Moro,David Seger,26,34,33.0,19.0,144,147,pass accurate,,-0.0007316033895666627,0.8381797663074757,3,False,False,False,nan,nan,nan,,nan
42,Örebro,David Seger,Rickard Emeka Friday,29,15,37.0,3.0,146,149,pass accurate,,9.746437644029757e-05,0.8363241093804856,3,False,False,False,nan,nan,nan,,nan
43,Örebro,Jiloan Mohamed Hamad,,89,88,,,150,175,final third entry,,,,3,False,False,False,nan,nan,nan,,nan
44,Örebro,Rickard Emeka Friday,Andreas Skovgaard Larsen,31,36,26.0,74.0,152,155,pass accurate,,-0.00039776366689430603,0.9080157015488227,3,False,False,False,nan,nan,nan,,nan
45,Örebro,Andreas Skovgaard Larsen,Jiloan Mohamed Hamad,26,74,89.0,90.0,154,157,pass accurate,,0.020838040340611024,0.4052542749093202,3,False,False,False,nan,nan,nan,,nan
46,Örebro,Kevin Adrian Wright,,90,89,,,160,185,final third entry,,,,3,False,False,False,nan,nan,nan,,nan
47,Örebro,Jiloan Mohamed Hamad,Nahir Besara,91,88,76.0,76.0,162,165,pass accurate,,-0.0036182139716395,0.7366666560195697,3,False,False,False,nan,nan,nan,,nan
48,Örebro,Nahir Besara,Kevin Adrian Wright,77,74,90.0,86.0,166,169,pass accurate,,0.0015668001100857462,0.6348906932562431,3,False,False,False,nan,nan,nan,,nan
49,Örebro,Kevin Adrian Wright,,97,83,94.0,58.0,171,174,pass inaccurate,,,0.526349434641049,3,False,False,False,nan,nan,nan,,nan
50,Örebro,Kevin Adrian Wright,,97,83,94.0,58.0,171,174,cross inacurate,,,0.526349434641049,3,False,False,False,nan,nan,nan,,nan
51,Örebro,Kevin Adrian Wright,,90,86,97.0,83.0,166,174,carry,,0.003093351531558361,,3,False,False,False,nan,nan,nan,,nan
52,BK Häcken,Johan Hammar,,6,42,,,171,176,clearance inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
53,BK Häcken,Godswill Ekpolo,,6,7,,,177,182,interception unsuccesful,,,,3,False,False,False,nan,nan,nan,,nan
54,BK Häcken,Godswill Ekpolo,,6,7,,,177,182,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
55,Örebro,Kevin Adrian Wright,,94,93,,,177,182,tackle successful,,,,3,False,False,False,nan,nan,nan,,nan
56,Örebro,Kevin Adrian Wright,,94,93,,,177,182,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
57,Örebro,Nahir Besara,,91,86,,,178,183,interception succesful,,,,3,False,False,False,nan,nan,nan,,nan
58,Örebro,Nahir Besara,,91,86,,,178,183,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
59,Örebro,Nahir Besara,Rickard Emeka Friday,95,85,87.0,44.0,180,183,pass into the box,,,,4,False,False,False,nan,nan,nan,,nan
60,Örebro,Nahir Besara,Rickard Emeka Friday,95,85,87.0,44.0,180,183,pass accurate,,0.09525042237146975,0.5090638179642253,4,False,False,False,nan,nan,nan,,nan
61,Örebro,Nahir Besara,Rickard Emeka Friday,95,85,87.0,44.0,180,183,key pass,,,0.5090638179642253,4,False,False,False,nan,nan,nan,,nan
62,Örebro,Rickard Emeka Friday,,89,43,,,182,185,wide shot,0.11906487327236447,,,4,True,False,False,nan,nan,nan,True,nan
63,BK Häcken,Peter Abrahamsson,,11,57,,,182,185,goalkeeper wide shot,,,,4,False,False,False,nan,nan,nan,,nan
64,Örebro,Rickard Emeka Friday,,89,43,,,182,185,shot,0.11906487327236447,,,4,True,False,False,nan,nan,header,True,nan
65,BK Häcken,Peter Abrahamsson,,9,55,,,183,188,clearance inaccurate,,,,4,False,False,False,nan,nan,nan,,nan
