external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IF Elfsborg,Robert Gojani,Maudo Lamine Jarjué,49,51,29.0,53.0,0,2,Pass accurate,,-0.0027516241001182586,0.9069476952091619,1,False,False,False,,,,,
1,IF Elfsborg,Maudo Lamine Jarjué,,29,43,70.0,34.0,2,4,Pass inaccurate,,,0.48676020019993843,1,False,False,False,,,,,
2,IK Sirius FK,Joseph Colley,,30,66,,,4,9,Interception succesful,,,,1,False,False,False,,,,,
3,IK Sirius FK,Joseph Colley,,30,66,,,4,9,Challenge unsuccessful,,,,1,False,False,False,,,,,
4,IK Sirius FK,Joseph Colley,,21,66,,,6,9,Air challenge unsuccessful,,,,1,False,False,False,,,,,
5,IK Sirius FK,Joseph Colley,,21,66,,,6,9,Challenge unsuccessful,,,,1,False,False,False,,,,,
6,IF Elfsborg,Jacob Ondrejka,,79,33,,,6,9,Air challenge successful,,,,1,False,False,False,,,,,
7,IF Elfsborg,Jacob Ondrejka,,79,33,,,6,9,Challenge successful,,,,1,False,False,False,,,,,
8,IK Sirius FK,Joseph Colley,Axel Björnström,21,65,10.0,84.0,7,9,Pass accurate,,-0.002106691391938356,0.891033543191966,1,False,False,False,,,,,
9,IK Sirius FK,Axel Björnström,,8,87,35.0,98.0,11,13,Pass inaccurate,,,0.4561939134270627,1,False,False,False,,,,,
10,IF Elfsborg,Johan Larsson,Per Frick,65,2,86.0,10.0,22,24,Pass accurate,,0.01659009414867331,0.6358570017511266,1,False,False,False,,,,,
11,IF Elfsborg,Per Frick,Jacob Ondrejka,86,11,85.0,4.0,24,26,Pass accurate,,,0.767947373490845,1,False,False,False,,,,,
12,IF Elfsborg,Jacob Ondrejka,,90,10,,,24,29,Lost ball,,,,1,False,False,False,,,,,
13,IF Elfsborg,Jacob Ondrejka,,85,4,90.0,10.0,24,29,Carry,,,,1,False,False,False,,,,,
14,IK Sirius FK,Jamie Roche,,10,92,,,25,30,Tackle successful,,,,1,False,False,False,,,,,
15,IK Sirius FK,Jamie Roche,,10,92,,,25,30,Challenge unsuccessful,,,,1,False,False,False,,,,,
16,IK Sirius FK,Jacob Ortmark,,14,97,33.0,74.0,29,31,Pass inaccurate,,,0.7391782295176018,1,False,False,False,,,,,
17,IF Elfsborg,André Rømer,,67,26,,,30,35,Interception succesful,,,,1,False,False,False,,,,,
18,IF Elfsborg,André Rømer,,67,26,,,30,35,Challenge unsuccessful,,,,1,False,False,False,,,,,
19,IF Elfsborg,André Rømer,Robert Gojani,66,31,68.0,22.0,31,33,Pass accurate,,0.005200475878853025,0.7360623682228663,1,False,False,False,,,,,
20,IF Elfsborg,Robert Gojani,André Rømer,65,26,67.0,34.0,35,37,Pass accurate,,0.005150786963428557,0.6855186181642574,1,False,False,False,,,,,
21,IF Elfsborg,André Rømer,Johan Larsson,68,23,70.0,5.0,36,38,Pass accurate,,-0.0029833395362104873,0.8110781401004284,1,False,False,False,,,,,
22,IF Elfsborg,André Rømer,,67,34,68.0,23.0,35,38,Carry,,4.968891542446799e-05,,1,False,False,False,,,,,
23,IF Elfsborg,Johan Larsson,,82,8,,,36,61,Final third entry,,,,1,False,False,False,,,,,
24,IF Elfsborg,Johan Larsson,,70,5,82.0,8.0,36,61,Carry,,0.005796274482870466,,1,False,False,False,,,,,
25,IK Sirius FK,Jamie Roche,,14,76,,,38,43,Interception unsuccesful,,,,1,False,False,False,,,,,
26,IK Sirius FK,Jamie Roche,,14,76,,,38,43,Challenge successful,,,,1,False,False,False,,,,,
27,IF Elfsborg,Johan Larsson,,73,4,94.0,10.0,38,40,Pass inaccurate,,,0.5977465028826751,1,False,False,False,,,,,
28,IF Elfsborg,Jacob Ondrejka,Johan Larsson,94,10,84.0,6.0,42,44,Pass accurate,,-0.02599741386060056,0.5343546467378046,1,False,False,False,,,,,
29,IF Elfsborg,Johan Larsson,,81,7,96.0,52.0,45,47,Pass into the box,,,,1,False,False,False,,,,,
30,IF Elfsborg,Johan Larsson,,81,7,96.0,52.0,45,47,Pass inaccurate,,,0.17448673077885285,1,False,False,False,,,,,
31,IF Elfsborg,Johan Larsson,,81,7,96.0,52.0,45,47,Cross inacurate,,,0.17448673077885285,1,False,False,False,,,,,
32,IK Sirius FK,David Mitov Nilsson,,4,48,,,46,51,Interception succesful,,,,1,False,False,False,,,,,
